gene,gene_symbol_clean,univariate_candidate_rank,univariate_candidate_source,in_univariate_candidate_set,dfi_univ_rank,dfi_univ_coef,dfi_univ_hr_per_sd,dfi_univ_p,dfi_univ_q,dfi_univ_c_index,os_univ_rank,os_univ_coef,os_univ_hr_per_sd,os_univ_p,os_univ_q,os_univ_c_index,dfi_full_conditional_selected,dfi_full_conditional_rank,dfi_full_conditional_coef,dfi_full_conditional_hr_per_sd,dfi_full_conditional_p,dfi_full_conditional_c_index,os_full_conditional_selected,os_full_conditional_rank,os_full_conditional_coef,os_full_conditional_hr_per_sd,os_full_conditional_p,os_full_conditional_c_index,dfi_true_mb_n_configs,dfi_true_mb_algorithms,dfi_true_mb_alphas,dfi_true_mb_mean_rank,os_true_mb_n_configs,os_true_mb_algorithms,os_true_mb_alphas,os_true_mb_mean_rank,nested_dfi_conditional_selected_folds,nested_dfi_conditional_selection_frequency,nested_dfi_conditional_mean_rank,nested_dfi_conditional_plus_clinical_selected_folds,nested_dfi_conditional_plus_clinical_selection_frequency,nested_dfi_conditional_plus_clinical_mean_rank,nested_dfi_elasticnet_selected_folds,nested_dfi_elasticnet_selection_frequency,nested_dfi_elasticnet_mean_rank,nested_dfi_gsmb_selected_folds,nested_dfi_gsmb_selection_frequency,nested_dfi_gsmb_mean_rank,nested_dfi_iamb_selected_folds,nested_dfi_iamb_selection_frequency,nested_dfi_iamb_mean_rank,nested_dfi_univtop10_selected_folds,nested_dfi_univtop10_selection_frequency,nested_dfi_univtop10_mean_rank,nested_os_conditional_selected_folds,nested_os_conditional_selection_frequency,nested_os_conditional_mean_rank,nested_os_conditional_plus_clinical_selected_folds,nested_os_conditional_plus_clinical_selection_frequency,nested_os_conditional_plus_clinical_mean_rank,nested_os_elasticnet_selected_folds,nested_os_elasticnet_selection_frequency,nested_os_elasticnet_mean_rank,nested_os_gsmb_selected_folds,nested_os_gsmb_selection_frequency,nested_os_gsmb_mean_rank,nested_os_iamb_selected_folds,nested_os_iamb_selection_frequency,nested_os_iamb_mean_rank,nested_os_univtop10_selected_folds,nested_os_univtop10_selection_frequency,nested_os_univtop10_mean_rank,nested_any_max_selection_frequency,nested_any_total_selected_folds,dfi_os_both_univariate_available,dfi_os_same_direction,dfi_os_both_nominal_p05,dfi_os_both_fdr_q10,combined_univ_rank_score,rna_evidence_priority_score,rna_evidence_tier,gene_symbol_clean_upper,external_gene_name_upper,dog_ensembl_gene_id,dog_external_gene_name,dog_gene_biotype,human_ensembl_gene_id,human_gene_symbol,dog_human_orthology_type,dog_human_orthology_confidence,dog_human_orthology_confidence_numeric,dog_human_perc_id,human_dog_perc_id,has_human_homolog,is_one_to_one_ortholog,ortholog_mapping_status
LOC119878294,LOC119878294,463.0,dfi_os_top500_same_direction,True,479.0,0.2499511181187296,1.2839626526437995,0.004531997915003,0.0473068675887581,0.5883969692467687,341.0,0.2552964383853753,1.2908442199378931,0.0066820921967102,0.0979778914473647,0.58695130726793,False,,,,,,True,2.0,0.2861727413006191,1.3313224097550045,0.0011346737677555,0.7008075477732469,6,GSMB;IAMB,0.05;0.1;0.2,7.166666666666667,6,GSMB;IAMB,0.05;0.1;0.2,6.833333333333333,3,0.6,4.666666666666667,3,0.6,4.666666666666667,0,0.0,,1,0.2,11.0,1,0.2,9.0,0,0.0,,1,0.2,2.0,1,0.2,2.0,0,0.0,,1,0.2,4.0,1,0.2,5.0,0,0.0,,0.6,12,True,True,True,True,820.0,12.0,high_rna_evidence,LOC119878294,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
CENPV_3,CENPV,25.0,dfi_top400,True,25.0,0.3489908112138887,1.417636163926644,3.0282858950511936e-05,0.0060565717901023,0.6216015450898826,126.0,0.2732061885789545,1.3141711839804275,0.0017476509828192,0.0690536748897905,0.6068601583113457,False,,,,,,False,,,,,,6,GSMB;IAMB,0.05;0.1;0.2,9.333333333333334,2,GSMB,0.05;0.1,7.5,0,0.0,,0,0.0,,1,0.2,21.0,3,0.6,5.333333333333333,2,0.4,4.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,9.0,1,0.2,10.0,0,0.0,,0.6,8,True,True,True,True,151.0,8.0,high_rna_evidence,CENPV,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
FGL2_3,FGL2,274.0,dfi_top400,True,274.0,-0.2807177196344105,0.7552414952387696,0.0012897537286048,0.0235356519818404,0.6100133709701382,14.0,-0.3719903844133848,0.6893608711015188,9.707759129237706e-05,0.034670568318706,0.6356440393379708,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,3,0.6,11.0,0,0.0,,0,0.0,,2,0.4,5.5,0.6,5,True,True,True,True,288.0,6.0,medium_rna_evidence,FGL2,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
RENBP_3,RENBP,228.0,dfi_top400,True,228.0,-0.2435019556066181,0.7838779430738807,0.0009534865712468,0.0206914080183735,0.5915168622790076,225.0,-0.2295826673137383,0.7948652565462146,0.0037754844700186,0.0837291957547359,0.5889501878947789,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,7.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,1,0.2,8.0,2,0.4,10.0,0,0.0,,0.4,4,True,True,True,True,453.0,5.0,medium_rna_evidence,RENBP,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
MCM10_3,MCM10,27.0,dfi_top400,True,27.0,0.3863456874876802,1.471593294286082,3.3726814530880084e-05,0.0062457063946074,0.6173674045461298,180.0,0.2788304003657321,1.3215831848366286,0.0029236238942888,0.0811208319080179,0.5975053969776924,False,,,,,,False,,,,,,2,GSMB,0.1;0.2,9.0,0,,,,0,0.0,,0,0.0,,1,0.2,5.0,1,0.2,5.0,0,0.0,,1,0.2,5.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,3,True,True,True,True,207.0,5.0,medium_rna_evidence,MCM10,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC610632_3,LOC610632,431.0,os_top200,True,572.0,-0.2414440915098799,0.7854927182732562,0.0066218536365127,0.0578833359835032,0.5591665428613876,176.0,-0.2839158857734496,0.7528299657533517,0.0028506254556344,0.080575412564711,0.5682018069880866,False,,,,,,True,4.0,-0.2815057885296892,0.7546465473686947,0.0023744245541103,0.7008075477732469,0,,,,0,,,,0,0.0,,0,0.0,,1,0.2,18.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.2,1,True,True,True,True,748.0,5.0,medium_rna_evidence,LOC610632,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
GPR34_3,GPR34,6.0,dfi_top400,True,6.0,-0.3917375419791128,0.6758814811997906,6.018807300834696e-06,0.0036783320728744,0.6275441984846234,4.0,-0.3917957210799062,0.6758421601668138,3.397354202076351e-05,0.0293538156944,0.631246501958903,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,1,0.2,6.0,0,0.0,,0,0.0,,2,0.4,5.5,0,0.0,,0,0.0,,1,0.2,2.0,0,0.0,,0,0.0,,1,0.2,2.0,0.4,5,True,True,True,True,10.0,4.0,exploratory_rna_evidence,GPR34,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC477699_3,LOC477699,9.0,dfi_top400,True,9.0,-0.3684973544634283,0.6917730397065714,6.850632262394836e-06,0.0036783320728744,0.6055563809240826,145.0,-0.2780535630899124,0.7572562594429191,0.002220116025357,0.0756453002193586,0.5871112177180778,False,,,,,,False,,,,,,0,,,,0,,,,1,0.2,2.0,1,0.2,2.0,1,0.2,25.0,0,0.0,,0,0.0,,2,0.4,6.5,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,5,True,True,True,True,154.0,4.0,exploratory_rna_evidence,LOC477699,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
CD8B_3,CD8B,38.0,dfi_top400,True,38.0,-0.3760832074623874,0.6865452049812728,5.340876463919157e-05,0.0067446788096494,0.6027336205615808,366.0,-0.2528786322864765,0.7765621256741438,0.0073486097345413,0.1003908433680506,0.5601663068681538,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,17.5,0,0.0,,0,0.0,,1,0.2,10.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,3,True,True,True,False,404.0,4.0,exploratory_rna_evidence,CD8B,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
PLCXD2_3,PLCXD2,288.0,dfi_top400,True,288.0,-0.2604150959023857,0.7707315918684515,0.0013880691581869,0.0240984228851898,0.5664834348536621,437.0,-0.2329781725174835,0.7921708644312982,0.0096609505601204,0.1105096994150872,0.559926441192932,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,10.5,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,2,True,True,True,False,725.0,4.0,exploratory_rna_evidence,PLCXD2,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
