endpoint,module_label,n_genes,n,events,coef,hr,p,c_index,module_pc1_explained_variance,genes,gene_symbols
DFI,M11,8,186,143,0.16812188190720678,1.183080798004758,1.680461601153752e-05,0.6192987668994205,0.49449542756390563,ADAMTS1_3;ADAMTS4_3;ANGPT2_3;DRD1_3;IGFBP3_3;MCAM_3;STC1_3;TSPAN15_3,ADAMTS1;ADAMTS4;ANGPT2;DRD1;IGFBP3;MCAM;STC1;TSPAN15
DFI,M17,5,186,143,0.19717585808474483,1.2179582096717365,0.00015469585881257343,0.5990194621898678,0.5229397637600028,ANKRD37_3;CIRBP_3;DDIT4_3;HILPDA_3;P4HA1_3,ANKRD37;CIRBP;DDIT4;HILPDA;P4HA1
DFI,M20,4,186,143,0.12214182820193632,1.1299143441363784,0.008979437007616489,0.5716832565740603,0.6027393079486077,C32H4orf54_3;RRAD_3;SMTNL2_3;VGLL2_3,C32H4orf54;RRAD;SMTNL2;VGLL2
DFI,M23,4,186,143,0.1922790779181364,1.2120087146397989,0.00013078296934607316,0.6206358639132372,0.5696919728493952,LOC102154334_3;LOC475831_3;RBM44_3;SYCE2_3,LOC102154334;LOC475831;RBM44;SYCE2
DFI,M24,7,186,143,0.20031948970073563,1.2217930461050217,4.804690131708406e-06,0.6262071014708067,0.4433167275165085,CHST2_3;GABRA2_3;HHIP_3;NETO1_3;NR2F1_3;OSR2_3;RYR2_3,CHST2;GABRA2;HHIP;NETO1;NR2F1;OSR2;RYR2
DFI,M25,6,186,143,-0.18337195235374548,0.8324584632604335,1.4739471228528751e-05,0.626578517307978,0.5040150084188719,ENC1_3;KCTD12_3;LOC106559497_3;SERTM1_3;STK39_3;WNT5B_3,ENC1;KCTD12;LOC106559497;SERTM1;STK39;WNT5B
DFI,M27,8,186,143,-0.16798036726135376,0.8453704314584782,3.6408476427399506e-05,0.6167731392066558,0.439051918494457,ADORA2B_3;CA14_3;DLG2_3;HK2_3;LEPR_3;LOC119878351;PPA1_3;ZNF608_3,ADORA2B;CA14;DLG2;HK2;LEPR;LOC119878351;PPA1;ZNF608
DFI,M28,13,186,143,-0.17902775717471286,0.8360826917815979,4.5123750815077056e-07,0.6337097013816669,0.42996516044714445,ATP8B4_3;CA5B_3;KLHL9_3;LOC102152083_3;LOC111090004_3;LOC119866898_3;LURAP1L_3;MPIG6B_3;SCRN2_3;STX3_3;SUGCT_3;TTC39B_3;ZBED2_3,ATP8B4;CA5B;KLHL9;LOC102152083;LOC111090004;LOC119866898;LURAP1L;MPIG6B;SCRN2;STX3;SUGCT;TTC39B;ZBED2
DFI,M30,7,186,143,-0.14324930225580518,0.8665380120837293,3.4078118296247175e-05,0.5768087951270242,0.7391307731564378,ATAD1_3;FAS_3;MINPP1_3;PAPSS2_3;PTEN_3;RNLS_3;SGMS1_3,ATAD1;FAS;MINPP1;PAPSS2;PTEN;RNLS;SGMS1
DFI,M34,238,186,143,-0.030385731560146047,0.9700712742652648,1.8230817809718274e-05,0.6348239488931808,0.5131680876321663,ABCC3_3;ACOD1_3;ADA2_3;ADCY7_3;ADGRE3_3;ADGRF1_3;ADGRG6_3;ALOX5_3;ANKRD22_3;ANXA3_3;APOBEC3Z3_4;APOBR_3;ARHGAP30_3;ARHGDIB_3;ARRB1_3;ASAH1_3;ATF7IP2_3;ATP8A1_3;B2M_3;BATF2_3;BLNK_3;BTK_3;C3AR1_3;CAPG_3;CARD9_3;CASP12_3;CASP8_3;CBLN3_3;CBX7_3;CCR2_3;CD244_3;CD48_3;CD74_3;CD80_3;CD86_3;CD8B_3;CLEC12A_3;CSF1R_3;CSF2RB_3;CSRP2_3;CTSH_3;CYP4V2_3;CYSLTR2_3;CYTH4_3;DAPP1_3;DENND1C_3;DHX58_3;DLA-79_3;DLA-DMB_3;DLA-DOA_3;DLA-DRA_3;DNASE1L3_3;DOCK2_3;DOCK8_3;DOK2_3;DRAM1_3;DTX3L_3;EGR1_3;EHD3_3;ENPP3_3;ENPP5_3;EPAS1_3;EPHB3_3;EVI2A_3;EVI2B_3;F5_3;FAM107A_3;FAXDC2_3;FCER1G_2;FCMR_3;FERMT3_3;FGL2_3;FGR_3;FMO5_3;FYB1_3;GAB2_3;GBP1_3;GBP6_3;GIMAP6_3;GLIPR1_3;GLIPR2_3;GLUL_3;GMFG_3;GPR183_3;GPR34_3;GPSM3_3;GSAP_3;GYPC_3;HACD4_3;HAVCR1_3;HCLS1_3;HLA-DRB1_3;HNMT_3;IFI30_3;IFI35_3;IFI44L_3;IFI44_3;IFIT2_3;IFIT3_3;IGSF6_3;IL18_3;IL1RN_3;IL34_3;INPP5D_3;IRF5_3;ITGAX_3;JAML_3;JCHAIN_3;KBTBD12_3;KCNQ1_3;KIAA0040_3;LAMA3_3;LAPTM5_3;LCP1_3;LGALS9_3;LIPA_3;LMO2_3;LOC102157159_3;LOC106557828_3;LOC106559420_3;LOC111091730_3;LOC111097086_3;LOC119874749_2;LOC119875957_1;LOC119876150;LOC119877400;LOC119877532;LOC119877926;LOC119878234;LOC119879410;LOC476816_3;LOC477699_3;LOC484897_3;LOC488622_3;LOC612325_3;LPAR5_3;LPXN_3;LY96_3;MARCHF1_3;MCTP1_3;MEST_3;MILR1_3;MOSPD2_3;MS4A7_3;MYO1G_3;NCF4_3;NCKAP1L_3;NFAM1_3;OAS1_3;OAS2_3;OSBPL3_3;P2RX7_3;PAG1_3;PAPPA_3;PARP12_3;PARP14_3;PARP15_3;PARP4_3;PARP9_3;PARVG_3;PID1_3;PIK3AP1_3;PIK3CG_3;PIK3IP1_3;PLD4_3;PRDM1_3;PRKAR2B_3;PRKX_3;PSMB8_3;PTAFR_3;PTK2B_3;PTPN6_3;PTPRC_4;PTPRJ_3;PTPRO_3;PYCARD_3;RAB29_3;RASSF5_3;RENBP_3;RETSAT_3;RGS18_3;RNASEL_3;RNF213_3;RTP4_3;SAMD9L_3;SAMSN1_3;SASH3_3;SCTR_3;SELENOP_3;SELPLG_3;SERPINB8_3;SERPINB9_3;SERPING1_3;SH3TC1_3;SIRPB2_3;SLC43A2_3;SLC6A6_3;SLC8A1_3;SLCO2B1_3;SLCO3A1_3;SP100_3;SPN_3;SQOR_3;SRM_3;STING1_3;SUSD1_3;SYK_3;SYTL1_3;TAGAP_3;TAPBPL_3;TASL_3;TBC1D9_3;TDRD7_3;TIMD4_3;TLR1_3;TLR3_3;TLR7_3;TLR8_3;TMEM123_3;TMEM140_3;TMEM144_3;TMEM86A_3;TNFAIP8L2_3;TNFAIP8_3;TNFRSF14_3;TNFSF8_3;TRANK1_3;TRIM14_3;TRIM22_3;TRIM34_3;TYROBP_3;UBA7_3;UPP1_3;VAV1_3;VWA5A_3;XCR1_3;ZBP1_3;ZMAT1_3,ABCC3;ACOD1;ADA2;ADCY7;ADGRE3;ADGRF1;ADGRG6;ALOX5;ANKRD22;ANXA3;APOBEC3Z3;APOBR;ARHGAP30;ARHGDIB;ARRB1;ASAH1;ATF7IP2;ATP8A1;B2M;BATF2;BLNK;BTK;C3AR1;CAPG;CARD9;CASP12;CASP8;CBLN3;CBX7;CCR2;CD244;CD48;CD74;CD80;CD86;CD8B;CLEC12A;CSF1R;CSF2RB;CSRP2;CTSH;CYP4V2;CYSLTR2;CYTH4;DAPP1;DENND1C;DHX58;DLA-79;DLA-DMB;DLA-DOA;DLA-DRA;DNASE1L3;DOCK2;DOCK8;DOK2;DRAM1;DTX3L;EGR1;EHD3;ENPP3;ENPP5;EPAS1;EPHB3;EVI2A;EVI2B;F5;FAM107A;FAXDC2;FCER1G;FCMR;FERMT3;FGL2;FGR;FMO5;FYB1;GAB2;GBP1;GBP6;GIMAP6;GLIPR1;GLIPR2;GLUL;GMFG;GPR183;GPR34;GPSM3;GSAP;GYPC;HACD4;HAVCR1;HCLS1;HLA-DRB1;HNMT;IFI30;IFI35;IFI44L;IFI44;IFIT2;IFIT3;IGSF6;IL18;IL1RN;IL34;INPP5D;IRF5;ITGAX;JAML;JCHAIN;KBTBD12;KCNQ1;KIAA0040;LAMA3;LAPTM5;LCP1;LGALS9;LIPA;LMO2;LOC102157159;LOC106557828;LOC106559420;LOC111091730;LOC111097086;LOC119874749;LOC119875957;LOC119876150;LOC119877400;LOC119877532;LOC119877926;LOC119878234;LOC119879410;LOC476816;LOC477699;LOC484897;LOC488622;LOC612325;LPAR5;LPXN;LY96;MARCHF1;MCTP1;MEST;MILR1;MOSPD2;MS4A7;MYO1G;NCF4;NCKAP1L;NFAM1;OAS1;OAS2;OSBPL3;P2RX7;PAG1;PAPPA;PARP12;PARP14;PARP15;PARP4;PARP9;PARVG;PID1;PIK3AP1;PIK3CG;PIK3IP1;PLD4;PRDM1;PRKAR2B;PRKX;PSMB8;PTAFR;PTK2B;PTPN6;PTPRC;PTPRJ;PTPRO;PYCARD;RAB29;RASSF5;RENBP;RETSAT;RGS18;RNASEL;RNF213;RTP4;SAMD9L;SAMSN1;SASH3;SCTR;SELENOP;SELPLG;SERPINB8;SERPINB9;SERPING1;SH3TC1;SIRPB2;SLC43A2;SLC6A6;SLC8A1;SLCO2B1;SLCO3A1;SP100;SPN;SQOR;SRM;STING1;SUSD1;SYK;SYTL1;TAGAP;TAPBPL;TASL;TBC1D9;TDRD7;TIMD4;TLR1;TLR3;TLR7;TLR8;TMEM123;TMEM140;TMEM144;TMEM86A;TNFAIP8L2;TNFAIP8;TNFRSF14;TNFSF8;TRANK1;TRIM14;TRIM22;TRIM34;TYROBP;UBA7;UPP1;VAV1;VWA5A;XCR1;ZBP1;ZMAT1
