analysis,module_label,endpoint,fold,n_module_genes,n_strict_symbol_concordant,n_strict_one_to_one,n_broad_transferable,n_manual_review,fraction_strict_symbol_concordant,fraction_strict_one_to_one,fraction_broad_transferable,n_high_or_medium_rna_evidence,strict_human_symbols,broad_human_symbols,module_transfer_qc_tier,dfi_full_module_p,dfi_full_module_c_index,dfi_full_module_gene_symbols,os_full_module_p,os_full_module_c_index,os_full_module_gene_symbols,transfer_priority_score
full_cohort,M24,,,7,7,7,7,0,1.0,1.0,1.0,1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,high_primary_transfer_readiness,4.804690131708406e-06,0.6262071014708067,CHST2;GABRA2;HHIP;NETO1;NR2F1;OSR2;RYR2,0.0001800039846212,0.6063004717358279,CHST2;GABRA2;HHIP;NETO1;NR2F1;OSR2;RYR2,10.0
full_cohort,M39,,,5,5,5,5,0,1.0,1.0,1.0,1,PRRT4;SPSB4;FAM81A;CLCN5;PGAP1,PRRT4;SPSB4;FAM81A;CLCN5;PGAP1,high_primary_transfer_readiness,1.016358590521632e-05,0.6150646263556678,CLCN5;FAM81A;PGAP1;PRRT4;SPSB4,0.0039496389635895,0.5843927400655633,CLCN5;FAM81A;PGAP1;PRRT4;SPSB4,10.0
full_cohort,M11,,,8,7,7,8,1,0.875,0.875,1.0,1,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,ADAMTS4;ANGPT2;MCAM;DRD1;TSPAN15;STC1;ADAMTS1;IGFBP3,high_primary_transfer_readiness,1.680461601153752e-05,0.6192987668994205,ADAMTS1;ADAMTS4;ANGPT2;DRD1;IGFBP3;MCAM;STC1;TSPAN15,0.0074059287612412,0.5759174862077237,ADAMTS1;ADAMTS4;ANGPT2;DRD1;IGFBP3;MCAM;STC1;TSPAN15,10.0
full_cohort,M40,,,144,111,111,121,10,0.7708333333333334,0.7708333333333334,0.8402777777777778,12,GPRC5C;DSCC1;ELOVL4;MEX3A;NIBAN1;TRIP13;EPHA2;MYOF;TSPAN33;RCOR2;POLE2;ST6GALNAC3;UBE2S;SCML2;MYBL2;SPC25;TONSL;ATAD2;HSPH1;NSMCE2;FAM131C;NDUFB9;DNPH1;FANCA;RECQL4;FANCM;ECT2;LHX2;MIS18A;DLGAP5;FANCD2;CDCA8;BUB1;FAM180A;PLK4;SMO;DSN1;ORC6;SULT1C4;UHRF1;SKA3;GTSE1;CCNA2;ITGBL1;RAB30;DEPDC1;CDC6;UBE2T;SLC13A5;CCNB3;POLQ;MAP1LC3C;KIF18B;KIF4A;SH3D19;CEP72;CDCA2;CXCL14;LGR4;SFRP4;MXRA5;GAREM2;BARX1;TRIB3;SIM2;ESPL1;GAS6;CRYBG1;CALHM5;IFITM5;LIMS2;DNA2;STUM;RELN;DNAJB1;EXO1;MSI1;E2F1;MCM5;CENPK;POLE;E2F7;FAM83D;MCM2;SIVA1;TYMS;REXO5;E2F8;HELLS;RRM2;ORC1;KIF22;NCAPG;TOP2A;KIF15;FN1;MTFR2;CDC20;ST8SIA5;ARL4D;CENPT;SPAG5;NMRAL1;HSP90AA1;CLTCL1;CENPI;TK1;KIF23;C1S;CLSPN;MACROH2A2,GPRC5C;DSCC1;ELOVL4;MEX3A;NIBAN1;CSRP1;TRIP13;EPHA2;MYOF;TSPAN33;RCOR2;POLE2;CENPW;ST6GALNAC3;UBE2S;SCML2;MYBL2;SPC25;TONSL;ATAD2;HSPH1;NSMCE2;FAM131C;NDUFB9;DNPH1;FANCA;RECQL4;FANCM;ECT2;LHX2;MIS18A;DLGAP5;FANCD2;CDCA8;BUB1;FAM180A;PLK4;SMO;DSN1;ORC6;SULT1C4;UHRF1;CDT1;SKA3;GTSE1;CCNA2;ITGBL1;RAB30;DEPDC1;CDC6;UBE2T;SLC13A5;CCNB3;NCAPH;POLQ;MAP1LC3C;KIF18B;KIF4A;SH3D19;CEP72;CDCA2;CXCL14;LGR4;SFRP4;MXRA5;GAREM2;BARX1;TRIB3;SIM2;ESPL1;GAS6;CRYBG1;CALHM5;IFITM5;LIMS2;DNA2;STUM;SLC5A6;RELN;DNAJB1;EXO1;MSI1;E2F1;MCM5;SERF1A;MCM4;SHCBP1;CENPK;POLE;E2F7;FAM83D;MCM2;STMN1;SIVA1;TYMS;REXO5;E2F8;HELLS;RRM2;ORC1;KIF22;NCAPG;TOP2A;KIF15;FN1;MTFR2;CDC20;ST8SIA5;ARL4D;CENPT;SPAG5;NMRAL1;HSP90AA1;CLTCL1;CENPI;TK1;CCNB2;KIF23;C1S;CLSPN;MACROH2A2,high_primary_transfer_readiness,6.446286154722608e-06,0.6334868518793642,ARL4D;ATAD2;AURKA;AURKB;BARX1;BIRC5;BUB1;C1S;CALHM5;CCNA2;CCNB2;CCNB3;CDC20;CDC6;CDCA2;CDCA5;CDCA7;CDCA8;CDT1;CENPI;CENPK;CENPT;CENPV;CENPW;CEP72;CLSPN;CLTCL1;CRYBG1;CSRP1;CXCL14;DBF4B;DEPDC1;DLGAP5;DNA2;DNAJB1;DNPH1;DSCC1;DSN1;E2F1;E2F7;E2F8;ECT2;ELOVL4;EPHA2;ESPL1;EXO1;FAM131C;FAM180A;FAM83D;FANCA;FANCD2;FANCM;FN1;GAREM2;GAS6;GPRC5C;GPSM2;GTSE1;HELLS;HSP70;HSP90AA1;HSPH1;IFITM5;ITGBL1;KIF15;KIF18B;KIF22;KIF23;KIF4A;LGR4;LHX2;LIMS2;LOC100855995;LOC102155122;LOC102156428;LOC119863969;LOC119876044;LOC119877688;LOC487476;MACROH2A2;MAP1LC3C;MCM10;MCM2;MCM4;MCM5;MEX3A;MIS18A;MSI1;MTFR2;MXRA5;MYBL2;MYOF;NCAPG;NCAPH;NDUFB9;NIBAN1;NMRAL1;NSMCE2;ORC1;ORC6;PBK;PHGDH;PLK4;POLE2;POLE;POLQ;PTTG1;RAB30;RCOR2;RECQL4;RELN;REXO5;RRM2;SCML2;SERF1A;SFRP4;SH3D19;SHCBP1;SIM2;SIVA1;SKA3;SLC13A5;SLC5A6;SMO;SPAG5;SPC25;ST6GALNAC3;ST8SIA5;STMN1;STUM;SULT1C4;TK1;TONSL;TOP2A;TRIB3;TRIP13;TROAP;TSPAN33;TYMS;UBE2C;UBE2S;UBE2T;UHRF1;XG,0.0002454688349548,0.6242104421523946,ARL4D;ATAD2;AURKA;AURKB;BARX1;BIRC5;BUB1;C1S;CALHM5;CCNA2;CCNB2;CCNB3;CDC20;CDC6;CDCA2;CDCA5;CDCA7;CDCA8;CDT1;CENPI;CENPK;CENPT;CENPV;CENPW;CEP72;CLSPN;CLTCL1;CRYBG1;CSRP1;CXCL14;DBF4B;DEPDC1;DLGAP5;DNA2;DNAJB1;DNPH1;DSCC1;DSN1;E2F1;E2F7;E2F8;ECT2;ELOVL4;EPHA2;ESPL1;EXO1;FAM131C;FAM180A;FAM83D;FANCA;FANCD2;FANCM;FN1;GAREM2;GAS6;GPRC5C;GPSM2;GTSE1;HELLS;HSP70;HSP90AA1;HSPH1;IFITM5;ITGBL1;KIF15;KIF18B;KIF22;KIF23;KIF4A;LGR4;LHX2;LIMS2;LOC100855995;LOC102155122;LOC102156428;LOC119863969;LOC119876044;LOC119877688;LOC487476;MACROH2A2;MAP1LC3C;MCM10;MCM2;MCM4;MCM5;MEX3A;MIS18A;MSI1;MTFR2;MXRA5;MYBL2;MYOF;NCAPG;NCAPH;NDUFB9;NIBAN1;NMRAL1;NSMCE2;ORC1;ORC6;PBK;PHGDH;PLK4;POLE2;POLE;POLQ;PTTG1;RAB30;RCOR2;RECQL4;RELN;REXO5;RRM2;SCML2;SERF1A;SFRP4;SH3D19;SHCBP1;SIM2;SIVA1;SKA3;SLC13A5;SLC5A6;SMO;SPAG5;SPC25;ST6GALNAC3;ST8SIA5;STMN1;STUM;SULT1C4;TK1;TONSL;TOP2A;TRIB3;TRIP13;TROAP;TSPAN33;TYMS;UBE2C;UBE2S;UBE2T;UHRF1;XG,9.0
full_cohort,M38,,,8,6,6,7,1,0.75,0.75,0.875,1,ACSS3;MTURN;JAZF1;MAOB;TMCC3;STON1,ACSS3;MTURN;JAZF1;LDLRAD4;MAOB;TMCC3;STON1,high_primary_transfer_readiness,8.137949615866122e-06,0.6060020799286882,ACSS3;JAZF1;LDLRAD4;LOC119877191;MAOB;MTURN;STON1;TMCC3,0.0001928756851798,0.6048612776844967,ACSS3;JAZF1;LDLRAD4;LOC119877191;MAOB;MTURN;STON1;TMCC3,9.0
full_cohort,M34,,,238,162,166,194,32,0.680672268907563,0.6974789915966386,0.8151260504201681,9,CYP4V2;FAM107A;ALOX5;RETSAT;BTK;LY96;BLNK;EGR1;CBX7;TLR3;ADGRF1;TLR7;HACD4;SAMD9L;BATF2;ACOD1;PARP15;GPSM3;RGS18;IL34;CARD9;INPP5D;TMEM140;PRKAR2B;RASSF5;SLC6A6;TRIM14;PAG1;PAPPA;OSBPL3;CD86;F5;OAS1;PID1;ZMAT1;ENPP5;MOSPD2;TNFAIP8L2;TBC1D9;PIK3IP1;CSF1R;EPAS1;CTSH;PYCARD;ADGRG6;TAGAP;GPR183;TMEM86A;ABCC3;GSAP;SCTR;NCKAP1L;DENND1C;PTPN6;CBLN3;PIK3AP1;PRDM1;B2M;HNMT;VWA5A;PARP12;CYTH4;GMFG;ARRB1;LAPTM5;RNASEL;NCF4;PARP9;ANXA3;PTK2B;PTPRC;DTX3L;ANKRD22;PTPRJ;EVI2A;ARHGDIB;IFI35;CD244;JAML;SYK;GAB2;PIK3CG;FERMT3;DOCK2;DRAM1;MYO1G;PTAFR;DAPP1;VAV1;PTPRO;PARVG;CASP8;TNFSF8;IRF5;CLEC12A;GIMAP6;CSF2RB;NFAM1;MARCHF1;RNF213;LCP1;SP100;SLC8A1;IL18;TMEM144;DOK2;MILR1;SERPINB8;FGR;ARHGAP30;SLC43A2;SASH3;CD80;SIRPB2;HCLS1;TRIM22;CD74;SAMSN1;PARP14;MS4A7;C3AR1;ADCY7;FYB1;SLCO2B1;OAS2;TLR1;DNASE1L3;TLR8;FCER1G;TNFAIP8;KCNQ1;IL1RN;SH3TC1;CCR2;KBTBD12;JCHAIN;TMEM123;GLUL;CYSLTR2;EPHB3;CAPG;ADGRE3;ATF7IP2;TAPBPL;KIAA0040;SERPING1;IFI30;SRM;SUSD1;TRANK1;FAXDC2;SYTL1;LAMA3;RAB29;GBP1;MCTP1;EHD3;SLCO3A1;ATP8A1;SERPINB9;LPAR5;DHX58,CYP4V2;FAM107A;APOBEC3H;ALOX5;RETSAT;BTK;LY96;BLNK;TDRD7;EGR1;FMO5;CBX7;TLR3;ADGRF1;TLR7;HACD4;SAMD9L;BATF2;ACOD1;PARP15;GPSM3;ASAH1;RGS18;SELENOP;IL34;CARD9;INPP5D;TMEM140;PRKAR2B;RASSF5;SLC6A6;TRIM14;PAG1;PAPPA;OSBPL3;CD86;F5;UPP1;OAS1;PID1;ZMAT1;ENPP5;MOSPD2;TNFAIP8L2;TBC1D9;P2RX7;PIK3IP1;CSF1R;EPAS1;IFIT3;CTSH;PYCARD;ADGRG6;SELPLG;TAGAP;GPR183;TMEM86A;ABCC3;GSAP;SCTR;LMO2;NCKAP1L;DENND1C;PTPN6;CBLN3;PIK3AP1;PRDM1;B2M;PARP4;HNMT;VWA5A;PARP12;CYTH4;GMFG;ARRB1;LAPTM5;RNASEL;NCF4;TNFRSF14;PARP9;ANXA3;PTK2B;PTPRC;DTX3L;ANKRD22;PTPRJ;TYROBP;EVI2A;ARHGDIB;IFI35;CD244;JAML;SYK;GAB2;PIK3CG;FERMT3;DOCK2;DRAM1;MYO1G;PTAFR;DAPP1;VAV1;PTPRO;PARVG;CASP8;TNFSF8;IRF5;CLEC12A;GIMAP6;CSF2RB;NFAM1;MARCHF1;RNF213;LCP1;SP100;SLC8A1;IL18;TAP1;TMEM144;DOK2;MILR1;SERPINB8;HLA-DRA;FGR;ZBP1;ARHGAP30;SLC43A2;SASH3;CD80;SIRPB2;HCLS1;TRIM22;CD74;IGSF6;SAMSN1;PARP14;MS4A7;C3AR1;HLA-DMB;ADCY7;FYB1;IFI44;SLCO2B1;TIMD4;OAS2;TLR1;DNASE1L3;TLR8;LIPA;RTP4;FCER1G;TNFAIP8;KCNQ1;CD48;IL1RN;GYPC;SH3TC1;EVI2B;CCR2;KBTBD12;JCHAIN;TMEM123;GLUL;CYSLTR2;GLIPR1;EPHB3;CAPG;ADGRE3;ATF7IP2;TAPBPL;KIAA0040;SERPING1;IFI30;SRM;SUSD1;TRANK1;FCMR;FAXDC2;SYTL1;CSRP2;LAMA3;RAB29;GBP1;PRKX;MCTP1;EHD3;SLCO3A1;CASP12;ATP8A1;SERPINB9;LPAR5;DHX58;XCR1;HLA-DOA,medium_primary_transfer_readiness,1.8230817809718274e-05,0.6348239488931808,ABCC3;ACOD1;ADA2;ADCY7;ADGRE3;ADGRF1;ADGRG6;ALOX5;ANKRD22;ANXA3;APOBEC3Z3;APOBR;ARHGAP30;ARHGDIB;ARRB1;ASAH1;ATF7IP2;ATP8A1;B2M;BATF2;BLNK;BTK;C3AR1;CAPG;CARD9;CASP12;CASP8;CBLN3;CBX7;CCR2;CD244;CD48;CD74;CD80;CD86;CD8B;CLEC12A;CSF1R;CSF2RB;CSRP2;CTSH;CYP4V2;CYSLTR2;CYTH4;DAPP1;DENND1C;DHX58;DLA-79;DLA-DMB;DLA-DOA;DLA-DRA;DNASE1L3;DOCK2;DOCK8;DOK2;DRAM1;DTX3L;EGR1;EHD3;ENPP3;ENPP5;EPAS1;EPHB3;EVI2A;EVI2B;F5;FAM107A;FAXDC2;FCER1G;FCMR;FERMT3;FGL2;FGR;FMO5;FYB1;GAB2;GBP1;GBP6;GIMAP6;GLIPR1;GLIPR2;GLUL;GMFG;GPR183;GPR34;GPSM3;GSAP;GYPC;HACD4;HAVCR1;HCLS1;HLA-DRB1;HNMT;IFI30;IFI35;IFI44L;IFI44;IFIT2;IFIT3;IGSF6;IL18;IL1RN;IL34;INPP5D;IRF5;ITGAX;JAML;JCHAIN;KBTBD12;KCNQ1;KIAA0040;LAMA3;LAPTM5;LCP1;LGALS9;LIPA;LMO2;LOC102157159;LOC106557828;LOC106559420;LOC111091730;LOC111097086;LOC119874749;LOC119875957;LOC119876150;LOC119877400;LOC119877532;LOC119877926;LOC119878234;LOC119879410;LOC476816;LOC477699;LOC484897;LOC488622;LOC612325;LPAR5;LPXN;LY96;MARCHF1;MCTP1;MEST;MILR1;MOSPD2;MS4A7;MYO1G;NCF4;NCKAP1L;NFAM1;OAS1;OAS2;OSBPL3;P2RX7;PAG1;PAPPA;PARP12;PARP14;PARP15;PARP4;PARP9;PARVG;PID1;PIK3AP1;PIK3CG;PIK3IP1;PLD4;PRDM1;PRKAR2B;PRKX;PSMB8;PTAFR;PTK2B;PTPN6;PTPRC;PTPRJ;PTPRO;PYCARD;RAB29;RASSF5;RENBP;RETSAT;RGS18;RNASEL;RNF213;RTP4;SAMD9L;SAMSN1;SASH3;SCTR;SELENOP;SELPLG;SERPINB8;SERPINB9;SERPING1;SH3TC1;SIRPB2;SLC43A2;SLC6A6;SLC8A1;SLCO2B1;SLCO3A1;SP100;SPN;SQOR;SRM;STING1;SUSD1;SYK;SYTL1;TAGAP;TAPBPL;TASL;TBC1D9;TDRD7;TIMD4;TLR1;TLR3;TLR7;TLR8;TMEM123;TMEM140;TMEM144;TMEM86A;TNFAIP8L2;TNFAIP8;TNFRSF14;TNFSF8;TRANK1;TRIM14;TRIM22;TRIM34;TYROBP;UBA7;UPP1;VAV1;VWA5A;XCR1;ZBP1;ZMAT1,0.0001040208204505,0.6349244423123052,ABCC3;ACOD1;ADA2;ADCY7;ADGRE3;ADGRF1;ADGRG6;ALOX5;ANKRD22;ANXA3;APOBEC3Z3;APOBR;ARHGAP30;ARHGDIB;ARRB1;ASAH1;ATF7IP2;ATP8A1;B2M;BATF2;BLNK;BTK;C3AR1;CAPG;CARD9;CASP12;CASP8;CBLN3;CBX7;CCR2;CD244;CD48;CD74;CD80;CD86;CD8B;CLEC12A;CSF1R;CSF2RB;CSRP2;CTSH;CYP4V2;CYSLTR2;CYTH4;DAPP1;DENND1C;DHX58;DLA-79;DLA-DMB;DLA-DOA;DLA-DRA;DNASE1L3;DOCK2;DOCK8;DOK2;DRAM1;DTX3L;EGR1;EHD3;ENPP3;ENPP5;EPAS1;EPHB3;EVI2A;EVI2B;F5;FAM107A;FAXDC2;FCER1G;FCMR;FERMT3;FGL2;FGR;FMO5;FYB1;GAB2;GBP1;GBP6;GIMAP6;GLIPR1;GLIPR2;GLUL;GMFG;GPR183;GPR34;GPSM3;GSAP;GYPC;HACD4;HAVCR1;HCLS1;HLA-DRB1;HNMT;IFI30;IFI35;IFI44L;IFI44;IFIT2;IFIT3;IGSF6;IL18;IL1RN;IL34;INPP5D;IRF5;ITGAX;JAML;JCHAIN;KBTBD12;KCNQ1;KIAA0040;LAMA3;LAPTM5;LCP1;LGALS9;LIPA;LMO2;LOC102157159;LOC106557828;LOC106559420;LOC111091730;LOC111097086;LOC119874749;LOC119875957;LOC119876150;LOC119877400;LOC119877532;LOC119877926;LOC119878234;LOC119879410;LOC476816;LOC477699;LOC484897;LOC488622;LOC612325;LPAR5;LPXN;LY96;MARCHF1;MCTP1;MEST;MILR1;MOSPD2;MS4A7;MYO1G;NCF4;NCKAP1L;NFAM1;OAS1;OAS2;OSBPL3;P2RX7;PAG1;PAPPA;PARP12;PARP14;PARP15;PARP4;PARP9;PARVG;PID1;PIK3AP1;PIK3CG;PIK3IP1;PLD4;PRDM1;PRKAR2B;PRKX;PSMB8;PTAFR;PTK2B;PTPN6;PTPRC;PTPRJ;PTPRO;PYCARD;RAB29;RASSF5;RENBP;RETSAT;RGS18;RNASEL;RNF213;RTP4;SAMD9L;SAMSN1;SASH3;SCTR;SELENOP;SELPLG;SERPINB8;SERPINB9;SERPING1;SH3TC1;SIRPB2;SLC43A2;SLC6A6;SLC8A1;SLCO2B1;SLCO3A1;SP100;SPN;SQOR;SRM;STING1;SUSD1;SYK;SYTL1;TAGAP;TAPBPL;TASL;TBC1D9;TDRD7;TIMD4;TLR1;TLR3;TLR7;TLR8;TMEM123;TMEM140;TMEM144;TMEM86A;TNFAIP8L2;TNFAIP8;TNFRSF14;TNFSF8;TRANK1;TRIM14;TRIM22;TRIM34;TYROBP;UBA7;UPP1;VAV1;VWA5A;XCR1;ZBP1;ZMAT1,8.0
full_cohort,M27,,,8,4,5,6,2,0.5,0.625,0.75,2,CA14;LEPR;HK2;DLG2,TTC19;CA14;LEPR;HK2;ZNF608;DLG2,high_sensitivity_transfer_readiness,3.640847642739951e-05,0.6167731392066558,ADORA2B;CA14;DLG2;HK2;LEPR;LOC119878351;PPA1;ZNF608,0.0003954035117097,0.5999040537299113,ADORA2B;CA14;DLG2;HK2;LEPR;LOC119878351;PPA1;ZNF608,5.0
full_cohort,M30,,,7,3,3,7,4,0.42857142857142855,0.42857142857142855,1.0,1,PTEN;RNLS;ATAD1,PAPSS2;PTEN;MINPP1;SGMS1;FAS;RNLS;ATAD1,high_sensitivity_transfer_readiness,3.407811829624717e-05,0.5768087951270242,ATAD1;FAS;MINPP1;PAPSS2;PTEN;RNLS;SGMS1,5.698782529143232e-05,0.5980650835532102,ATAD1;FAS;MINPP1;PAPSS2;PTEN;RNLS;SGMS1,5.0
full_cohort,M17,,,5,2,2,3,1,0.4,0.4,0.6,1,P4HA1;CIRBP,DDIT4;P4HA1;CIRBP,medium_sensitivity_transfer_readiness,0.0001546958588125,0.5990194621898678,ANKRD37;CIRBP;DDIT4;HILPDA;P4HA1,9.636421703937366e-05,0.6148556808187415,ANKRD37;CIRBP;DDIT4;HILPDA;P4HA1,5.0
full_cohort,M25,,,6,4,4,4,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,STK39;SERTM1;KCTD12;ENC1,STK39;SERTM1;KCTD12;ENC1,medium_sensitivity_transfer_readiness,1.4739471228528751e-05,0.626578517307978,ENC1;KCTD12;LOC106559497;SERTM1;STK39;WNT5B,0.0004782701902201,0.6036619493083873,ENC1;KCTD12;LOC106559497;SERTM1;STK39;WNT5B,3.0
