analysis,module_label,gene,gene_symbol_clean,endpoint,fold
full_cohort,M11,ADAMTS4_3,ADAMTS4,,
full_cohort,M34,CYP4V2_3,CYP4V2,,
full_cohort,M17,DDIT4_3,DDIT4,,
full_cohort,M40,GPRC5C_3,GPRC5C,,
full_cohort,M40,DSCC1_3,DSCC1,,
full_cohort,M38,ACSS3_3,ACSS3,,
full_cohort,M40,CENPV_3,CENPV,,
full_cohort,M40,ELOVL4_3,ELOVL4,,
full_cohort,M30,PAPSS2_3,PAPSS2,,
full_cohort,M27,ADORA2B_3,ADORA2B,,
full_cohort,M27,CA14_3,CA14,,
full_cohort,M34,FGL2_3,FGL2,,
full_cohort,M34,FAM107A_3,FAM107A,,
full_cohort,M34,APOBEC3Z3_4,APOBEC3Z3,,
full_cohort,M40,MEX3A_3,MEX3A,,
full_cohort,M40,NIBAN1_3,NIBAN1,,
full_cohort,M40,PTTG1_3,PTTG1,,
full_cohort,M34,ALOX5_3,ALOX5,,
full_cohort,M40,CSRP1_3,CSRP1,,
full_cohort,M34,RETSAT_3,RETSAT,,
full_cohort,M40,PHGDH_2,PHGDH,,
full_cohort,M34,BTK_3,BTK,,
full_cohort,M34,LY96_3,LY96,,
full_cohort,M24,GABRA2_3,GABRA2,,
full_cohort,M40,TRIP13_3,TRIP13,,
full_cohort,M39,PRRT4_3,PRRT4,,
full_cohort,M34,RENBP_3,RENBP,,
full_cohort,M40,MCM10_3,MCM10,,
full_cohort,M40,HSP70_3,HSP70,,
full_cohort,M28,SUGCT_3,SUGCT,,
full_cohort,M34,CD8B_3,CD8B,,
full_cohort,M24,HHIP_3,HHIP,,
full_cohort,M30,PTEN_3,PTEN,,
full_cohort,M34,BLNK_3,BLNK,,
full_cohort,M24,OSR2_3,OSR2,,
full_cohort,M40,EPHA2_3,EPHA2,,
full_cohort,M34,TDRD7_3,TDRD7,,
full_cohort,M34,EGR1_3,EGR1,,
full_cohort,M40,MYOF_3,MYOF,,
full_cohort,M34,FMO5_3,FMO5,,
full_cohort,M34,CBX7_3,CBX7,,
full_cohort,M40,TSPAN33_3,TSPAN33,,
full_cohort,M34,TLR3_3,TLR3,,
full_cohort,M34,LOC476816_3,LOC476816,,
full_cohort,M34,ADGRF1_3,ADGRF1,,
full_cohort,M40,RCOR2_3,RCOR2,,
full_cohort,M34,LOC111097086_3,LOC111097086,,
full_cohort,M40,POLE2_3,POLE2,,
full_cohort,M34,TLR7_3,TLR7,,
full_cohort,M34,HACD4_3,HACD4,,
full_cohort,M40,CENPW_3,CENPW,,
full_cohort,M40,LOC100855995_3,LOC100855995,,
full_cohort,M40,ST6GALNAC3_3,ST6GALNAC3,,
full_cohort,M30,MINPP1_3,MINPP1,,
full_cohort,M34,SAMD9L_3,SAMD9L,,
