analysis,module_label,endpoint,fold,n_module_genes,n_strict_symbol_concordant,n_strict_one_to_one,n_broad_transferable,n_manual_review,fraction_strict_symbol_concordant,fraction_strict_one_to_one,fraction_broad_transferable,n_high_or_medium_rna_evidence,strict_human_symbols,broad_human_symbols,module_transfer_qc_tier
full_cohort,M24,,,7,7,7,7,0,1.0,1.0,1.0,1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,high_primary_transfer_readiness
full_cohort,M39,,,5,5,5,5,0,1.0,1.0,1.0,1,PRRT4;SPSB4;FAM81A;CLCN5;PGAP1,PRRT4;SPSB4;FAM81A;CLCN5;PGAP1,high_primary_transfer_readiness
full_cohort,M11,,,8,7,7,8,1,0.875,0.875,1.0,1,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,ADAMTS4;ANGPT2;MCAM;DRD1;TSPAN15;STC1;ADAMTS1;IGFBP3,high_primary_transfer_readiness
full_cohort,M40,,,144,111,111,121,10,0.7708333333333334,0.7708333333333334,0.8402777777777778,12,GPRC5C;DSCC1;ELOVL4;MEX3A;NIBAN1;TRIP13;EPHA2;MYOF;TSPAN33;RCOR2;POLE2;ST6GALNAC3;UBE2S;SCML2;MYBL2;SPC25;TONSL;ATAD2;HSPH1;NSMCE2;FAM131C;NDUFB9;DNPH1;FANCA;RECQL4;FANCM;ECT2;LHX2;MIS18A;DLGAP5;FANCD2;CDCA8;BUB1;FAM180A;PLK4;SMO;DSN1;ORC6;SULT1C4;UHRF1;SKA3;GTSE1;CCNA2;ITGBL1;RAB30;DEPDC1;CDC6;UBE2T;SLC13A5;CCNB3;POLQ;MAP1LC3C;KIF18B;KIF4A;SH3D19;CEP72;CDCA2;CXCL14;LGR4;SFRP4;MXRA5;GAREM2;BARX1;TRIB3;SIM2;ESPL1;GAS6;CRYBG1;CALHM5;IFITM5;LIMS2;DNA2;STUM;RELN;DNAJB1;EXO1;MSI1;E2F1;MCM5;CENPK;POLE;E2F7;FAM83D;MCM2;SIVA1;TYMS;REXO5;E2F8;HELLS;RRM2;ORC1;KIF22;NCAPG;TOP2A;KIF15;FN1;MTFR2;CDC20;ST8SIA5;ARL4D;CENPT;SPAG5;NMRAL1;HSP90AA1;CLTCL1;CENPI;TK1;KIF23;C1S;CLSPN;MACROH2A2,GPRC5C;DSCC1;ELOVL4;MEX3A;NIBAN1;CSRP1;TRIP13;EPHA2;MYOF;TSPAN33;RCOR2;POLE2;CENPW;ST6GALNAC3;UBE2S;SCML2;MYBL2;SPC25;TONSL;ATAD2;HSPH1;NSMCE2;FAM131C;NDUFB9;DNPH1;FANCA;RECQL4;FANCM;ECT2;LHX2;MIS18A;DLGAP5;FANCD2;CDCA8;BUB1;FAM180A;PLK4;SMO;DSN1;ORC6;SULT1C4;UHRF1;CDT1;SKA3;GTSE1;CCNA2;ITGBL1;RAB30;DEPDC1;CDC6;UBE2T;SLC13A5;CCNB3;NCAPH;POLQ;MAP1LC3C;KIF18B;KIF4A;SH3D19;CEP72;CDCA2;CXCL14;LGR4;SFRP4;MXRA5;GAREM2;BARX1;TRIB3;SIM2;ESPL1;GAS6;CRYBG1;CALHM5;IFITM5;LIMS2;DNA2;STUM;SLC5A6;RELN;DNAJB1;EXO1;MSI1;E2F1;MCM5;SERF1A;MCM4;SHCBP1;CENPK;POLE;E2F7;FAM83D;MCM2;STMN1;SIVA1;TYMS;REXO5;E2F8;HELLS;RRM2;ORC1;KIF22;NCAPG;TOP2A;KIF15;FN1;MTFR2;CDC20;ST8SIA5;ARL4D;CENPT;SPAG5;NMRAL1;HSP90AA1;CLTCL1;CENPI;TK1;CCNB2;KIF23;C1S;CLSPN;MACROH2A2,high_primary_transfer_readiness
full_cohort,M38,,,8,6,6,7,1,0.75,0.75,0.875,1,ACSS3;MTURN;JAZF1;MAOB;TMCC3;STON1,ACSS3;MTURN;JAZF1;LDLRAD4;MAOB;TMCC3;STON1,high_primary_transfer_readiness
full_cohort,M27,,,8,4,5,6,2,0.5,0.625,0.75,2,CA14;LEPR;HK2;DLG2,TTC19;CA14;LEPR;HK2;ZNF608;DLG2,high_sensitivity_transfer_readiness
full_cohort,M20,,,4,2,2,3,1,0.5,0.5,0.75,0,VGLL2;RRAD,VGLL2;SMTNL2;RRAD,high_sensitivity_transfer_readiness
full_cohort,M30,,,7,3,3,7,4,0.42857142857142855,0.42857142857142855,1.0,1,PTEN;RNLS;ATAD1,PAPSS2;PTEN;MINPP1;SGMS1;FAS;RNLS;ATAD1,high_sensitivity_transfer_readiness
full_cohort,M23,,,4,2,2,2,0,0.5,0.5,0.5,0,RBM44;SYCE2,RBM44;SYCE2,low_transfer_readiness
full_cohort,M34,,,238,162,166,194,32,0.680672268907563,0.6974789915966386,0.8151260504201681,9,CYP4V2;FAM107A;ALOX5;RETSAT;BTK;LY96;BLNK;EGR1;CBX7;TLR3;ADGRF1;TLR7;HACD4;SAMD9L;BATF2;ACOD1;PARP15;GPSM3;RGS18;IL34;CARD9;INPP5D;TMEM140;PRKAR2B;RASSF5;SLC6A6;TRIM14;PAG1;PAPPA;OSBPL3;CD86;F5;OAS1;PID1;ZMAT1;ENPP5;MOSPD2;TNFAIP8L2;TBC1D9;PIK3IP1;CSF1R;EPAS1;CTSH;PYCARD;ADGRG6;TAGAP;GPR183;TMEM86A;ABCC3;GSAP;SCTR;NCKAP1L;DENND1C;PTPN6;CBLN3;PIK3AP1;PRDM1;B2M;HNMT;VWA5A;PARP12;CYTH4;GMFG;ARRB1;LAPTM5;RNASEL;NCF4;PARP9;ANXA3;PTK2B;PTPRC;DTX3L;ANKRD22;PTPRJ;EVI2A;ARHGDIB;IFI35;CD244;JAML;SYK;GAB2;PIK3CG;FERMT3;DOCK2;DRAM1;MYO1G;PTAFR;DAPP1;VAV1;PTPRO;PARVG;CASP8;TNFSF8;IRF5;CLEC12A;GIMAP6;CSF2RB;NFAM1;MARCHF1;RNF213;LCP1;SP100;SLC8A1;IL18;TMEM144;DOK2;MILR1;SERPINB8;FGR;ARHGAP30;SLC43A2;SASH3;CD80;SIRPB2;HCLS1;TRIM22;CD74;SAMSN1;PARP14;MS4A7;C3AR1;ADCY7;FYB1;SLCO2B1;OAS2;TLR1;DNASE1L3;TLR8;FCER1G;TNFAIP8;KCNQ1;IL1RN;SH3TC1;CCR2;KBTBD12;JCHAIN;TMEM123;GLUL;CYSLTR2;EPHB3;CAPG;ADGRE3;ATF7IP2;TAPBPL;KIAA0040;SERPING1;IFI30;SRM;SUSD1;TRANK1;FAXDC2;SYTL1;LAMA3;RAB29;GBP1;MCTP1;EHD3;SLCO3A1;ATP8A1;SERPINB9;LPAR5;DHX58,CYP4V2;FAM107A;APOBEC3H;ALOX5;RETSAT;BTK;LY96;BLNK;TDRD7;EGR1;FMO5;CBX7;TLR3;ADGRF1;TLR7;HACD4;SAMD9L;BATF2;ACOD1;PARP15;GPSM3;ASAH1;RGS18;SELENOP;IL34;CARD9;INPP5D;TMEM140;PRKAR2B;RASSF5;SLC6A6;TRIM14;PAG1;PAPPA;OSBPL3;CD86;F5;UPP1;OAS1;PID1;ZMAT1;ENPP5;MOSPD2;TNFAIP8L2;TBC1D9;P2RX7;PIK3IP1;CSF1R;EPAS1;IFIT3;CTSH;PYCARD;ADGRG6;SELPLG;TAGAP;GPR183;TMEM86A;ABCC3;GSAP;SCTR;LMO2;NCKAP1L;DENND1C;PTPN6;CBLN3;PIK3AP1;PRDM1;B2M;PARP4;HNMT;VWA5A;PARP12;CYTH4;GMFG;ARRB1;LAPTM5;RNASEL;NCF4;TNFRSF14;PARP9;ANXA3;PTK2B;PTPRC;DTX3L;ANKRD22;PTPRJ;TYROBP;EVI2A;ARHGDIB;IFI35;CD244;JAML;SYK;GAB2;PIK3CG;FERMT3;DOCK2;DRAM1;MYO1G;PTAFR;DAPP1;VAV1;PTPRO;PARVG;CASP8;TNFSF8;IRF5;CLEC12A;GIMAP6;CSF2RB;NFAM1;MARCHF1;RNF213;LCP1;SP100;SLC8A1;IL18;TAP1;TMEM144;DOK2;MILR1;SERPINB8;HLA-DRA;FGR;ZBP1;ARHGAP30;SLC43A2;SASH3;CD80;SIRPB2;HCLS1;TRIM22;CD74;IGSF6;SAMSN1;PARP14;MS4A7;C3AR1;HLA-DMB;ADCY7;FYB1;IFI44;SLCO2B1;TIMD4;OAS2;TLR1;DNASE1L3;TLR8;LIPA;RTP4;FCER1G;TNFAIP8;KCNQ1;CD48;IL1RN;GYPC;SH3TC1;EVI2B;CCR2;KBTBD12;JCHAIN;TMEM123;GLUL;CYSLTR2;GLIPR1;EPHB3;CAPG;ADGRE3;ATF7IP2;TAPBPL;KIAA0040;SERPING1;IFI30;SRM;SUSD1;TRANK1;FCMR;FAXDC2;SYTL1;CSRP2;LAMA3;RAB29;GBP1;PRKX;MCTP1;EHD3;SLCO3A1;CASP12;ATP8A1;SERPINB9;LPAR5;DHX58;XCR1;HLA-DOA,medium_primary_transfer_readiness
full_cohort,M25,,,6,4,4,4,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,STK39;SERTM1;KCTD12;ENC1,STK39;SERTM1;KCTD12;ENC1,medium_sensitivity_transfer_readiness
full_cohort,M28,,,13,6,6,8,2,0.46153846153846156,0.46153846153846156,0.6153846153846154,0,SUGCT;TTC39B;MPIG6B;ATP8B4;ZBED2;SCRN2,SUGCT;TTC39B;MPIG6B;LURAP1L;ATP8B4;ZBED2;STX3;SCRN2,medium_sensitivity_transfer_readiness
full_cohort,M17,,,5,2,2,3,1,0.4,0.4,0.6,1,P4HA1;CIRBP,DDIT4;P4HA1;CIRBP,medium_sensitivity_transfer_readiness
nested_cv,M14,DFI,5.0,4,4,4,4,0,1.0,1.0,1.0,1,ADAMTS4;SLC6A11;DRD1;MCAM,ADAMTS4;SLC6A11;DRD1;MCAM,high_primary_transfer_readiness
nested_cv,M4,DFI,2.0,7,7,7,7,0,1.0,1.0,1.0,1,ADAMTS4;STC1;ADAMTS1;NR2F1;IGFBP5;ANGPT2;IGFBP3,ADAMTS4;STC1;ADAMTS1;NR2F1;IGFBP5;ANGPT2;IGFBP3,high_primary_transfer_readiness
nested_cv,M5,DFI,2.0,4,4,4,4,0,1.0,1.0,1.0,1,STON1;GADD45GIP1;H2AX;ABHD2,STON1;GADD45GIP1;H2AX;ABHD2,high_primary_transfer_readiness
