endpoint,gene,gene_symbol_clean,human_gene_symbol,candidate_transfer_set,rna_evidence_tier,rna_evidence_priority_score,expression_column_used,gene_proliferation_correlation,gene_only_coef,gene_only_hr,gene_only_p,gene_only_c_index,gene_plus_proliferation_coef,gene_plus_proliferation_hr,gene_plus_proliferation_p,gene_plus_proliferation_c_index,gene_plus_proliferation_proliferation_p,gene_plus_proliferation_weight_coef,gene_plus_proliferation_weight_hr,gene_plus_proliferation_weight_p,gene_plus_proliferation_weight_c_index,gene_plus_proliferation_weight_proliferation_p,gene_plus_proliferation_weight_weight_p,abs_coef_ratio_after_proliferation_adjustment,retains_nominal_p05_after_proliferation,gene_only_error,gene_plus_proliferation_error,gene_plus_proliferation_weight_error,gene_only_q,gene_plus_proliferation_q,gene_plus_proliferation_weight_q
DFI,ADAMTS4_3,ADAMTS4,ADAMTS4,strict_primary,high_rna_evidence,17.0,ADAMTS4_3,0.08685417312249949,0.30976377848240544,1.3631030818195693,9.563685356632636e-05,0.5898826325954538,0.2988838218708719,1.3483529652480504,0.00028430727208277935,0.617144555043827,0.0008708409459240267,0.28498216546114746,1.3297383126403965,0.000694590847811347,0.6410140675543519,0.002632486366705056,0.016521931416709584,0.964876601567696,True,,,,0.00027585880064182804,0.0024639963580507544,0.004514840510773756
OS,ADAMTS4_3,ADAMTS4,ADAMTS4,strict_primary,high_rna_evidence,17.0,ADAMTS4_3,0.08685417312249949,0.27447180822256456,1.3158354778052637,0.001647499202479646,0.5817542176381226,0.2549691603799319,1.290421824140451,0.004412525589631552,0.6125369792915967,0.018966383598263924,0.24613086503382925,1.2790669477291694,0.006616995455715211,0.6171678690119153,0.0307859360865257,0.3711383934008867,0.9289448050459947,True,,,,0.0026274593568082327,0.012747296147824485,0.017204188184859547
DFI,CYP4V2_3,CYP4V2,CYP4V2,strict_primary,high_rna_evidence,14.0,CYP4V2_3,-0.4548865568738613,-0.40330812271891764,0.6681062089038181,3.144373615427993e-07,0.6601545089882632,-0.33862311466225475,0.7127510238854265,0.00016628903372882607,0.6644629326994503,0.1461354762218668,-0.317247726987219,0.7281503502885315,0.0005055991120317242,0.6696757692018356,0.2101526903315105,0.029015387669036687,0.8396139219299965,True,,,,8.175371400112783e-06,0.002161757438474739,0.00438185897094161
OS,CYP4V2_3,CYP4V2,CYP4V2,strict_primary,high_rna_evidence,14.0,CYP4V2_3,-0.4548865568738613,-0.4033810805443713,0.6680574671057138,3.1688732540727394e-06,0.6646677860398177,-0.37243090174556315,0.6890572625669935,0.0001453945942849969,0.6653873830654833,0.5047732869733144,-0.37016501633712334,0.6906203575921533,0.0002103575029940183,0.6665315716949015,0.5682123463743038,0.5859424425200332,0.923273102553446,True,,,,8.239070460589123e-05,0.0033145323037327163,0.002927069836243957
DFI,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,-0.01605772723613062,-0.28387504816169246,0.752860710158972,0.0009309356008990462,0.581042935670777,-0.2887184201486542,0.749223141844455,0.0005999112274690135,0.6315554895260734,0.00023133235421919852,-0.3188401547465909,0.7269917461992275,0.00018629426763949763,0.6560595802301964,0.0008257802005914535,0.0016727022465677596,1.0170616333430016,True,,,,0.001368257199930529,0.003899422978548588,0.0033779297184053656
OS,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,-0.01605772723613062,-0.2568930102213219,0.773450960685935,0.00502143561902809,0.5814343967378268,-0.2678283268188548,0.7650391065271328,0.0032470752035862627,0.619732949548253,0.00474346052259194,-0.27824761057207414,0.7571093300285254,0.0022961709024420917,0.6290832455216017,0.00915155379462746,0.17133339998848723,1.042567591029868,True,,,,0.006871438215512124,0.010552994411655353,0.008528634780499198
DFI,GPRC5C_3,GPRC5C,GPRC5C,strict_primary,high_rna_evidence,10.0,GPRC5C_3,0.18268370447899504,0.27350082132903936,1.314558438896635,0.0009472549845672893,0.5895854999257168,0.21652368013469508,1.2417524898718943,0.009469261042126687,0.6255385529638984,0.0031764684797505314,0.23271779539648985,1.2620252797253568,0.005277820172925785,0.648160686075378,0.009275132000052404,0.004793704220879288,0.7916746980229465,True,,,,0.001368257199930529,0.015168806081452275,0.016323883955846066
OS,GPRC5C_3,GPRC5C,GPRC5C,strict_primary,high_rna_evidence,10.0,GPRC5C_3,0.18268370447899504,0.3556744318590851,1.4271428403795463,0.00011750688352476054,0.6238906212520988,0.3141353160912961,1.3690749818889956,0.0009049773566300646,0.6429199648197009,0.06838090913363212,0.3315321358109496,1.393100913986612,0.0004979827716329316,0.6500770041339061,0.11161765792675533,0.2051793010807474,0.8832102843303439,True,,,,0.0006234045274662193,0.0049578915303666845,0.0043158506874854076
DFI,DSCC1_3,DSCC1,DSCC1,strict_primary,high_rna_evidence,10.0,DSCC1_3,0.6944130844723984,0.3460230054278186,1.4134351321235583,2.2471320493326843e-05,0.6195216164017233,0.25775898773595446,1.2940269046841715,0.015619144217040843,0.6181845193879068,0.19050696115271093,0.2810510735527259,1.324521250213684,0.006988113731207886,0.6345444971037388,0.3340601719073035,0.002696311918762361,0.7449186432481979,True,,,,0.00011685086656529957,0.02137356577068747,0.017048911360343116
OS,DSCC1_3,DSCC1,DSCC1,strict_primary,high_rna_evidence,10.0,DSCC1_3,0.6944130844723984,0.31298781765569955,1.3675048715109521,0.0006659566064395727,0.60997841208923,0.255563633906465,1.2911891738148982,0.029850448476495702,0.6091788598384904,0.427224977154146,0.2669094273713642,1.3059221601711506,0.022786957575493618,0.6089811137229473,0.5601425460298192,0.1644028802236015,0.8165290132397304,True,,,,0.0018428274101523067,0.04084798212573096,0.03438897175712946
