endpoint,gene,gene_symbol_clean,human_gene_symbol,candidate_transfer_set,rna_evidence_tier,rna_evidence_priority_score,expression_column_used,score_type,score_column,gene_proliferation_correlation_raw,score_proliferation_correlation_after_residualization,n,events,coef,hr,p,se,c_index,error,gene_proliferation_correlation,gene_only_p,gene_plus_proliferation_p,gene_plus_proliferation_q,gene_plus_proliferation_c_index,abs_coef_ratio_after_proliferation_adjustment,q
DFI,ADAMTS4_3,ADAMTS4,ADAMTS4,strict_primary,high_rna_evidence,17.0,ADAMTS4_3,original,candidate_0__original,0.0868541731224995,0.08685417312249948,186,143,0.30976377848240544,1.3631030818195693,9.563685356632613e-05,0.07939805055171274,0.5898826325954538,,0.0868541731224994,9.563685356632636e-05,0.0002843072720827,0.0024639963580507,0.617144555043827,0.964876601567696,0.00027585880064182847
DFI,ADAMTS4_3,ADAMTS4,ADAMTS4,strict_primary,high_rna_evidence,17.0,ADAMTS4_3,residual_after_proliferation,candidate_0__residual_after_proliferation,0.0868541731224995,2.4004822154057432e-18,186,143,0.2871408622615481,1.3326119149834466,0.00027887859049058664,0.07901143382119936,0.5840885455355816,,0.0868541731224994,9.563685356632636e-05,0.0002843072720827,0.0024639963580507,0.617144555043827,0.964876601567696,0.002416947784251751
DFI,ADAMTS4_3,ADAMTS4,ADAMTS4,strict_primary,high_rna_evidence,17.0,ADAMTS4_3,residual_after_proliferation_and_weight,candidate_0__residual_after_proliferation_and_weight,0.0868541731224995,-1.2043933881172438e-16,185,142,0.26780261375383957,1.307089113136856,0.0006742372978476727,0.07876903436101032,0.5748138117806364,,0.0868541731224994,9.563685356632636e-05,0.0002843072720827,0.0024639963580507,0.617144555043827,0.964876601567696,0.00584338991467983
OS,ADAMTS4_3,ADAMTS4,ADAMTS4,strict_primary,high_rna_evidence,17.0,ADAMTS4_3,original,candidate_0__original,0.0868541731224995,0.08685417312249948,186,124,0.2744718082225645,1.3158354778052634,0.001647499202479646,0.08720689381699638,0.5817542176381226,,0.0868541731224994,0.0016474992024796,0.0044125255896315,0.0127472961478244,0.6125369792915967,0.9289448050459947,0.002627459356808231
OS,ADAMTS4_3,ADAMTS4,ADAMTS4,strict_primary,high_rna_evidence,17.0,ADAMTS4_3,residual_after_proliferation,candidate_0__residual_after_proliferation,0.0868541731224995,2.4004822154057432e-18,186,124,0.2565428270679188,1.2924541166346493,0.003208959028106498,0.08705284401833048,0.5766370832333892,,0.0868541731224994,0.0016474992024796,0.0044125255896315,0.0127472961478244,0.6125369792915967,0.9289448050459947,0.012063912225839843
OS,ADAMTS4_3,ADAMTS4,ADAMTS4,strict_primary,high_rna_evidence,17.0,ADAMTS4_3,residual_after_proliferation_and_weight,candidate_0__residual_after_proliferation_and_weight,0.0868541731224995,-1.2043933881172438e-16,185,123,0.24614842315226407,1.279089405935285,0.004744496490337017,0.0871664972037164,0.5726675853124746,,0.0868541731224994,0.0016474992024796,0.0044125255896315,0.0127472961478244,0.6125369792915967,0.9289448050459947,0.014322964253968022
DFI,CYP4V2_3,CYP4V2,CYP4V2,strict_primary,high_rna_evidence,14.0,CYP4V2_3,original,candidate_1__original,-0.45488655687386137,-0.45488655687386137,186,143,-0.40330812271891764,0.6681062089038181,3.144373615427993e-07,0.07885457007330181,0.6601545089882632,,-0.4548865568738613,3.144373615427993e-07,0.0001662890337288,0.0021617574384747,0.6644629326994503,0.8396139219299965,8.175371400112783e-06
DFI,CYP4V2_3,CYP4V2,CYP4V2,strict_primary,high_rna_evidence,14.0,CYP4V2_3,residual_after_proliferation,candidate_1__residual_after_proliferation,-0.45488655687386137,-5.2810608738926356e-17,186,143,-0.31694553788395435,0.7283704226399855,0.0001069996044545829,0.08181044367661755,0.6261328183033724,,-0.4548865568738613,3.144373615427993e-07,0.0001662890337288,0.0021617574384747,0.6644629326994503,0.8396139219299965,0.0015658864776330753
DFI,CYP4V2_3,CYP4V2,CYP4V2,strict_primary,high_rna_evidence,14.0,CYP4V2_3,residual_after_proliferation_and_weight,candidate_1__residual_after_proliferation_and_weight,-0.45488655687386137,-2.0715566275616593e-16,185,142,-0.27902062316008447,0.7565243011323958,0.000619955555385547,0.08151989745996269,0.6140073723012112,,-0.4548865568738613,3.144373615427993e-07,0.0001662890337288,0.0021617574384747,0.6644629326994503,0.8396139219299965,0.00584338991467983
OS,CYP4V2_3,CYP4V2,CYP4V2,strict_primary,high_rna_evidence,14.0,CYP4V2_3,original,candidate_1__original,-0.45488655687386137,-0.45488655687386137,186,124,-0.4033810805443713,0.6680574671057138,3.1688732540727394e-06,0.08657065343953341,0.6646677860398177,,-0.4548865568738613,3.1688732540727394e-06,0.0001453945942849,0.0033145323037327,0.6653873830654833,0.923273102553446,8.239070460589123e-05
OS,CYP4V2_3,CYP4V2,CYP4V2,strict_primary,high_rna_evidence,14.0,CYP4V2_3,residual_after_proliferation,candidate_1__residual_after_proliferation,-0.45488655687386137,-5.2810608738926356e-17,186,124,-0.3388788120469745,0.7125687986109187,0.00013855076173270483,0.08892727038318321,0.6348444870872312,,-0.4548865568738613,3.1688732540727394e-06,0.0001453945942849,0.0033145323037327,0.6653873830654833,0.923273102553446,0.0036023198050503255
OS,CYP4V2_3,CYP4V2,CYP4V2,strict_primary,high_rna_evidence,14.0,CYP4V2_3,residual_after_proliferation_and_weight,candidate_1__residual_after_proliferation_and_weight,-0.45488655687386137,-2.0715566275616593e-16,185,123,-0.32424251100675466,0.723074867501456,0.0002609429164495529,0.08880257495861447,0.6292453594877199,,-0.4548865568738613,3.1688732540727394e-06,0.0001453945942849,0.0033145323037327,0.6653873830654833,0.923273102553446,0.004540574397939208
DFI,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,original,candidate_2__original,-0.016057727236130612,-0.016057727236130612,186,143,-0.28387504816169246,0.752860710158972,0.0009309356008990462,0.08574710700364638,0.581042935670777,,-0.0160577272361306,0.000930935600899,0.000599911227469,0.0038994229785485,0.6315554895260734,1.0170616333430016,0.0013682571999305284
DFI,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,residual_after_proliferation,candidate_2__residual_after_proliferation,-0.016057727236130612,-2.0704159107874536e-17,186,143,-0.2782123055545804,0.7571360602585196,0.0011530400358487531,0.08559722831343783,0.5788887238151835,,-0.0160577272361306,0.000930935600899,0.000599911227469,0.0038994229785485,0.6315554895260734,1.0170616333430016,0.005148592933711141
DFI,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,residual_after_proliferation_and_weight,candidate_2__residual_after_proliferation_and_weight,-0.016057727236130612,-1.3474151029561668e-17,185,142,-0.28577390855545304,0.7514324891996805,0.000922631599691142,0.08625536428361541,0.5830136161889716,,-0.0160577272361306,0.000930935600899,0.000599911227469,0.0038994229785485,0.6315554895260734,1.0170616333430016,0.005997105397992424
OS,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,original,candidate_2__original,-0.016057727236130612,-0.016057727236130612,186,124,-0.2568930102213219,0.773450960685935,0.00502143561902809,0.0915625657200105,0.5814343967378268,,-0.0160577272361306,0.005021435619028,0.0032470752035862,0.0105529944116553,0.619732949548253,1.042567591029868,0.006871438215512124
