endpoint,variable,n,events,n_terms,min_p,best_term,c_index,error,is_transcriptomics_derived,q
DFI,age,186,143,1,0.7289584611654223,age,0.519759322537513,,False,0.8172840063503511
DFI,weight,185,143,1,0.0012727098811580646,weight,0.5722936884074324,,False,0.020882496950296852
DFI,gender,186,143,2,0.2401161071586292,gender_Intact Male,0.536064477789333,,False,0.392917266259575
DFI,PH,186,143,1,0.5778884318903905,PH_1,0.5139652354776407,,False,0.705283751745496
DFI,ALP,186,143,1,0.3154843634948923,ALP_Normal,0.5193136235329074,,False,0.4368245033006201
DFI,Group,186,143,3,0.1533688648869692,Group_NPHNALP,0.5299732580597236,,False,0.3067377297739384
DFI,Site,186,143,13,0.09116294646201568,Site_MU,0.583048581191502,,False,0.2724965262275068
DFI,treatment,186,143,1,0.5877364597879133,treatment_SOC,0.5062397860644778,,False,0.705283751745496
DFI,primary_immune_subtype,186,143,2,0.005555750282224101,primary_immune_subtype_IE-ECM,0.5852770762145297,,True,0.033334501693344606
OS,age,186,124,1,0.9196296889038926,age,0.5099544255217079,,False,0.9196296889038926
OS,weight,185,124,1,0.10597087131069709,weight,0.5434465429196725,,False,0.2724965262275068
OS,gender,186,124,2,0.291979981478523,gender_Intact Male,0.5123131046613896,,False,0.4368245033006201
OS,PH,186,124,1,0.21965731158727553,PH_1,0.5274646198129048,,False,0.392917266259575
OS,ALP,186,124,1,0.12877167882160592,ALP_Normal,0.5356600303829855,,False,0.28973627734861335
OS,Group,186,124,3,0.08548650438801662,Group_NPHNALP,0.5517310306228512,,False,0.2724965262275068
OS,Site,186,124,13,0.05872616295432692,Site_MU,0.5967058447269529,,False,0.2642677332944712
OS,treatment,186,124,1,0.7718793393308871,treatment_SOC,0.5140721196130167,,False,0.8172840063503511
OS,primary_immune_subtype,186,124,2,0.0023202774389218723,primary_immune_subtype_IE-ECM,0.6027424642200367,,True,0.020882496950296852
