endpoint,gene,gene_symbol_clean,coef,hr_per_sd,se(coef),z,p,exp(coef) lower 95%,exp(coef) upper 95%,c_index
DFI,CYP4V2_3,CYP4V2,-0.2703616814501765,0.7631034440584482,0.09096052580946272,-2.972296818253996,0.0029558077728891754,0.6384952543395651,0.9120300618932583,0.715346902391918
DFI,ADAMTS4_3,ADAMTS4,0.3454120810117005,1.4125718938042766,0.09003498294132817,3.8364207969783295,0.00012484043214116417,1.184057094609825,1.6851884628277314,0.715346902391918
DFI,PAPSS2_3,PAPSS2,-0.28715638663953125,0.7503943680069385,0.08409579539991986,-3.4146342902632787,0.0006386770108590073,0.6363661861941119,0.88485485205333,0.715346902391918
DFI,TMEM178A_3,TMEM178A,0.24470103816367875,1.2772394102810118,0.09660014165806965,2.5331333263447364,0.011304794513272522,1.0569297464243868,1.5434710932243534,0.715346902391918
DFI,LAG3_3,LAG3,-0.26780823751936733,0.7650544757812417,0.08987568157105626,-2.9797630775977653,0.002884714041541009,0.6414902226149378,0.9124197536900713,0.715346902391918
DFI,LOC102154334_3,LOC102154334,0.304812057737136,1.356370059791354,0.09322530778137773,3.2696277973353483,0.001076890800819585,1.1298600912864842,1.6282898681761844,0.715346902391918
DFI,PIANP_3,PIANP,-0.24393366543427658,0.7835396082986495,0.0930583568763054,-2.6212977922930336,0.00875957092741727,0.6529043139969674,0.9403128522989859,0.715346902391918
OS,CYP4V2_3,CYP4V2,-0.38231116345730937,0.6822827187221173,0.09033020958139351,-4.232373258392826,2.312382261958371e-05,0.571577543405267,0.8144296668716084,0.7008075477732469
OS,LOC119878294,LOC119878294,0.28617274130061915,1.3313224097550045,0.08792296609026852,3.254812184188737,0.0011346737677555593,1.1205805445366064,1.5816974222489473,0.7008075477732469
OS,DDIT4_3,DDIT4,0.3017810394535349,1.3522651015851972,0.08722321459296349,3.4598706417990734,0.0005404349440697889,1.1397702194857955,1.6043768065726454,0.7008075477732469
OS,LOC610632_3,LOC610632,-0.2815057885296892,0.7546465473686947,0.09263406079556286,-3.0389015240404236,0.002374424554110386,0.6293515902523604,0.9048859497234832,0.7008075477732469
OS,GABRA2_3,GABRA2,0.21962163843100158,1.2456053522218558,0.08357465707268155,2.6278497109477263,0.008592646913756375,1.0574055574224988,1.4673014366083952,0.7008075477732469
