endpoint,step,phase,gene,gene_symbol_clean,p,c_index,selected_before
DFI,1,forward,CYP4V2_3,CYP4V2,3.144373615427993e-07,0.6601545089882632,0
DFI,1,forward,FMO5_3,FMO5,4.6847883474561075e-06,0.6304412420145595,0
DFI,1,forward,MEX3A_3,MEX3A,5.051280347377916e-06,0.6169217055415243,0
DFI,1,forward,TRIP13_3,TRIP13,7.927804051068263e-06,0.6246471549546873,0
DFI,1,forward,APOBEC3Z3_4,APOBEC3Z3,8.575118734543234e-06,0.6372010102510771,0
DFI,1,forward,GPR34_3,GPR34,1.184428856093197e-05,0.6275441984846234,0
DFI,1,forward,DNA2_3,DNA2,1.2963609083845305e-05,0.6191502005645521,0
DFI,1,forward,CBX7_3,CBX7,1.2349181436986098e-05,0.6340068340514039,0
DFI,1,forward,LOC477699_3,LOC477699,1.2897208892638634e-05,0.6055563809240826,0
DFI,1,forward,ZMAT1_3,ZMAT1,1.4095928732409811e-05,0.6256499777150498,0
DFI,1,forward,STUM_3,STUM,2.0703475162445074e-05,0.6068934779378993,0
DFI,1,forward,DSCC1_3,DSCC1,2.2471320493326843e-05,0.6195216164017233,0
DFI,1,forward,PTTG1_3,PTTG1,2.311325485422002e-05,0.6103847868073095,0
DFI,1,forward,ATAD1_3,ATAD1,3.262199459916134e-05,0.5752488486109048,0
DFI,1,forward,TSPAN33_3,TSPAN33,3.217488751978486e-05,0.5896597830931511,0
DFI,1,forward,TLR3_3,TLR3,3.1631401279414187e-05,0.626281384638241,0
DFI,1,forward,LOC111097086_3,LOC111097086,3.697985624152438e-05,0.6083791412865844,0
DFI,1,forward,ADGRF1_3,ADGRF1,3.761935760967663e-05,0.6309983657703164,0
DFI,1,forward,LOC476816_3,LOC476816,4.369727302036978e-05,0.5979794978457882,0
DFI,1,forward,EVI2B_3,EVI2B,4.178114611053561e-05,0.6300698261773882,0
DFI,1,forward,RCOR2_3,RCOR2,4.431262297944407e-05,0.601099390878027,0
DFI,1,forward,NIBAN1_3,NIBAN1,4.80052087310788e-05,0.6189273510622493,0
DFI,1,forward,ALOX5_3,ALOX5,4.161832643870678e-05,0.6130589808349428,0
DFI,1,forward,POLE2_3,POLE2,4.862052273833873e-05,0.607116327440202,0
DFI,1,forward,CENPV_3,CENPV,5.0015353621679785e-05,0.6216015450898826,0
DFI,1,forward,ENPP5_3,ENPP5,5.810273268370525e-05,0.6227157926013965,0
DFI,1,forward,MCM10_3,MCM10,5.893312567797022e-05,0.6173674045461298,0
DFI,1,forward,KCTD12_3,KCTD12,6.135670299796794e-05,0.6140246620115882,0
DFI,1,forward,SUGCT_3,SUGCT,6.477109891560908e-05,0.6139503788441539,0
DFI,1,forward,LOC100855995_3,LOC100855995,7.816735182374661e-05,0.603922151240529,0
DFI,1,forward,PRRT4_3,PRRT4,8.284667717300875e-05,0.5993165948596049,0
DFI,1,forward,HACD4_3,HACD4,8.187536842240216e-05,0.6177388203833012,0
DFI,1,forward,HHIP_3,HHIP,0.00010736563838893167,0.5898826325954538,0
