module_label,validation_tier,multiplicity_family,provisional_program_label,program_label_requires_enrichment_confirmation,canine_primary_endpoint,canine_secondary_endpoint,positive_score_interpretation,n_canine_genes_used_for_pca,canine_pc1_explained_variance,canine_pca_orientation_correlation,dfi_full_cohort_coef,os_full_cohort_coef,risk_orientation_multiplier,n_strict_human_genes,n_broad_human_genes,strict_transfer_eligible,module_transfer_qc_tier,transfer_priority_score,fraction_strict_symbol_concordant,fraction_broad_transferable,raw_module_proliferation_correlation,orthogonal_variance_fraction_1_minus_r2,n_overlap_symbols_with_proliferation,primary_human_score,secondary_human_score,sensitivity_human_scores,frozen_after_canine_script,dfi_module_only_mean_c_index,dfi_module_only_std_c_index,dfi_module_only_fraction_above_0_50,dfi_module_plus_disjoint_proliferation_mean_c_index,dfi_module_plus_disjoint_proliferation_std_c_index,dfi_module_plus_disjoint_proliferation_fraction_above_0_50,dfi_residual_to_disjoint_proliferation_mean_c_index,dfi_residual_to_disjoint_proliferation_std_c_index,dfi_residual_to_disjoint_proliferation_fraction_above_0_50,dfi_residual_to_disjoint_proliferation_and_weight_mean_c_index,dfi_residual_to_disjoint_proliferation_and_weight_std_c_index,dfi_residual_to_disjoint_proliferation_and_weight_fraction_above_0_50,os_module_only_mean_c_index,os_module_only_std_c_index,os_module_only_fraction_above_0_50,os_module_plus_disjoint_proliferation_mean_c_index,os_module_plus_disjoint_proliferation_std_c_index,os_module_plus_disjoint_proliferation_fraction_above_0_50,os_residual_to_disjoint_proliferation_mean_c_index,os_residual_to_disjoint_proliferation_std_c_index,os_residual_to_disjoint_proliferation_fraction_above_0_50,os_residual_to_disjoint_proliferation_and_weight_mean_c_index,os_residual_to_disjoint_proliferation_and_weight_std_c_index,os_residual_to_disjoint_proliferation_and_weight_fraction_above_0_50,script20_dfi_recommended_role,script20_os_recommended_role,manual_freeze_reason
M20,exploratory,exploratory,exploratory_program_M20,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,4,0.6027393079486076,1.0,0.1221418282019363,0.1637607997323467,1.0,2,3,False,high_sensitivity_transfer_readiness,1.0,0.5,0.75,0.1017351611058145,0.989649956994774,0,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.5732035960505318,0.0525177462666211,0.91,0.6130507557967345,0.0616277432986387,0.95,0.5633597284008297,0.049596583788865,0.89,0.5469654942920079,0.0510713536020018,0.82,0.5994373991059276,0.0553774241826087,0.98,0.6155615607126029,0.0576864915421505,0.99,0.5911048682293455,0.0576929833461685,0.95,0.5835138065647534,0.0611269905655804,0.94,non_proliferation_sensitivity_program,non_proliferation_sensitivity_program,exploratory program retained without confirmatory status
M23,exploratory,exploratory,exploratory_program_M23,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,4,0.5696919728493952,0.9999999999999998,0.1922790779181364,0.1303493826626865,1.0,2,2,False,low_transfer_readiness,2.0,0.5,0.5,0.4032636461012663,0.8373784317331127,0,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.6207378294101953,0.053786599810847,1.0,0.631585853816728,0.0623147452648547,0.97,0.5827648978879462,0.0496503302197028,0.95,0.5658236673089636,0.0508345718541625,0.9,0.5793879835831612,0.0611998801340022,0.91,0.5891478719170452,0.0622286470599271,0.89,0.550634422744627,0.0667187536551544,0.77,0.5419264164410108,0.0671721245782718,0.71,non_proliferation_sensitivity_program,exploratory_program,exploratory program retained without confirmatory status
M27,exploratory,exploratory,exploratory_program_M27,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,8,0.439051918494457,-0.9999999999999998,-0.1679803672613537,-0.1613279284345589,-1.0,4,7,True,high_sensitivity_transfer_readiness,5.0,0.5,0.75,0.2983221236060769,0.9110039105671606,0,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.6189451506236299,0.0531958328986252,1.0,0.6325455696251953,0.0560270272173543,1.0,0.6000630098225764,0.0524277682995494,0.97,0.5872163279931887,0.0522329555022899,0.95,0.6002743931447827,0.0627707685682992,0.95,0.6097653205345136,0.0610034053115738,0.95,0.5779723789380147,0.0635200843590681,0.9,0.576851941996817,0.0645071320100172,0.92,non_proliferation_sensitivity_program,non_proliferation_sensitivity_program,exploratory program retained without confirmatory status
M30,exploratory,exploratory,exploratory_program_M30,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,7,0.7391307731564377,1.0,-0.1432493022558051,-0.1445474531939844,-1.0,3,7,True,high_sensitivity_transfer_readiness,5.0,0.4285714285714285,1.0,-0.3293555890050053,0.891524895991166,0,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.5787378118495411,0.0600550745671036,0.93,0.6205184463820942,0.0595032628809434,0.98,0.5463071513416636,0.0573573898470816,0.77,0.5441819817664088,0.0576046942953841,0.76,0.6015360387398372,0.056880723528924,0.97,0.6163538063498841,0.0548923218981321,0.99,0.5764204935274332,0.0650456080812134,0.86,0.5754313161338369,0.0642789113865268,0.87,non_proliferation_sensitivity_program,non_proliferation_sensitivity_program,exploratory program retained without confirmatory status
M39,exploratory,exploratory,exploratory_program_M39,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,5,0.49562689101106494,1.0,0.2186366293723426,0.1488194661708099,1.0,5,5,True,high_primary_transfer_readiness,10.0,1.0,1.0,0.5934459965539055,0.647821849174142,0,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.6140105937479866,0.0495482608224471,0.99,0.6215162696799114,0.0550515606421329,0.97,0.5749840293618759,0.0488290145013448,0.9,0.574684595105531,0.050961577059841,0.89,0.5835343601755849,0.0612986066752561,0.94,0.5906543136981359,0.0600444520169255,0.93,0.5441245211945459,0.0643379372801883,0.77,0.5442390096451728,0.0652582184163367,0.75,primary_non_proliferation_transfer_program,exploratory_program,exploratory program retained without confirmatory status
M11,primary_clean_non_proliferation,primary_confirmatory,angiogenesis_ecm_remodeling_like,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,8,0.4944954275639059,1.0,0.1681218819072067,0.1131932418946706,1.0,7,8,True,high_primary_transfer_readiness,10.0,0.875,1.0,0.1012332841055921,0.9897518221891964,0,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.6185646868310735,0.0525340540727745,0.99,0.6406628931488894,0.0577905188889342,0.97,0.609822772492757,0.0531439916157462,0.99,0.5982525458390444,0.0545769260006142,0.98,0.5772785666310719,0.0561180097029117,0.89,0.5991606686198604,0.0597194101727245,0.94,0.5718880223636669,0.0590162817967374,0.88,0.5633437425125161,0.0576886070106118,0.87,primary_non_proliferation_transfer_program,primary_non_proliferation_transfer_program,high transfer readiness and independent DFI signal
M24,primary_clean_non_proliferation,primary_confirmatory,developmental_neural_signaling_like,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,7,0.4433167275165085,1.0,0.2003194897007356,0.1758917713529945,1.0,7,7,True,high_primary_transfer_readiness,10.0,1.0,1.0,0.3883475586783648,0.849186173668554,0,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.6255148144248533,0.0599349335381485,0.98,0.628362028895247,0.0602291894063839,0.97,0.6068549770502143,0.0582699383886872,0.96,0.5969496415832031,0.0600965478628596,0.94,0.6047571297859622,0.057089645413704,0.96,0.5997616530289692,0.0594143620144538,0.92,0.5916068512901744,0.0577268578124118,0.94,0.5843762944172937,0.0583197585234426,0.93,primary_non_proliferation_transfer_program,primary_non_proliferation_transfer_program,compact high-readiness program with cross-endpoint signal
M34,primary_clean_non_proliferation,primary_confirmatory,immune_myeloid_inflammatory_like,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,238,0.5131680876321666,1.0,-0.030385731560146,-0.0302338083609539,-1.0,162,197,True,medium_primary_transfer_readiness,8.0,0.680672268907563,0.8151260504201681,-0.3588699959310087,0.8712123260204778,0,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.6344928447664215,0.0493743193645992,1.0,0.6418075134740231,0.0566873213197198,0.99,0.6030591807528749,0.0484016397433251,0.99,0.5922327056539443,0.0487227105547407,0.97,0.6341779819526244,0.0504016477788209,1.0,0.6303424874185961,0.0571068014220504,0.97,0.6130378881235165,0.0517496345823216,1.0,0.6066610529005083,0.0496544426542427,1.0,primary_non_proliferation_transfer_program,primary_non_proliferation_transfer_program,strongest clean cross-endpoint non-proliferation program
M40,primary_proliferation_deviation_axis,primary_confirmatory,proliferation_cell_cycle_deviation,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,144,0.5021573032723194,1.0,0.0450216432522285,0.0384985698967985,1.0,111,131,True,high_primary_transfer_readiness,9.0,0.7708333333333334,0.8402777777777778,0.9806006814043284,0.0384223036293669,80,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.6359537020119749,0.0589833744141258,0.99,0.657594347119177,0.0610356580041945,0.99,0.6613479688119485,0.0500429766807739,1.0,0.6541901448073086,0.0502979709050077,1.0,0.6240364408183119,0.0623207652866008,0.97,0.6568974743784133,0.0618535418209582,1.0,0.6713126573166356,0.047935852979113,1.0,0.6671568693411989,0.0478833733752468,1.0,proliferation_dominant_with_crossfitted_residual_component,proliferation_dominant_with_crossfitted_residual_component,proliferation-dominant axis with reproducible cross-fitted residual component
M17,secondary_sensitivity,secondary_prespecified,stress_hypoxia_like,True,DFI,OS_concordance,higher_score_higher_canine_DFI_risk,5,0.5229397637600026,1.0,0.1971758580847448,0.2181515069982683,1.0,2,3,False,medium_sensitivity_transfer_readiness,5.0,0.4,0.6,0.2596404945744184,0.9325868135771512,0,strict_one_to_one_signed_mean_z,strict_one_to_one_canine_pca_weighted_z,broad_mapped_mean_z;human_cohort_pc1;residual_to_disjoint_proliferation,20_proliferation_overlap_crossfit_sensitivity.py,0.6003221908374102,0.0539249436735977,0.96,0.632048969491794,0.0551663353921246,1.0,0.5770524228887701,0.0574052248414897,0.91,0.5767839378829048,0.0584386656629721,0.89,0.6141197601491409,0.0570095672670556,0.97,0.6309047016547884,0.0617129414759237,0.98,0.5969913576445616,0.0551103888812207,0.93,0.5957103539352291,0.0552695301809796,0.95,non_proliferation_sensitivity_program,non_proliferation_sensitivity_program,prespecified sensitivity program based on performance or transferability
