module_label,validation_tier,score_name,analysis_role,gene_mapping,within_cohort_preprocessing,score_formula,minimum_gene_rule,outcome_use
M20,exploratory,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M20,exploratory,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M20,exploratory,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M23,exploratory,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M23,exploratory,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M23,exploratory,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M27,exploratory,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M27,exploratory,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M27,exploratory,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M30,exploratory,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M30,exploratory,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M30,exploratory,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M39,exploratory,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M39,exploratory,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M39,exploratory,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M11,primary_clean_non_proliferation,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M11,primary_clean_non_proliferation,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M11,primary_clean_non_proliferation,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M24,primary_clean_non_proliferation,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M24,primary_clean_non_proliferation,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M24,primary_clean_non_proliferation,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M34,primary_clean_non_proliferation,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M34,primary_clean_non_proliferation,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M34,primary_clean_non_proliferation,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
