gene,gene_symbol_clean,candidate_source,coef_dfi,hr_per_sd_dfi,p_dfi,q_dfi,c_index_dfi,coef_os,hr_per_sd_os,p_os,q_os,c_index_os,same_direction,combined_rank_score,candidate_rank
CYP4V2_3,CYP4V2,dfi_top400,-0.427977365286096,0.6518261685305978,1.2490021567164765e-07,0.0006245010783582,0.6601545089882632,-0.433519950550807,0.6482233600735404,1.2777104290785673e-06,0.0063885521453928,0.6646677860398177,True,2.0,1
FMO5_3,FMO5,dfi_top400,-0.3785352645587888,0.6848638192088117,2.021860860681305e-06,0.0036783320728744,0.6304412420145595,-0.3105403080990846,0.7330507759329405,0.0003032803249235,0.0452767743391759,0.6222915167506197,True,34.0,2
MEX3A_3,MEX3A,dfi_top400,0.4326216942666701,1.5412930304053278,2.2359260974687232e-06,0.0036783320728744,0.6169217055415243,0.3412688134749306,1.4067313383804023,0.0002556770373236,0.0452767743391759,0.6148556808187415,True,30.0,3
TRIP13_3,TRIP13,dfi_top400,0.3857915839141921,1.4707781050534876,4.049608089204564e-06,0.0036783320728744,0.6246471549546873,0.3340598910253006,1.3966267864799553,0.0002519084849743,0.0452767743391759,0.6056608299352363,True,30.0,4
APOBEC3Z3_4,APOBEC3Z3,dfi_top400,-0.3961017042893044,0.6729382517502717,5.474185513269445e-06,0.0036783320728744,0.6372010102510771,-0.2913691856889607,0.7472397568636977,0.0012892347571633,0.0634546305609596,0.6075797553370113,True,104.0,5
GPR34_3,GPR34,dfi_top400,-0.3917375419791128,0.6758814811997906,6.018807300834696e-06,0.0036783320728744,0.6275441984846234,-0.3917957210799062,0.6758421601668138,3.397354202076351e-05,0.0293538156944,0.631246501958903,True,10.0,6
DNA2_3,DNA2,dfi_top400,0.394110496674561,1.4830644133071682,6.485602747168385e-06,0.0036783320728744,0.6191502005645521,0.3058451515757174,1.357772041407553,0.0008004480858412,0.0600494722456207,0.6064603821859759,True,73.0,7
CBX7_3,CBX7,dfi_top400,-0.3895934613395934,0.6773321802503663,6.780792766747351e-06,0.0036783320728744,0.6340068340514039,-0.3319349390368832,0.7175340047892617,0.0003244221639505,0.0463460234215037,0.6397217558167426,True,43.0,8
LOC477699_3,LOC477699,dfi_top400,-0.3684973544634283,0.6917730397065714,6.850632262394836e-06,0.0036783320728744,0.6055563809240826,-0.2780535630899124,0.7572562594429191,0.002220116025357,0.0756453002193586,0.5871112177180778,True,154.0,9
ZMAT1_3,ZMAT1,dfi_top400,-0.3748727323221376,0.6873767540677732,7.356664145748863e-06,0.0036783320728744,0.6256499777150498,-0.3203704933139018,0.7258800535419357,0.0005749992944084,0.0514285554615664,0.6052610538098665,True,64.0,10
STUM_3,STUM,dfi_top400,0.3911615416762464,1.4786973653714182,9.346850835618552e-06,0.0042485685616447,0.6068934779378993,0.2835856710158099,1.327882636495334,0.0012906462663251,0.0634546305609596,0.5908691132965539,True,111.0,11
DSCC1_3,DSCC1,dfi_top400,0.3688088947908424,1.4460112369881353,1.133010603787192e-05,0.004622737668053,0.6195216164017233,0.3396449901775678,1.4044489088926244,0.0003802932837972,0.0475366604746541,0.60997841208923,True,52.0,12
PTTG1_3,PTTG1,dfi_top400,0.3906611882431861,1.477957679135903,1.2617197627701542e-05,0.004622737668053,0.6103847868073095,0.3270856476198192,1.3869202585125808,0.0005135561776532,0.0514285554615664,0.5939074118493644,True,59.0,13
ATAD1_3,ATAD1,dfi_top400,-0.3694757497902899,0.6910965431917532,1.3380311513613228e-05,0.004622737668053,0.5752488486109048,-0.3535589723513104,0.7021845818911877,0.0001042870731384,0.0347623577128129,0.5859918445670425,True,29.0,14
TSPAN33_3,TSPAN33,dfi_top400,0.3981559612109425,1.489076249933274,1.3868213004159033e-05,0.004622737668053,0.5896597830931511,0.3604147809031954,1.4339240555438248,0.0001280601597611,0.0354637151782668,0.5921483968977372,True,33.0,15
