gene,gene_symbol_clean,is_anchor_gene,correlation_with_anchor_score
BUB1_3,BUB1,True,0.9436070397455104
DLGAP5_3,DLGAP5,True,0.929993427907321
UBE2C_3,UBE2C,True,0.9247869945255399
KIF23_3,KIF23,True,0.9141049652302662
TOP2A_3,TOP2A,True,0.9133877820811093
CDC20_3,CDC20,True,0.9062707627449962
AURKA_3,AURKA,True,0.9043686008439401
KIF11_3,KIF11,True,0.9037500779611035
CDC6_3,CDC6,True,0.9034260092266196
CCNB1_3,CCNB1,True,0.9026162510536658
MYBL2_3,MYBL2,True,0.9010350913654689
SPAG5_3,SPAG5,True,0.9005303883928436
CCNA2_3,CCNA2,True,0.8944627331939279
PLK1_3,PLK1,True,0.8901092145841646
BUB1B_3,BUB1B,True,0.8849052216220995
KIF18B_3,KIF18B,True,0.8830486748730295
CCNB2_3,CCNB2,True,0.8810701105452756
CENPA_3,CENPA,True,0.8783703278612852
MCM10_3,MCM10,True,0.8678831782442533
TK1_3,TK1,True,0.8652265205156079
BIRC5_3,BIRC5,True,0.8591000330269628
CENPF_3,CENPF,True,0.8533346302185203
MELK_3,MELK,True,0.8502575514467465
CDK1_3,CDK1,True,0.8480992235312482
MCM2_3,MCM2,True,0.845873275457827
MCM5_3,MCM5,True,0.8428148072126939
PLK4_3,PLK4,True,0.8410482917314872
KIF15_3,KIF15,True,0.8306904512833787
MCM4_3,MCM4,True,0.8132783230652285
RRM2_3,RRM2,True,0.80919215652344
AURKB_3,AURKB,True,0.8084576492622282
PCNA_3,PCNA,True,0.7983667543012006
TYMS_3,TYMS,True,0.7690142998358963
UBE2S_3,UBE2S,True,0.7671149319347674
CENPK_3,CENPK,True,0.7663915838792111
MKI67_3,MKI67,True,0.7625965104790446
STMN1_3,STMN1,True,0.7416133286538154
CENPE_3,CENPE,True,0.7382634496471632
CENPV_3,CENPV,True,0.4416927689415056
TPX2_3,TPX2,False,0.937503767525162
CDCA8_3,CDCA8,False,0.9311170979445829
KIF22_3,KIF22,False,0.923652971517015
NCAPH_3,NCAPH,False,0.9185461370108081
NCAPG_3,NCAPG,False,0.9128082152579864
DSN1_3,DSN1,False,0.8977698312601806
ORC1_3,ORC1,False,0.8969581244816766
CDC45_3,CDC45,False,0.8955216175958002
GTSE1_3,GTSE1,False,0.8934651994942442
KIFC1_3,KIFC1,False,0.8923116471875318
DEPDC1_3,DEPDC1,False,0.8864311100652673
NDC80_3,NDC80,False,0.884791482655285
CKAP2L_3,CKAP2L,False,0.8846519820283928
SGO1_3,SGO1,False,0.8839406495743012
KIF20A_3,KIF20A,False,0.8831340144162237
KIF4A_3,KIF4A,False,0.8830009114437672
CLSPN_3,CLSPN,False,0.8822816449598025
SHCBP1_3,SHCBP1,False,0.8813012142327087
NEK2_3,NEK2,False,0.8810875114342294
KIF14_3,KIF14,False,0.8743254060913961
RACGAP1_3,RACGAP1,False,0.8727517973012126
TTK_3,TTK,False,0.8708687898692926
CENPT_3,CENPT,False,0.8704792456112905
POLE_3,POLE,False,0.869403752154282
ECT2_3,ECT2,False,0.869372669369231
KPNA2_3,KPNA2,False,0.8690965653547548
FANCM_3,FANCM,False,0.8647720452980954
HJURP_3,HJURP,False,0.8639944994410012
CENPI_3,CENPI,False,0.8639157185722833
FANCD2_3,FANCD2,False,0.8625299371406929
UBE2T_3,UBE2T,False,0.8611736794757906
DTL_3,DTL,False,0.8602669252083779
PBK_3,PBK,False,0.8596856092031732
ASPM_3,ASPM,False,0.859217942778302
CDCA2_3,CDCA2,False,0.8550380409715433
KNSTRN_3,KNSTRN,False,0.8549807502192638
PRC1_3,PRC1,False,0.8529854297089783
MTFR2_3,MTFR2,False,0.8529266593153374
PTTG1_3,PTTG1,False,0.8529031085609862
PKMYT1_3,PKMYT1,False,0.8528881145245579
SNRPA_3,SNRPA,False,0.8520756033090113
UHRF1_3,UHRF1,False,0.8512908572091058
MIS18A_3,MIS18A,False,0.8509199656374358
RAD51_3,RAD51,False,0.8484568433383249
DNA2_3,DNA2,False,0.8471505428581431
CDCA3_3,CDCA3,False,0.8471184936503691
ORC6_3,ORC6,False,0.844630579734194
DEPDC1B_3,DEPDC1B,False,0.8433531342211165
REXO5_3,REXO5,False,0.8431996326991276
ASF1B_3,ASF1B,False,0.8420121211422393
FOXM1_3,FOXM1,False,0.840527669284324
CCNB3_3,CCNB3,False,0.839236679430378
SPDL1_3,SPDL1,False,0.8376017245259946
CDCA5_3,CDCA5,False,0.835615131168283
SPC25_3,SPC25,False,0.8351928494770531
LOC100855995_3,LOC100855995,False,0.8348883860294327
TROAP_3,TROAP,False,0.8297234399330742
FBXO5_3,FBXO5,False,0.828970355140974
PCLAF_3,PCLAF,False,0.8272214702005849
ESPL1_3,ESPL1,False,0.8272179225588845
MCM3_3,MCM3,False,0.8269442575916343
HELLS_3,HELLS,False,0.8261463346175397
POLA2_3,POLA2,False,0.8252759433942048
ESCO2_3,ESCO2,False,0.8250196843740722
ERCC6L_3,ERCC6L,False,0.8240398672983931
C7H1orf112_3,C7H1orf112,False,0.8235446334078796
NUF2_3,NUF2,False,0.8229985518427877
E2F8_3,E2F8,False,0.8228783552783973
E2F1_3,E2F1,False,0.822790218893052
FANCI_3,FANCI,False,0.8168259920445479
TACC3_3,TACC3,False,0.8152182766401097
RCC1_3,RCC1,False,0.8150692938853237
WDHD1_3,WDHD1,False,0.8133441081487638
SASS6_3,SASS6,False,0.8115284664450101
RAD54L_3,RAD54L,False,0.8087592428574744
SMC2_3,SMC2,False,0.8075869414283843
FAM83D_3,FAM83D,False,0.8073884957725407
CHAF1A_3,CHAF1A,False,0.807109495389741
PSMC3IP_3,PSMC3IP,False,0.7959392639279446
MCM6_3,MCM6,False,0.7932620031523349
RAD51AP1_3,RAD51AP1,False,0.7920778770479759
CENPN_3,CENPN,False,0.7913738143064212
REEP4_3,REEP4,False,0.7908970586744289
POC1A_3,POC1A,False,0.7905315402955422
MIS18BP1_3,MIS18BP1,False,0.7890783796374421
C4H5orf34_3,C4H5orf34,False,0.7888581644044481
BRCA1_3,BRCA1,False,0.7879628231866624
SKA3_3,SKA3,False,0.7868101029873946
LOC487476_3,LOC487476,False,0.7863301916465346
POLE2_3,POLE2,False,0.7853859053888869
DCK_3,DCK,False,0.7847821946308817
KIF20B_3,KIF20B,False,0.7822419682207636
TRIP13_3,TRIP13,False,0.7816065069816631
NUP85_3,NUP85,False,0.7809581259255387
CHTF18_3,CHTF18,False,0.7806458402976783
CHAF1B_3,CHAF1B,False,0.7799998530414217
ALYREF_3,ALYREF,False,0.7793564700564308
CTPS1_3,CTPS1,False,0.7792335933558159
TRAIP_3,TRAIP,False,0.778921079451983
ZWILCH_3,ZWILCH,False,0.7784330167815362
CDT1_3,CDT1,False,0.7779714849379287
HASPIN_3,HASPIN,False,0.7768394434894901
SRSF7_3,SRSF7,False,0.7749115323738757
NSD2_3,NSD2,False,0.7747811137288195
PRR11_3,PRR11,False,0.7743832470524117
WDR62_3,WDR62,False,0.7736485560849047
RAD18_3,RAD18,False,0.773470877625741
GPSM2_3,GPSM2,False,0.7730855544646492
IQGAP3_3,IQGAP3,False,0.7728217874172757
DDX39A_3,DDX39A,False,0.7704519178727441
INCENP_3,INCENP,False,0.7703726491140526
LRR1_3,LRR1,False,0.7697893296480621
MAD2L1_3,MAD2L1,False,0.7688399955044304
TOMM40_3,TOMM40,False,0.7671546774598148
KNL1_3,KNL1,False,0.7671463413432542
CDC25C_3,CDC25C,False,0.7668857444924624
OIP5_3,OIP5,False,0.7663855647376181
HROB_3,HROB,False,0.7628127836603333
DBF4B_3,DBF4B,False,0.7612612565155841
SF3A3_3,SF3A3,False,0.7606652724740162
VRK1_3,VRK1,False,0.7597293247026936
CKS2_3,CKS2,False,0.7592716584316818
SUV39H1_3,SUV39H1,False,0.7581915147678281
ANAPC1_3,ANAPC1,False,0.756844749729201
NCAPD2_3,NCAPD2,False,0.7560590743277961
NMRAL1_3,NMRAL1,False,0.7559556747860758
LMNB1_3,LMNB1,False,0.7558220553944425
CEP55_3,CEP55,False,0.7540251640931724
CDK2_3,CDK2,False,0.7527508992710336
RANBP1_3,RANBP1,False,0.7526539722808195
NUDT1_3,NUDT1,False,0.7523074538307951
TCF19_3,TCF19,False,0.7513548500944277
CCT6A_3,CCT6A,False,0.7500787033318488
POLD1_3,POLD1,False,0.7489260169401374
TONSL_3,TONSL,False,0.7467363358065213
KIF2C_3,KIF2C,False,0.7461218020389285
RFC3_3,RFC3,False,0.7457673771368453
DCLRE1B_3,DCLRE1B,False,0.7447936710803762
