,meta_proliferation_score
100_0514_tumor,0.8356433504947994
101_0518_tumor,0.6263380480522545
102_0619_tumor,-0.23684225281791044
103_0639_tumor,-0.5629632899417983
104_0702_tumor,0.3613667748385816
105_0710_tumor,-0.5181420215439395
106_0716_tumor,-0.2169821393346973
107_0719_tumor,0.7929034221826781
108_0720_tumor,0.4162753804582044
109_0721_tumor,0.27780330228694633
10_0512__Tumor,0.448680077519979
110_0522_tumor,0.8259375352296958
111_1708_tumor,0.060202606387977045
112_0502_tumor,-1.3521736766497334
113_1010_tumor,1.1462490420874085
114_1704_tumor,-0.18073600350235358
115_2318_tumor,0.5409052053499124
116_0506_tumor,-0.022414133619229604
117_1011_tumor,1.735477950486487
118_2304_tumor,-1.0621568107060713
119_0516_tumor,0.08858439959116676
11_0602__Tumor,0.7935210720643345
120_2306_tumor,0.47185953489616217
121_2322_tumor,-0.31424947590930874
122_0504_tumor,1.4712849019822303
123_2316_tumor,0.7570725116487343
125_2004_tumor,0.07904382677630238
126_0228_tumor,0.6329577292407303
127_2010_tumor,0.44800357807218405
128_1023_tumor,-0.22963275099839767
129_1414_tumor,0.6845897620712593
12_0608__Tumor,1.9302152543672049
131_2012_tumor,-2.675554157540123
132_1025_tumor,0.14634902012851356
133_0907_tumor,-1.069646937301792
134_2208_tumor,0.2952322927308191
135_0102_tumor,0.8029773173315694
136_0105_tumor,0.3591983167525203
137_0106_tumor,-1.9030111650979238
138_0314_tumor,-1.9907530055717804
139_0733_tumor,-1.9358126664803095
13_0613__Tumor,1.8129059906799891
140_0905_tumor,-1.1606243183753278
141_1707_tumor,-1.944866119558203
142_1710_tumor,0.5039437024885626
143_1916_tumor,0.13146346899310385
14_0614__Tumor,-0.08758373832474306
15_0615__Tumor,0.23668636197239784
16_0211_tumor,-1.4530196263303745
16_0616__Tumor,0.17655010262728252
17_0226_tumor,1.0019846252684028
17_0620__Tumor,0.15089400574680328
18_0301_tumor,0.12330929513070223
19_0303_tumor,2.2315374690046323
19_0621__Tumor,0.7299910422095892
1_0201_tumor,0.4341160212637779
1_0202_tumor,-1.5009180484853295
20_0307_tumor,-1.8480056079511111
21_0311_tumor,-0.7677105471263964
21_0631__Tumor,0.5297336216082638
22_0317_tumor,0.21670847598625312
22_0640__Tumor,0.5349768400706253
23_0329_tumor,0.6847830743058924
23_0642__Tumor,0.7070600036689736
24_0405_tumor,0.0830978053313351
24_0704__Tumor,-0.22482985060637534
25_0505_tumor,0.15958532127677877
25_0706__Tumor,0.12852414308703017
26_0509_tumor,0.23363527948922136
26_0722__Tumor,0.4564140789976321
27_0511_tumor,-0.07919075772601501
27_0723__Tumor,-0.6278130782011825
28_0513_tumor,0.34281725960596
28_0725__Tumor,1.295213481703981
29_0515_tumor,-0.4487799434359831
29_0729__Tumor,-1.354486211215032
2_0203_Tumor,1.5044604841485105
2_0209__Tumor,0.603929915505058
30_0517_tumor,0.6531719707542525
30_0814_RNAla_Ter__tumor,0.5002255209518194
31_0519_tumor,-1.390800549506299
32_0523_tumor,-0.6309197927495254
32_0904__Tumor,-0.4049267822966606
33_0524_tumor,-1.4319765075897526
33_1002__Tumor,1.174077796365275
34_0601_tumor,-2.1470685603482687
34_1004__Tumor,-0.362365308246615
35_0603_tumor,1.0885821149900157
35_1007__Tumor,0.9225169306655133
36_0607_tumor,0.4960519266836978
36_1014__Tumor,0.10551258216649181
37_0625_tumor,-0.8436400145143828
37_1015__Tumor,1.2457069590484418
38_0630_tumor,0.24759961625772445
38_1016__Tumor,0.5152589419315753
39_0701_tumor,-0.3653830854443908
39_1103__Tumor,-0.5158788016595469
3_0207_Tumor,-0.47822715683140254
3_0212__Tumor,0.001614969596764785
40_1101_tumor,-0.6165077065866368
40_1107__Tumor,-1.157518779036999
41_1407__Tumor,-0.9563402444571197
41_2007_tumor,0.15931563717855576
42_0715_tumor,0.5868748544913897
42_1409__Tumor,0.2656675930745296
43_1401_tumor,0.5002739042267095
43_1410__Tumor,-0.7774069977306081
44_0713_tumor,-1.0057949418195298
44_1412__Tumor,1.5472625634310626
45_1024_tumor,-0.8352325160161574
46_1405_tumor,0.29726909575318416
46_1703__Tumor,1.2497377215111447
47_1709__Tumor,-2.2528844372988104
47_2321_tumor,0.8663148345506017
48_0705_tumor,-0.6259106363179617
48_1712__Tumor,-0.27372598234624274
49_1803__Tumor,-0.6330338548686326
49_1903_tumor,-2.127347186325344
4_0214__Tumor,0.8837607197209256
4_0215_Tumor,1.2471570205668052
50_0703_tumor,0.04421814097002663
50_1805__Tumor,0.8120076411443129
51_0803_tumor,-1.1255120523181512
51_1902__Tumor,-2.2542752558379093
52_2006__Tumor,-0.23550349152558991
52_2317_tumor,-1.3404305640125516
53_0717_tumor,-0.06336190287506654
53_2011__Tumor,0.572323505138797
54_1013_tumor,-1.3430616122003716
54_2303__Tumor,-1.811250649709918
55_2307_tumor,-0.18369625572820583
