endpoint,method,random_source,n_folds,mean_percentile,median_percentile,mean_delta_vs_random_mean,median_delta_vs_random_median,mean_method_c_index,mean_random_mean_c_index
DFI,conditional_cox_mb,train_screen_top1000,5,0.522,0.57,-0.004363777983492412,0.0037105751391466324,0.5891857863283985,0.5935495643118909
DFI,conditional_cox_mb_plus_clinical,train_screen_top1000,5,0.45200000000000007,0.36,-0.009503381392580312,-0.018789144050104456,0.5840461829193105,0.5935495643118909
DFI,elastic_net_cox,train_screen_top1000,5,0.414,0.43,-0.011003756039351087,-0.008350730688935326,0.5826763391962032,0.5936800952355543
DFI,univariate_top10,train_screen_top1000,5,0.382,0.44,-0.015529652901032875,-0.012027491408934665,0.5792086010045375,0.5947382539055704
DFI,gsmb_alpha0.10,train_screen_top1000,5,0.22000000000000003,0.16,-0.047785625235337824,-0.052581261950286784,0.548153877590538,0.5959395028258758
DFI,iamb_alpha0.10,train_screen_top1000,5,0.152,0.02,-0.06651062375398223,-0.08905380333951762,0.5295421452738343,0.5960527690278166
DFI,conditional_cox_mb,train_screen_top500,5,0.496,0.6,-0.007198816048637302,0.011131725417439675,0.5891857863283985,0.5963846023770358
DFI,conditional_cox_mb_plus_clinical,train_screen_top500,5,0.42800000000000005,0.25,-0.012338419457725203,-0.02609603340292277,0.5840461829193105,0.5963846023770358
DFI,elastic_net_cox,train_screen_top500,5,0.42000000000000004,0.47,-0.009543076569522867,-0.007421150278293154,0.5826763391962032,0.5922194157657261
DFI,univariate_top10,train_screen_top500,5,0.348,0.43,-0.01752704227038575,-0.0077319587628865705,0.5792086010045375,0.5967356432749232
DFI,gsmb_alpha0.10,train_screen_top500,5,0.202,0.15,-0.049800328052791734,-0.052581261950286784,0.548153877590538,0.5979542056433298
DFI,iamb_alpha0.10,train_screen_top500,5,0.122,0.02,-0.06976880698376231,-0.08350730688935282,0.5295421452738343,0.5993109522575966
DFI,conditional_cox_mb,train_variance_top5000,5,0.632,0.68,0.02167875483776176,0.024118738404452666,0.5891857863283985,0.5675070314906367
DFI,conditional_cox_mb_plus_clinical,train_variance_top5000,5,0.5940000000000001,0.53,0.01653915142867386,0.0029354207436398383,0.5840461829193105,0.5675070314906367
DFI,univariate_top10,train_variance_top5000,5,0.55,0.6,0.004563240890928388,0.012027491408934665,0.5792086010045375,0.5746453601136091
DFI,elastic_net_cox,train_variance_top5000,5,0.514,0.51,0.001473765325929266,0.0,0.5826763391962032,0.581202573870274
DFI,gsmb_alpha0.10,train_variance_top5000,5,0.328,0.27,-0.030556916987317374,-0.03340292275574119,0.548153877590538,0.5787107945778553
DFI,iamb_alpha0.10,train_variance_top5000,5,0.256,0.13,-0.048437619181630254,-0.07235621521335811,0.5295421452738343,0.5779797644554645
OS,gsmb_alpha0.10,train_screen_top1000,5,0.532,0.69,-0.0006887228291311498,0.033396946564885566,0.5726897299934703,0.5733784528226016
OS,iamb_alpha0.10,train_screen_top1000,5,0.488,0.57,-0.016173904138852325,0.010848126232741673,0.5558915715845126,0.5720654757233649
OS,conditional_cox_mb,train_screen_top1000,5,0.48,0.64,-0.019731957250943722,0.013409961685823757,0.5512598441809079,0.5709918014318516
OS,elastic_net_cox,train_screen_top1000,5,0.47400000000000003,0.3,-0.014583831807498138,-0.03747534516765283,0.546841321375058,0.561425153182556
OS,conditional_cox_mb_plus_clinical,train_screen_top1000,5,0.41200000000000003,0.45,-0.026998511031576033,-0.0045351473922902175,0.5439932904002756,0.5709918014318516
OS,univariate_top10,train_screen_top1000,5,0.35,0.24,-0.03337569571059364,-0.043103448275862044,0.5340561291688768,0.5674318248794705
OS,gsmb_alpha0.10,train_screen_top500,5,0.564,0.61,-0.001650994352724444,0.009541984732824416,0.5726897299934703,0.5743407243461949
OS,iamb_alpha0.10,train_screen_top500,5,0.488,0.62,-0.015647626044125007,0.016283524904214586,0.5558915715845126,0.5715391976286376
OS,conditional_cox_mb,train_screen_top500,5,0.422,0.52,-0.025583154777833617,0.0009861932938856066,0.5512598441809079,0.5768429989587414
OS,elastic_net_cox,train_screen_top500,5,0.41,0.23,-0.02608786714452107,-0.04339250493096647,0.546841321375058,0.5729291885195791
OS,conditional_cox_mb_plus_clinical,train_screen_top500,5,0.37,0.47,-0.03284970855846593,-0.0113378684807256,0.5439932904002756,0.5768429989587414
OS,univariate_top10,train_screen_top500,5,0.25,0.17,-0.04251959178918099,-0.0450191570881226,0.5340561291688768,0.5765757209580579
OS,gsmb_alpha0.10,train_variance_top5000,5,0.616,0.78,0.013313172931493056,0.044378698224852076,0.5726897299934703,0.5593765570619773
OS,iamb_alpha0.10,train_variance_top5000,5,0.558,0.6,-0.001874298454564005,0.0167652859960552,0.5558915715845126,0.5577658700390765
OS,conditional_cox_mb,train_variance_top5000,5,0.55,0.61,0.0014073799262419805,0.01819923371647514,0.5512598441809079,0.5498524642546658
OS,conditional_cox_mb_plus_clinical,train_variance_top5000,5,0.52,0.6,-0.0058591738543903316,0.014739229024943401,0.5439932904002756,0.5498524642546658
OS,elastic_net_cox,train_variance_top5000,5,0.43,0.16,-0.011739419251069982,-0.05128205128205121,0.546841321375058,0.558580740626128
OS,univariate_top10,train_variance_top5000,5,0.372,0.19,-0.02820542900487306,-0.0488505747126437,0.5340561291688768,0.5622615581737499
