endpoint,method,gene,selected_in_folds,mean_gene_rank,n_method_folds,selection_frequency,gene_symbol_clean
DFI,conditional_cox_mb,LAG3_3,3,4.666666666666667,5,0.6,LAG3
DFI,conditional_cox_mb,LOC119878294,3,4.666666666666667,5,0.6,LOC119878294
DFI,conditional_cox_mb,CYP4V2_3,2,1.0,5,0.4,CYP4V2
DFI,conditional_cox_mb,ADAMTS4_3,2,3.0,5,0.4,ADAMTS4
DFI,conditional_cox_mb,CLMP_3,1,1.0,5,0.2,CLMP
DFI,conditional_cox_mb,KLHL9_3,1,1.0,5,0.2,KLHL9
DFI,conditional_cox_mb,TSPAN33_3,1,1.0,5,0.2,TSPAN33
DFI,conditional_cox_mb,LOC119879073,1,2.0,5,0.2,LOC119879073
DFI,conditional_cox_mb,LOC477699_3,1,2.0,5,0.2,LOC477699
DFI,conditional_cox_mb,LRRTM3_3,1,2.0,5,0.2,LRRTM3
DFI,conditional_cox_mb,ADAMTSL3_3,1,3.0,5,0.2,ADAMTSL3
DFI,conditional_cox_mb,LOC119867047_3,1,3.0,5,0.2,LOC119867047
DFI,conditional_cox_mb,LOC119878084,1,3.0,5,0.2,LOC119878084
DFI,conditional_cox_mb,WWC1_3,1,3.0,5,0.2,WWC1
DFI,conditional_cox_mb,DRD1_3,1,4.0,5,0.2,DRD1
DFI,conditional_cox_mb,FMO5_3,1,4.0,5,0.2,FMO5
DFI,conditional_cox_mb,KIT_3,1,4.0,5,0.2,KIT
DFI,conditional_cox_mb,CILP_3,1,5.0,5,0.2,CILP
DFI,conditional_cox_mb,LOC475831_3,1,5.0,5,0.2,LOC475831
DFI,conditional_cox_mb,MEX3A_3,1,5.0,5,0.2,MEX3A
DFI,conditional_cox_mb,PRRT4_3,1,5.0,5,0.2,PRRT4
DFI,conditional_cox_mb,APELA_3,1,6.0,5,0.2,APELA
DFI,conditional_cox_mb,LOC102154334_3,1,6.0,5,0.2,LOC102154334
DFI,conditional_cox_mb,LOC119868251_3,1,6.0,5,0.2,LOC119868251
DFI,conditional_cox_mb,LOC119868838_2,1,6.0,5,0.2,LOC119868838
DFI,conditional_cox_mb,HSPH1_3,1,7.0,5,0.2,HSPH1
DFI,conditional_cox_mb,IGF2_3,1,7.0,5,0.2,IGF2
DFI,conditional_cox_mb,STX3_3,1,7.0,5,0.2,STX3
DFI,conditional_cox_mb_plus_clinical,LAG3_3,3,4.666666666666667,5,0.6,LAG3
DFI,conditional_cox_mb_plus_clinical,LOC119878294,3,4.666666666666667,5,0.6,LOC119878294
DFI,conditional_cox_mb_plus_clinical,CYP4V2_3,2,1.0,5,0.4,CYP4V2
DFI,conditional_cox_mb_plus_clinical,ADAMTS4_3,2,3.0,5,0.4,ADAMTS4
DFI,conditional_cox_mb_plus_clinical,CLMP_3,1,1.0,5,0.2,CLMP
DFI,conditional_cox_mb_plus_clinical,KLHL9_3,1,1.0,5,0.2,KLHL9
DFI,conditional_cox_mb_plus_clinical,TSPAN33_3,1,1.0,5,0.2,TSPAN33
DFI,conditional_cox_mb_plus_clinical,LOC119879073,1,2.0,5,0.2,LOC119879073
DFI,conditional_cox_mb_plus_clinical,LOC477699_3,1,2.0,5,0.2,LOC477699
DFI,conditional_cox_mb_plus_clinical,LRRTM3_3,1,2.0,5,0.2,LRRTM3
DFI,conditional_cox_mb_plus_clinical,ADAMTSL3_3,1,3.0,5,0.2,ADAMTSL3
DFI,conditional_cox_mb_plus_clinical,LOC119867047_3,1,3.0,5,0.2,LOC119867047
DFI,conditional_cox_mb_plus_clinical,LOC119878084,1,3.0,5,0.2,LOC119878084
DFI,conditional_cox_mb_plus_clinical,WWC1_3,1,3.0,5,0.2,WWC1
DFI,conditional_cox_mb_plus_clinical,DRD1_3,1,4.0,5,0.2,DRD1
DFI,conditional_cox_mb_plus_clinical,FMO5_3,1,4.0,5,0.2,FMO5
DFI,conditional_cox_mb_plus_clinical,KIT_3,1,4.0,5,0.2,KIT
DFI,conditional_cox_mb_plus_clinical,CILP_3,1,5.0,5,0.2,CILP
DFI,conditional_cox_mb_plus_clinical,LOC475831_3,1,5.0,5,0.2,LOC475831
DFI,conditional_cox_mb_plus_clinical,MEX3A_3,1,5.0,5,0.2,MEX3A
DFI,conditional_cox_mb_plus_clinical,PRRT4_3,1,5.0,5,0.2,PRRT4
DFI,conditional_cox_mb_plus_clinical,APELA_3,1,6.0,5,0.2,APELA
DFI,conditional_cox_mb_plus_clinical,LOC102154334_3,1,6.0,5,0.2,LOC102154334
