endpoint,fold,method,gene_rank,gene,gene_symbol_clean
DFI,1,univariate_top10,1,ATAD1_3,ATAD1
DFI,1,univariate_top10,2,FMO5_3,FMO5
DFI,1,univariate_top10,3,CYP4V2_3,CYP4V2
DFI,1,univariate_top10,4,STAMBPL1_3,STAMBPL1
DFI,1,univariate_top10,5,PTEN_3,PTEN
DFI,1,univariate_top10,6,SGMS1_3,SGMS1
DFI,1,univariate_top10,7,APOBEC3Z3_4,APOBEC3Z3
DFI,1,univariate_top10,8,MINPP1_3,MINPP1
DFI,1,univariate_top10,9,IL34_3,IL34
DFI,1,univariate_top10,10,CD8B_3,CD8B
DFI,1,conditional_cox_mb,1,CYP4V2_3,CYP4V2
DFI,1,conditional_cox_mb,2,LOC119878294,LOC119878294
DFI,1,conditional_cox_mb,3,WWC1_3,WWC1
DFI,1,conditional_cox_mb,4,KIT_3,KIT
DFI,1,conditional_cox_mb,5,MEX3A_3,MEX3A
DFI,1,conditional_cox_mb,6,LOC119868251_3,LOC119868251
DFI,1,conditional_cox_mb_plus_clinical,1,CYP4V2_3,CYP4V2
DFI,1,conditional_cox_mb_plus_clinical,2,LOC119878294,LOC119878294
DFI,1,conditional_cox_mb_plus_clinical,3,WWC1_3,WWC1
DFI,1,conditional_cox_mb_plus_clinical,4,KIT_3,KIT
DFI,1,conditional_cox_mb_plus_clinical,5,MEX3A_3,MEX3A
DFI,1,conditional_cox_mb_plus_clinical,6,LOC119868251_3,LOC119868251
DFI,1,iamb_alpha0.10,1,LOC119876408,LOC119876408
DFI,1,iamb_alpha0.10,2,ADORA2B_3,ADORA2B
DFI,1,iamb_alpha0.10,3,MCAM_3,MCAM
DFI,1,iamb_alpha0.10,4,FAM81A_3,FAM81A
DFI,1,iamb_alpha0.10,5,LOC119878257,LOC119878257
DFI,1,iamb_alpha0.10,6,P4HA1_3,P4HA1
DFI,1,iamb_alpha0.10,7,EPHA2_3,EPHA2
DFI,1,iamb_alpha0.10,8,CLCN5_3,CLCN5
DFI,1,iamb_alpha0.10,9,PER1_3,PER1
DFI,1,iamb_alpha0.10,10,LOC119876150,LOC119876150
DFI,1,iamb_alpha0.10,11,CAPG_3,CAPG
DFI,1,iamb_alpha0.10,12,ACSS3_3,ACSS3
DFI,1,iamb_alpha0.10,13,GPRC5C_3,GPRC5C
DFI,1,iamb_alpha0.10,14,OSR2_3,OSR2
DFI,1,iamb_alpha0.10,15,TRIP13_3,TRIP13
DFI,1,gsmb_alpha0.10,1,LOC119876408,LOC119876408
DFI,1,gsmb_alpha0.10,2,GLUL_3,GLUL
DFI,1,gsmb_alpha0.10,3,LOC119878257,LOC119878257
DFI,1,gsmb_alpha0.10,4,P4HA1_3,P4HA1
DFI,1,gsmb_alpha0.10,5,MCM10_3,MCM10
DFI,1,gsmb_alpha0.10,6,EPHA2_3,EPHA2
DFI,1,gsmb_alpha0.10,7,PDE10A_3,PDE10A
DFI,1,gsmb_alpha0.10,8,PRRT4_3,PRRT4
DFI,1,gsmb_alpha0.10,9,EPHB3_3,EPHB3
DFI,1,gsmb_alpha0.10,10,GPRC5C_3,GPRC5C
DFI,1,gsmb_alpha0.10,11,LOC119878294,LOC119878294
DFI,1,gsmb_alpha0.10,12,GLIPR1_3,GLIPR1
DFI,1,gsmb_alpha0.10,13,OSR2_3,OSR2
DFI,1,elastic_net_cox,1,LOC119868251_3,LOC119868251
DFI,1,elastic_net_cox,2,ADORA2B_3,ADORA2B
DFI,1,elastic_net_cox,3,LOC119876408,LOC119876408
DFI,1,elastic_net_cox,4,CSRP1_3,CSRP1
DFI,1,elastic_net_cox,5,PIANP_3,PIANP
DFI,1,elastic_net_cox,6,MAOB_3,MAOB
DFI,1,elastic_net_cox,7,KIT_3,KIT
DFI,1,elastic_net_cox,8,RBPMS2_3,RBPMS2
DFI,1,elastic_net_cox,9,ATAD1_3,ATAD1
DFI,1,elastic_net_cox,10,RELN_3,RELN
DFI,1,elastic_net_cox,11,CYSLTR2_3,CYSLTR2
DFI,1,elastic_net_cox,12,LOC119877688,LOC119877688
DFI,1,elastic_net_cox,13,ADAMTS4_3,ADAMTS4
DFI,1,elastic_net_cox,14,YIF1B_3,YIF1B
DFI,1,elastic_net_cox,15,MCAM_3,MCAM
DFI,1,elastic_net_cox,16,CD8B_3,CD8B
DFI,1,elastic_net_cox,17,EGR1_3,EGR1
DFI,1,elastic_net_cox,18,TSPAN33_3,TSPAN33
DFI,1,elastic_net_cox,19,SPSB4_3,SPSB4
DFI,1,elastic_net_cox,20,FMO5_3,FMO5
DFI,1,elastic_net_cox,21,CENPV_3,CENPV
DFI,1,elastic_net_cox,22,MPIG6B_3,MPIG6B
DFI,1,elastic_net_cox,23,DDIT4_3,DDIT4
DFI,1,elastic_net_cox,24,PAPSS2_3,PAPSS2
DFI,1,elastic_net_cox,25,OSBPL3_3,OSBPL3
DFI,2,univariate_top10,1,CYP4V2_3,CYP4V2
DFI,2,univariate_top10,2,GPR34_3,GPR34
DFI,2,univariate_top10,3,PTTG1_3,PTTG1
DFI,2,univariate_top10,4,TLR3_3,TLR3
DFI,2,univariate_top10,5,STUM_3,STUM
DFI,2,univariate_top10,6,MEX3A_3,MEX3A
DFI,2,univariate_top10,7,LOC477699_3,LOC477699
DFI,2,univariate_top10,8,ADAMTS4_3,ADAMTS4
DFI,2,univariate_top10,9,HHIP_3,HHIP
DFI,2,univariate_top10,10,SUGCT_3,SUGCT
DFI,2,conditional_cox_mb,1,CLMP_3,CLMP
DFI,2,conditional_cox_mb,2,ADAMTS4_3,ADAMTS4
DFI,2,conditional_cox_mb,3,LAG3_3,LAG3
DFI,2,conditional_cox_mb,4,FMO5_3,FMO5
DFI,2,conditional_cox_mb,5,LOC475831_3,LOC475831
DFI,2,conditional_cox_mb,6,APELA_3,APELA
DFI,2,conditional_cox_mb,7,IGF2_3,IGF2
