gene,p,endpoint,fold
ATAD1_3,3.426032567626733e-07,DFI,1
FMO5_3,3.836706976694282e-07,DFI,1
CYP4V2_3,3.979231149850422e-07,DFI,1
STAMBPL1_3,2.6265780060269967e-06,DFI,1
PTEN_3,4.463583112500215e-06,DFI,1
SGMS1_3,5.247123243334333e-06,DFI,1
APOBEC3Z3_4,6.2682126066905645e-06,DFI,1
MINPP1_3,8.486589679051854e-06,DFI,1
IL34_3,9.094396042339395e-06,DFI,1
CD8B_3,2.2780011687740235e-05,DFI,1
MEX3A_3,2.7864166400267957e-05,DFI,1
GPSM3_3,2.7983566268605496e-05,DFI,1
SQOR_3,3.1295917187343914e-05,DFI,1
SPSB4_3,3.277804143822286e-05,DFI,1
PTK2B_3,3.344374153067591e-05,DFI,1
SYTL1_3,4.28927767644443e-05,DFI,1
CBX7_3,4.4172607657164377e-05,DFI,1
ZMAT1_3,4.5001559694077534e-05,DFI,1
FAS_3,4.617679569107335e-05,DFI,1
RCOR2_3,4.908240536590007e-05,DFI,1
TAPBPL_3,5.42238415287743e-05,DFI,1
ENPP5_3,6.126809873440917e-05,DFI,1
OSBPL3_3,6.195901393301888e-05,DFI,1
NIBAN1_3,6.227728202073172e-05,DFI,1
MOSPD2_3,6.361421034947119e-05,DFI,1
HNMT_3,7.506601308830103e-05,DFI,1
ADGRF1_3,9.003440757077833e-05,DFI,1
LOC477699_3,9.782420488319963e-05,DFI,1
LOC476816_3,9.784767618025415e-05,DFI,1
TNFAIP8L2_3,0.00010245206354308488,DFI,1
EVI2B_3,0.00010603317643426479,DFI,1
TRIP13_3,0.00010824610307838972,DFI,1
BLNK_3,0.00011280006093833648,DFI,1
IFI30_3,0.00012205083000010358,DFI,1
RETSAT_3,0.0001257538587139964,DFI,1
ADGRG6_3,0.00012731215778822048,DFI,1
ASAH1_3,0.0001357330763029735,DFI,1
VWA5A_3,0.00013646477033428674,DFI,1
PRDM1_3,0.0001470972061479271,DFI,1
KCTD12_3,0.00015369671582559383,DFI,1
ACOD1_3,0.0001627477084738782,DFI,1
MAB21L2_3,0.00016665617788777422,DFI,1
ANXA3_3,0.00016813108306579382,DFI,1
FGL2_3,0.0001698063568268771,DFI,1
CYP2S1_3,0.00017540154101936933,DFI,1
TSPAN33_3,0.00017690900977467754,DFI,1
BATF2_3,0.00018166981510577964,DFI,1
TLR3_3,0.0001891731449268321,DFI,1
ANKRD22_3,0.00019033710363788913,DFI,1
DENND1C_3,0.0002045634566824284,DFI,1
MEST_3,0.00020516176152299463,DFI,1
LOC119877688,0.00020845694590264228,DFI,1
STUM_3,0.0002092999569559474,DFI,1
SLAMF7_3,0.00021493816341705476,DFI,1
PRRT4_3,0.00022164915610165458,DFI,1
LHX2_3,0.000221914591939638,DFI,1
PIANP_3,0.0002224892083056785,DFI,1
LOC119874749_2,0.00022415845006819684,DFI,1
ACSS3_3,0.00023802943579755463,DFI,1
CSRP1_3,0.00023832359761052403,DFI,1
TMEM86A_3,0.0002466954676452635,DFI,1
SPN_3,0.0002556137105059978,DFI,1
TLR7_3,0.00026638429890137624,DFI,1
PYCARD_3,0.0002677578163671589,DFI,1
LOC111097086_3,0.000281125821679228,DFI,1
LMO2_3,0.00029947808016013623,DFI,1
NCKAP1L_3,0.0003003595274903269,DFI,1
XG_3,0.0003085796719346555,DFI,1
LAPTM5_3,0.00031185552999537505,DFI,1
DNA2_3,0.00032401894242500286,DFI,1
NETO1_3,0.0003243717184008831,DFI,1
PIK3AP1_3,0.0003364585556088946,DFI,1
SERPING1_3,0.0003399301788556766,DFI,1
MAP1LC3C_3,0.0003444353222217847,DFI,1
PID1_3,0.0003471591899704961,DFI,1
PARP15_3,0.0003520765992473153,DFI,1
GPR34_3,0.00036014381678957125,DFI,1
CHPT1_3,0.00036468890312625445,DFI,1
EPHA2_3,0.00036639386053157673,DFI,1
P2RX7_3,0.00036687217497705137,DFI,1
DAPP1_3,0.0004015998057606864,DFI,1
SCML2_3,0.00040305829537319,DFI,1
GRAP2_3,0.0004116552377330083,DFI,1
LOC612325_3,0.00042208906371725814,DFI,1
PAPSS2_3,0.00044032777230685233,DFI,1
TYROBP_3,0.00046572708567721595,DFI,1
GPR183_3,0.00046982678987890286,DFI,1
BTK_3,0.00047268918262964203,DFI,1
CENPV_3,0.0004937795745087954,DFI,1
HACD4_3,0.0004939354647084518,DFI,1
TBC1D9_3,0.0005117585239626019,DFI,1
SELENOP_3,0.0005215464107829384,DFI,1
APOBR_3,0.0005281721046159055,DFI,1
TMEM140_3,0.0005415384768048895,DFI,1
STXBP2_3,0.0005468843775175544,DFI,1
INPP5D_3,0.0005520131323664678,DFI,1
PIK3IP1_3,0.0005577032753497595,DFI,1
LOC119876408,0.0005600329907594404,DFI,1
B2M_3,0.0005699259193188829,DFI,1
TNFRSF14_3,0.0005727883787921303,DFI,1
SLC6A6_3,0.000574029946698073,DFI,1
ADA2_3,0.000579169008755218,DFI,1
CSF1R_3,0.0005812442195642566,DFI,1
BIRC3_3,0.0005878365173238009,DFI,1
SPC24_3,0.0005925207663185526,DFI,1
CASP8_3,0.0006057135998026987,DFI,1
POLE2_3,0.0006070924249367293,DFI,1
TAGAP_3,0.0006131142836019161,DFI,1
SCRN2_3,0.0006243231588973545,DFI,1
PTPRC_4,0.0006453843209594013,DFI,1
SAMD9L_3,0.0006616974658817972,DFI,1
CYTH4_3,0.0006884798540755671,DFI,1
SERTM1_3,0.0006888317306512292,DFI,1
KIAA0040_3,0.0006931575813114868,DFI,1
NCF4_3,0.0007005731934039166,DFI,1
RAB29_3,0.0007019445028521097,DFI,1
ITGBL1_3,0.0007077041950851487,DFI,1
GNA15_3,0.0007082709145321606,DFI,1
PAG1_3,0.000710169203885948,DFI,1
TRANK1_3,0.0007120307913001378,DFI,1
GBP6_3,0.0007186318855648771,DFI,1
MAOB_3,0.0007272443007089295,DFI,1
LOC106559497_3,0.0007287693624092522,DFI,1
ARHGDIB_3,0.0007314085581728942,DFI,1
SELPLG_3,0.000732206908251266,DFI,1
JCHAIN_3,0.0007393108675729418,DFI,1
RAC2_3,0.0007451991083285336,DFI,1
ADAMTS4_3,0.0007464678935799333,DFI,1
PTPN6_3,0.0007813870480511092,DFI,1
SLCO3A1_3,0.0007857334616936781,DFI,1
RGS18_3,0.0007869830903826345,DFI,1
CARD9_3,0.0007875684054394506,DFI,1
FCMR_3,0.0007971688222144187,DFI,1
DOK2_3,0.0008113476067443131,DFI,1
PTTG1_3,0.0008183381125513368,DFI,1
PTAFR_3,0.0008250784754515212,DFI,1
EPAS1_3,0.0008370851183940214,DFI,1
LPXN_3,0.0008408341813168509,DFI,1
CSF2RB_3,0.000852486447630482,DFI,1
LOC119879410,0.0008667445007412959,DFI,1
MCM5_3,0.0008750520727273463,DFI,1
E2F1_3,0.0008847972269655889,DFI,1
CTSH_3,0.0009121609239281234,DFI,1
LAT_3,0.0009161351008822736,DFI,1
CDK2AP1_3,0.0009502052051590878,DFI,1
PGAP1_3,0.0009628893839930256,DFI,1
ARRB1_3,0.0009720579316260682,DFI,1
PARP12_3,0.0009740109565854268,DFI,1
CST7_3,0.0009778345637264394,DFI,1
ST6GALNAC3_3,0.001000139613907954,DFI,1
MCTP1_3,0.0010030181317646914,DFI,1
EVA1C_3,0.0010063050967245618,DFI,1
HHIP_3,0.0010087701563527194,DFI,1
INPP4B_3,0.0010186510789955477,DFI,1
FAM107A_3,0.0010507337895707806,DFI,1
SMIM22_3,0.0010532531897141195,DFI,1
FERMT3_3,0.0010952097222214378,DFI,1
SPI1_3,0.0011244452311986826,DFI,1
LOC119868251_3,0.0011419643486301053,DFI,1
FANCM_3,0.0011581878147580674,DFI,1
EGR1_3,0.0011786206793652947,DFI,1
IFIT3_3,0.0011828447615783077,DFI,1
LOC119877532,0.0011879560350015414,DFI,1
ADORA2B_3,0.0012012127193652225,DFI,1
WAS_3,0.0012027429576256367,DFI,1
MPIG6B_3,0.001203546488410348,DFI,1
SUSD1_3,0.0012165231205541526,DFI,1
IRX1_3,0.0012322305663738568,DFI,1
TBC1D10C_3,0.0012579483615187614,DFI,1
ALOX5_3,0.0012698760255670347,DFI,1
VAV1_3,0.0012832060249715282,DFI,1
TFEC_3,0.0012953150173858887,DFI,1
RELN_3,0.0013096107716875994,DFI,1
DLA-79_3,0.0013261655077590052,DFI,1
CLCN5_3,0.0013408583405682187,DFI,1
CA5B_3,0.0013505923476822132,DFI,1
STING1_3,0.0013755131317256897,DFI,1
MARCHF1_3,0.0013761881930504773,DFI,1
LCP1_3,0.0013801762128194896,DFI,1
C9H17orf99_3,0.0013912362722986486,DFI,1
TYMS_3,0.0013939097357788992,DFI,1
LOC119869021_2,0.00141108420893967,DFI,1
MYO1G_3,0.0014227568522229394,DFI,1
FKBP7_3,0.0014366400989755624,DFI,1
MCM4_3,0.001437087805084992,DFI,1
EPHB3_3,0.001445264528924698,DFI,1
ELOVL4_3,0.0014486783389319534,DFI,1
SLC6A11_3,0.0014695686434919588,DFI,1
GSC_3,0.0014738355212585326,DFI,1
CYSLTR2_3,0.0014764734659766605,DFI,1
MCM10_3,0.001477524601379675,DFI,1
SLC13A5_3,0.001495694219090127,DFI,1
DDIT4_3,0.0015180897030467558,DFI,1
SYK_3,0.0015318703848826707,DFI,1
SERPINB8_3,0.0015348035541680606,DFI,1
LOC119878872,0.001547243136244577,DFI,1
CYTIP_3,0.0015524306341626836,DFI,1
POLE_3,0.0015543624918782604,DFI,1
RBMS3_3,0.0015585351970225018,DFI,1
AQP5_3,0.0015806555906667718,DFI,1
SELL_3,0.001592441081997667,DFI,1
GMFG_3,0.00159812143044999,DFI,1
DNPH1_3,0.0016187105239302269,DFI,1
GIMAP6_3,0.00164683141107009,DFI,1
LGR4_3,0.001661199341579599,DFI,1
PIK3CG_3,0.0016632903883964482,DFI,1
SULT1C4_3,0.0016725259282161925,DFI,1
SHCBP1_3,0.0016866300426149623,DFI,1
LOC487476_3,0.0016871362065013315,DFI,1
SMPDL3A_3,0.0016879078504792627,DFI,1
CCR2_3,0.0016931985149439336,DFI,1
SMO_3,0.001696185268777571,DFI,1
CRLF2_3,0.0017019203606398131,DFI,1
YIF1B_3,0.0017044136646590655,DFI,1
MIS18A_3,0.001718828644343941,DFI,1
DOK3_3,0.0017213105486073132,DFI,1
UPP1_3,0.0017218204330091615,DFI,1
IL4R_3,0.0017291626052701465,DFI,1
