endpoint,step,phase,gene,gene_symbol_clean,p,c_index,selected_before
OS,1,forward,CYP4V2_3,CYP4V2,3.1688732540727394e-06,0.6646677860398177,0
OS,1,forward,FMO5_3,FMO5,0.0005269231773557821,0.6222915167506197,0
OS,1,forward,MEX3A_3,MEX3A,0.00042924185295505426,0.6148556808187415,0
OS,1,forward,TRIP13_3,TRIP13,0.00041425904438178914,0.6056608299352363,0
OS,1,forward,APOBEC3Z3_4,APOBEC3Z3,0.0017179541948361523,0.6075797553370113,0
OS,1,forward,GPR34_3,GPR34,6.557840871114998e-05,0.631246501958903,0
OS,1,forward,DNA2_3,DNA2,0.001237601220680294,0.6064603821859759,0
OS,1,forward,CBX7_3,CBX7,0.0005122323298993882,0.6397217558167426,0
OS,1,forward,LOC477699_3,LOC477699,0.0032230727704318342,0.5871112177180778,0
OS,1,forward,ZMAT1_3,ZMAT1,0.0009221494723397469,0.6052610538098665,0
OS,1,forward,STUM_3,STUM,0.00202086037983886,0.5908691132965539,0
OS,1,forward,DSCC1_3,DSCC1,0.0006659566064395727,0.60997841208923,0
OS,1,forward,PTTG1_3,PTTG1,0.0007998993517923547,0.5939074118493644,0
OS,1,forward,ATAD1_3,ATAD1,0.00022634232874468895,0.5859918445670425,0
OS,1,forward,TSPAN33_3,TSPAN33,0.00025759940522562477,0.5921483968977372,0
OS,1,forward,TLR3_3,TLR3,0.0015212393803960098,0.5976653074278404,0
OS,1,forward,LOC111097086_3,LOC111097086,0.0047209171475060254,0.5922283521228112,0
OS,1,forward,ADGRF1_3,ADGRF1,0.0009184668333094835,0.6206524346366035,0
OS,1,forward,LOC476816_3,LOC476816,0.0006003724605107405,0.598544814903654,0
OS,1,forward,EVI2B_3,EVI2B,0.00010954449310803926,0.6344447109618614,0
OS,1,forward,RCOR2_3,RCOR2,0.0012772942041941809,0.6060606060606061,0
OS,1,forward,NIBAN1_3,NIBAN1,2.6947329270607048e-05,0.6314064124090509,0
OS,1,forward,ALOX5_3,ALOX5,0.00011988548605119602,0.6200527704485488,0
OS,1,forward,POLE2_3,POLE2,0.002429515757174787,0.5884704565443352,0
OS,1,forward,CENPV_3,CENPV,0.0024241319152709714,0.6068601583113457,0
OS,1,forward,ENPP5_3,ENPP5,0.0025068360297652056,0.6115775165907092,0
OS,1,forward,MCM10_3,MCM10,0.004107819166844301,0.5975053969776924,0
OS,1,forward,KCTD12_3,KCTD12,9.174963628724038e-05,0.6134164867674102,0
OS,1,forward,SUGCT_3,SUGCT,0.0009080045621846913,0.6190933077476614,0
OS,1,forward,LOC100855995_3,LOC100855995,0.003239123117228252,0.5894299192452227,0
OS,1,forward,PRRT4_3,PRRT4,0.05385985497194049,0.5573678739905653,0
OS,1,forward,HACD4_3,HACD4,0.00044560009513788394,0.6240505317022468,0
OS,1,forward,HHIP_3,HHIP,0.10202015175957994,0.5483329335572079,0
OS,1,forward,SCRN2_3,SCRN2,0.010512436863975917,0.592468217798033,0
OS,1,forward,TLR7_3,TLR7,9.208217432121792e-05,0.6260494123290957,0
OS,1,forward,FANCA_3,FANCA,0.0030560958448910356,0.5853522027664508,0
OS,1,forward,ST6GALNAC3_3,ST6GALNAC3,0.005943084330591114,0.5723994563044695,0
OS,1,forward,CD8B_3,CD8B,0.009196093791454595,0.5601663068681538,0
OS,1,forward,CENPW_3,CENPW,0.0009336212033127156,0.5871911729431518,0
OS,1,forward,DNPH1_3,DNPH1,0.0019627769270198995,0.5802350683617175,0
OS,1,forward,ACSS3_3,ACSS3,0.0008633197480094313,0.6050211881346446,0
OS,1,forward,RECQL4_3,RECQL4,0.0005835798364109158,0.6262093227792436,0
OS,1,forward,ADAMTS4_3,ADAMTS4,0.001647499202479646,0.5817542176381226,0
OS,1,forward,FANCM_3,FANCM,0.004103587093881519,0.5970256656272488,0
OS,1,forward,E2F1_3,E2F1,0.012042911752544265,0.5708803070280642,0
OS,1,forward,PTEN_3,PTEN,0.00012776987083162552,0.594547053649956,0
OS,1,forward,TAPBPL_3,TAPBPL,0.012091136389468118,0.5923882625729592,0
OS,1,forward,BLNK_3,BLNK,0.00021807157654870393,0.635004397537379,0
OS,1,forward,SPC24_3,SPC24,0.0132483244361701,0.5755976653074278,0
OS,1,forward,MAB21L2_3,MAB21L2,0.0056269094531568205,0.577276725033981,0
OS,1,forward,MINPP1_3,MINPP1,0.001441353055101118,0.5785560086351643,0
OS,1,forward,MCM5_3,MCM5,0.010512817271415082,0.565603262173183,0
OS,1,forward,MOSPD2_3,MOSPD2,0.004458309154599575,0.6030223075077956,0
OS,1,forward,SAMD9L_3,SAMD9L,8.856563239814682e-05,0.623650755576877,0
OS,1,forward,SERF1A_3,SERF1A,0.01978598639589593,0.5763972175581674,0
OS,1,forward,UBE2S_3,UBE2S,0.0024269517359389514,0.5737586951307267,0
OS,1,forward,LOC612325_3,LOC612325,0.005864190724470285,0.5795954265611257,0
OS,1,forward,TBC1D9_3,TBC1D9,0.002245543895707334,0.5787159190853123,0
OS,1,forward,P2RX7_3,P2RX7,0.0025312150679020888,0.5948668745502519,0
OS,1,forward,ECT2_3,ECT2,0.0017358257516206258,0.6069401135364196,0
OS,1,forward,TNFAIP8L2_3,TNFAIP8L2,0.0003118026578274038,0.6201327256736228,0
OS,1,forward,SQOR_3,SQOR,0.0018009448145072044,0.6018229791316863,0
OS,1,forward,MEST_3,MEST,0.007286471466174961,0.575277844407132,0
OS,1,forward,CSRP1_3,CSRP1,6.809671772436408e-05,0.6282881586311665,0
OS,1,forward,BATF2_3,BATF2,0.0006063653598905735,0.6134964419924842,0
OS,1,forward,ACOD1_3,ACOD1,0.005207716078314039,0.6092588150635644,0
OS,1,forward,LOC119877688,LOC119877688,0.001983628431995881,0.6061405612856801,0
OS,1,forward,SHCBP1_3,SHCBP1,0.01597537626972387,0.6073398896617894,0
OS,1,forward,MCM4_3,MCM4,0.014405687093057446,0.5903893819461101,0
OS,1,forward,KIAA0040_3,KIAA0040,0.014648440481731207,0.5620052770448549,0
OS,1,forward,PIK3IP1_3,PIK3IP1,0.007439418141861588,0.592708083473255,0
OS,1,forward,SCML2_3,SCML2,0.001643388379794123,0.5904693371711841,0
OS,1,forward,SERPING1_3,SERPING1,0.018387674428025608,0.5821539937634924,0
OS,1,forward,LOC487476_3,LOC487476,0.012509091702567362,0.5815943071879748,0
OS,1,forward,LHX2_3,LHX2,0.004964117623107679,0.6017430239066123,0
OS,1,forward,MYBL2_3,MYBL2,0.0046075558814626175,0.5996641880546894,0
OS,1,forward,EPAS1_3,EPAS1,0.001718702994018838,0.6090989046134165,0
OS,1,forward,CA14_3,CA14,0.0005236299948782918,0.5963860238266571,0
OS,1,forward,CSF1R_3,CSF1R,0.0008189578764130302,0.6057407851603103,0
OS,1,forward,IFIT3_3,IFIT3,0.001340656070030874,0.6074198448868634,0
OS,1,forward,CTSH_3,CTSH,0.003302269829375473,0.5939873670744383,0
OS,1,forward,DLGAP5_3,DLGAP5,0.0029120219951393614,0.5999040537299113,0
OS,1,forward,TTC39B_3,TTC39B,0.0002454837336944124,0.6144559046933717,0
OS,1,forward,MIS18A_3,MIS18A,0.001511823740034009,0.6129367554169665,0
OS,1,forward,CDCA5_3,CDCA5,0.009376457280374347,0.5885504117694091,0
OS,1,forward,FANCD2_3,FANCD2,0.0031155712346768324,0.5981450387782842,0
OS,1,forward,PYCARD_3,PYCARD,0.0004581262312325685,0.6250099944031342,0
OS,1,forward,GPSM3_3,GPSM3,0.0036188387595912693,0.5995042776045415,0
OS,1,forward,PARP15_3,PARP15,0.0012994564765762345,0.6036619493083873,0
OS,1,forward,ADGRG6_3,ADGRG6,0.0016758504374830587,0.6173342927960342,0
OS,1,forward,CDCA8_3,CDCA8,0.0020532892727616074,0.6055009194850883,0
OS,1,forward,ASAH1_3,ASAH1,0.0027343198166333636,0.6091788598384904,0
OS,1,forward,RGS18_3,RGS18,0.0006711760522965021,0.6355640841128968,0
OS,1,forward,SPC25_3,SPC25,0.0035518501097837494,0.5920684416726633,0
OS,1,forward,CENPK_3,CENPK,0.012336938212765136,0.5519309186855361,0
OS,1,forward,POLE_3,POLE,0.014478854737597429,0.5807947549372352,0
OS,1,forward,SELENOP_3,SELENOP,0.00022628587765739734,0.6031822179579436,0
OS,1,forward,BUB1_3,BUB1,0.005181640182155452,0.5906292476213321,0
OS,1,forward,CA5B_3,CA5B,0.01194203969356881,0.5835931878148237,0
OS,1,forward,SELPLG_3,SELPLG,0.0015976266347934012,0.6068601583113457,0
OS,1,forward,IL34_3,IL34,0.0014335175861673742,0.619812904773327,0
OS,1,forward,RBMS3_3,RBMS3,0.017592978473838783,0.571360038378508,0
OS,1,forward,LURAP1L_3,LURAP1L,0.0027842277274754074,0.5781562325097945,0
OS,1,forward,ADORA2B_3,ADORA2B,0.023514707220623852,0.5725593667546174,0
OS,1,forward,PLK4_3,PLK4,0.0024059272983898918,0.588790277444631,0
OS,1,forward,NETO1_3,NETO1,0.0011326871212804462,0.6073398896617894,0
OS,1,forward,TAGAP_3,TAGAP,0.0030485506761551654,0.6044615015591269,0
OS,1,forward,OLFML1_3,OLFML1,0.011662231399550228,0.5624050531702247,0
OS,1,forward,NR2F1_3,NR2F1,0.03315346767247838,0.5586471575917487,0
OS,1,forward,IFI30_3,IFI30,0.01263350078610562,0.5751179339569841,0
OS,1,forward,FAM180A_3,FAM180A,0.0006851885837158512,0.5898296953705925,0
OS,1,forward,E2F7_3,E2F7,0.023892918254353974,0.5846326057407851,0
OS,1,forward,SGMS1_3,SGMS1,0.00031277834136029186,0.5791156952106821,0
OS,1,forward,MPIG6B_3,MPIG6B,0.008622193761654736,0.561765411369633,0
OS,1,forward,SMO_3,SMO,0.008600891029838591,0.5749580235068362,0
OS,1,forward,CARD9_3,CARD9,0.0005464936713904649,0.6133365315423362,0
OS,1,forward,GPR183_3,GPR183,0.002591710093687342,0.5872711281682258,0
OS,1,forward,TMEM86A_3,TMEM86A,0.001222255336286338,0.6141360837930758,0
OS,1,forward,ABCC3_3,ABCC3,0.003646289447030088,0.5949468297753259,0
OS,1,forward,LOC102154334_3,LOC102154334,0.26482104815865626,0.5368993363716319,0
OS,1,forward,DSN1_3,DSN1,0.003206044831794323,0.5959862477012873,0
OS,1,forward,ORC6_3,ORC6,0.009031551887850197,0.5943871431998081,0
OS,1,forward,GSAP_3,GSAP,0.004409602722441966,0.5845526505157111,0
OS,1,forward,SCTR_3,SCTR,0.005322319780215048,0.5738786279683378,0
OS,1,forward,PSAT1_3,PSAT1,0.0102813196091021,0.5766370832333892,0
OS,1,forward,SRM_3,SRM,0.029855371553006983,0.5847925161909331,0
OS,1,forward,TMEM59L_3,TMEM59L,0.016127792015370106,0.5608859038938194,0
