variable,variable_type,pc,n,effect_size,statistic,p,test,is_transcriptomics_derived,n_groups,q
primary_immune_subtype,categorical,PC1,186,0.5458454407269372,109.97326087942044,4.306620244245642e-32,anova_eta_squared,True,3.0,3.875958219821078e-30
primary_immune_subtype,categorical,PC3,186,0.2365282804817698,28.347268288783237,1.886059301324853e-11,anova_eta_squared,True,3.0,8.487266855961837e-10
primary_immune_subtype,categorical,PC5,186,0.10149902672258597,10.336283678403081,5.584026842987942e-05,anova_eta_squared,True,3.0,0.0016752080528963827
gender,categorical,PC2,183,0.08462362569560421,8.320212894277457,0.0003499233518846014,anova_eta_squared,False,3.0,0.007873275417403531
primary_immune_subtype,categorical,PC4,186,0.07787025330929448,7.726817406520892,0.0006004418155769446,anova_eta_squared,True,3.0,0.010541862550816941
weight,continuous,PC2,185,0.060974942545428866,0.24693104816006606,0.0007027908367211295,spearman_rho_squared,False,,0.010541862550816941
PH,categorical,PC8,186,0.043278905281476834,8.323552826160505,0.004380928295646237,anova_eta_squared,False,2.0,0.056326220944023044
Group,categorical,PC8,186,0.06609638161631408,4.293641305651641,0.005908884976380978,anova_eta_squared,False,4.0,0.066474955984286
ALP,categorical,PC6,184,0.038460235586813114,7.279743527894382,0.007629657161500552,anova_eta_squared,False,2.0,0.07512437299018948
age,continuous,PC3,186,0.03720495586241486,-0.19288586226682053,0.008347152554465498,spearman_rho_squared,False,,0.07512437299018948
weight,continuous,PC3,185,0.03627846296731605,0.19046906039384992,0.009406431447813854,spearman_rho_squared,False,,0.07696171184574971
primary_immune_subtype,categorical,PC10,186,0.04496451518487895,4.307958400323602,0.014852002385831118,anova_eta_squared,True,3.0,0.10597834325929598
age,continuous,PC7,186,0.03119335348650967,0.1766164020879988,0.01588806641079426,spearman_rho_squared,False,,0.10597834325929598
ALP,categorical,PC8,184,0.031185317549526213,5.8584246263257045,0.01648552006255715,anova_eta_squared,False,2.0,0.10597834325929598
ALP,categorical,PC7,184,0.026960001281520075,5.042670640157584,0.025933291435079376,anova_eta_squared,False,2.0,0.1463443515094448
treatment,categorical,PC7,186,0.026640641258268045,5.0360413628302805,0.026016773601679078,anova_eta_squared,False,2.0,0.1463443515094448
primary_immune_subtype,categorical,PC7,186,0.03563139071435061,3.380732449159775,0.03616100447321741,anova_eta_squared,True,3.0,0.19144061191703335
Group,categorical,PC6,186,0.043902487500322065,2.7857175028686587,0.04218178928702942,anova_eta_squared,False,4.0,0.20640950678561346
PH,categorical,PC3,186,0.021951158564087782,4.129664086981911,0.04357534032140729,anova_eta_squared,False,2.0,0.20640950678561346
Site,categorical,PC7,166,0.1314085072109073,1.768919811502046,0.052727811973539325,anova_eta_squared,False,14.0,0.22951008003396062
Site,categorical,PC6,166,0.13110368768290956,1.7641974471004296,0.05355235200792414,anova_eta_squared,False,14.0,0.22951008003396062
age,continuous,PC2,186,0.018153864191832354,-0.1347362764508221,0.06672230553604112,spearman_rho_squared,False,,0.2729548862838046
primary_immune_subtype,categorical,PC6,186,0.027069149050633755,2.545738102267136,0.08118965436229254,anova_eta_squared,True,3.0,0.30773892732282077
weight,continuous,PC6,185,0.01643078272018984,0.1281826147345647,0.0820637139527522,spearman_rho_squared,False,,0.30773892732282077
treatment,categorical,PC6,186,0.015901709834756732,2.9731934694286877,0.08633402373144966,anova_eta_squared,False,2.0,0.3108024854332188
PH,categorical,PC9,186,0.014726319672515328,2.75014229431379,0.09894951970356917,anova_eta_squared,False,2.0,0.33441094985727
Site,categorical,PC1,166,0.11820186645154011,1.567311768732063,0.100323284957181,anova_eta_squared,False,14.0,0.33441094985727
Group,categorical,PC7,186,0.029573420866061396,1.8487960907620251,0.1399306632534555,anova_eta_squared,False,4.0,0.43479703088991967
Group,categorical,PC1,186,0.029558394818074575,1.8478281187188912,0.14010126550897412,anova_eta_squared,False,4.0,0.43479703088991967
treatment,categorical,PC5,186,0.010861755879460732,2.0205093612548906,0.15687974519444814,anova_eta_squared,False,2.0,0.456390559588095
treatment,categorical,PC9,186,0.010673839900498808,1.98517599240907,0.1605338789193053,anova_eta_squared,False,2.0,0.456390559588095
PH,categorical,PC1,186,0.010444795560896595,1.9421275079790081,0.1651186913517975,anova_eta_squared,False,2.0,0.456390559588095
PH,categorical,PC5,186,0.010336250565261166,1.921733624268178,0.1673432051823015,anova_eta_squared,False,2.0,0.456390559588095
PH,categorical,PC10,186,0.009514898237296154,1.7675594237074428,0.18533035329610323,anova_eta_squared,False,2.0,0.4905803469602732
