endpoint,permutation,n_tested,p_lt_0_05,p_lt_0_01,q_lt_0_25,q_lt_0_10,q_lt_0_05,min_p,min_q
DFI,observed,5000,1423,681,1829,874,493,1.2490021567164765e-07,0.0006245010783582
OS,observed,5000,1048,444,1075,362,41,1.2777104290785673e-06,0.0063885521453928
DFI,1,5000,208,38,0,0,0,0.00010604375019042375,0.5302187509521188
DFI,2,5000,255,45,0,0,0,9.289772843729073e-05,0.46448864218645364
DFI,3,5000,196,26,1,0,0,2.679016676460352e-05,0.1339508338230176
DFI,4,5000,188,36,1,0,0,4.2963575400530345e-05,0.21481787700265173
DFI,5,5000,138,17,0,0,0,0.0001434404807492915,0.7172024037464575
DFI,6,5000,179,32,0,0,0,0.001889684857976571,0.9970944988643231
DFI,7,5000,173,32,4,2,2,1.462730382601516e-06,0.00731365191300758
DFI,8,5000,320,48,0,0,0,0.0002468171518718779,0.6975960376650887
DFI,9,5000,137,21,0,0,0,0.0011378728575860743,0.999315918033134
DFI,10,5000,311,53,1,0,0,4.6041613344913726e-05,0.23020806672456862
OS,1,5000,130,15,0,0,0,0.00015827508759667897,0.5701126617245129
OS,2,5000,189,44,0,0,0,0.00025439574256120147,0.5758333187866744
OS,3,5000,164,34,0,0,0,0.0003115420752657532,0.4349997729157991
OS,4,5000,447,160,121,3,0,1.2611724873901468e-05,0.06305862436950734
OS,5,5000,58,7,0,0,0,0.003223834179644985,0.9995619618945577
OS,6,5000,340,60,1,0,0,4.500342147821939e-05,0.22501710739109693
OS,7,5000,217,36,0,0,0,0.00024571462860628287,0.8989106633290538
OS,8,5000,446,130,24,4,0,2.813415965514447e-05,0.07556030957495538
OS,9,5000,210,36,0,0,0,0.00018601559170662525,0.9300779585331262
OS,10,5000,133,21,0,0,0,0.00033527589779948146,0.997519940618081
