endpoint,module_label,contrast,model_a,model_b,mean_repeat_c_index_a,mean_repeat_c_index_b,n_repeats,n_fold_pairs,mean_delta_c_index,median_delta_c_index,std_delta_c_index,bootstrap_repeat_mean_ci_low,bootstrap_repeat_mean_ci_high,fraction_repeat_deltas_positive,wilcoxon_repeat_p_two_sided,wilcoxon_repeat_p_greater,sign_repeat_p_two_sided,sign_repeat_p_greater,corrected_t,corrected_t_df,corrected_t_p_two_sided,corrected_standard_error,correction_factor,wilcoxon_repeat_p_two_sided_bh_q,wilcoxon_repeat_p_greater_bh_q,corrected_t_p_two_sided_bh_q,descriptive_support
DFI,M40,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.6613479688119485,0.5,20,100,0.16134796881194846,0.16111992991751894,0.007347937522512899,0.15835219244931464,0.1645239063778385,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,6.32315304855806,99.0,7.4293527699461765e-09,0.025517011461353527,0.26,2.9925642342403016e-06,2.47955322265625e-06,5.86918868825748e-07,strong_descriptive_support
DFI,M25,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.6125023448411367,0.5,20,100,0.1125023448411366,0.11350115299572205,0.009942734377987133,0.10833952854983016,0.11670076569752222,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,3.478869693058126,99.0,0.0007499977611409363,0.032338763669598855,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.006583313681125996,strong_descriptive_support
DFI,M11,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.609822772492757,0.5,20,100,0.109822772492757,0.1117202465372199,0.007379287228518722,0.10663558453261997,0.11301769025890164,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,4.052766274533653,99.0,0.00010083729670182923,0.02709822502789016,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.0015932292878889018,strong_descriptive_support
DFI,M28,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.6085714110998217,0.5,20,100,0.1085714110998218,0.10846181553931267,0.005777709226185394,0.10614240333705137,0.11105972320069935,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,3.653969962003342,99.0,0.00041524711980627595,0.029713274117966742,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.0046863603520994,strong_descriptive_support
DFI,M24,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.6068549770502143,0.5,20,100,0.10685497705021434,0.10539422485920308,0.006002492704169323,0.10451597155352736,0.10957164671337993,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,3.5963630130482263,99.0,0.0005054627835880682,0.02971195528997658,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.004991444987932173,strong_descriptive_support
DFI,M34,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.603059180752875,0.5,20,100,0.10305918075287494,0.10362630428965591,0.008378527576528223,0.09955646245126164,0.1066414600343385,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,4.175802375073177,99.0,6.39718625968987e-05,0.024680090554110315,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.0012634442862887493,strong_descriptive_support
DFI,M17,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.5770524228887701,0.5,20,100,0.0770524228887701,0.07713165081655127,0.007224563957347895,0.07406280970281985,0.08018239064919071,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,2.632377701107246,99.0,0.00983739381160041,0.029271036164893766,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.06476284259303604,strong_descriptive_support
DFI,M38,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.5722847415564889,0.5,20,100,0.07228474155648892,0.07270532331531993,0.007414768001231107,0.0691018447730577,0.07536525860304097,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,2.5841500083171414,99.0,0.011221639822710804,0.02797234731878528,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.06819304199955027,strong_descriptive_support
DFI,M40,disjoint_residual_vs_module_only,residual_to_disjoint_proliferation,module_only,0.6613479688119485,0.6359537020119748,20,100,0.02539426679997366,0.02237733497808536,0.012811506120860926,0.02023357786472664,0.03125931411920069,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,0.8166862753533788,99.0,0.4160686329403276,0.031094273978077566,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.5817488111643591,strong_descriptive_support
DFI,M11,disjoint_residual_vs_module_only,residual_to_disjoint_proliferation,module_only,0.609822772492757,0.6185646868310735,20,100,-0.008741914338316498,-0.00925882244843479,0.0030681320956767255,-0.009990748870528988,-0.007314210418954224,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-1.6653676909463815,99.0,0.09900098213698062,0.005249239784007534,0.26,2.9925642342403016e-06,1.0,0.2511341523642911,no_consistent_positive_support
