endpoint,module_label,contrast,model_a,model_b,mean_repeat_c_index_a,mean_repeat_c_index_b,n_repeats,n_fold_pairs,mean_delta_c_index,median_delta_c_index,std_delta_c_index,bootstrap_repeat_mean_ci_low,bootstrap_repeat_mean_ci_high,fraction_repeat_deltas_positive,wilcoxon_repeat_p_two_sided,wilcoxon_repeat_p_greater,sign_repeat_p_two_sided,sign_repeat_p_greater,corrected_t,corrected_t_df,corrected_t_p_two_sided,corrected_standard_error,correction_factor,wilcoxon_repeat_p_two_sided_bh_q,wilcoxon_repeat_p_greater_bh_q,corrected_t_p_two_sided_bh_q,descriptive_support
DFI,M11,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.6406628931488894,0.6077530718737091,20,100,0.03290982127518033,0.034404258349913786,0.007240267219485759,0.02963759272460143,0.035807121000735465,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.3148503164157892,99.0,0.1915978808970932,0.02502932909115519,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.34198556984757894,strong_descriptive_support
DFI,M11,module_vs_disjoint_proliferation,module_only,disjoint_proliferation_only,0.6185646868310735,0.6077530718737091,20,100,0.010811614957364468,0.010335915695831865,0.009898454107292462,0.0066930696625498096,0.015052054411408148,0.85,0.000133514404296875,6.67572021484375e-05,0.0025768280029296875,0.0012884140014648438,0.29763464770554404,99.0,0.7666057063828781,0.03632512222858084,0.26,0.00017867368810317095,0.00013806603171608666,0.829614394578731,moderate_descriptive_support
DFI,M11,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.6406628931488894,0.6185646868310735,20,100,0.02209820631781586,0.02455443051103523,0.009789647214971749,0.017982680245698105,0.02621156642620738,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.135502372567242,99.0,0.25890641972563955,0.019461171417770186,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.4162983471447286,strong_descriptive_support
DFI,M11,disjoint_residual_vs_module_only,residual_to_disjoint_proliferation,module_only,0.609822772492757,0.6185646868310735,20,100,-0.008741914338316498,-0.00925882244843479,0.0030681320956767255,-0.009990748870528988,-0.007314210418954224,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-1.6653676909463815,99.0,0.09900098213698062,0.005249239784007534,0.26,2.9925642342403016e-06,1.0,0.2511341523642911,no_consistent_positive_support
DFI,M11,disjoint_residual_vs_original_residual,residual_to_disjoint_proliferation,residual_to_original_proliferation,0.609822772492757,0.609822772492757,20,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,1.0,1.0,,no_consistent_positive_support
DFI,M11,weight_adjusted_residual_vs_unadjusted_residual,residual_to_disjoint_proliferation_and_weight,residual_to_disjoint_proliferation,0.5982525458390443,0.609822772492757,20,100,-0.011570226653712634,-0.011541685401495416,0.002919345000517998,-0.012853069976313037,-0.010317370701055107,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-1.8508914496001103,99.0,0.06716661596119523,0.006251164354458713,0.26,2.9925642342403016e-06,1.0,0.21084897106961056,no_consistent_positive_support
DFI,M11,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.609822772492757,0.5,20,100,0.109822772492757,0.1117202465372199,0.007379287228518722,0.10663558453261997,0.11301769025890164,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,4.052766274533653,99.0,0.00010083729670182923,0.02709822502789016,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.0015932292878889018,strong_descriptive_support
DFI,M17,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.6320489694917939,0.6077530718737091,20,100,0.024295897618084965,0.02525568242602977,0.009961690209998824,0.01987584958644231,0.028340280005978234,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.1293754772404627,99.0,0.2614685661014526,0.021512683875029793,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.4162983471447286,strong_descriptive_support
DFI,M17,module_vs_disjoint_proliferation,module_only,disjoint_proliferation_only,0.6003221908374103,0.6077530718737091,20,100,-0.007430881036298753,-0.007560079745613624,0.01177954874206311,-0.012611272269228084,-0.002604683889627699,0.2,0.00485992431640625,0.997889518737793,0.01181793212890625,0.9987115859985352,-0.19524069236157704,99.0,0.8456046662303707,0.03806010389748609,0.26,0.0058967081705729165,1.0,0.8789837977920959,no_consistent_positive_support
DFI,M17,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.6320489694917939,0.6003221908374103,20,100,0.03172677865438372,0.03406019433589491,0.011369635781359003,0.02667713680379269,0.03640978826149158,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.4003010708101165,99.0,0.1645494687938366,0.02265711232801445,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.3095097151122165,strong_descriptive_support
