endpoint,module_label,model,repeat,n_valid_folds,repeat_mean_c_index,repeat_median_c_index,repeat_min_c_index,repeat_max_c_index
DFI,M11,disjoint_proliferation_only,1,5,0.6044202041257228,0.6203522504892368,0.4676409185803757,0.6787762906309751
DFI,M11,disjoint_proliferation_only,2,5,0.6055281066443412,0.5781818181818181,0.5296229802513465,0.7302752293577982
DFI,M11,disjoint_proliferation_only,3,5,0.6125819122748887,0.6143410852713178,0.5709281961471103,0.6548323471400395
DFI,M11,disjoint_proliferation_only,4,5,0.6000352172013367,0.6036363636363636,0.5761316872427984,0.6191489361702127
DFI,M11,disjoint_proliferation_only,5,5,0.61715154935101,0.5551782682512734,0.5480349344978166,0.7252964426877471
DFI,M11,disjoint_proliferation_only,6,5,0.6122750797242162,0.592057761732852,0.5588752196836555,0.6936758893280632
DFI,M11,disjoint_proliferation_only,7,5,0.6272614070537075,0.631578947368421,0.5509090909090909,0.7295238095238096
DFI,M11,disjoint_proliferation_only,8,5,0.6108119955792135,0.6027874564459931,0.5372848948374761,0.7200704225352113
DFI,M11,disjoint_proliferation_only,9,5,0.6050498151898642,0.6032608695652174,0.5009633911368016,0.7033898305084746
DFI,M11,disjoint_proliferation_only,10,5,0.6081864688767199,0.6363636363636364,0.4618473895582329,0.7332185886402753
DFI,M11,disjoint_proliferation_only,11,5,0.6091402183154572,0.6072106261859582,0.547576301615799,0.6817325800376648
DFI,M11,disjoint_proliferation_only,12,5,0.6104268727236135,0.6377952755905512,0.4702380952380952,0.678373382624769
DFI,M11,disjoint_proliferation_only,13,5,0.5914174934124731,0.5950704225352113,0.5297741273100616,0.6498054474708171
DFI,M11,disjoint_proliferation_only,14,5,0.6026740460626341,0.6289424860853432,0.4915572232645403,0.6673728813559322
DFI,M11,disjoint_proliferation_only,15,5,0.6122817365787934,0.6243386243386243,0.5385906040268457,0.6647058823529411
DFI,M11,disjoint_proliferation_only,16,5,0.6079107787279705,0.6068376068376068,0.5813492063492064,0.6382189239332097
DFI,M11,disjoint_proliferation_only,17,5,0.6098568223670597,0.6064400715563506,0.560081466395112,0.6494252873563219
DFI,M11,disjoint_proliferation_only,18,5,0.6076035932945165,0.602510460251046,0.4990825688073395,0.7449908925318761
DFI,M11,disjoint_proliferation_only,19,5,0.5991237622538222,0.5841584158415841,0.5509090909090909,0.6964285714285714
DFI,M11,disjoint_proliferation_only,20,5,0.6013243577168194,0.5923217550274223,0.493069306930693,0.6837121212121212
DFI,M11,module_only,1,5,0.6249478159494884,0.6516634050880626,0.5260960334029228,0.6998087954110899
DFI,M11,module_only,2,5,0.6160110527430053,0.5963302752293578,0.5622317596566524,0.7001795332136446
DFI,M11,module_only,3,5,0.6254861417157342,0.6317829457364341,0.5779092702169625,0.669260700389105
DFI,M11,module_only,4,5,0.6092673158201158,0.6152263374485597,0.5317725752508361,0.6763636363636364
DFI,M11,module_only,5,5,0.6197958841240666,0.6300174520069808,0.5612648221343873,0.6724890829694323
DFI,M11,module_only,6,5,0.6205957548603734,0.6225296442687747,0.5360281195079086,0.6790393013100436
DFI,M11,module_only,7,5,0.6230718133429602,0.5992217898832685,0.5875251509054326,0.6952380952380952
DFI,M11,module_only,8,5,0.6205299874048265,0.609942638623327,0.5684210526315789,0.6600790513833992
DFI,M11,module_only,9,5,0.6194872057485677,0.6329588014981273,0.5741811175337187,0.6431159420289855
DFI,M11,module_only,10,5,0.6221733354722823,0.6462450592885376,0.512962962962963,0.6706827309236948
DFI,M11,module_only,11,5,0.6262465276724054,0.655367231638418,0.537109375,0.6786355475763016
DFI,M11,module_only,12,5,0.609748072136406,0.6303142329020333,0.5198412698412699,0.6835443037974683
DFI,M11,module_only,13,5,0.6228942656141225,0.6285211267605634,0.5585215605749486,0.6791744840525328
DFI,M11,module_only,14,5,0.615594818166892,0.6029684601113172,0.5645472061657033,0.673728813559322
DFI,M11,module_only,15,5,0.6033178396966997,0.6225749559082893,0.5373443983402489,0.6524390243902439
DFI,M11,module_only,16,5,0.6082744269708301,0.5854700854700855,0.5677179962894249,0.6823104693140795
DFI,M11,module_only,17,5,0.6200457076600594,0.6130346232179226,0.5862068965517241,0.6940966010733453
DFI,M11,module_only,18,5,0.6262344236132728,0.6302681992337165,0.5545112781954887,0.6778242677824268
DFI,M11,module_only,19,5,0.626426717688825,0.6079207920792079,0.5543278084714549,0.7
DFI,M11,module_only,20,5,0.6111446302205362,0.6279926335174953,0.4198019801980198,0.7312614259597806
DFI,M11,module_plus_disjoint_proliferation,1,5,0.6406899356583944,0.697594501718213,0.4885177453027139,0.722753346080306
DFI,M11,module_plus_disjoint_proliferation,2,5,0.626227640127901,0.6182495344506518,0.6018181818181818,0.6568807339449542
DFI,M11,module_plus_disjoint_proliferation,3,5,0.6406248864145535,0.6549912434325744,0.5996055226824457,0.6614785992217899
DFI,M11,module_plus_disjoint_proliferation,4,5,0.6416487389744314,0.6599264705882353,0.5787234042553191,0.6890909090909091
DFI,M11,module_plus_disjoint_proliferation,5,5,0.6454397807853225,0.6462882096069869,0.6284584980237155,0.66723259762309
DFI,M11,module_plus_disjoint_proliferation,6,5,0.652350970778235,0.6768558951965066,0.5272407732864675,0.7256317689530686
DFI,M11,module_plus_disjoint_proliferation,7,5,0.6482745449603617,0.6338028169014085,0.5872727272727273,0.7257142857142858
DFI,M11,module_plus_disjoint_proliferation,8,5,0.6470702952379319,0.650197628458498,0.5889101338432122,0.6848591549295775
DFI,M11,module_plus_disjoint_proliferation,9,5,0.6461651363380095,0.6594202898550725,0.5472061657032755,0.7097457627118644
DFI,M11,module_plus_disjoint_proliferation,10,5,0.6295972395160556,0.6557659208261618,0.5425925925925926,0.701195219123506
DFI,M11,module_plus_disjoint_proliferation,11,5,0.639725002235745,0.6601941747572816,0.54296875,0.7024482109227872
DFI,M11,module_plus_disjoint_proliferation,12,5,0.643305169174358,0.6598890942698706,0.494047619047619,0.7323688969258589
DFI,M11,module_plus_disjoint_proliferation,13,5,0.6350051672235903,0.6360225140712945,0.5708418891170431,0.6672535211267606
DFI,M11,module_plus_disjoint_proliferation,14,5,0.639500947571561,0.647495361781076,0.5590994371482176,0.7288135593220338
DFI,M11,module_plus_disjoint_proliferation,15,5,0.6445616579933736,0.6490196078431373,0.5560165975103735,0.725609756097561
DFI,M11,module_plus_disjoint_proliferation,16,5,0.6423765193458875,0.640074211502783,0.594017094017094,0.703971119133574
DFI,M11,module_plus_disjoint_proliferation,17,5,0.6319900682657005,0.6337760910815939,0.5845213849287169,0.6797853309481217
DFI,M11,module_plus_disjoint_proliferation,18,5,0.6419463693764271,0.6475095785440613,0.5504587155963303,0.7194899817850637
DFI,M11,module_plus_disjoint_proliferation,19,5,0.6377150364354858,0.6316831683168317,0.5874769797421732,0.6910714285714286
DFI,M11,module_plus_disjoint_proliferation,20,5,0.6390427565644615,0.7090239410681399,0.4237623762376237,0.7196969696969697
DFI,M11,module_plus_original_proliferation,1,5,0.6406899356583944,0.697594501718213,0.4885177453027139,0.722753346080306
DFI,M11,module_plus_original_proliferation,2,5,0.626227640127901,0.6182495344506518,0.6018181818181818,0.6568807339449542
DFI,M11,module_plus_original_proliferation,3,5,0.6406248864145535,0.6549912434325744,0.5996055226824457,0.6614785992217899
DFI,M11,module_plus_original_proliferation,4,5,0.6416487389744314,0.6599264705882353,0.5787234042553191,0.6890909090909091
DFI,M11,module_plus_original_proliferation,5,5,0.6454397807853225,0.6462882096069869,0.6284584980237155,0.66723259762309
DFI,M11,module_plus_original_proliferation,6,5,0.652350970778235,0.6768558951965066,0.5272407732864675,0.7256317689530686
DFI,M11,module_plus_original_proliferation,7,5,0.6482745449603617,0.6338028169014085,0.5872727272727273,0.7257142857142858
DFI,M11,module_plus_original_proliferation,8,5,0.6470702952379319,0.650197628458498,0.5889101338432122,0.6848591549295775
DFI,M11,module_plus_original_proliferation,9,5,0.6461651363380095,0.6594202898550725,0.5472061657032755,0.7097457627118644
DFI,M11,module_plus_original_proliferation,10,5,0.6295972395160556,0.6557659208261618,0.5425925925925926,0.701195219123506
DFI,M11,module_plus_original_proliferation,11,5,0.639725002235745,0.6601941747572816,0.54296875,0.7024482109227872
DFI,M11,module_plus_original_proliferation,12,5,0.643305169174358,0.6598890942698706,0.494047619047619,0.7323688969258589
DFI,M11,module_plus_original_proliferation,13,5,0.6350051672235903,0.6360225140712945,0.5708418891170431,0.6672535211267606
DFI,M11,module_plus_original_proliferation,14,5,0.639500947571561,0.647495361781076,0.5590994371482176,0.7288135593220338
DFI,M11,module_plus_original_proliferation,15,5,0.6445616579933736,0.6490196078431373,0.5560165975103735,0.725609756097561
DFI,M11,module_plus_original_proliferation,16,5,0.6423765193458875,0.640074211502783,0.594017094017094,0.703971119133574
DFI,M11,module_plus_original_proliferation,17,5,0.6319900682657005,0.6337760910815939,0.5845213849287169,0.6797853309481217
DFI,M11,module_plus_original_proliferation,18,5,0.6419463693764271,0.6475095785440613,0.5504587155963303,0.7194899817850637
DFI,M11,module_plus_original_proliferation,19,5,0.6377150364354858,0.6316831683168317,0.5874769797421732,0.6910714285714286
DFI,M11,module_plus_original_proliferation,20,5,0.6390427565644615,0.7090239410681399,0.4237623762376237,0.7196969696969697
DFI,M11,original_proliferation_only,1,5,0.6044202041257228,0.6203522504892368,0.4676409185803757,0.6787762906309751
DFI,M11,original_proliferation_only,2,5,0.6055281066443412,0.5781818181818181,0.5296229802513465,0.7302752293577982
DFI,M11,original_proliferation_only,3,5,0.6125819122748887,0.6143410852713178,0.5709281961471103,0.6548323471400395
DFI,M11,original_proliferation_only,4,5,0.6000352172013367,0.6036363636363636,0.5761316872427984,0.6191489361702127
DFI,M11,original_proliferation_only,5,5,0.61715154935101,0.5551782682512734,0.5480349344978166,0.7252964426877471
DFI,M11,original_proliferation_only,6,5,0.6122750797242162,0.592057761732852,0.5588752196836555,0.6936758893280632
DFI,M11,original_proliferation_only,7,5,0.6272614070537075,0.631578947368421,0.5509090909090909,0.7295238095238096
DFI,M11,original_proliferation_only,8,5,0.6108119955792135,0.6027874564459931,0.5372848948374761,0.7200704225352113
DFI,M11,original_proliferation_only,9,5,0.6050498151898642,0.6032608695652174,0.5009633911368016,0.7033898305084746
DFI,M11,original_proliferation_only,10,5,0.6081864688767199,0.6363636363636364,0.4618473895582329,0.7332185886402753
DFI,M11,original_proliferation_only,11,5,0.6091402183154572,0.6072106261859582,0.547576301615799,0.6817325800376648
DFI,M11,original_proliferation_only,12,5,0.6104268727236135,0.6377952755905512,0.4702380952380952,0.678373382624769
DFI,M11,original_proliferation_only,13,5,0.5914174934124731,0.5950704225352113,0.5297741273100616,0.6498054474708171
DFI,M11,original_proliferation_only,14,5,0.6026740460626341,0.6289424860853432,0.4915572232645403,0.6673728813559322
