endpoint,repeat,fold,module_label,model,c_index,error,n_train,n_test,train_events,test_events,n_module_genes_used,n_original_proliferation_genes_used,n_disjoint_proliferation_genes_used,module_pc1_explained_variance,original_proliferation_pc1_explained_variance,disjoint_proliferation_pc1_explained_variance,train_module_original_proliferation_correlation,train_module_disjoint_proliferation_correlation,residual_sd_before_standardization
DFI,1,1,M11,module_only,0.6924398625429553,,148,38,114,29,8,251,251,0.46859947241431366,0.6467287633869957,0.6467287633869957,0.05892704895128991,0.05892704895128991,
DFI,1,1,M11,original_proliferation_only,0.6134020618556701,,148,38,114,29,8,251,251,0.46859947241431366,0.6467287633869957,0.6467287633869957,0.05892704895128991,0.05892704895128991,
DFI,1,1,M11,module_plus_original_proliferation,0.697594501718213,,148,38,114,29,8,251,251,0.46859947241431366,0.6467287633869957,0.6467287633869957,0.05892704895128991,0.05892704895128991,
DFI,1,1,M11,disjoint_proliferation_only,0.6134020618556701,,148,38,114,29,8,251,251,0.46859947241431366,0.6467287633869957,0.6467287633869957,0.05892704895128991,0.05892704895128991,
DFI,1,1,M11,module_plus_disjoint_proliferation,0.697594501718213,,148,38,114,29,8,251,251,0.46859947241431366,0.6467287633869957,0.6467287633869957,0.05892704895128991,0.05892704895128991,
DFI,1,1,M11,residual_to_original_proliferation,0.6855670103092784,,148,38,114,29,8,251,251,0.46859947241431366,0.6467287633869957,0.6467287633869957,0.05892704895128991,0.05892704895128991,0.9982622916357666
DFI,1,1,M11,residual_to_disjoint_proliferation,0.6855670103092784,,148,38,114,29,8,251,251,0.46859947241431366,0.6467287633869957,0.6467287633869957,0.05892704895128991,0.05892704895128991,0.9982622916357666
DFI,1,1,M11,residual_to_disjoint_proliferation_and_weight,0.6701030927835051,,148,38,114,29,8,251,251,0.46859947241431366,0.6467287633869957,0.6467287633869957,0.05892704895128991,0.05892704895128991,0.9863954952992035
DFI,1,1,M17,module_only,0.584192439862543,,148,38,114,29,5,251,251,0.5391910765183006,0.6467287633869957,0.6467287633869957,0.261724010010608,0.261724010010608,
DFI,1,1,M17,original_proliferation_only,0.6134020618556701,,148,38,114,29,5,251,251,0.5391910765183006,0.6467287633869957,0.6467287633869957,0.261724010010608,0.261724010010608,
DFI,1,1,M17,module_plus_original_proliferation,0.6580756013745704,,148,38,114,29,5,251,251,0.5391910765183006,0.6467287633869957,0.6467287633869957,0.261724010010608,0.261724010010608,
DFI,1,1,M17,disjoint_proliferation_only,0.6134020618556701,,148,38,114,29,5,251,251,0.5391910765183006,0.6467287633869957,0.6467287633869957,0.261724010010608,0.261724010010608,
DFI,1,1,M17,module_plus_disjoint_proliferation,0.6580756013745704,,148,38,114,29,5,251,251,0.5391910765183006,0.6467287633869957,0.6467287633869957,0.261724010010608,0.261724010010608,
DFI,1,1,M17,residual_to_original_proliferation,0.5360824742268041,,148,38,114,29,5,251,251,0.5391910765183006,0.6467287633869957,0.6467287633869957,0.261724010010608,0.261724010010608,0.9651427576187718
DFI,1,1,M17,residual_to_disjoint_proliferation,0.5360824742268041,,148,38,114,29,5,251,251,0.5391910765183006,0.6467287633869957,0.6467287633869957,0.261724010010608,0.261724010010608,0.9651427576187718
DFI,1,1,M17,residual_to_disjoint_proliferation_and_weight,0.5360824742268041,,148,38,114,29,5,251,251,0.5391910765183006,0.6467287633869957,0.6467287633869957,0.261724010010608,0.261724010010608,0.9644166716415716
DFI,1,1,M20,module_only,0.5652920962199313,,148,38,114,29,4,251,251,0.5666391516711737,0.6467287633869957,0.6467287633869957,0.0827458901186888,0.0827458901186888,
DFI,1,1,M20,original_proliferation_only,0.6134020618556701,,148,38,114,29,4,251,251,0.5666391516711737,0.6467287633869957,0.6467287633869957,0.0827458901186888,0.0827458901186888,
DFI,1,1,M20,module_plus_original_proliferation,0.6254295532646048,,148,38,114,29,4,251,251,0.5666391516711737,0.6467287633869957,0.6467287633869957,0.0827458901186888,0.0827458901186888,
DFI,1,1,M20,disjoint_proliferation_only,0.6134020618556701,,148,38,114,29,4,251,251,0.5666391516711737,0.6467287633869957,0.6467287633869957,0.0827458901186888,0.0827458901186888,
DFI,1,1,M20,module_plus_disjoint_proliferation,0.6254295532646048,,148,38,114,29,4,251,251,0.5666391516711737,0.6467287633869957,0.6467287633869957,0.0827458901186888,0.0827458901186888,
DFI,1,1,M20,residual_to_original_proliferation,0.5446735395189003,,148,38,114,29,4,251,251,0.5666391516711737,0.6467287633869957,0.6467287633869957,0.0827458901186888,0.0827458901186888,0.9965706787119847
DFI,1,1,M20,residual_to_disjoint_proliferation,0.5446735395189003,,148,38,114,29,4,251,251,0.5666391516711737,0.6467287633869957,0.6467287633869957,0.0827458901186888,0.0827458901186888,0.9965706787119847
DFI,1,1,M20,residual_to_disjoint_proliferation_and_weight,0.5412371134020618,,148,38,114,29,4,251,251,0.5666391516711737,0.6467287633869957,0.6467287633869957,0.0827458901186888,0.0827458901186888,0.9883675859603723
DFI,1,1,M23,module_only,0.654639175257732,,148,38,114,29,4,251,251,0.5841634353210087,0.6467287633869957,0.6467287633869957,0.4012876381550231,0.4012876381550231,
DFI,1,1,M23,original_proliferation_only,0.6134020618556701,,148,38,114,29,4,251,251,0.5841634353210087,0.6467287633869957,0.6467287633869957,0.4012876381550231,0.4012876381550231,
DFI,1,1,M23,module_plus_original_proliferation,0.6718213058419243,,148,38,114,29,4,251,251,0.5841634353210087,0.6467287633869957,0.6467287633869957,0.4012876381550231,0.4012876381550231,
