endpoint,algorithm,alpha,gene_rank,gene,gene_symbol_clean
DFI,IAMB,0.05,1,TMEM178A_3,TMEM178A
DFI,IAMB,0.05,2,TRIP13_3,TRIP13
DFI,IAMB,0.05,3,ADAMTS4_3,ADAMTS4
DFI,IAMB,0.05,4,OSR2_3,OSR2
DFI,IAMB,0.05,5,LOC119878294,LOC119878294
DFI,IAMB,0.05,6,DDIT4_3,DDIT4
DFI,IAMB,0.05,7,CENPV_3,CENPV
DFI,GSMB,0.05,1,TRIP13_3,TRIP13
DFI,GSMB,0.05,2,ADAMTS4_3,ADAMTS4
DFI,GSMB,0.05,3,OSR2_3,OSR2
DFI,GSMB,0.05,4,LOC119878294,LOC119878294
DFI,GSMB,0.05,5,CENPV_3,CENPV
DFI,GSMB,0.05,6,ANGPT2_3,ANGPT2
DFI,GSMB,0.05,7,ELOVL4_3,ELOVL4
DFI,IAMB,0.1,1,TMEM178A_3,TMEM178A
DFI,IAMB,0.1,2,TRIP13_3,TRIP13
DFI,IAMB,0.1,3,ADAMTS4_3,ADAMTS4
DFI,IAMB,0.1,4,DSCC1_3,DSCC1
DFI,IAMB,0.1,5,OSR2_3,OSR2
DFI,IAMB,0.1,6,LOC119878294,LOC119878294
DFI,IAMB,0.1,7,DDIT4_3,DDIT4
DFI,IAMB,0.1,8,CENPV_3,CENPV
DFI,GSMB,0.1,1,GPRC5C_3,GPRC5C
DFI,GSMB,0.1,2,BTK_3,BTK
DFI,GSMB,0.1,3,MCM10_3,MCM10
DFI,GSMB,0.1,4,HSP70_3,HSP70
DFI,GSMB,0.1,5,OSR2_3,OSR2
DFI,GSMB,0.1,6,LOC119878294,LOC119878294
DFI,GSMB,0.1,7,DDIT4_3,DDIT4
DFI,GSMB,0.1,8,CENPV_3,CENPV
DFI,GSMB,0.1,9,ANGPT2_3,ANGPT2
DFI,GSMB,0.1,10,PRRT4_3,PRRT4
DFI,IAMB,0.2,1,GPRC5C_3,GPRC5C
DFI,IAMB,0.2,2,TMEM178A_3,TMEM178A
DFI,IAMB,0.2,3,BTK_3,BTK
DFI,IAMB,0.2,4,TRIP13_3,TRIP13
DFI,IAMB,0.2,5,ADORA2B_3,ADORA2B
DFI,IAMB,0.2,6,HSP70_3,HSP70
DFI,IAMB,0.2,7,ACSS3_3,ACSS3
DFI,IAMB,0.2,8,DSCC1_3,DSCC1
DFI,IAMB,0.2,9,OSR2_3,OSR2
DFI,IAMB,0.2,10,LOC119878294,LOC119878294
DFI,IAMB,0.2,11,CA14_3,CA14
DFI,IAMB,0.2,12,MYOF_3,MYOF
DFI,IAMB,0.2,13,DDIT4_3,DDIT4
DFI,IAMB,0.2,14,CENPV_3,CENPV
DFI,IAMB,0.2,15,ANGPT2_3,ANGPT2
DFI,IAMB,0.2,16,UPP1_3,UPP1
DFI,IAMB,0.2,17,PRRT4_3,PRRT4
DFI,GSMB,0.2,1,GPRC5C_3,GPRC5C
