endpoint,algorithm,alpha,n_selected,selected_genes,time_sec,cox_c_index,error,cox_error
DFI,IAMB,0.05,7,TMEM178A_3;TRIP13_3;ADAMTS4_3;OSR2_3;LOC119878294;DDIT4_3;CENPV_3,0.49590015411376953,0.707621452978755,,
DFI,GSMB,0.05,7,TRIP13_3;ADAMTS4_3;OSR2_3;LOC119878294;CENPV_3;ANGPT2_3;ELOVL4_3,0.23441147804260254,0.6979646412123013,,
DFI,IAMB,0.1,8,TMEM178A_3;TRIP13_3;ADAMTS4_3;DSCC1_3;OSR2_3;LOC119878294;DDIT4_3;CENPV_3,0.538132905960083,0.7161640172336948,,
DFI,GSMB,0.1,10,GPRC5C_3;BTK_3;MCM10_3;HSP70_3;OSR2_3;LOC119878294;DDIT4_3;CENPV_3;ANGPT2_3;PRRT4_3,0.47143077850341797,0.7156440350616551,,
DFI,IAMB,0.2,17,GPRC5C_3;TMEM178A_3;BTK_3;TRIP13_3;ADORA2B_3;HSP70_3;ACSS3_3;DSCC1_3;OSR2_3;LOC119878294;CA14_3;MYOF_3;DDIT4_3;CENPV_3;ANGPT2_3;UPP1_3;PRRT4_3,1.2886927127838135,0.7281978903580448,,
DFI,GSMB,0.2,17,GPRC5C_3;BTK_3;RETSAT_3;ADORA2B_3;ACSS3_3;HSP70_3;ADAMTS4_3;DSCC1_3;CA14_3;OSR2_3;ANGPT2_3;LOC119878294;DDIT4_3;CENPV_3;MCM10_3;ELOVL4_3;PRRT4_3,0.9027059078216553,0.7238894666468578,,
OS,IAMB,0.05,7,ADAMTS4_3;DSCC1_3;OSR2_3;LOC119878294;KBTBD12_3;DDIT4_3;ELOVL4_3,0.4735991954803467,0.6996881746222116,,
OS,GSMB,0.05,8,GPRC5C_3;ACSS3_3;DSCC1_3;LOC119878294;DDIT4_3;CENPV_3;ANGPT2_3;ELOVL4_3,0.3453714847564697,0.7059246821779803,,
OS,IAMB,0.1,10,VGLL2_3;ADAMTS4_3;DSCC1_3;OSR2_3;LOC119878294;KBTBD12_3;NSMCE2_3;DDIT4_3;ANGPT2_3;ELOVL4_3,0.6866936683654785,0.7134404733349324,,
OS,GSMB,0.1,12,GPRC5C_3;LOC612325_3;ACSS3_3;ADAMTS4_3;DSCC1_3;CA14_3;LOC119878294;DDIT4_3;CENPV_3;ANGPT2_3;PHGDH_2;ELOVL4_3,0.4425170421600342,0.7092828016310866,,
OS,IAMB,0.2,17,GPRC5C_3;VGLL2_3;LY96_3;RETSAT_3;ACSS3_3;ADAMTS4_3;DSCC1_3;OSR2_3;LOC119878294;KBTBD12_3;CA14_3;H2AX_3;DDIT4_3;RBM44_3;ANGPT2_3;PHGDH_2;ELOVL4_3,1.307748794555664,0.71439993603582,,
OS,GSMB,0.2,16,GPRC5C_3;VGLL2_3;LY96_3;EPHA2_3;ACSS3_3;ADAMTS4_3;DSCC1_3;CA14_3;OSR2_3;KBTBD12_3;H2AX_3;LOC119878294;DDIT4_3;ANGPT2_3;PHGDH_2;ELOVL4_3,1.1240477561950684,0.7261533541216919,,
