module_label,score_variant,adjustment,covariates,n,events,hr_per_sd,ci_low,ci_high,p,coef,se_coef,c_index,ph_test_p,error,interpretation_note
M34,strict_signed_mean,unadjusted,,36,18,0.8064440624284793,0.5090348336254141,1.277617920947089,0.359483695206541,-0.21512074224946046,0.23475843981813715,0.5297029702970297,0.3941636349686889,,
M34,strict_signed_mean,age,age_z,36,18,0.8084995747636498,0.507676247257719,1.2875756270337577,0.37059909111313005,-0.21257512592225697,0.23742080000812546,0.5272277227722773,0.41017350645218786,,
M34,strict_signed_mean,age_plus_sex,age_z;sex_male,36,18,0.7717922334513188,0.47917326645833846,1.2431061858238384,0.2868063658284004,-0.259039892832439,0.24319484058006335,0.5594059405940595,0.4118998963464845,,
M34,strict_signed_mean,proliferation,strict_human_meta_proliferation_pc1_z,36,18,0.8208237244902067,0.5056625375278567,1.3324134905858198,0.42438357512128844,-0.19744690087734526,0.24716722195486782,0.5321782178217822,0.6526821703160643,,
M34,strict_signed_mean,age_plus_proliferation,age_z;strict_human_meta_proliferation_pc1_z,36,18,0.8234715901787658,0.5043034820871749,1.3446376713978878,0.4375513180775962,-0.19422622883171442,0.2501835850894592,0.5346534653465347,0.6780072119160456,,
M34,strict_signed_mean,post_treatment_necrosis_response,good_necrosis_response_ge90,36,18,0.8051247820172456,0.4868679504175886,1.3314203862922813,0.3983337427268776,-0.21675800485910832,0.2566395815512323,0.6485148514851485,0.4524005629889748,,"Percent necrosis is post-treatment and is included only as a mechanistic/sensitivity adjustment, not as a primary baseline confounder."
M34,strict_signed_mean,age_plus_post_treatment_necrosis_response,age_z;good_necrosis_response_ge90,36,18,0.791554718104436,0.4757115993697936,1.317098159017852,0.368240066692506,-0.23375626989084555,0.25979417283933126,0.6608910891089109,0.48249144412151135,,"Percent necrosis is post-treatment and is included only as a mechanistic/sensitivity adjustment, not as a primary baseline confounder."
M11,strict_signed_mean,unadjusted,,36,18,1.2131747420362171,0.787093286474147,1.8699091708781648,0.3813516794449209,0.19324067732461267,0.22074343408961253,0.5717821782178217,0.31596272038101114,,
M11,strict_signed_mean,age,age_z,36,18,1.2626620211685773,0.7986429933836411,1.9962804318195044,0.3183219200351612,0.23322220753219908,0.2337101400867633,0.5965346534653465,0.3033779416029937,,
M11,strict_signed_mean,age_plus_sex,age_z;sex_male,36,18,1.2708147930676728,0.8048962306632527,2.0064328502928386,0.30370909976696053,0.2396582640974955,0.23301457760496483,0.6163366336633663,0.30575035483945556,,
M11,strict_signed_mean,proliferation,strict_human_meta_proliferation_pc1_z,36,18,1.1901965625391175,0.762838932505752,1.8569684858988897,0.4429695850651377,0.17411847208725495,0.2269566396174963,0.5668316831683168,0.1561794342756776,,
M11,strict_signed_mean,age_plus_proliferation,age_z;strict_human_meta_proliferation_pc1_z,36,18,1.239342729228493,0.7720682179948786,1.9894231684352517,0.3741846957204744,0.21458118201323736,0.24146543167592965,0.5816831683168316,0.1383666877611996,,
M11,strict_signed_mean,post_treatment_necrosis_response,good_necrosis_response_ge90,36,18,1.1703350431498172,0.7702249452117454,1.7782910326903778,0.4611957116982127,0.15729006948249902,0.21345429964115,0.6658415841584159,0.37967864969123044,,"Percent necrosis is post-treatment and is included only as a mechanistic/sensitivity adjustment, not as a primary baseline confounder."
