module_label,variant,score_column,n,events,hr_per_sd,ci_low,ci_high,p,coef,se_coef,c_index,ph_test_p,error
M34,strict_signed_mean,M34__strict__signed_mean_z,36,18,0.8064440624284793,0.5090348336254141,1.277617920947089,0.359483695206541,-0.21512074224946046,0.23475843981813715,0.5297029702970297,0.3941636349686889,
M34,strict_canine_pca_weighted,M34__strict__canine_pca_weighted_z,36,18,0.7710489255694823,0.4823281211913072,1.2325975192021787,0.27736087759013334,-0.2600034501435728,0.23935500893565506,0.5420792079207921,0.47967750461418646,
M34,strict_human_pc1,M34__strict__human_pc1_z,36,18,0.9113568375517985,0.5780523170184538,1.4368444877730677,0.689452131021429,-0.0928207596764782,0.23228495240104924,0.6163366336633663,0.01493099020051037,
M34,broad_signed_mean,M34__broad__signed_mean_z,36,18,0.835462612465966,0.5213336746251725,1.3388695394179206,0.4549862515800628,-0.17976968064217716,0.24061427402291355,0.5173267326732673,0.5017671379141515,
M34,broad_canine_pca_weighted,M34__broad__canine_pca_weighted_z,36,18,0.7942095162091404,0.4886617982802237,1.2908084033928138,0.3524648670564039,-0.23040797822488956,0.24779877255448193,0.5396039603960396,0.6153047519643586,
M34,broad_human_pc1,M34__broad__human_pc1_z,36,18,0.9148869752478057,0.5808437501372143,1.44103845015178,0.7011583997405201,-0.08895474565571075,0.23179953757577965,0.6064356435643564,0.013703086546418943,
M11,strict_signed_mean,M11__strict__signed_mean_z,36,18,1.2131747420362171,0.787093286474147,1.8699091708781648,0.3813516794449209,0.19324067732461267,0.22074343408961253,0.5717821782178217,0.31596272038101114,
M11,strict_canine_pca_weighted,M11__strict__canine_pca_weighted_z,36,18,1.259603008262885,0.8100030254045629,1.9587577930742528,0.30557560989159427,0.2307965985102874,0.22526633052860096,0.6113861386138614,0.2064733123814922,
M11,strict_human_pc1,M11__strict__human_pc1_z,36,18,1.4077771167377502,0.8543125876069855,2.3198024226258616,0.17956856168665808,0.3420119474339518,0.25483635204330846,0.6732673267326733,0.00536467156295354,
M11,broad_signed_mean,M11__broad__signed_mean_z,36,18,1.1674260245270422,0.7485824429369096,1.820619139016967,0.4947536807235938,0.15480134626396935,0.22672624943761127,0.5470297029702971,0.7717931032045886,
M11,broad_canine_pca_weighted,M11__broad__canine_pca_weighted_z,36,18,1.211280256595035,0.7734948684497894,1.8968449822523616,0.4022475096631628,0.19167786355587646,0.22883793288050697,0.5668316831683168,0.5747543944576747,
M11,broad_human_pc1,M11__broad__human_pc1_z,36,18,0.7253081083721419,0.42682806461732403,1.232514672019115,0.23515767221891692,-0.3211587373396157,0.27052296504470635,0.6633663366336634,0.0058118045194585416,
M24,strict_signed_mean,M24__strict__signed_mean_z,36,18,0.88617265418597,0.5585244107375134,1.4060298134329368,0.607888962456079,-0.12084347807721829,0.23552140718662565,0.5643564356435643,0.20284113591897776,
M24,strict_canine_pca_weighted,M24__strict__canine_pca_weighted_z,36,18,0.8615863810448587,0.5407227981509369,1.372849627462467,0.530805903860649,-0.1489799598516307,0.23769240821021692,0.5767326732673267,0.2053061645652412,
M24,strict_human_pc1,M24__strict__human_pc1_z,36,18,0.8432032317855224,0.5266435460814959,1.3500434883968486,0.4775976748066384,-0.17054726843966786,0.24014934851413064,0.5891089108910891,0.07480942868280424,
M24,broad_signed_mean,M24__broad__signed_mean_z,36,18,0.88617265418597,0.5585244107375134,1.4060298134329368,0.607888962456079,-0.12084347807721829,0.23552140718662565,0.5643564356435643,0.20284113591897776,
M24,broad_canine_pca_weighted,M24__broad__canine_pca_weighted_z,36,18,0.8615863810448587,0.5407227981509369,1.372849627462467,0.530805903860649,-0.1489799598516307,0.23769240821021692,0.5767326732673267,0.2053061645652412,
M24,broad_human_pc1,M24__broad__human_pc1_z,36,18,0.8432032317855224,0.5266435460814959,1.3500434883968486,0.4775976748066384,-0.17054726843966786,0.24014934851413064,0.5891089108910891,0.07480942868280424,
M40,strict_signed_mean,M40__strict__signed_mean_z,36,18,0.7834323625032519,0.448881882533127,1.3673224304661737,0.39036928850196284,-0.244070548285487,0.2841506016491719,0.5445544554455446,0.5863654601930345,
M40,strict_canine_pca_weighted,M40__strict__canine_pca_weighted_z,36,18,0.7864994817512574,0.4459295607159614,1.3871729736908094,0.40679443528219594,-0.24016321541440006,0.28951096250292135,0.5371287128712872,0.56766550399439,
M40,strict_human_pc1,M40__strict__human_pc1_z,36,18,0.8915728953794757,0.5567179436674192,1.4278365495799656,0.6328958399255733,-0.11476807791066836,0.24027404478503697,0.46782178217821785,0.09672276593567636,
M40,broad_signed_mean,M40__broad__signed_mean_z,36,18,0.8443000421855494,0.50457180321376,1.412767333993349,0.5193374702435534,-0.16924734734156574,0.2626567531530385,0.49504950495049505,0.2616692513166473,
M40,broad_canine_pca_weighted,M40__broad__canine_pca_weighted_z,36,18,0.8499689533927847,0.5104794737700374,1.4152326564595155,0.5320393292642177,-0.1625554555850977,0.26013202217609477,0.4777227722772277,0.25749433833100394,
M40,broad_human_pc1,M40__broad__human_pc1_z,36,18,0.9405943422366786,0.6033215224127924,1.4664116624076384,0.7869210909098994,-0.06124332454703181,0.22656625256844204,0.4381188118811881,0.05704646685562466,
M28,strict_signed_mean,M28__strict__signed_mean_z,36,18,0.9970378357083609,0.6509390869787316,1.527154330903611,0.9891197589397815,-0.0029665601833329357,0.21754106336659648,0.48514851485148514,0.2710616702071844,
M28,strict_canine_pca_weighted,M28__strict__canine_pca_weighted_z,36,18,1.0106230755391994,0.6593232693359602,1.5491020085503364,0.9613247131090621,0.010567047119047055,0.21791643620548914,0.5148514851485149,0.30420452052345553,
M28,strict_human_pc1,M28__strict__human_pc1_z,36,18,1.133186412817884,0.7351303864726975,1.7467805301267534,0.5711898853659235,0.12503349880164005,0.220790229389806,0.5866336633663366,0.15419645866402612,
M28,broad_signed_mean,M28__broad__signed_mean_z,36,18,1.0183004708774475,0.6589279740525524,1.5736710077914084,0.9349182454283157,0.01813503261062417,0.2220837129253483,0.5668316831683168,0.0893103265621706,
M28,broad_canine_pca_weighted,M28__broad__canine_pca_weighted_z,36,18,1.0289519552064066,0.666726481398556,1.5879707131209504,0.8974238673200081,0.028540765000355316,0.2213898614761025,0.556930693069307,0.11029928774590934,
M28,broad_human_pc1,M28__broad__human_pc1_z,36,18,1.1515292734524014,0.7323145793195647,1.8107241137407044,0.5412399009799502,0.14109086197231765,0.2309409610136301,0.6163366336633663,0.06169506373980333,
M38,strict_signed_mean,M38__strict__signed_mean_z,36,18,0.6065343756840612,0.3822410413808477,0.9624396887301041,0.03379749610630939,-0.49999387341763324,0.235570653959168,0.5965346534653465,0.8479172798261057,
