gene_symbol,panel_role,probe_id,selected_by_max_variance,selected_by_best_detected,frozen_risk_oriented_loading,expression_variance,detected_fraction_p_lt_0_01,detected_fraction_p_lt_0_05,detection_p_median,n,events,hr_per_sd,ci_low,ci_high,p,fixed_direction_c_index,direction_concordant_with_canine,error,interpretation_note
MKI67,canonical_assay_direction_check,ILMN_1734827,True,True,,2.5023644599415884,0.40540540540540543,0.5135135135135135,0.04483,36,18,0.814132970829871,0.49508090516090497,1.3387963205263445,0.4177848522494546,0.5024752475247525,False,,"Proliferation marker; higher mRNA is a descriptive aggressiveness sanity check, not a definitive validation control."
TOP2A,canonical_assay_direction_check,ILMN_1686097,True,True,0.104403188867331,4.099015578392498,0.5945945945945946,0.6756756756756757,0.0,36,18,0.9866268016161849,0.6250720569869338,1.5573123686886083,0.9538966509645438,0.5321782178217822,False,,Proliferation marker; higher mRNA is a descriptive aggressiveness sanity check.
BIRC5,canonical_assay_direction_check,ILMN_2349459,True,True,,2.241664232793977,0.7567567567567568,0.7837837837837838,0.0,36,18,1.0224198117800891,0.6831980623670656,1.5300720670937675,0.9141584744039584,0.5346534653465347,True,,Cell-cycle/survival marker; higher mRNA is a descriptive aggressiveness sanity check.
BIRC5,canonical_assay_direction_check,ILMN_1803124,False,False,,0.20310390730179764,0.1891891891891892,0.1891891891891892,0.35172,36,18,1.3166299056811221,0.8711547198261237,1.9899040538744688,0.19176229055722913,0.6584158415841584,True,,Cell-cycle/survival marker; higher mRNA is a descriptive aggressiveness sanity check.
UBE2C,canonical_assay_direction_check,ILMN_2301083,True,True,,1.9534569526966996,0.5675675675675675,0.6216216216216216,0.0,36,18,1.0295356112899172,0.6636478509559127,1.5971476037892232,0.8966280023482354,0.6163366336633663,True,,Cell-cycle marker; higher mRNA is a descriptive aggressiveness sanity check.
UBE2C,canonical_assay_direction_check,ILMN_1714730,False,False,,0.06842615421438301,0.05405405405405406,0.10810810810810811,0.43103,36,18,1.4172175718204123,0.9095710709300996,2.208189893091816,0.12329945945717743,0.5668316831683168,True,,Cell-cycle marker; higher mRNA is a descriptive aggressiveness sanity check.
UBE2C,canonical_assay_direction_check,ILMN_2265654,False,False,,1.244723101302201,0.2702702702702703,0.4864864864864865,0.05862,36,18,1.179770793197156,0.7361455104811299,1.8907391333153083,0.49208318921779814,0.44554455445544555,True,,Cell-cycle marker; higher mRNA is a descriptive aggressiveness sanity check.
UBE2C,canonical_assay_direction_check,ILMN_1742958,False,False,,0.34908916396234674,0.10810810810810811,0.16216216216216217,0.47586,36,18,0.7775445843866018,0.38814828357546777,1.5575892160074063,0.477811309031442,0.4777227722772277,False,,Cell-cycle marker; higher mRNA is a descriptive aggressiveness sanity check.
EZR,canonical_assay_direction_check,ILMN_3272378,True,True,,1.911550231475748,1.0,1.0,0.0,36,18,1.403443282526792,0.7885198842052668,2.4979117035897582,0.24922864883793752,0.6522277227722773,True,,Ezrin evidence is largely protein/localization based; mRNA direction is not a definitive positive control.
SRM,M34_top_positive_frozen_loading,ILMN_1661337,True,True,0.0362904911182836,1.9502993689871753,0.7297297297297297,0.8648648648648649,0.0,36,18,1.193803969581953,0.7329185935782135,1.9445105231015554,0.4766713632571108,0.6212871287128713,True,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
EPHB3,M34_top_positive_frozen_loading,ILMN_1741346,True,True,0.0362068053439305,0.29587315828702593,0.08108108108108109,0.16216216216216217,0.1,36,18,1.0582287789725893,0.6780853942801237,1.6514854295522503,0.8031824301946138,0.48267326732673266,True,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
