geo_sample_id,n_all_probes,n_detected_p_lt_0_01,fraction_detected_p_lt_0_01,n_detected_p_lt_0_05,fraction_detected_p_lt_0_05,median_detection_p_all_probes,M34_best_detected_probe_fraction_p_lt_0_01,M11_best_detected_probe_fraction_p_lt_0_01,M24_best_detected_probe_fraction_p_lt_0_01,M40_best_detected_probe_fraction_p_lt_0_01
GSM954790,29377,7551,0.2570378187017054,8859,0.30156244681213196,0.25517,0.38095238095238093,0.42857142857142855,0.0,0.3402061855670103
GSM954791,29377,12677,0.4315280661742179,14201,0.4834053851652653,0.08621,0.6122448979591837,0.7142857142857143,0.14285714285714285,0.5979381443298969
GSM954792,29377,14576,0.49617047349967663,15898,0.5411716649079211,0.01379,0.7006802721088435,0.8571428571428571,0.2857142857142857,0.7835051546391752
GSM954793,29377,2421,0.08241141028695918,6116,0.20819008067535827,0.37931,0.08843537414965986,0.14285714285714285,0.0,0.12371134020618557
GSM954794,29377,5235,0.1782006331483814,7400,0.2518977431323825,0.35172,0.2857142857142857,0.2857142857142857,0.0,0.28865979381443296
GSM954795,29377,12236,0.41651632229295027,14026,0.4774483439425401,0.06897,0.5238095238095238,1.0,0.2857142857142857,0.6082474226804123
GSM954796,29377,3085,0.10501412669775675,6017,0.2048200973550737,0.36897,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.12371134020618557
GSM954797,29377,4488,0.15277257718623413,8543,0.29080573237566804,0.27931,0.16326530612244897,0.2857142857142857,0.0,0.21649484536082475
GSM954798,29377,17142,0.5835177179426082,18243,0.6209960172924397,0.0,0.8163265306122449,0.8571428571428571,0.5714285714285714,0.8762886597938144
GSM954799,29377,7213,0.24553221908295605,9591,0.32647989924090276,0.23103,0.2789115646258503,0.5714285714285714,0.2857142857142857,0.31958762886597936
GSM954800,29377,4072,0.13861183919392722,5878,0.20008850461245192,0.29655,0.19047619047619047,0.42857142857142855,0.2857142857142857,0.18556701030927836
GSM954801,29377,9044,0.3078598903904415,11736,0.39949620451373524,0.15172,0.4489795918367347,0.5714285714285714,0.2857142857142857,0.4742268041237113
GSM954802,29377,14677,0.49960853729107807,16528,0.5626170133097321,0.01034,0.6598639455782312,0.7142857142857143,0.7142857142857143,0.6597938144329897
GSM954803,29377,6841,0.23286925145522008,10034,0.3415597235932873,0.23448,0.3469387755102041,0.42857142857142855,0.14285714285714285,0.38144329896907214
GSM954804,29377,8455,0.2878101916465262,11469,0.3904074616196344,0.2069,0.36054421768707484,0.5714285714285714,0.2857142857142857,0.44329896907216493
GSM954805,29377,12812,0.436123497974606,14883,0.5066208258161147,0.04483,0.6870748299319728,0.8571428571428571,0.2857142857142857,0.6907216494845361
GSM954806,29377,4758,0.16196344078701025,7310,0.24883412193212376,0.26207,0.24489795918367346,0.2857142857142857,0.14285714285714285,0.18556701030927836
GSM954807,29377,14200,0.4833713449297069,15426,0.5251046737243422,0.02069,0.6938775510204082,0.7142857142857143,0.42857142857142855,0.6494845360824743
GSM954808,29377,4685,0.15947850359124485,9043,0.30782585015488306,0.24138,0.17006802721088435,0.2857142857142857,0.2857142857142857,0.20618556701030927
GSM954809,29377,6637,0.22592504340130035,9003,0.30646424073254586,0.24138,0.2653061224489796,0.14285714285714285,0.5714285714285714,0.24742268041237114
GSM954810,29377,17009,0.5789903666133369,18261,0.6216087415324915,0.0,0.5918367346938775,0.8571428571428571,0.5714285714285714,0.8865979381443299
GSM954811,29377,7096,0.24154951152261975,9210,0.3135105694931409,0.2,0.2789115646258503,0.5714285714285714,0.2857142857142857,0.26804123711340205
GSM954812,29377,6165,0.20985805221772136,8629,0.293733192633693,0.24828,0.2789115646258503,0.2857142857142857,0.2857142857142857,0.30927835051546393
GSM954813,29377,14037,0.4778227865336828,15204,0.5175477414303707,0.02759,0.6870748299319728,0.8571428571428571,0.2857142857142857,0.6804123711340206
GSM954814,29377,4555,0.15505327296864893,6883,0.23429894134867413,0.34138,0.2108843537414966,0.2857142857142857,0.0,0.17525773195876287
GSM954815,29377,13100,0.44592708581543383,14589,0.4966129965619362,0.05517,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5773195876288659
GSM954816,29377,9683,0.3296116009122783,11948,0.4067127344521224,0.16897,0.4897959183673469,0.7142857142857143,0.2857142857142857,0.4948453608247423
GSM954817,29377,13753,0.4681553596350887,15253,0.5192157129727337,0.02069,0.6666666666666666,0.8571428571428571,0.2857142857142857,0.6288659793814433
GSM954818,29377,7243,0.24655342614970896,9005,0.30653232120366275,0.2069,0.3333333333333333,0.5714285714285714,0.14285714285714285,0.30927835051546393
GSM954819,29377,10764,0.3664090955509412,13897,0.4730571535555026,0.05862,0.46258503401360546,0.7142857142857143,0.2857142857142857,0.5567010309278351
GSM954820,29377,11073,0.3769275283384961,14001,0.47659733805357934,0.06207,0.46938775510204084,0.5714285714285714,0.2857142857142857,0.422680412371134
GSM954821,29377,12015,0.4089934302345372,14858,0.5057698199271539,0.04828,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.6597938144329897
GSM954822,29377,12374,0.4212138748000136,15055,0.5124757463321646,0.02414,0.5306122448979592,0.8571428571428571,0.14285714285714285,0.7216494845360825
GSM954823,29377,7037,0.23954113762467236,9451,0.32171426626272254,0.26897,0.2925170068027211,0.2857142857142857,0.14285714285714285,0.36082474226804123
