module_label,score_variant,group_1,group_2,n_group_1,n_group_2,median_group_1,median_group_2,median_difference_group_1_minus_group_2,cliffs_delta_group_1_vs_group_2,mann_whitney_p,mann_whitney_q_global_12,mann_whitney_q_within_module
M34,strict_signed_mean_z,ID,IE,99,9,0.4865421211171056,-1.7123435406476488,2.1988856617647543,0.9955106621773289,8.467393756804017e-07,3.386957502721607e-06,1.2701090635206026e-06
M34,strict_signed_mean_z,ID,IE-ECM,99,78,0.4865421211171056,-0.5325177863199496,1.0190599074370552,0.6462056462056462,1.6993990913073393e-13,2.039278909568807e-12,5.098197273922018e-13
M34,strict_signed_mean_z,IE,IE-ECM,9,78,-1.7123435406476488,-0.5325177863199496,-1.179825754327699,-0.8746438746438746,1.938988932863845e-05,5.8169667985915345e-05,1.938988932863845e-05
M11,strict_signed_mean_z,ID,IE,99,9,-0.14483968141392067,-0.5883713930251028,0.4435317116111821,0.14029180695847354,0.4907124516472898,0.5888549419767478,0.4907124516472898
M11,strict_signed_mean_z,ID,IE-ECM,99,78,-0.14483968141392067,0.32637491095929094,-0.4712145923732116,-0.34913234913234914,6.848759416158625e-05,0.000164370225987807,0.00020546278248475874
M11,strict_signed_mean_z,IE,IE-ECM,9,78,-0.5883713930251028,0.32637491095929094,-0.9147463039843937,-0.3447293447293447,0.09306384919563233,0.1595380271925126,0.1395957737934485
M24,strict_signed_mean_z,ID,IE,99,9,0.05973391553240399,-0.054989642833800756,0.11472355836620474,0.14927048260381603,0.4631687362979815,0.5888549419767478,0.7644415573747153
M24,strict_signed_mean_z,ID,IE-ECM,99,78,0.05973391553240399,-0.10299115953150295,0.16272507506390693,0.036260036260036266,0.6802053973717723,0.7420422516782971,0.7644415573747153
M24,strict_signed_mean_z,IE,IE-ECM,9,78,-0.054989642833800756,-0.10299115953150295,0.048001516697702196,-0.06267806267806264,0.7644415573747152,0.7644415573747153,0.7644415573747153
M40,strict_signed_mean_z,ID,IE,99,9,0.5708709131894683,-0.35754114345408966,0.9284120566435579,0.5555555555555556,0.0060402440790839,0.0120804881581678,0.00906036611862585
M40,strict_signed_mean_z,ID,IE-ECM,99,78,0.5708709131894683,-0.3140572238008527,0.884928136990321,0.4882154882154883,2.574403698983774e-08,1.5446422193902642e-07,7.723211096951321e-08
M40,strict_signed_mean_z,IE,IE-ECM,9,78,-0.35754114345408966,-0.3140572238008527,-0.043483919653236947,-0.14814814814814814,0.47289640543663114,0.5888549419767478,0.47289640543663114
M34,strict_canine_weighted_z,ID,IE,99,9,0.4541047076982622,-1.759092856018069,2.213197563716331,0.9955106621773289,8.467393756804017e-07,3.386957502721607e-06,1.2701090635206026e-06
M34,strict_canine_weighted_z,ID,IE-ECM,99,78,0.4541047076982622,-0.5337697530850443,0.9878744607833065,0.646982646982647,1.590010414304991e-13,1.908012497165989e-12,4.770031242914973e-13
M34,strict_canine_weighted_z,IE,IE-ECM,9,78,-1.759092856018069,-0.5337697530850443,-1.2253231029330247,-0.9002849002849003,1.0963648062765442e-05,3.2890944188296326e-05,1.0963648062765442e-05
M11,strict_canine_weighted_z,ID,IE,99,9,-0.15895474792277486,-0.5752447801735149,0.41629003225074,0.14927048260381603,0.4631687362979815,0.5974367928170141,0.4631687362979815
M11,strict_canine_weighted_z,ID,IE-ECM,99,78,-0.15895474792277486,0.34595922818913605,-0.5049139761119109,-0.3532763532763533,5.6072999458010976e-05,0.00013457519869922635,0.00016821899837403292
M11,strict_canine_weighted_z,IE,IE-ECM,9,78,-0.5752447801735149,0.34595922818913605,-0.9212040083626509,-0.3390313390313391,0.0986206140723198,0.1690639098382625,0.1479309211084797
M24,strict_canine_weighted_z,ID,IE,99,9,0.07753205555739336,-0.07338833988817899,0.15092039544557234,0.15375982042648717,0.44972680218154326,0.5974367928170141,0.7965293995426962
M24,strict_canine_weighted_z,ID,IE-ECM,99,78,0.07753205555739336,-0.14591813605487375,0.2234501916122671,0.05283605283605275,0.5476503934155963,0.5974367928170141,0.7965293995426962
M24,strict_canine_weighted_z,IE,IE-ECM,9,78,-0.07338833988817899,-0.14591813605487375,0.07252979616669476,-0.054131054131054124,0.7965293995426962,0.7965293995426962,0.7965293995426962
M40,strict_canine_weighted_z,ID,IE,99,9,0.5159140014411341,-0.3053031128303271,0.8212171142714612,0.537598204264871,0.007891835270536888,0.015783670541073776,0.011837752905805332
M40,strict_canine_weighted_z,ID,IE-ECM,99,78,0.5159140014411341,-0.21410002755942262,0.7300140290005567,0.47215747215747217,7.245687200330478e-08,4.3474123201982863e-07,2.1737061600991431e-07
M40,strict_canine_weighted_z,IE,IE-ECM,9,78,-0.3053031128303271,-0.21410002755942262,-0.09120308527090445,-0.1310541310541311,0.5259828100727688,0.5974367928170141,0.5259828100727688
