source,candidate,n_nonempty,n_unique,n_overlap,overlap_fraction
expression,__index__,186,186,186,1.0
expression,A4GALT_3,186,186,0,0.0
expression,AAAS_3,186,186,0,0.0
expression,AACS_3,186,186,0,0.0
expression,AADAT_3,186,186,0,0.0
expression,AAGAB_3,186,186,0,0.0
expression,AAK1_3,186,186,0,0.0
expression,AAMDC_3,186,186,0,0.0
expression,AAMP_3,186,186,0,0.0
expression,AAR2_3,186,186,0,0.0
expression,AARS1_3,186,186,0,0.0
expression,AARS2_3,186,186,0,0.0
expression,AASDH_3,186,186,0,0.0
expression,AASDHPPT_3,186,186,0,0.0
expression,AATF_3,186,186,0,0.0
expression,ABAT_3,186,186,0,0.0
expression,ABCA1_3,186,186,0,0.0
expression,ABCA12_3,186,186,0,0.0
expression,ABCA2_3,186,186,0,0.0
expression,ABCA3_3,186,186,0,0.0
expression,ABCA5_3,186,186,0,0.0
expression,ABCA6_3,186,186,0,0.0
expression,ABCA8_3,186,186,0,0.0
expression,ABCB10_3,186,186,0,0.0
expression,ABCB4_3,186,186,0,0.0
expression,ABCB6_3,186,186,0,0.0
expression,ABCB7_3,186,186,0,0.0
expression,ABCB8_3,186,186,0,0.0
expression,ABCB9_3,186,186,0,0.0
expression,ABCC1_3,186,186,0,0.0
expression,ABCC10_3,186,186,0,0.0
expression,ABCC3_3,186,186,0,0.0
expression,ABCC4_3,186,186,0,0.0
expression,ABCC5_3,186,186,0,0.0
expression,ABCC9_3,186,186,0,0.0
expression,ABCD1_3,186,186,0,0.0
expression,ABCD3_3,186,186,0,0.0
expression,ABCD4_3,186,186,0,0.0
expression,ABCE1_3,186,186,0,0.0
expression,ABCF1_3,186,186,0,0.0
expression,ABCF2_3,186,186,0,0.0
expression,ABCF3_3,186,186,0,0.0
expression,ABCG1_3,186,186,0,0.0
expression,ABCG2_3,186,186,0,0.0
expression,ABCG2_4,186,186,0,0.0
expression,ABCG4_3,186,186,0,0.0
expression,ABHD1_3,186,186,0,0.0
expression,ABHD10_3,186,186,0,0.0
expression,ABHD11_3,186,186,0,0.0
expression,ABHD12_3,186,186,0,0.0
expression,ABHD12B_3,186,186,0,0.0
expression,ABHD13_3,186,186,0,0.0
expression,ABHD14A_3,186,186,0,0.0
expression,ABHD14B_3,186,186,0,0.0
expression,ABHD15_3,186,186,0,0.0
expression,ABHD16A_3,186,186,0,0.0
expression,ABHD17A_3,186,186,0,0.0
expression,ABHD17B_3,186,186,0,0.0
expression,ABHD17C_3,186,186,0,0.0
expression,ABHD18_3,186,186,0,0.0
expression,ABHD2_3,186,186,0,0.0
expression,ABHD3_3,186,186,0,0.0
expression,ABHD4_3,186,186,0,0.0
expression,ABHD5_3,186,186,0,0.0
expression,ABHD6_3,186,186,0,0.0
expression,ABHD8_3,186,186,0,0.0
expression,ABI1_3,186,186,0,0.0
expression,ABI2_3,186,186,0,0.0
expression,ABI3_3,186,186,0,0.0
expression,ABITRAM_3,186,186,0,0.0
expression,ABL1_3,186,186,0,0.0
expression,ABL2_3,186,186,0,0.0
expression,ABLIM1_3,186,186,0,0.0
expression,ABLIM3_3,186,186,0,0.0
expression,ABR_3,186,186,0,0.0
expression,ABRACL_3,186,186,0,0.0
expression,ABRAXAS1_3,186,186,0,0.0
expression,ABRAXAS2_3,186,186,0,0.0
expression,ABT1_3,186,186,0,0.0
expression,ABTB1_3,186,186,0,0.0
expression,ABTB2_3,186,186,0,0.0
expression,ACAA1_3,186,186,0,0.0
expression,ACAA2_3,186,186,0,0.0
expression,ACACA_3,186,186,0,0.0
expression,ACACB_3,186,186,0,0.0
expression,ACAD10_3,186,186,0,0.0
expression,ACAD11_3,186,186,0,0.0
expression,ACAD8_3,186,186,0,0.0
expression,ACAD9_4,186,186,0,0.0
expression,ACADL_3,186,186,0,0.0
expression,ACADM_3,186,186,0,0.0
expression,ACADS_3,186,186,0,0.0
expression,ACADSB_3,186,186,0,0.0
expression,ACADVL_3,186,186,0,0.0
expression,ACAN_3,186,186,0,0.0
expression,ACAP1_3,186,186,0,0.0
expression,ACAP2_3,186,186,0,0.0
expression,ACAP3_3,186,186,0,0.0
expression,ACAT1_3,186,186,0,0.0
expression,ACAT2_3,186,186,0,0.0
expression,ACBD3_3,186,186,0,0.0
expression,ACBD4_3,186,186,0,0.0
expression,ACBD5_3,186,186,0,0.0
expression,ACBD6_3,186,186,0,0.0
expression,ACCS_3,186,186,0,0.0
expression,ACD_3,186,186,0,0.0
expression,ACE_3,186,186,0,0.0
expression,ACER2_3,186,186,0,0.0
expression,ACER3_3,186,186,0,0.0
expression,ACHE_3,186,186,0,0.0
expression,ACIN1_3,186,186,0,0.0
expression,ACKR3_3,186,186,0,0.0
expression,ACLY_3,186,186,0,0.0
expression,ACO1_3,186,186,0,0.0
expression,ACO2_3,186,186,0,0.0
expression,ACOT13_3,186,186,0,0.0
expression,ACOT4_3,186,186,0,0.0
expression,ACOT6_3,186,186,0,0.0
expression,ACOT7_3,186,186,0,0.0
expression,ACOT8_3,186,186,0,0.0
expression,ACOT9_3,186,186,0,0.0
expression,ACOX1_3,186,186,0,0.0
expression,ACOX3_3,186,186,0,0.0
expression,ACP1_3,186,186,0,0.0
expression,ACP2_3,186,186,0,0.0
expression,ACP3_3,186,186,0,0.0
expression,ACP5_3,186,186,0,0.0
expression,ACP6_3,186,186,0,0.0
expression,ACSF2_3,186,186,0,0.0
expression,ACSF3_3,186,186,0,0.0
expression,ACSL1_3,186,186,0,0.0
expression,ACSL3_3,186,186,0,0.0
expression,ACSL4_3,186,186,0,0.0
expression,ACSL5_3,186,186,0,0.0
expression,ACSS1_3,186,186,0,0.0
expression,ACSS2_3,186,186,0,0.0
expression,ACSS3_3,186,186,0,0.0
expression,ACTA2_3,186,186,0,0.0
expression,ACTB_3,186,186,0,0.0
expression,ACTG1_3,186,186,0,0.0
expression,ACTG2_3,186,186,0,0.0
expression,ACTL6A_3,186,186,0,0.0
expression,ACTL7A_3,186,186,0,0.0
expression,ACTN1_3,186,186,0,0.0
expression,ACTN4_3,186,186,0,0.0
expression,ACTR10_3,186,186,0,0.0
expression,ACTR1A_3,186,186,0,0.0
expression,ACTR1B_3,186,186,0,0.0
expression,ACTR2_3,186,186,0,0.0
expression,ACTR3_3,186,186,0,0.0
expression,ACTR3B_3,186,186,0,0.0
expression,ACTR5_3,186,186,0,0.0
expression,ACTR6_3,186,186,0,0.0
expression,ACTR8_3,186,186,0,0.0
expression,ACVR1_3,186,186,0,0.0
expression,ACVR1B_3,186,186,0,0.0
expression,ACVR2A_3,186,186,0,0.0
expression,ACVR2B_3,186,186,0,0.0
expression,ACVRL1_3,186,186,0,0.0
expression,ACYP1_3,186,186,0,0.0
expression,ACYP2_3,186,186,0,0.0
expression,ADA_3,186,186,0,0.0
expression,ADA2_3,186,186,0,0.0
expression,ADAL_3,186,186,0,0.0
expression,ADAM10_3,186,186,0,0.0
expression,ADAM11_3,186,186,0,0.0
expression,ADAM12_3,186,186,0,0.0
expression,ADAM15_3,186,186,0,0.0
expression,ADAM17_3,186,186,0,0.0
expression,ADAM19_3,186,186,0,0.0
expression,ADAM28_3,186,186,0,0.0
expression,ADAM8_3,186,186,0,0.0
expression,ADAM9_3,186,186,0,0.0
expression,ADAMTS1_3,186,186,0,0.0
expression,ADAMTS10_3,186,186,0,0.0
expression,ADAMTS12_3,186,186,0,0.0
expression,ADAMTS14_3,186,186,0,0.0
expression,ADAMTS17_3,186,186,0,0.0
expression,ADAMTS2_3,186,186,0,0.0
expression,ADAMTS3_3,186,186,0,0.0
expression,ADAMTS4_3,186,186,0,0.0
expression,ADAMTS5_3,186,186,0,0.0
expression,ADAMTS6_3,186,186,0,0.0
expression,ADAMTS7_3,186,186,0,0.0
expression,ADAMTS9_3,186,186,0,0.0
expression,ADAMTSL2_3,186,186,0,0.0
expression,ADAMTSL3_3,186,186,0,0.0
expression,ADAMTSL4_3,186,186,0,0.0
expression,ADAP1_3,186,186,0,0.0
expression,ADAP2_3,186,186,0,0.0
expression,ADAR_3,186,186,0,0.0
expression,ADARB1_3,186,186,0,0.0
expression,ADAT1_3,186,186,0,0.0
expression,ADAT2_3,186,186,0,0.0
expression,ADCK1_3,186,186,0,0.0
expression,ADCK2_3,186,186,0,0.0
expression,ADCK5_3,186,186,0,0.0
expression,ADCY3_3,186,186,0,0.0
expression,ADCY4_3,186,186,0,0.0
expression,ADCY5_3,186,186,0,0.0
expression,ADCY6_3,186,186,0,0.0
expression,ADCY7_3,186,186,0,0.0
expression,ADCY9_3,186,186,0,0.0
expression,ADD1_3,186,186,0,0.0
expression,ADD3_3,186,186,0,0.0
expression,ADGRA2_3,186,186,0,0.0
expression,ADGRA3_3,186,186,0,0.0
expression,ADGRB2_3,186,186,0,0.0
expression,ADGRD1_3,186,186,0,0.0
expression,ADGRE1_3,186,186,0,0.0
expression,ADGRE3_3,186,186,0,0.0
expression,ADGRE5_3,186,186,0,0.0
expression,ADGRF5_3,186,186,0,0.0
expression,ADGRG1_3,186,186,0,0.0
expression,ADGRG6_3,186,186,0,0.0
expression,ADGRL1_3,186,186,0,0.0
expression,ADGRL2_3,186,186,0,0.0
expression,ADGRL3_3,186,186,0,0.0
expression,ADGRL4_3,186,186,0,0.0
expression,ADGRV1_3,186,186,0,0.0
expression,ADH4_3,186,186,0,0.0
expression,ADH5_3,186,186,0,0.0
expression,ADHFE1_3,186,186,0,0.0
expression,ADI1_3,186,186,0,0.0
expression,ADIPOR1_3,186,186,0,0.0
expression,ADIPOR2_3,186,186,0,0.0
expression,ADIRF_3,186,186,0,0.0
expression,ADK_3,186,186,0,0.0
expression,ADM_3,186,186,0,0.0
expression,ADNP_3,186,186,0,0.0
expression,ADNP2_3,186,186,0,0.0
expression,ADO_3,186,186,0,0.0
expression,ADORA2A_3,186,186,0,0.0
expression,ADORA2B_3,186,186,0,0.0
expression,ADPGK_3,186,186,0,0.0
expression,ADPRH_3,186,186,0,0.0
expression,ADPRM_3,186,186,0,0.0
expression,ADPRS_3,186,186,0,0.0
expression,ADRA1D_3,186,186,0,0.0
expression,ADRA2A_3,186,186,0,0.0
expression,ADRA2B_3,186,186,0,0.0
expression,ADRM1_3,186,186,0,0.0
expression,ADSL_3,186,186,0,0.0
expression,ADSS2_3,186,186,0,0.0
expression,AEBP1_3,186,186,0,0.0
expression,AEBP2_3,186,186,0,0.0
expression,AEN_3,186,186,0,0.0
expression,AFAP1_3,186,186,0,0.0
expression,AFAP1L1_3,186,186,0,0.0
expression,AFAP1L2_3,186,186,0,0.0
expression,AFDN_3,186,186,0,0.0
expression,AFF1_3,186,186,0,0.0
expression,AFF3_3,186,186,0,0.0
expression,AFF4_3,186,186,0,0.0
expression,AFG1L_3,186,186,0,0.0
expression,AFG3L2_3,186,186,0,0.0
expression,AFMID_3,186,186,0,0.0
expression,AFTPH_3,186,186,0,0.0
expression,AGA_3,186,186,0,0.0
expression,AGAP1_3,186,186,0,0.0
expression,AGAP2_3,186,186,0,0.0
expression,AGAP3_3,186,186,0,0.0
expression,AGBL2_3,186,186,0,0.0
expression,AGBL4_3,186,186,0,0.0
expression,AGBL5_3,186,186,0,0.0
expression,AGFG1_3,186,186,0,0.0
expression,AGFG2_3,186,186,0,0.0
expression,AGGF1_3,186,186,0,0.0
expression,AGK_3,186,186,0,0.0
expression,AGL_3,186,186,0,0.0
expression,AGO1_3,186,186,0,0.0
expression,AGO2_3,186,186,0,0.0
expression,AGO3_3,186,186,0,0.0
expression,AGO4_3,186,186,0,0.0
expression,AGPAT1_3,186,186,0,0.0
expression,AGPAT2_3,186,186,0,0.0
expression,AGPAT3_3,186,186,0,0.0
expression,AGPAT4_3,186,186,0,0.0
expression,AGPAT5_3,186,186,0,0.0
expression,AGPS_3,186,186,0,0.0
expression,AGRN_3,186,186,0,0.0
expression,AGTPBP1_3,186,186,0,0.0
expression,AGTR1_3,186,186,0,0.0
expression,AGTRAP_3,186,186,0,0.0
expression,AHCTF1_3,186,186,0,0.0
expression,AHCY_3,186,186,0,0.0
expression,AHCYL1_3,186,186,0,0.0
expression,AHCYL2_3,186,186,0,0.0
expression,AHDC1_3,186,186,0,0.0
expression,AHI1_3,186,186,0,0.0
expression,AHNAK_3,186,186,0,0.0
expression,AHNAK2_3,186,186,0,0.0
expression,AHR_3,186,186,0,0.0
expression,AHSA1_3,186,186,0,0.0
expression,AIDA_3,186,186,0,0.0
expression,AIF1_3,186,186,0,0.0
expression,AIF1L_3,186,186,0,0.0
expression,AIFM1_3,186,186,0,0.0
expression,AIFM2_3,186,186,0,0.0
expression,AIG1_3,186,186,0,0.0
expression,AIMP1_3,186,186,0,0.0
expression,AIMP2_3,186,186,0,0.0
expression,AIP_3,186,186,0,0.0
expression,AJUBA_3,186,186,0,0.0
expression,AK1_3,186,186,0,0.0
expression,AK2_3,186,186,0,0.0
expression,AK3_3,186,186,0,0.0
expression,AK4_3,186,186,0,0.0
expression,AK5_3,186,186,0,0.0
expression,AK6_3,186,186,0,0.0
expression,AKAP1_3,186,186,0,0.0
expression,AKAP10_3,186,186,0,0.0
expression,AKAP11_3,186,186,0,0.0
expression,AKAP12_3,186,186,0,0.0
expression,AKAP13_3,186,186,0,0.0
expression,AKAP17A_3,186,186,0,0.0
expression,AKAP5_3,186,186,0,0.0
expression,AKAP6_3,186,186,0,0.0
expression,AKAP7_3,186,186,0,0.0
expression,AKAP8_3,186,186,0,0.0
expression,AKAP8L_3,186,186,0,0.0
expression,AKAP9_3,186,186,0,0.0
expression,AKIP1_3,186,186,0,0.0
expression,AKIRIN1_3,186,186,0,0.0
expression,AKIRIN2_3,186,186,0,0.0
expression,AKNA_3,186,186,0,0.0
expression,AKR1A1_3,186,186,0,0.0
expression,AKR1B1_3,186,186,0,0.0
expression,AKR1E2_3,186,186,0,0.0
expression,AKR7A2_3,186,186,0,0.0
expression,AKT1_3,186,186,0,0.0
expression,AKT1S1_3,186,186,0,0.0
expression,AKT2_3,186,186,0,0.0
expression,AKT3_3,186,186,0,0.0
expression,AKTIP_3,186,186,0,0.0
expression,ALAD_3,186,186,0,0.0
expression,ALAS1_3,186,186,0,0.0
expression,ALCAM_3,186,186,0,0.0
expression,ALDH16A1_3,186,186,0,0.0
expression,ALDH18A1_3,186,186,0,0.0
expression,ALDH1A3_3,186,186,0,0.0
expression,ALDH1L2_3,186,186,0,0.0
expression,ALDH2_3,186,186,0,0.0
expression,ALDH3A2_3,186,186,0,0.0
expression,ALDH3B1_3,186,186,0,0.0
expression,ALDH4A1_3,186,186,0,0.0
expression,ALDH5A1_3,186,186,0,0.0
expression,ALDH6A1_3,186,186,0,0.0
expression,ALDH7A1_3,186,186,0,0.0
expression,ALDH9A1_3,186,186,0,0.0
expression,ALDOA_3,186,186,0,0.0
expression,ALDOC_3,186,186,0,0.0
expression,ALG1_3,186,186,0,0.0
expression,ALG11_3,186,186,0,0.0
expression,ALG12_3,186,186,0,0.0
expression,ALG13_3,186,186,0,0.0
expression,ALG14_3,186,186,0,0.0
expression,ALG2_3,186,186,0,0.0
expression,ALG3_3,186,186,0,0.0
expression,ALG5_3,186,186,0,0.0
expression,ALG6_3,186,186,0,0.0
expression,ALG8_3,186,186,0,0.0
expression,ALG9_3,186,186,0,0.0
expression,ALKBH1_3,186,186,0,0.0
expression,ALKBH2_3,186,186,0,0.0
expression,ALKBH3_3,186,186,0,0.0
expression,ALKBH4_3,186,186,0,0.0
expression,ALKBH5_3,186,186,0,0.0
expression,ALKBH6_3,186,186,0,0.0
expression,ALKBH7_3,186,186,0,0.0
expression,ALKBH8_3,186,186,0,0.0
expression,ALMS1_3,186,186,0,0.0
expression,ALOX15B_3,186,186,0,0.0
expression,ALOX5_3,186,186,0,0.0
expression,ALPK1_3,186,186,0,0.0
expression,ALPK3_3,186,186,0,0.0
expression,ALPL_3,186,186,0,0.0
expression,ALS2_3,186,186,0,0.0
expression,ALS2CL_3,186,186,0,0.0
expression,ALX1_3,186,186,0,0.0
expression,ALYREF_3,186,186,0,0.0
expression,AMACR_3,186,186,0,0.0
expression,AMBRA1_3,186,186,0,0.0
expression,AMD1_3,186,186,0,0.0
expression,AMDHD1_3,186,186,0,0.0
expression,AMDHD2_3,186,186,0,0.0
expression,AMER1_3,186,186,0,0.0
expression,AMFR_3,186,186,0,0.0
expression,AMIGO1_3,186,186,0,0.0
expression,AMIGO3_3,186,186,0,0.0
expression,AMMECR1_3,186,186,0,0.0
expression,AMMECR1L_3,186,186,0,0.0
