cohort,module_label,n_genes_shared,edge_spearman,edge_permutation_p_positive,edge_permutation_q_positive,loading_spearman,loading_permutation_p_positive,loading_permutation_q_positive,split_half_median,split_half_q05,split_half_fraction_positive,conservative_preservation_class,structural_support_class,outcome_direction_concordant,joint_preservation_outcome_class
TARGET_OS,M34,162,0.5808529995676481,0.0001999600079984003,0.00047990401919616074,0.713681673137528,0.0001999600079984003,0.00047990401919616074,0.9737738474641,0.9586724045874306,1.0,strong_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
TARGET_OS,M11,7,0.38311688311688313,0.04779044191161767,0.0716856628674265,0.25,0.28774245150969807,0.3452909418116377,0.4742341610067575,0.13806834535052098,1.0,limited_cross_cohort_representation_evidence,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
TARGET_OS,M24,7,0.17792207792207793,0.21875624875024996,0.2625074985003,-0.1785714285714286,0.6672665466906619,0.6672665466906619,0.37214439969072366,0.1994603350571602,1.0,limited_cross_cohort_representation_evidence,strong_structural_preservation,False,preserved_representation_but_outcome_heterogeneity
TARGET_OS,M40,111,0.6698559713114505,0.0001999600079984003,0.00047990401919616074,0.7769480519480518,0.0001999600079984003,0.00047990401919616074,0.9357775848825982,0.9009623959992572,1.0,strong_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE21257,M34,131,0.37607386578478647,0.0001999600079984003,0.00047990401919616074,0.5142902898628089,0.0001999600079984003,0.00047990401919616074,0.964959725545754,0.9396272975865028,1.0,strong_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE21257,M11,7,0.6337662337662338,0.001999600079984003,0.0034278858514011487,0.6071428571428572,0.08358328334333133,0.125374925014997,0.33115133534209795,0.20111999505840752,1.0,partial_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE21257,M24,7,0.15584415584415584,0.24075184963007398,0.26263838141462614,0.1785714285714286,0.3609278144371126,0.39373943393139554,0.3427965623016607,0.16929965335110836,0.9714285714285714,limited_cross_cohort_representation_evidence,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE21257,M40,78,0.6528708784905496,0.0001999600079984003,0.00047990401919616074,0.7463802020764044,0.0001999600079984003,0.00047990401919616074,0.9144367271548011,0.8650303991673701,1.0,strong_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE39055,M34,147,0.06670137503920942,0.0003999200159968006,0.0007998400319936012,0.1444098557601493,0.03779244151169766,0.0647870425914817,0.6288539479775259,0.43931552590666617,1.0,partial_cross_cohort_representation_preservation,weak_structural_preservation,False,weak_or_moderate_representation_with_outcome_discordance
GSE39055,M11,7,-0.04285714285714286,0.5586882623475304,0.5586882623475304,0.7857142857142859,0.02519496100779844,0.05038992201559688,-0.14679290633038253,-0.41104018070171167,0.11428571428571428,no_clear_cross_cohort_representation_preservation,moderate_structural_preservation,True,moderate_representation_with_concordant_direction
GSE39055,M24,7,0.2025974025974026,0.1853629274145171,0.2471505698860228,0.39285714285714296,0.1941611677664467,0.25888155702192894,0.29842937079223075,0.07791032723041191,1.0,limited_cross_cohort_representation_evidence,moderate_structural_preservation,False,weak_or_moderate_representation_with_outcome_discordance
GSE39055,M40,97,0.14307451223470655,0.0001999600079984003,0.00047990401919616074,0.37607826635808955,0.0001999600079984003,0.00047990401919616074,0.66507731194382,0.47120106320697325,1.0,strong_cross_cohort_representation_preservation,strong_structural_preservation,False,preserved_representation_but_outcome_heterogeneity
