cohort,module_label,n_canine_samples,n_human_samples,n_genes_shared,edge_spearman,edge_pearson,edge_sign_concordance,edge_permutation_p_positive,edge_permutation_p_two_sided,edge_null_mean,edge_null_q95,human_pc1_variance_explained,loading_spearman,loading_sign_concordance,loading_permutation_p_positive,loading_permutation_p_two_sided,loading_null_mean,loading_null_q95,split_half_method,n_split_half_valid,split_half_mean,split_half_median,split_half_q05,split_half_q95,split_half_fraction_positive,split_half_fraction_above_0_30,error,edge_permutation_q_positive,loading_permutation_q_positive,conservative_preservation_class,structural_support_class,outcome_direction_concordant,joint_preservation_outcome_class
TARGET_OS,M34,186,88,162,0.5808529995676481,0.5981314092571919,0.9023847864427574,0.0001999600079984003,0.0001999600079984003,0.00046492239003455635,0.08225198532476437,0.34767289674654855,0.713681673137528,0.9814814814814815,0.0001999600079984003,0.0001999600079984003,-0.0017324792078593095,0.13226370065527174,random_balanced_disjoint_splits,1000,0.9726501422946546,0.9737738474641,0.9586724045874306,0.9821965973400537,1.0,1.0,,0.00047990401919616074,0.00047990401919616074,strong_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
TARGET_OS,M11,186,88,7,0.38311688311688313,0.34785907702607616,0.7142857142857143,0.04779044191161767,0.07518496300739852,0.0004394805194805194,0.3766233766233766,0.3196396434213003,0.25,0.8571428571428571,0.28774245150969807,0.5874825034993001,-0.010592857142857145,0.6785714285714287,all_balanced_disjoint_splits,35,0.41894746459257876,0.4742341610067575,0.13806834535052098,0.5867337283062982,1.0,0.8285714285714286,,0.0716856628674265,0.3452909418116377,limited_cross_cohort_representation_evidence,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
TARGET_OS,M24,186,88,7,0.17792207792207793,0.16380059834287586,0.7619047619047619,0.21875624875024996,0.4441111777644471,-0.0008787012987012984,0.3740909090909093,0.2754424254996384,-0.1785714285714286,1.0,0.6672665466906619,0.712257548490302,-0.003064285714285715,0.642857142857143,all_balanced_disjoint_splits,35,0.3826241367417144,0.37214439969072366,0.1994603350571602,0.5582544578030222,1.0,0.8285714285714286,,0.2625074985003,0.6672665466906619,limited_cross_cohort_representation_evidence,strong_structural_preservation,False,preserved_representation_but_outcome_heterogeneity
TARGET_OS,M40,186,88,111,0.6698559713114505,0.6281795443730916,0.7641277641277642,0.0001999600079984003,0.0001999600079984003,-0.0006857742046343724,0.09848174152502584,0.28423399606321703,0.7769480519480518,0.8828828828828829,0.0001999600079984003,0.0001999600079984003,-0.0015945823095823092,0.15774570024570025,random_balanced_disjoint_splits,1000,0.9339784223326373,0.9357775848825982,0.9009623959992572,0.9569476005018096,1.0,1.0,,0.00047990401919616074,0.00047990401919616074,strong_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE21257,M34,186,53,131,0.37607386578478647,0.3878112095107332,0.7917792131532589,0.0001999600079984003,0.0001999600079984003,0.001177500144208776,0.09544013936843652,0.3582764476935138,0.5142902898628089,0.9236641221374046,0.0001999600079984003,0.0001999600079984003,0.0008119254791010517,0.1453325681951636,random_balanced_disjoint_splits,1000,0.9622589904706244,0.964959725545754,0.9396272975865028,0.9774201728422969,1.0,1.0,,0.00047990401919616074,0.00047990401919616074,strong_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE21257,M11,186,53,7,0.6337662337662338,0.5863906091007559,0.7619047619047619,0.001999600079984003,0.003599280143971206,0.007629870129870131,0.44155844155844154,0.2980897463149336,0.6071428571428572,1.0,0.08358328334333133,0.16236752649470107,0.003021428571428571,0.6785714285714287,all_balanced_disjoint_splits,35,0.33581288810742366,0.33115133534209795,0.20111999505840752,0.4739561922054635,1.0,0.6857142857142857,,0.0034278858514011487,0.125374925014997,partial_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE21257,M24,186,53,7,0.15584415584415584,0.14432073788137392,0.5714285714285714,0.24075184963007398,0.5000999800039992,-0.001114545454545454,0.3922077922077922,0.34050129180200533,0.1785714285714286,0.7142857142857143,0.3609278144371126,0.7214557088582284,0.0027499999999999985,0.6785714285714287,all_balanced_disjoint_splits,35,0.33093051597336026,0.3427965623016607,0.16929965335110836,0.4636970788250327,0.9714285714285714,0.6571428571428571,,0.26263838141462614,0.39373943393139554,limited_cross_cohort_representation_evidence,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE21257,M40,186,53,78,0.6528708784905496,0.6395363776570511,0.7539127539127539,0.0001999600079984003,0.0001999600079984003,0.0005848214501787664,0.10971334870668295,0.2948695963054714,0.7463802020764044,0.8461538461538461,0.0001999600079984003,0.0001999600079984003,-0.001408141225862745,0.18843687957612018,random_balanced_disjoint_splits,1000,0.9106908947277812,0.9144367271548011,0.8650303991673701,0.9434251818292555,1.0,1.0,,0.00047990401919616074,0.00047990401919616074,strong_cross_cohort_representation_preservation,strong_structural_preservation,True,preserved_representation_and_concordant_outcome
GSE39055,M34,186,37,147,0.06670137503920942,0.06090089483454368,0.4936166247320846,0.0003999200159968006,0.0003999200159968006,-5.30690993616783e-05,0.026522189845733377,0.1625636289704139,0.1444098557601493,0.4965986394557823,0.03779244151169766,0.07358528294341132,-0.0007397109158361604,0.13459659687644038,random_balanced_disjoint_splits,1000,0.6201266982935012,0.6288539479775259,0.43931552590666617,0.7688114794106987,1.0,0.996,,0.0007998400319936012,0.0647870425914817,partial_cross_cohort_representation_preservation,weak_structural_preservation,False,weak_or_moderate_representation_with_outcome_discordance
GSE39055,M11,186,37,7,-0.04285714285714286,-0.06296341084702509,0.42857142857142855,0.5586882623475304,0.8490301939612077,0.0005285714285714288,0.36623376623376624,0.30591414251381416,0.7857142857142859,0.5714285714285714,0.02519496100779844,0.047390521895620874,0.012285714285714289,0.6785714285714287,all_balanced_disjoint_splits,35,-0.1697145077284048,-0.14679290633038253,-0.41104018070171167,0.035853297043853385,0.11428571428571428,0.0,,0.5586882623475304,0.05038992201559688,no_clear_cross_cohort_representation_preservation,moderate_structural_preservation,True,moderate_representation_with_concordant_direction
GSE39055,M24,186,37,7,0.2025974025974026,0.11236313975556264,0.5714285714285714,0.1853629274145171,0.3629274145170966,0.0019797402597402586,0.37532467532467534,0.2991269980880321,0.39285714285714296,0.8571428571428571,0.1941611677664467,0.3957208558288342,-0.002971428571428574,0.6785714285714287,all_balanced_disjoint_splits,35,0.29288309671018015,0.29842937079223075,0.07791032723041191,0.5686273926887715,1.0,0.45714285714285713,,0.2471505698860228,0.25888155702192894,limited_cross_cohort_representation_evidence,moderate_structural_preservation,False,weak_or_moderate_representation_with_outcome_discordance
GSE39055,M40,186,37,97,0.14307451223470655,0.1438188316351452,0.5332903780068728,0.0001999600079984003,0.0001999600079984003,0.00028165270001298916,0.040829900774681696,0.18892685265813552,0.37607826635808955,0.6391752577319587,0.0001999600079984003,0.0003999200159968006,-0.0015702871870397646,0.16832724069009047,random_balanced_disjoint_splits,1000,0.6541053509932405,0.66507731194382,0.47120106320697325,0.7928318109780692,1.0,0.995,,0.00047990401919616074,0.00047990401919616074,strong_cross_cohort_representation_preservation,strong_structural_preservation,False,preserved_representation_but_outcome_heterogeneity
