cohort,module_label,iteration,method,n_genes_total,n_genes_subset,score_correlation_with_full,genes
CANINE_DOG2,M34,1,random_gene_subsets,162,130,0.9992207153237963,IFI30_3;FERMT3_3;RGS18_3;SP100_3;PIK3CG_3;ANKRD22_3;BTK_3;CD244_3;PARP9_3;MCTP1_3;KBTBD12_3;ARHGDIB_3;SAMD9L_3;FAM107A_3;SLC8A1_3;GIMAP6_3;OSBPL3_3;CD74_3;RNF213_3;FCER1G_2;GMFG_3;TAGAP_3;PARP15_3;PTPN6_3;SRM_3;JCHAIN_3;FAXDC2_3;ADCY7_3;MS4A7_3;GPSM3_3;LCP1_3;PARP14_3;CBX7_3;PID1_3;DRAM1_3;MILR1_3;ARRB1_3;LAMA3_3;TRIM22_3;DNASE1L3_3;PRKAR2B_3;F5_3;BLNK_3;TLR1_3;PTPRC_4;TNFSF8_3;RAB29_3;TRIM14_3;ADGRF1_3;TMEM86A_3;EPHB3_3;C3AR1_3;SLC6A6_3;RETSAT_3;ENPP5_3;TMEM140_3;PYCARD_3;GLUL_3;PRDM1_3;IL18_3;HNMT_3;TLR3_3;CD80_3;LAPTM5_3;CTSH_3;NCKAP1L_3;EGR1_3;FYB1_3;JAML_3;TLR8_3;CARD9_3;ALOX5_3;EVI2A_3;PTAFR_3;DAPP1_3;TRANK1_3;DOCK2_3;CAPG_3;CYP4V2_3;PIK3IP1_3;SERPINB8_3;ZMAT1_3;ACOD1_3;MARCHF1_3;SERPINB9_3;GPR183_3;CYSLTR2_3;PARP12_3;ANXA3_3;DOK2_3;CBLN3_3;SASH3_3;DENND1C_3;HCLS1_3;CCR2_3;MOSPD2_3;EHD3_3;ATF7IP2_3;CSF2RB_3;NFAM1_3;PTK2B_3;LPAR5_3;ATP8A1_3;CYTH4_3;EPAS1_3;KCNQ1_3;B2M_3;SIRPB2_3;CD86_3;PTPRJ_3;ADGRE3_3;SAMSN1_3;GBP1_3;TNFAIP8L2_3;SH3TC1_3;LY96_3;IL1RN_3;ADGRG6_3;GAB2_3;TMEM123_3;CSF1R_3;IRF5_3;BATF2_3;INPP5D_3;IFI35_3;SLC43A2_3;VWA5A_3;DTX3L_3;PARVG_3;PIK3AP1_3
CANINE_DOG2,M34,2,random_gene_subsets,162,130,0.9995100708075573,RETSAT_3;ARHGDIB_3;NCKAP1L_3;INPP5D_3;SLC6A6_3;EHD3_3;OAS2_3;TNFAIP8L2_3;GBP1_3;PTAFR_3;EVI2A_3;SLC43A2_3;GAB2_3;NCF4_3;CSF1R_3;BLNK_3;TRIM14_3;GSAP_3;DHX58_3;KBTBD12_3;ZMAT1_3;MARCHF1_3;RNF213_3;MOSPD2_3;RASSF5_3;CARD9_3;SH3TC1_3;SUSD1_3;IL34_3;SASH3_3;SERPINB8_3;ABCC3_3;PTPRJ_3;RGS18_3;EPHB3_3;IFI35_3;SLC8A1_3;PTK2B_3;RAB29_3;CYSLTR2_3;ARHGAP30_3;MCTP1_3;EGR1_3;HCLS1_3;GLUL_3;FCER1G_2;PARP15_3;TRANK1_3;TAGAP_3;TRIM22_3;PARP12_3;CLEC12A_3;TLR1_3;LY96_3;CAPG_3;PIK3AP1_3;MYO1G_3;B2M_3;GMFG_3;SAMSN1_3;LPAR5_3;SCTR_3;CD244_3;HNMT_3;VWA5A_3;SLCO3A1_3;DOCK2_3;OAS1_3;PAPPA_3;ADGRF1_3;PYCARD_3;SERPING1_3;VAV1_3;TLR7_3;CSF2RB_3;TLR8_3;PTPRO_3;TNFAIP8_3;PTPRC_4;FAM107A_3;CBLN3_3;PRDM1_3;CCR2_3;DRAM1_3;CYTH4_3;ATF7IP2_3;FYB1_3;PAG1_3;BTK_3;OSBPL3_3;ADGRG6_3;CTSH_3;PTPN6_3;TNFSF8_3;IL1RN_3;CASP8_3;PIK3CG_3;PARP14_3;TMEM123_3;LCP1_3;SRM_3;ACOD1_3;SIRPB2_3;PARP9_3;SYTL1_3;ALOX5_3;CYP4V2_3;CD80_3;DNASE1L3_3;CD74_3;SLCO2B1_3;CBX7_3;LAPTM5_3;TLR3_3;HACD4_3;TBC1D9_3;TMEM144_3;SAMD9L_3;TMEM140_3;GIMAP6_3;GPR183_3;FGR_3;DENND1C_3;SYK_3;RNASEL_3;PIK3IP1_3;ARRB1_3;FERMT3_3;SERPINB9_3;ADGRE3_3
CANINE_DOG2,M34,3,random_gene_subsets,162,130,0.9991643176102679,TRIM22_3;DOCK2_3;SP100_3;HNMT_3;PARP9_3;MILR1_3;SIRPB2_3;SRM_3;EPAS1_3;CARD9_3;CBX7_3;TBC1D9_3;IL18_3;CSF2RB_3;INPP5D_3;TNFAIP8_3;GPSM3_3;RASSF5_3;SLCO2B1_3;TRIM14_3;CYP4V2_3;CD86_3;DRAM1_3;SERPING1_3;TLR3_3;ATF7IP2_3;ADGRG6_3;GBP1_3;VAV1_3;PID1_3;JCHAIN_3;EVI2A_3;IL34_3;GIMAP6_3;JAML_3;FERMT3_3;B2M_3;DTX3L_3;OAS2_3;DAPP1_3;SERPINB9_3;LPAR5_3;GLUL_3;PIK3AP1_3;ADGRF1_3;TAPBPL_3;FAM107A_3;TMEM140_3;ARHGAP30_3;ARRB1_3;PTK2B_3;PARP12_3;RNF213_3;IRF5_3;DHX58_3;TMEM86A_3;MARCHF1_3;ZMAT1_3;PAPPA_3;SYK_3;CTSH_3;TLR1_3;FCER1G_2;MYO1G_3;LAPTM5_3;LAMA3_3;CASP8_3;KCNQ1_3;GSAP_3;CD244_3;MOSPD2_3;BATF2_3;GPR183_3;CBLN3_3;PIK3IP1_3;CD74_3;PYCARD_3;RNASEL_3;PTPRO_3;FYB1_3;C3AR1_3;VWA5A_3;ACOD1_3;DNASE1L3_3;CD80_3;PTPN6_3;RGS18_3;RETSAT_3;PARP15_3;GAB2_3;CCR2_3;CYTH4_3;SUSD1_3;ATP8A1_3;SAMD9L_3;SH3TC1_3;EHD3_3;MCTP1_3;SAMSN1_3;LY96_3;TMEM144_3;EPHB3_3;PIK3CG_3;OSBPL3_3;ALOX5_3;NCKAP1L_3;PARVG_3;SLC8A1_3;ENPP5_3;SLC6A6_3;SERPINB8_3;ABCC3_3;PTAFR_3;TAGAP_3;ADGRE3_3;ANKRD22_3;RAB29_3;FAXDC2_3;FGR_3;DENND1C_3;CYSLTR2_3;SASH3_3;PAG1_3;IFI35_3;SLC43A2_3;ARHGDIB_3;PTPRJ_3;ANXA3_3;SYTL1_3;TRANK1_3
CANINE_DOG2,M34,4,random_gene_subsets,162,130,0.9995835807564404,TRIM14_3;SRM_3;LAMA3_3;SH3TC1_3;RETSAT_3;PTK2B_3;CSF2RB_3;MARCHF1_3;TAGAP_3;EVI2A_3;NCKAP1L_3;KCNQ1_3;SAMD9L_3;ADGRG6_3;NFAM1_3;ARHGAP30_3;TBC1D9_3;BLNK_3;ADGRE3_3;SUSD1_3;SASH3_3;JAML_3;OAS1_3;TLR3_3;DHX58_3;IL18_3;CAPG_3;TNFSF8_3;ANKRD22_3;TRIM22_3;PTPRO_3;IFI30_3;CBX7_3;CARD9_3;SLC6A6_3;INPP5D_3;CYP4V2_3;F5_3;TRANK1_3;SIRPB2_3;BTK_3;B2M_3;OAS2_3;BATF2_3;TMEM144_3;GAB2_3;PIK3AP1_3;IFI35_3;RNASEL_3;SLC43A2_3;RNF213_3;ATF7IP2_3;GPSM3_3;NCF4_3;PARP14_3;IL1RN_3;SYTL1_3;PRKAR2B_3;KBTBD12_3;HCLS1_3;ADGRF1_3;EHD3_3;ACOD1_3;TMEM140_3;TMEM123_3;PYCARD_3;FAXDC2_3;CLEC12A_3;TAPBPL_3;ZMAT1_3;PARVG_3;IRF5_3;PARP15_3;TLR1_3;CD80_3;CD244_3;VAV1_3;PTPN6_3;CD74_3;PTPRC_4;GSAP_3;LCP1_3;ANXA3_3;ENPP5_3;LY96_3;GBP1_3;CCR2_3;FYB1_3;PRDM1_3;SAMSN1_3;RGS18_3;DRAM1_3;ABCC3_3;FAM107A_3;RASSF5_3;GIMAP6_3;ARRB1_3;LAPTM5_3;TLR8_3;CASP8_3;CYSLTR2_3;SERPINB8_3;SYK_3;PARP12_3;EGR1_3;PIK3CG_3;JCHAIN_3;MCTP1_3;ARHGDIB_3;ADCY7_3;C3AR1_3;GMFG_3;EPAS1_3;DOCK2_3;IL34_3;PAPPA_3;SLC8A1_3;PIK3IP1_3;ALOX5_3;SCTR_3;MS4A7_3;DNASE1L3_3;PID1_3;TNFAIP8_3;PTPRJ_3;FGR_3;MYO1G_3;DTX3L_3;KIAA0040_3;FERMT3_3
CANINE_DOG2,M34,5,random_gene_subsets,162,130,0.9993920601299546,SUSD1_3;TRIM14_3;GPSM3_3;SERPINB8_3;PTPRC_4;PIK3IP1_3;RASSF5_3;CSF1R_3;FYB1_3;ARHGAP30_3;SH3TC1_3;CD74_3;MILR1_3;CTSH_3;FGR_3;PARP9_3;SP100_3;KIAA0040_3;TMEM144_3;ADGRG6_3;CBX7_3;CCR2_3;CARD9_3;FCER1G_2;MOSPD2_3;HNMT_3;IFI30_3;ANXA3_3;SASH3_3;ADGRF1_3;TNFAIP8_3;MYO1G_3;PIK3CG_3;PRKAR2B_3;CASP8_3;PTPN6_3;RGS18_3;FAXDC2_3;SERPINB9_3;DOCK2_3;JAML_3;DRAM1_3;TAGAP_3;CYTH4_3;ADGRE3_3;DTX3L_3;VWA5A_3;SYTL1_3;TMEM140_3;SYK_3;TBC1D9_3;SCTR_3;RETSAT_3;LY96_3;CSF2RB_3;EHD3_3;TRIM22_3;INPP5D_3;C3AR1_3;TLR3_3;GIMAP6_3;ARRB1_3;PARP15_3;OAS1_3;SLC8A1_3;MCTP1_3;FAM107A_3;ARHGDIB_3;PARP12_3;B2M_3;PARP14_3;SLCO3A1_3;TAPBPL_3;PIK3AP1_3;TMEM86A_3;LAPTM5_3;HACD4_3;OAS2_3;MS4A7_3;IL34_3;ALOX5_3;BLNK_3;SIRPB2_3;CYP4V2_3;PAPPA_3;EVI2A_3;GAB2_3;DNASE1L3_3;OSBPL3_3;KCNQ1_3;PTPRJ_3;ANKRD22_3;IRF5_3;IFI35_3;KBTBD12_3;ACOD1_3;NCKAP1L_3;SAMSN1_3;SERPING1_3;PARVG_3;ENPP5_3;MARCHF1_3;PID1_3;EPAS1_3;GMFG_3;IL18_3;CLEC12A_3;IL1RN_3;PAG1_3;BTK_3;HCLS1_3;EGR1_3;LCP1_3;NCF4_3;SRM_3;CD244_3;ZMAT1_3;GBP1_3;FERMT3_3;DAPP1_3;ATF7IP2_3;ABCC3_3;DOK2_3;LAMA3_3;PTAFR_3;PTK2B_3;GSAP_3;VAV1_3;LPAR5_3;BATF2_3
CANINE_DOG2,M34,6,random_gene_subsets,162,130,0.9994678857618915,TAPBPL_3;KCNQ1_3;SLC8A1_3;MARCHF1_3;CSF1R_3;ENPP5_3;INPP5D_3;PARVG_3;TNFAIP8_3;RAB29_3;HCLS1_3;PTPRO_3;NFAM1_3;GIMAP6_3;PAPPA_3;FERMT3_3;DNASE1L3_3;FAM107A_3;PAG1_3;CARD9_3;CYTH4_3;IRF5_3;PID1_3;RGS18_3;CBX7_3;MILR1_3;VWA5A_3;SYTL1_3;CD244_3;IL1RN_3;EVI2A_3;IFI35_3;TRIM14_3;PRDM1_3;TMEM140_3;LPAR5_3;PTAFR_3;ATF7IP2_3;DTX3L_3;MCTP1_3;JAML_3;EHD3_3;SLC43A2_3;TLR3_3;OAS1_3;OAS2_3;IL34_3;FGR_3;SH3TC1_3;LY96_3;RNF213_3;PTPRC_4;TMEM144_3;DOCK2_3;PARP9_3;ARHGAP30_3;GBP1_3;DOK2_3;ADGRG6_3;FYB1_3;IFI30_3;FAXDC2_3;ANXA3_3;SCTR_3;PYCARD_3;RETSAT_3;CD80_3;PIK3AP1_3;HNMT_3;NCKAP1L_3;PTPN6_3;DAPP1_3;TNFAIP8L2_3;BLNK_3;ARRB1_3;GPSM3_3;DHX58_3;SLCO3A1_3;TMEM86A_3;CBLN3_3;SRM_3;BTK_3;TLR8_3;ABCC3_3;DENND1C_3;SYK_3;PARP12_3;TRIM22_3;CYSLTR2_3;TBC1D9_3;TMEM123_3;SAMSN1_3;SUSD1_3;GMFG_3;PIK3IP1_3;LAPTM5_3;SLC6A6_3;CSF2RB_3;SERPINB8_3;BATF2_3;MS4A7_3;ALOX5_3;CD86_3;ACOD1_3;GPR183_3;DRAM1_3;PTK2B_3;ADGRE3_3;MOSPD2_3;CAPG_3;EPAS1_3;LAMA3_3;ZMAT1_3;TRANK1_3;RNASEL_3;TAGAP_3;CLEC12A_3;PRKAR2B_3;LCP1_3;ARHGDIB_3;GAB2_3;PARP14_3;FCER1G_2;CTSH_3;MYO1G_3;SIRPB2_3;EGR1_3;TLR7_3;CYP4V2_3;SP100_3
CANINE_DOG2,M34,7,random_gene_subsets,162,130,0.9988598746617874,RNF213_3;CBX7_3;TMEM144_3;PARVG_3;DAPP1_3;IFI35_3;IL34_3;JCHAIN_3;EHD3_3;HACD4_3;GBP1_3;SLCO3A1_3;SERPINB9_3;PID1_3;TLR7_3;PRKAR2B_3;TMEM86A_3;TLR8_3;TNFAIP8L2_3;DHX58_3;ATF7IP2_3;SH3TC1_3;RETSAT_3;FGR_3;MYO1G_3;PTAFR_3;CSF2RB_3;BLNK_3;TAPBPL_3;SIRPB2_3;CD244_3;TRIM22_3;SLCO2B1_3;TNFAIP8_3;EGR1_3;TRANK1_3;ARRB1_3;DTX3L_3;CTSH_3;LCP1_3;EVI2A_3;SLC43A2_3;ADGRE3_3;FERMT3_3;CASP8_3;CD80_3;LY96_3;SAMD9L_3;KBTBD12_3;GLUL_3;TLR1_3;PTPRJ_3;BTK_3;LAPTM5_3;JAML_3;GMFG_3;GAB2_3;TBC1D9_3;DENND1C_3;CCR2_3;ALOX5_3;RAB29_3;TMEM123_3;GPSM3_3;ZMAT1_3;MARCHF1_3;CYTH4_3;PTK2B_3;VWA5A_3;DRAM1_3;ADGRG6_3;FCER1G_2;VAV1_3;CARD9_3;EPAS1_3;BATF2_3;ARHGDIB_3;TNFSF8_3;SUSD1_3;SAMSN1_3;FYB1_3;MS4A7_3;ATP8A1_3;PAG1_3;SYK_3;IL18_3;SCTR_3;PTPRO_3;PARP15_3;SLC8A1_3;PAPPA_3;NCKAP1L_3;NFAM1_3;DOCK2_3;CD74_3;ACOD1_3;F5_3;EPHB3_3;RASSF5_3;OSBPL3_3;DOK2_3;RNASEL_3;HCLS1_3;ADCY7_3;TLR3_3;CYSLTR2_3;SERPING1_3;SRM_3;LPAR5_3;SLC6A6_3;CSF1R_3;PRDM1_3;ANKRD22_3;GPR183_3;TAGAP_3;INPP5D_3;C3AR1_3;MILR1_3;PTPRC_4;FAM107A_3;GIMAP6_3;ENPP5_3;SYTL1_3;PIK3IP1_3;CAPG_3;TMEM140_3;IRF5_3;MCTP1_3;ABCC3_3;KCNQ1_3
CANINE_DOG2,M34,8,random_gene_subsets,162,130,0.9992697012935491,ADGRE3_3;GPR183_3;PTPRO_3;IFI35_3;PAG1_3;CYSLTR2_3;OAS1_3;RASSF5_3;TRIM22_3;PIK3AP1_3;BATF2_3;PYCARD_3;FCER1G_2;ENPP5_3;TNFAIP8L2_3;CYP4V2_3;CTSH_3;IFI30_3;GAB2_3;MARCHF1_3;INPP5D_3;ARRB1_3;CD80_3;LCP1_3;SAMD9L_3;ADGRF1_3;DOCK2_3;HCLS1_3;JAML_3;ATP8A1_3;EVI2A_3;GBP1_3;MILR1_3;KBTBD12_3;PID1_3;CSF1R_3;SLC6A6_3;RETSAT_3;C3AR1_3;CD244_3;CBX7_3;ATF7IP2_3;PTPRJ_3;SLCO2B1_3;HNMT_3;CD86_3;PARP9_3;ANKRD22_3;ZMAT1_3;PAPPA_3;CD74_3;ABCC3_3;EPHB3_3;SAMSN1_3;SRM_3;OAS2_3;SUSD1_3;SLC8A1_3;IL18_3;SLC43A2_3;DOK2_3;FYB1_3;EPAS1_3;IL34_3;PTK2B_3;DENND1C_3;GMFG_3;TMEM86A_3;SH3TC1_3;SERPINB8_3;GLUL_3;SERPINB9_3;MCTP1_3;FAXDC2_3;TLR1_3;TLR3_3;GPSM3_3;TRANK1_3;NCF4_3;LPAR5_3;FGR_3;CYTH4_3;EGR1_3;CARD9_3;BTK_3;F5_3;PARVG_3;PARP15_3;MOSPD2_3;PARP12_3;SERPING1_3;MS4A7_3;TMEM140_3;TNFAIP8_3;ADGRG6_3;GSAP_3;SYTL1_3;ARHGAP30_3;TMEM144_3;DAPP1_3;PARP14_3;SASH3_3;RAB29_3;TAPBPL_3;RGS18_3;VWA5A_3;TNFSF8_3;LAMA3_3;RNASEL_3;RNF213_3;VAV1_3;TAGAP_3;SCTR_3;CBLN3_3;ALOX5_3;TLR8_3;DHX58_3;GIMAP6_3;TRIM14_3;ADCY7_3;CSF2RB_3;PIK3CG_3;CAPG_3;IL1RN_3;BLNK_3;TLR7_3;FAM107A_3;CLEC12A_3;LAPTM5_3;ANXA3_3
CANINE_DOG2,M34,9,random_gene_subsets,162,130,0.9989782460097013,RNASEL_3;PYCARD_3;SYK_3;SLC8A1_3;ANXA3_3;GBP1_3;NFAM1_3;IFI35_3;ACOD1_3;MOSPD2_3;SUSD1_3;CSF2RB_3;CASP8_3;MILR1_3;NCF4_3;LCP1_3;EPAS1_3;SLCO2B1_3;SAMD9L_3;TRANK1_3;PARVG_3;RGS18_3;EGR1_3;C3AR1_3;B2M_3;GPSM3_3;CD74_3;FGR_3;SCTR_3;HCLS1_3;BTK_3;CYP4V2_3;PTPN6_3;OAS2_3;IRF5_3;SRM_3;PIK3CG_3;VAV1_3;TNFSF8_3;PAG1_3;PTPRO_3;TNFAIP8_3;MS4A7_3;ADCY7_3;CAPG_3;PTPRC_4;LPAR5_3;TLR1_3;IL18_3;TRIM14_3;EHD3_3;DAPP1_3;PARP14_3;PIK3IP1_3;PARP15_3;CLEC12A_3;FYB1_3;DRAM1_3;GIMAP6_3;MCTP1_3;RETSAT_3;PTK2B_3;DENND1C_3;DOCK2_3;KIAA0040_3;IFI30_3;ARHGDIB_3;SLC43A2_3;SAMSN1_3;SYTL1_3;PARP12_3;ARRB1_3;RASSF5_3;ATP8A1_3;LAMA3_3;RNF213_3;TLR7_3;SERPINB8_3;IL1RN_3;FAM107A_3;SIRPB2_3;HNMT_3;ARHGAP30_3;SH3TC1_3;CYSLTR2_3;LAPTM5_3;TMEM144_3;OAS1_3;ADGRE3_3;IL34_3;NCKAP1L_3;FAXDC2_3;PTPRJ_3;INPP5D_3;EVI2A_3;DTX3L_3;PRDM1_3;CD86_3;TMEM123_3;TAPBPL_3;ADGRG6_3;OSBPL3_3;MYO1G_3;GPR183_3;SERPING1_3;TMEM86A_3;PAPPA_3;VWA5A_3;KCNQ1_3;CCR2_3;TNFAIP8L2_3;SP100_3;FCER1G_2;GSAP_3;TLR3_3;LY96_3;KBTBD12_3;FERMT3_3;CSF1R_3;DHX58_3;SASH3_3;RAB29_3;ABCC3_3;DOK2_3;SLCO3A1_3;EPHB3_3;PARP9_3;HACD4_3;BATF2_3;BLNK_3
CANINE_DOG2,M34,10,random_gene_subsets,162,130,0.9990442175412453,GPSM3_3;CD86_3;FCER1G_2;MS4A7_3;ANKRD22_3;JCHAIN_3;FERMT3_3;FGR_3;CYSLTR2_3;IFI35_3;LCP1_3;PAG1_3;TNFSF8_3;CSF2RB_3;PAPPA_3;ADGRF1_3;SASH3_3;PTPRJ_3;CD80_3;PARP9_3;PTPN6_3;PYCARD_3;PIK3AP1_3;TAPBPL_3;CLEC12A_3;EVI2A_3;SLC43A2_3;TMEM144_3;SERPINB8_3;TAGAP_3;RNF213_3;MOSPD2_3;ARHGAP30_3;DOCK2_3;RGS18_3;ABCC3_3;CASP8_3;ADCY7_3;RNASEL_3;OSBPL3_3;MARCHF1_3;PIK3IP1_3;MILR1_3;JAML_3;VWA5A_3;KIAA0040_3;TRANK1_3;CD244_3;KCNQ1_3;SERPING1_3;GIMAP6_3;SLCO3A1_3;GLUL_3;SIRPB2_3;ARHGDIB_3;PRKAR2B_3;HCLS1_3;SAMD9L_3;DRAM1_3;FAXDC2_3;LPAR5_3;CBLN3_3;SLCO2B1_3;NCKAP1L_3;EPAS1_3;DHX58_3;CSF1R_3;ZMAT1_3;ATF7IP2_3;CYTH4_3;GMFG_3;PARVG_3;PTPRC_4;SP100_3;KBTBD12_3;OAS1_3;ACOD1_3;TLR8_3;SYTL1_3;IRF5_3;EPHB3_3;BLNK_3;F5_3;LY96_3;IL1RN_3;RETSAT_3;DAPP1_3;DOK2_3;PARP12_3;TBC1D9_3;EHD3_3;INPP5D_3;TNFAIP8L2_3;DTX3L_3;PRDM1_3;SYK_3;IL34_3;TLR3_3;SAMSN1_3;TNFAIP8_3;TMEM86A_3;SRM_3;MCTP1_3;BTK_3;CBX7_3;IL18_3;IFI30_3;ADGRG6_3;FAM107A_3;SCTR_3;GAB2_3;BATF2_3;ADGRE3_3;DNASE1L3_3;NCF4_3;TMEM140_3;CYP4V2_3;TRIM14_3;B2M_3;CCR2_3;RASSF5_3;GBP1_3;CAPG_3;FYB1_3;ARRB1_3;CARD9_3;MYO1G_3;PIK3CG_3;NFAM1_3;DENND1C_3
