cohort,module_label,n_samples,n_genes_available,pc1_variance_explained,frozen_loading_sign_concordance,frozen_loading_spearman,mean_signed_pairwise_correlation,median_signed_pairwise_correlation,mean_absolute_pairwise_correlation,signed_mean_vs_canine_weighted_correlation,signed_mean_vs_human_pc1_correlation,subset_method,n_subset_iterations,subset_reliability_mean,subset_reliability_median,subset_reliability_q05,subset_reliability_min,n_random_valid,signed_corr_random_mean,signed_corr_random_q95,signed_corr_random_percentile,signed_corr_empirical_p,pc1_variance_random_mean,pc1_variance_random_q95,pc1_variance_random_percentile,pc1_variance_empirical_p,error,signed_corr_empirical_q,pc1_variance_empirical_q,structural_support_class,target_os_hr_per_sd,target_os_p,target_os_q,target_os_fixed_c_index,gse21257_metastasis_auc,gse21257_metastasis_or_per_sd,gse21257_permutation_q,gse39055_rfs_hr_per_sd,gse39055_rfs_p,gse39055_rfs_q,gse39055_rfs_fixed_c_index,target_direction_concordant,gse21257_direction_concordant,gse39055_direction_concordant,n_human_settings_direction_concordant,outcome_direction_concordant,joint_preservation_outcome_class
TARGET_OS,M34,88,162,0.34767289674654855,0.9814814814814815,0.713681673137528,0.2878638844154066,0.2706544271582266,0.3032733132816025,0.9982584812584407,0.9908241887235602,random_gene_subsets,500,0.9982762862151993,0.9983308774978877,0.9974523375415246,0.9957719411547569,500,0.06743042098648881,0.07760239622366467,1.0,0.001996007984031936,0.11574809929156732,0.12953984030805113,1.0,0.001996007984031936,,0.0035484586382789974,0.005322687957418496,strong_structural_preservation,1.4673526696093713,0.0460449626795332,0.1841798507181331,0.6407766990291263,0.7786377708978328,3.55188189673107,0.0047995200479952,0.8064440624284793,0.359483695206541,0.5204923846692838,0.4702970297029702,True,True,False,2,True,preserved_representation_and_concordant_outcome
TARGET_OS,M11,88,7,0.3196396434213003,0.8571428571428571,0.25,0.16250184105166907,0.16108394587598546,0.21934716197108797,0.9969912608829271,0.8257670976412211,leave_one_gene_out,7,0.9672168643308163,0.9673667551567419,0.9637242364770967,0.963180332559464,500,0.03412426362548828,0.107367265018573,0.994,0.007984031936127744,0.25958570288784794,0.3324162644738867,0.938,0.06387225548902195,,0.011613137361640354,0.11355067642492792,strong_structural_preservation,1.1843931528098284,0.4312225236881939,0.4312225236881939,0.5315533980582524,0.6857585139318886,2.164056041799948,0.0325300803253008,1.2131747420362171,0.3813516794449209,0.5204923846692838,0.5717821782178217,True,True,True,3,True,preserved_representation_and_concordant_outcome
TARGET_OS,M24,88,7,0.2754424254996384,1.0,-0.1785714285714286,0.14676251477698726,0.09006192595743887,0.1522716442112496,0.9978856446908333,0.9770364143832633,leave_one_gene_out,7,0.9644086943355827,0.9648794247179765,0.9623608949684573,0.9620636069985343,500,0.07149432887992992,0.1491115824094026,0.946,0.05588822355289421,0.26035173568143666,0.3322963810354854,0.704,0.29740518962075846,,0.06843455945252352,0.4325893667211032,strong_structural_preservation,0.8360308932203917,0.3445295979336989,0.4312225236881939,0.4089805825242718,0.6811145510835914,2.6382609587541563,0.0325300803253008,0.88617265418597,0.607888962456079,0.607888962456079,0.4356435643564356,False,True,False,1,False,preserved_representation_but_outcome_heterogeneity
TARGET_OS,M40,88,111,0.28423399606321703,0.8828828828828829,0.7769480519480518,0.18804894998945917,0.1697353764359361,0.24786308724051845,0.9928418603417868,0.9545476871062935,random_gene_subsets,500,0.9958054637172166,0.9960122903483495,0.9937961372436223,0.9889778991481804,500,0.0370301245846195,0.05034434468943458,1.0,0.001996007984031936,0.1425887636226924,0.16508357476830185,1.0,0.001996007984031936,,0.0035484586382789974,0.005322687957418496,strong_structural_preservation,1.184486091591679,0.4116158015361447,0.4312225236881939,0.5625,0.6625386996904026,2.045291842891739,0.0467953204679532,0.7834323625032519,0.3903692885019628,0.5204923846692838,0.4554455445544554,True,True,False,2,True,preserved_representation_and_concordant_outcome
GSE21257,M34,53,131,0.3582764476935138,0.9236641221374046,0.5142902898628089,0.255363473410163,0.2584246648907657,0.31512708803949496,0.9993506743658903,0.9880409793766797,random_gene_subsets,500,0.9976617369821852,0.9978223967905728,0.9961981442235374,0.9940757572029981,500,0.001556979799785426,0.008887466875319347,1.0,0.001996007984031936,0.20971778009410105,0.24339962109080931,1.0,0.001996007984031936,,0.0035484586382789974,0.005322687957418496,strong_structural_preservation,1.4673526696093713,0.0460449626795332,0.1841798507181331,0.6407766990291263,0.7786377708978328,3.55188189673107,0.0047995200479952,0.8064440624284793,0.359483695206541,0.5204923846692838,0.4702970297029702,True,True,False,2,True,preserved_representation_and_concordant_outcome
GSE21257,M11,53,7,0.2980897463149336,1.0,0.6071428571428572,0.12307418594562816,0.10582917867416772,0.16928187093108346,0.9973006689044606,0.905312223932615,leave_one_gene_out,7,0.9621368819534762,0.9610120287245073,0.9580475492813683,0.9580338778613172,500,0.010828746761623627,0.13283684398486562,0.942,0.059880239520958084,0.3174035679492172,0.4380361511289403,0.438,0.562874251497006,,0.06843455945252352,0.7173345616459389,strong_structural_preservation,1.1843931528098284,0.4312225236881939,0.4312225236881939,0.5315533980582524,0.6857585139318886,2.164056041799948,0.0325300803253008,1.2131747420362171,0.3813516794449209,0.5204923846692838,0.5717821782178217,True,True,True,3,True,preserved_representation_and_concordant_outcome
GSE21257,M24,53,7,0.34050129180200533,0.7142857142857143,0.1785714285714286,0.11837659856309513,0.05160942738593742,0.18115231826504238,0.9988696134616977,0.831704031266184,leave_one_gene_out,7,0.9622549042382192,0.9637362837569967,0.9574776409086899,0.9574189112796626,500,0.003302049103524391,0.09645721542075919,0.976,0.02594810379241517,0.3061571906512097,0.41172417606505585,0.73,0.2714570858283433,,0.034597471723220224,0.4325893667211032,strong_structural_preservation,0.8360308932203917,0.3445295979336989,0.4312225236881939,0.4089805825242718,0.6811145510835914,2.6382609587541563,0.0325300803253008,0.88617265418597,0.607888962456079,0.607888962456079,0.4356435643564356,False,True,False,1,True,preserved_representation_and_concordant_outcome
GSE21257,M40,53,78,0.2948695963054714,0.8461538461538461,0.7463802020764044,0.19052275452637074,0.18015198968675514,0.2583621512283737,0.9939293933320323,0.9836819227102204,random_gene_subsets,500,0.994572212884005,0.9947672772839123,0.9918650648804981,0.9886843265009512,500,0.001449434164049818,0.012750780114907753,1.0,0.001996007984031936,0.2229505354936951,0.26994339429734504,0.998,0.003992015968063872,,0.0035484586382789974,0.009124607927003136,strong_structural_preservation,1.184486091591679,0.4116158015361447,0.4312225236881939,0.5625,0.6625386996904026,2.045291842891739,0.0467953204679532,0.7834323625032519,0.3903692885019628,0.5204923846692838,0.4554455445544554,True,True,False,2,True,preserved_representation_and_concordant_outcome
GSE39055,M34,37,147,0.1625636289704139,0.4965986394557823,0.1444098557601493,0.01990405895957331,-0.004417622908737555,0.19364188739884233,0.9911449538007617,0.06445044197264763,random_gene_subsets,500,0.9711500928917892,0.973248840022638,0.9510997516696058,0.9243471224380682,500,0.0029579421565069054,0.010415214644369829,0.994,0.007984031936127744,0.20257766354386766,0.22626168907548574,0.008,0.9920159680638723,,0.011613137361640354,0.9920159680638723,weak_structural_preservation,1.4673526696093713,0.0460449626795332,0.1841798507181331,0.6407766990291263,0.7786377708978328,3.55188189673107,0.0047995200479952,0.8064440624284793,0.359483695206541,0.5204923846692838,0.4702970297029702,True,True,False,2,False,weak_or_moderate_representation_with_outcome_discordance
GSE39055,M11,37,7,0.30591414251381416,0.5714285714285714,0.7857142857142859,-0.04927932816680946,-0.01648056450324414,0.17010684743434323,0.990269827267891,0.23326684623441182,leave_one_gene_out,7,0.8978538386007543,0.8968205077506741,0.8932516936610968,0.892950043817217,500,-0.0022973291000669143,0.10696143631638637,0.182,0.8183632734530938,0.35153637102612584,0.477569748189363,0.246,0.7544910179640718,,0.8183632734530938,0.8622754491017963,moderate_structural_preservation,1.1843931528098284,0.4312225236881939,0.4312225236881939,0.5315533980582524,0.6857585139318886,2.164056041799948,0.0325300803253008,1.2131747420362171,0.3813516794449209,0.5204923846692838,0.5717821782178217,True,True,True,3,True,moderate_representation_with_concordant_direction
