cohort,module_label,n_random_valid,signed_corr_random_mean,signed_corr_random_q95,signed_corr_random_percentile,signed_corr_empirical_p,pc1_variance_random_mean,pc1_variance_random_q95,pc1_variance_random_percentile,pc1_variance_empirical_p
CANINE_DOG2,M34,500,0.028726146038190792,0.034966570070649024,1.0,0.001996007984031936,0.1358139303366325,0.15408108128506026,1.0,0.001996007984031936
CANINE_DOG2,M11,500,0.03280054971518426,0.12291918552000036,1.0,0.001996007984031936,0.2769715684730799,0.34524248770136945,1.0,0.001996007984031936
CANINE_DOG2,M24,500,0.03954242747017072,0.1329872285564942,1.0,0.001996007984031936,0.26300955598280146,0.33945557455132047,0.994,0.007984031936127744
CANINE_DOG2,M40,500,0.015961770304302795,0.024842473061455022,1.0,0.001996007984031936,0.14390766498207244,0.1651171331108043,1.0,0.001996007984031936
TARGET_OS,M34,500,0.06743042098648881,0.07760239622366467,1.0,0.001996007984031936,0.11574809929156732,0.12953984030805113,1.0,0.001996007984031936
TARGET_OS,M11,500,0.03412426362548828,0.107367265018573,0.994,0.007984031936127744,0.25958570288784794,0.3324162644738867,0.938,0.06387225548902195
TARGET_OS,M24,500,0.07149432887992992,0.1491115824094026,0.946,0.05588822355289421,0.26035173568143666,0.3322963810354854,0.704,0.29740518962075846
TARGET_OS,M40,500,0.0370301245846195,0.05034434468943458,1.0,0.001996007984031936,0.1425887636226924,0.16508357476830185,1.0,0.001996007984031936
GSE21257,M34,500,0.001556979799785426,0.008887466875319347,1.0,0.001996007984031936,0.20971778009410105,0.24339962109080931,1.0,0.001996007984031936
GSE21257,M11,500,0.010828746761623627,0.13283684398486562,0.942,0.059880239520958084,0.3174035679492172,0.4380361511289403,0.438,0.562874251497006
GSE21257,M24,500,0.003302049103524391,0.09645721542075919,0.976,0.02594810379241517,0.3061571906512097,0.41172417606505585,0.73,0.2714570858283433
GSE21257,M40,500,0.001449434164049818,0.012750780114907753,1.0,0.001996007984031936,0.2229505354936951,0.26994339429734504,0.998,0.003992015968063872
GSE39055,M34,500,0.0029579421565069054,0.010415214644369829,0.994,0.007984031936127744,0.20257766354386766,0.22626168907548574,0.008,0.9920159680638723
GSE39055,M11,500,-0.0022973291000669143,0.10696143631638637,0.182,0.8183632734530938,0.35153637102612584,0.477569748189363,0.246,0.7544910179640718
GSE39055,M24,500,0.008148416652649077,0.12772844293936125,0.908,0.09381237524950099,0.3148761735418616,0.39854870933888,0.418,0.5828343313373253
GSE39055,M40,500,7.627701155593714e-05,0.00832280047942511,1.0,0.001996007984031936,0.20833158221998127,0.23828544208257374,0.14,0.8602794411177644
