analysis_set,initial_factors,factor,active_group_count,active_groups,activity_class,minimum_group_r2,maximum_group_r2,mean_group_r2
four_cohort_core_plus_frozen,8,Factor1,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.7082929611206057,14.835506677627563,9.611259400844574
four_cohort_core_plus_frozen,8,Factor2,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.7898848056793213,8.736735582351685,6.980077922344208
four_cohort_core_plus_frozen,8,Factor3,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.7977426052093506,7.556694746017456,4.038217663764954
four_cohort_core_plus_frozen,8,Factor4,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.7510344982147217,6.074291467666626,4.019173979759216
four_cohort_core_plus_frozen,8,Factor5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.1952171325683593,5.719196796417236,2.4159297347068787
four_cohort_core_plus_frozen,8,Factor6,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.3550589084625244,3.81089448928833,2.3661449551582336
four_cohort_core_plus_frozen,12,Factor1,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.698625087738037,14.044606685638428,9.339313209056854
four_cohort_core_plus_frozen,12,Factor2,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.6195287704467773,9.444808959960938,7.172970473766327
four_cohort_core_plus_frozen,12,Factor3,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.68550705909729,7.219523191452026,3.872001171112061
four_cohort_core_plus_frozen,12,Factor4,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.393239736557007,5.805838108062744,3.714345395565033
four_cohort_core_plus_frozen,12,Factor5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.5831122398376465,4.466021060943604,2.614931762218476
four_cohort_core_plus_frozen,12,Factor6,2,DOG2;TARGET_OS,partially_shared,0.1952826976776123,5.262666940689087,2.1941736340522766
four_cohort_core_plus_frozen,12,Factor7,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.7756462097167969,2.489495277404785,2.124902606010437
four_cohort_core_plus_frozen,12,Factor8,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.1395881175994873,5.026066303253174,1.9592627882957456
