,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,group
DOG2::100_0514_tumor,-0.97861075,0.35632825,1.75451,0.15505092,2.4189475,0.77874285,0.08503601,-1.6306729,DOG2
DOG2::101_0518_tumor,2.5490253,1.8330257,1.1368928,-2.6982727,1.2679684,-0.51620746,1.0926859,-1.5029302,DOG2
DOG2::102_0619_tumor,4.2054877,1.6234301,-1.5307683,-1.9761755,-0.8330412,-0.12880997,1.2912812,-2.12215,DOG2
DOG2::103_0639_tumor,1.2967272,-1.4374301,-1.7529608,0.50088686,0.16709246,0.88920885,1.4524009,1.8513776,DOG2
DOG2::104_0702_tumor,0.046297986,0.67077345,1.0820142,0.021914208,2.8128433,-0.021925187,-0.36759463,0.80102026,DOG2
DOG2::105_0710_tumor,0.5099898,0.44314542,-1.7772907,1.0434396,0.5333542,2.2748857,-0.9236248,-0.5223036,DOG2
DOG2::106_0716_tumor,-2.701917,2.046123,-0.5333045,1.2392867,-0.5296776,1.5375085,1.4812136,0.3609827,DOG2
DOG2::107_0719_tumor,-4.5923815,-1.6045126,1.8426579,0.38648245,0.98181385,0.7731119,-0.37048772,-0.91634566,DOG2
DOG2::108_0720_tumor,-1.9395434,-3.0661654,0.6391328,-1.5922427,0.45885736,-0.019952197,-0.8418294,1.1047372,DOG2
DOG2::109_0721_tumor,1.4929224,-1.3193395,0.42470884,0.2107931,1.626138,-0.06951285,-1.2358403,2.584435,DOG2
DOG2::10_0512__Tumor,-2.2671294,1.4102715,1.5080069,0.7239121,2.1564996,-1.6565787,-2.8297095,-0.05100024,DOG2
DOG2::110_0522_tumor,3.2550268,-1.0977267,1.363056,-0.74015296,0.6349732,1.4183985,-0.06115945,-1.8908211,DOG2
DOG2::111_1708_tumor,-1.2186152,2.9593916,0.2898259,0.9330212,-2.4902263,1.0630314,0.75647295,-1.0555885,DOG2
DOG2::112_0502_tumor,0.61075586,-1.2907771,-3.5572624,0.55523455,2.0173712,1.5007288,-0.59992415,-0.9643255,DOG2
