factor,view,group,r2
Factor1,RNA,DOG2,14.044606685638428
Factor2,RNA,DOG2,8.16524624824524
Factor3,RNA,DOG2,7.219523191452026
Factor4,RNA,DOG2,5.805838108062744
Factor5,RNA,DOG2,4.4660210609436035
Factor6,RNA,DOG2,5.262666940689087
Factor7,RNA,DOG2,1.886129379272461
Factor8,RNA,DOG2,5.026066303253174
Factor1,RNA,GSE21257,10.855931043624878
Factor2,RNA,GSE21257,8.462297916412354
Factor3,RNA,GSE21257,3.178989887237549
Factor4,RNA,GSE21257,3.4262478351593018
Factor5,RNA,GSE21257,2.575397491455078
Factor6,RNA,GSE21257,0.679558515548706
Factor7,RNA,GSE21257,2.489495277404785
Factor8,RNA,GSE21257,1.2175798416137695
Factor1,RNA,GSE39055,1.698625087738037
Factor2,RNA,GSE39055,2.6195287704467773
Factor3,RNA,GSE39055,0.68550705909729
Factor4,RNA,GSE39055,2.393239736557007
Factor5,RNA,GSE39055,0.5831122398376465
Factor6,RNA,GSE39055,0.1952826976776123
Factor7,RNA,GSE39055,1.7756462097167969
Factor8,RNA,GSE39055,0.1395881175994873
Factor1,RNA,TARGET_OS,10.758090019226074
Factor2,RNA,TARGET_OS,9.444808959960938
Factor3,RNA,TARGET_OS,4.403984546661377
Factor4,RNA,TARGET_OS,3.232055902481079
Factor5,RNA,TARGET_OS,2.8351962566375732
Factor6,RNA,TARGET_OS,2.639186382293701
Factor7,RNA,TARGET_OS,2.348339557647705
Factor8,RNA,TARGET_OS,1.4538168907165527
