,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11
ABCC3,0.28486678,0.06379035,-0.0017792814,0.0577215,-0.096788935,0.013858721,-0.019416694,0.022578582,-0.047724996,-0.021221595,-0.032727987
ADAMTS1,-0.007261615,0.26615134,0.12302031,-0.080160774,0.0017133806,-0.10037576,0.28026438,0.08690996,0.016185574,0.013243292,-0.14382005
ADAMTS4,-0.00022195665,0.25058445,0.09728252,-0.16754776,0.054988325,0.0035187316,0.2752844,0.08321815,0.115808435,-0.1925857,-0.13106862
ADCY7,0.17403133,0.24099523,-0.00063882495,-0.14171714,-0.0842005,0.0008257024,0.0008430516,0.09448297,-0.22772408,0.03181908,0.014276233
ALOX5,0.22501834,-0.0070795617,-0.11946896,0.06061621,-0.13528527,-0.083579406,-0.00059691974,0.006210224,-0.009605655,-0.036214966,-0.09974538
ANGPT2,-0.0042752028,-0.0394315,0.0014691455,0.0034669456,0.14181484,-0.11553968,0.27629706,0.007447408,-0.007104605,-0.0029150315,-0.16160741
ANKRD22,0.27634403,-0.08569076,-0.0005689043,-0.024719723,-0.007932472,0.07033505,-0.081454165,0.044664815,0.07858403,0.13715538,0.0037058692
ANXA3,0.085638106,-0.06588948,-0.0531937,-0.017458042,-0.017617341,0.0070861555,0.0024859714,0.14491846,-0.18716,0.25017083,0.043928172
ARHGAP30,0.3286756,0.045747876,0.0047866623,-0.072502136,-0.0037467305,-0.0059367446,4.9625094e-05,-0.008804884,-0.020472612,0.0005547299,-0.0043106456
ARHGDIB,0.20533736,-0.05577604,-0.11584471,-0.041293602,-0.029093368,0.08016855,0.15914609,0.006953572,0.08926578,0.0017891166,0.043902416
ARL4D,-0.0004906581,-0.007933196,0.1613648,0.15756483,0.2026388,-0.0014748338,-0.055470947,-0.14777792,0.14454533,-0.02651657,-0.04772849
ARRB1,0.12493688,-0.020713925,-0.009121575,0.06546588,-0.0073143686,0.25597176,0.23308812,-0.06218052,-0.13424547,-0.15231423,0.09717372
ATAD2,-0.00060613116,-0.07618341,0.33678666,0.019978946,0.124920204,-0.0058921683,0.01686625,0.11225183,-0.1050693,0.015031075,0.0060608317
ATF7IP2,0.09022945,-0.13895394,-0.005653989,0.12678708,-0.011010764,0.0028259556,0.18451324,-0.002517009,-0.1285601,0.049892582,0.0602767
ATP8A1,0.19109933,-0.113531224,-0.003956771,0.10485316,-0.021280045,0.0065416847,0.0032223389,0.004976786,-0.34934616,0.12972559,0.0874328
B2M,0.23880197,-0.057353687,-0.00020056657,-0.08324031,0.18135813,-0.0011988321,0.0025304027,0.1799023,0.044055354,0.10221382,0.3070118
BARX1,-0.014368286,0.14105077,0.0668011,0.058520384,0.020001581,-0.0997434,-0.055818476,-0.05790446,0.13543722,0.26027566,-0.116593435
BATF2,0.20378508,-0.058866322,-0.0026668017,-0.00026200942,0.097557575,-0.0064529614,0.07818626,0.075324446,-0.029655555,0.18983234,0.29006568
BLNK,0.3111479,0.05354614,-0.0015962989,0.025094604,-0.0111806905,-0.0034421077,-0.040888786,-0.02656416,-0.0897222,-0.007547499,0.0016186913
BTK,0.25544697,-0.00024503516,0.0009339772,-0.09397197,0.031946383,0.2276374,-0.011355435,-0.022897929,-0.066957675,-0.07775256,-0.089049146
BUB1,9.3339324e-05,-0.084672764,0.38855186,-0.051156912,0.11999446,0.005889782,-0.0024756577,-0.0034062918,-0.058363892,-0.030271243,0.0026682473
C1S,0.09336099,0.24190621,-0.10360626,-0.0045525543,-0.09005292,-0.0012389475,0.10320439,0.25245893,0.060015384,0.04547596,0.16976826
C3AR1,0.3449891,0.08790257,-0.0006732747,0.0005831751,-0.020194048,-0.145484,-0.04892774,0.002901777,-0.07837514,-0.15615337,-0.0359312
CAPG,0.101530686,-0.005499554,-0.00067734695,-0.10895124,0.0046722437,0.29463118,-0.07984235,0.21248153,0.13812147,-0.029916923,-0.15137124
CARD9,0.2663168,0.00663963,-0.02489866,0.017092071,-0.054520883,0.14339297,-0.011206319,-0.0413416,0.08435761,0.064615995,-0.022618992
CASP8,0.13569464,0.009856402,0.025984554,-0.051071644,0.1628886,-0.0033062375,0.0055136196,0.23299004,-0.22976229,0.04387976,-0.008575058
CBX7,0.12379255,-0.013357443,-0.09698478,0.025642026,-0.17995006,-0.0023811753,0.024408732,0.19688594,-0.18192238,0.2090131,0.11841047
CCNA2,0.00013299556,2.371974e-05,0.39116964,-0.113099955,0.07559097,0.00031103304,0.005695949,-0.0055299005,-0.035734035,-0.02657899,0.02123686
CCNB3,-0.0014338304,-0.106632985,0.32127118,-0.010056554,-0.009117884,-0.009140297,0.037867162,0.0027924797,0.012943265,-0.0023143254,-0.0073121567
CCR2,0.27042028,0.028368501,-0.0026649646,0.00046309625,-0.04649641,-0.12563685,0.092148416,-0.0039747707,-0.13695538,-0.008572961,0.091367915
CD244,0.25665116,-0.06890258,-0.010525343,-0.015527084,0.015779603,-0.07052766,-0.0019650739,-0.013874555,-0.114679925,0.15978491,0.011155112
CD74,0.3364983,0.036838003,-0.039224636,-0.0021996514,0.005247131,-0.1854397,0.003933801,0.00056071824,0.030352622,-0.010917774,0.00039674435
CD80,0.27681336,0.003146661,-0.022205492,-0.06756176,0.04057828,-0.10166505,-0.0013794877,0.08420578,-0.017627863,0.15722993,-0.09134304
CD86,0.33271617,0.074945144,0.00044289287,-0.05308949,0.023949679,-0.15531772,-0.047453336,0.05714426,-0.024754046,-0.07989925,-0.09220091
CDC20,0.00021501367,-0.0011693541,0.34909302,-0.062529266,0.059222035,0.00037866484,-0.036545742,-0.01070116,0.14532183,-0.04549407,0.007697767
CDC6,0.00077978236,-0.098916166,0.36670426,-0.071987696,-0.003990574,8.5540596e-05,-0.0037274635,0.015456188,0.009719537,-0.041538686,-0.0046766913
CDCA2,-0.0015518815,0.016737578,0.3752865,-0.0639899,0.03319016,0.0012689555,-0.0028900024,-0.023922427,-0.060373407,-0.072692886,0.00088370306
CDCA8,0.0009802252,-0.0005706784,0.39741218,-0.025695289,-0.0030844875,-0.00054355524,-0.0017497994,-0.0066039837,0.08012027,-0.08454859,0.052742835
CEP72,9.8200326e-05,-0.009365452,0.26771656,0.020982577,-0.0013055443,-0.0019172669,-0.0033290046,-0.032044355,0.07486411,0.12038255,0.0032647683
CHST2,0.002831837,-0.029405013,0.113068,-0.0121398475,-0.0064203115,0.005135138,0.3857251,-0.16376497,0.0028856804,0.052039973,-0.012960376
CLEC12A,0.3096403,0.07677319,-0.015802527,-0.00037672385,-0.023049336,-0.105030045,-0.003447151,0.003270144,0.008270455,0.029736947,0.12438069
CLSPN,0.0010697206,-0.009721889,0.38736483,-0.0010935781,0.0093873,-0.00086729514,0.0057308823,0.004283715,-0.07701864,-0.122121975,0.020455644
CLTCL1,0.0020740458,0.122135736,0.1808467,0.020770311,-0.24300165,-0.0023065205,-0.0027558326,-0.19179587,-0.0046814396,0.09020002,-0.003261809
CSF1R,0.22490789,-0.0007449452,-0.0016203757,0.07007348,-0.016824597,0.3281894,-0.00016574647,-0.028501349,-0.005895837,-0.13471854,-0.02676937
CSF2RB,0.23419283,0.0666369,-0.008384072,-0.07826895,0.07265395,0.16701454,0.115217514,-0.011207097,-0.12647052,-0.07991913,0.01482902
CTSH,0.25830632,-0.011032974,-0.012084276,0.08285562,-0.03859703,-0.10349123,-0.0661827,0.1735727,0.08822877,0.008116117,-0.08998948
