,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
ABCC3,0.26389274,0.016975962,0.0002832262,0.056959905,-0.035171382,-0.0013612931
ADAMTS1,-0.0012007024,0.27152726,0.12843448,0.011574115,-0.007616911,0.009388488
ADAMTS4,0.03788634,0.23983864,0.10196358,-0.0572806,-0.008540223,-0.1012043
ADCY7,0.18634135,0.23051406,8.6212975e-05,-0.031462185,-0.09108823,0.0034074774
ALOX5,0.215298,0.015714724,-0.10821053,-0.004416382,-0.054765325,0.07219336
ANGPT2,0.0006248108,0.0077066873,0.0022619313,0.031010084,0.004621899,0.040736876
ANKRD22,0.25907364,-0.08865554,-0.0017743662,-0.04566716,-0.06627097,0.000411936
ANXA3,0.097753294,-0.008400068,-0.05683438,0.007882176,-0.16907132,0.011925583
ARHGAP30,0.3227657,0.027798088,0.0052179913,-0.04601301,0.0021251335,0.052403703
ARHGDIB,0.2423608,-0.018667173,-0.1131504,-0.0018931115,-0.05156176,-0.042148087
ARL4D,-0.0414486,-0.118722185,0.15362985,0.09263782,0.20332117,0.0029577606
ARRB1,0.20497997,-0.04132691,-0.0072623864,0.14802055,0.0002134896,-0.17532356
ATAD2,-0.0036788462,-0.05994863,0.33806944,0.022068208,-0.09689739,0.034513917
ATF7IP2,0.11729009,-0.09059565,-0.011008465,0.13612556,-0.022744378,0.007143933
ATP8A1,0.2199254,-0.061094474,-0.006538038,0.12379014,-0.082211606,0.041449454
B2M,0.23706295,-0.042741228,-0.0064921137,-0.031258065,-0.17324595,0.07689731
BARX1,-0.08884841,0.06641789,0.040394872,0.019316392,0.15245874,0.073945984
BATF2,0.21653442,-0.054326233,-0.010189129,0.069728546,-0.07505144,0.116379574
BLNK,0.29307467,0.0031742952,-0.0016868314,0.029555544,0.011093924,0.06029914
BTK,0.28711525,-0.04133474,0.002009324,-0.04540648,0.009304495,-0.17142384
BUB1,0.0005217139,-0.06269727,0.37657222,-0.07532226,0.0063329083,-0.0033173857
C1S,0.10032197,0.21605234,-0.086755715,0.10226404,-0.22948867,0.012861232
C3AR1,0.30590415,0.062454887,0.0012631852,-0.010119466,-0.012233802,0.1361201
CAPG,0.11235138,-0.040917724,0.0028531982,-0.086172536,-0.20002435,-0.25169873
CARD9,0.26596653,-0.04174359,-0.009289312,0.03435358,0.021741671,-0.084245004
CASP8,0.14490847,0.03514488,0.03938839,0.018340195,-0.20549105,0.027868018
CBX7,0.13818833,0.037488855,-0.09121238,0.07880029,-0.24633694,0.08103527
CCNA2,0.0007078743,0.0059159994,0.3796115,-0.10295015,0.013162424,0.0005033334
CCNB3,-0.0045556333,-0.062245853,0.31252548,-0.05189078,-0.0060250014,0.010376362
CCR2,0.27583644,0.06371638,-0.0020805951,0.036188446,-0.0126141,0.14602001
