,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
ABCC3,0.06697224468435915,-0.00922459063271116,0.006287127814380645,0.03031553607080333,0.002490186639896616,0.007599006075555924,0.039784378150547264,0.012899598452879676,-0.026587331832567007,0.017342442223315546,-0.021519064102488043,-0.0001946912502705997
ADAMTS1,-0.00637528521186298,0.06828063590451088,0.00836331696875898,0.06211649696352635,0.002555066030954286,0.00632388675327626,-0.05463528767619542,-0.016668678574520007,0.05737322901623642,0.03053477534755917,0.04557321507836655,-0.02771596383953964
ADAMTS4,0.010985033062434374,0.0558652914844047,-0.007618217842553012,0.051429472395089944,0.04903772892285687,-0.021086467217912908,-0.031126191601917923,-0.015073700153123336,0.06283280656825456,-0.02811583552877652,0.09900236619599223,-0.020957292584238167
ADCY7,0.053989218084504534,0.05446649602331649,-0.0061478429061678184,0.02737103496465962,-0.0028492875656416956,0.013226265747718352,-0.017579801028313385,0.000796022443496058,-0.07602722057039867,0.020747018099427143,0.05320071214041601,0.014552360340599974
ALOX5,0.057538886571212255,0.003136215931111608,0.009532962984003062,-0.0113086812622009,-0.038339801152905695,0.025843564506275257,0.03013025343226214,-0.007479311221740561,-0.007454122603222516,-0.013801529170250763,-0.006078769109389459,-0.005523686375369941
ANGPT2,-0.00032882815109989733,0.0031387042413897515,0.0058130529409461205,0.012366405741330404,-0.027500702013597902,-0.011995629727051201,-0.07595538549696114,-0.00247557765438872,0.08793082223163062,-0.000434527156572234,0.013044412502548777,-0.04608779286370428
ANKRD22,0.0678113420365234,-0.03258788950818178,-0.023410901063155527,0.016731168140236806,-0.009257531640539943,0.012995702985931792,0.04277289708904357,-0.00864231063991264,-0.03373203191182975,0.03231063441106789,0.06622605908840144,-0.005241110367604999
ANXA3,0.03473175368098906,-0.00818628718504999,0.007923647256036448,-0.005281722261706232,-0.01661883530517111,0.022050534488224298,-0.05778474749395612,-0.01932035929328535,-0.07731580684361282,0.05934718961434232,-0.04723559804658773,-0.036641690047830924
ARHGAP30,0.0813551317140859,-0.0033708409101003067,-0.024362984049247385,0.04438904290355144,-0.022065235908005097,0.004556327804990726,0.03212844599412428,0.03311369818875208,0.0061124696169230965,0.0026901692489628946,-0.014635207885826474,0.016985788183335675
ARHGDIB,0.0786375910948621,-0.013407270613323561,0.0031906009484597717,-0.0035544315999292133,-0.007203744937301401,-0.015195941967666092,0.022673958237038733,-0.011880940590499513,0.04588606702232215,-0.0008666459667713653,-0.02636976466253785,-0.003635332938442615
ARL4D,-0.04148202549674234,-0.03962573399862985,0.0022284373208124723,0.045155288481649826,-0.015310761309906216,-0.013439877357722084,0.032507202399238586,0.056226740672364425,0.033008146434919165,0.010064358981067218,0.013628890195618137,0.010163705736534922
ARRB1,0.05649008654241184,-0.035016930024973705,0.03748057770645671,0.019796341310459153,0.016408510672554794,-0.046563776188785405,-0.011142328347431413,-0.019504029749833916,0.03768470122522655,-0.02194422437339119,-0.06675086749452443,0.026620944672036777
ATAD2,-0.03560381645282834,-0.036042538857143216,-0.019506222742146105,0.081648821558347,0.012307409464967514,0.04935204801290033,-0.06977502973808443,0.013406418643252935,0.002284573285818296,-0.0033509509811535283,0.015863134783194517,0.0204883736838853
ATF7IP2,0.02915014691905235,-0.03648656430639868,0.027655554980120466,0.003108764074625997,-0.0402321231208344,-0.00474727392419941,-0.03161414628293342,-0.03828598343909236,0.006829033598593303,0.006972996850505753,0.0032961611080484093,0.005620730887830237
ATP8A1,0.041170386207860496,-0.04062951483516993,0.013005236270521348,0.010077414981589755,-0.05527793274226756,-0.0010718888691069687,-0.058811279122920404,-0.00796644092688083,-0.08224755876145894,0.019576030749238905,-0.0497130664389626,0.04021162582666149
B2M,0.06553902772707453,-0.021174142971160333,-0.017803336408114736,0.00787145019263514,-0.01354276390848912,0.03248760614237959,-0.033327450716453,0.03746387125491429,-0.011213689550570883,-0.012743575608284255,0.0005935771168940774,-0.03518454672901791
BARX1,-0.037366276414048064,0.02472278693304302,-0.00010274180359525777,0.023904309449504318,-0.0343500690975204,-0.0001874543024638236,0.030912538270274556,-0.006954129618574296,-0.014067774669836098,0.087656321690685,0.08160194915382261,-0.056246805476258765
BATF2,0.0585457972228189,-0.024313004076737685,0.001353357620583761,0.012773509800565892,-0.0608230889220599,0.018521690541154393,-0.015102247756224657,-0.00032966111484693163,-0.0012740052368040884,0.0018250236966287619,0.03648934946141875,0.01980631315960355
BLNK,0.07009577232964508,-0.009267134527510788,-0.008430938212952604,0.031861679709534185,-0.04108706883003076,0.00394788801500951,0.023838029445676628,0.01712816093785718,-0.06258441555822375,-0.015274589387191628,0.021257222849223364,-0.022219848219321464
