,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,group
DOG2::100_0514_tumor,-0.36121973,-0.37794083,0.19106245,-1.0474969,2.4405377,-2.2049358,-0.17870088,0.13335161,DOG2
DOG2::101_0518_tumor,2.7738135,1.3487786,-0.89715767,-0.5940054,1.3412046,-1.9780109,-0.3229543,1.7676107,DOG2
DOG2::102_0619_tumor,3.596752,1.0109833,-0.3730951,0.91665506,-1.1261051,-2.305042,-0.48332193,1.4234524,DOG2
DOG2::103_0639_tumor,0.95075405,-1.263635,1.7869936,1.2810147,-0.27023906,1.2846655,-1.3385142,0.81366265,DOG2
DOG2::104_0702_tumor,0.5258478,0.32040116,-0.105622225,-1.3071513,2.8957138,0.7695633,-0.574706,-0.6544816,DOG2
DOG2::105_0710_tumor,0.28329882,-0.2939758,0.039753035,0.73627406,0.19868189,-0.6037922,-0.39100763,-0.91047615,DOG2
DOG2::106_0716_tumor,-2.5095508,2.0520713,1.0799007,0.13890581,-0.17750867,-0.4435297,-2.3280854,-0.66656345,DOG2
DOG2::107_0719_tumor,-4.04015,-1.3786172,-0.016529005,-0.12805927,1.1871712,-0.41393924,1.1230898,1.3479911,DOG2
DOG2::108_0720_tumor,-1.6341183,-2.422823,-1.6948515,0.12988387,0.7442935,1.6334473,0.94751805,1.6152794,DOG2
DOG2::109_0721_tumor,1.4742309,-1.3905262,0.18651909,-0.7713677,1.2679846,2.6575854,-0.0088439565,-0.20570028,DOG2
DOG2::10_0512__Tumor,-1.0654998,1.1780586,-0.4161854,-1.0845498,2.463171,0.66468835,3.5586574,-0.3919514,DOG2
DOG2::110_0522_tumor,2.743318,-2.01952,-0.08171005,-1.2873082,-0.073521,-2.145078,-0.6815639,0.72959334,DOG2
DOG2::111_1708_tumor,-1.5421599,2.865994,0.3326496,-0.25556833,-2.2279541,-1.6514264,-0.69640607,-0.29989594,DOG2
DOG2::112_0502_tumor,0.7836774,-1.5869296,0.7898194,2.3725526,1.2223663,-0.7557157,0.052625764,-0.58040875,DOG2
DOG2::113_1010_tumor,0.28356493,-1.1307093,-2.8196502,-0.20971319,-1.2770191,2.1565647,-2.2769222,3.1026747,DOG2
DOG2::114_1704_tumor,1.6361233,3.4843433,0.6838055,0.7782276,-0.74154204,-1.7292161,0.323793,0.8647749,DOG2
DOG2::115_2318_tumor,-0.8202136,-1.4620936,-0.8064277,-0.6318618,0.4021738,3.3807871,1.1365603,-0.794724,DOG2
DOG2::116_0506_tumor,0.18289903,2.040052,-0.38578764,0.6575782,0.8444382,-0.08214426,-0.62337,0.66311705,DOG2
DOG2::117_1011_tumor,-4.9467034,-2.7021892,-1.1579707,-2.331006,0.8292706,-2.105966,1.9577862,-1.6865402,DOG2
DOG2::118_2304_tumor,-1.8042246,-0.09637441,1.0060136,1.8526894,1.2880595,-1.9970292,-0.5173411,-1.2087411,DOG2
DOG2::119_0516_tumor,-2.9903955,0.0017152727,0.9048091,0.19791113,-1.0639775,-1.3322825,1.1058948,-1.3483149,DOG2
DOG2::11_0602__Tumor,-1.5604444,-0.7196131,0.4186438,-0.020184452,-1.1737152,-0.26997274,-1.1535802,1.4705848,DOG2
DOG2::120_2306_tumor,0.898857,-0.071274556,0.12398319,0.56337047,-1.6555774,-1.6736023,-1.0655007,1.1145281,DOG2
DOG2::121_2322_tumor,-1.9132091,-1.8295763,1.3726398,0.794778,0.19127017,2.193621,0.6860642,-0.62050474,DOG2
DOG2::122_0504_tumor,-2.4750385,-1.7116506,-0.14393914,-0.48859882,2.2269232,-1.664089,-0.40152693,2.332358,DOG2
DOG2::123_2316_tumor,2.4574368,-1.776606,0.08951934,-2.0344799,-0.60501665,0.4208866,0.099846154,1.0542626,DOG2
DOG2::125_2004_tumor,-0.7096574,1.4272666,0.49546778,0.07140863,-1.5796521,-0.3185537,3.0188317,-0.6098002,DOG2
DOG2::126_0228_tumor,-2.8095164,2.5715635,-1.071505,-0.5752851,-0.7721144,-0.34991574,-2.8391206,-0.2552632,DOG2
DOG2::127_2010_tumor,-2.3585405,-0.73964876,-0.99827003,-0.00047189684,-2.1545947,0.79977405,0.47046044,0.36197338,DOG2
DOG2::128_1023_tumor,3.30376,1.8720939,-3.4043858,1.4596182,-0.7814924,-2.2559657,0.45853084,2.494807,DOG2
DOG2::129_1414_tumor,0.37172222,-0.9450291,0.49719828,-1.0277435,0.7824567,0.5940823,0.99198836,0.6323904,DOG2
DOG2::12_0608__Tumor,-4.1712623,0.014072463,-0.085336335,-2.3320727,1.2066829,-1.3372751,0.09246197,-0.14690201,DOG2
DOG2::131_2012_tumor,-0.57241905,-0.69907486,0.37840778,2.3373926,-0.32811812,1.0286293,-1.7279711,-3.7718573,DOG2
DOG2::132_1025_tumor,-5.889337,3.882838,-0.8214373,0.14697136,-0.3787838,-1.2924764,-0.2665307,0.5811886,DOG2
DOG2::133_0907_tumor,1.2951124,2.6803284,-0.40186894,1.36892,-1.5382636,-0.7234626,3.0047293,-1.2162534,DOG2
DOG2::134_2208_tumor,-0.3984649,-0.9958468,-0.023619963,0.42700666,-1.174787,-0.82594204,0.48628336,1.3050234,DOG2
DOG2::135_0102_tumor,-2.3625438,-3.3710442,0.7332954,-0.15718941,2.6752563,0.72680306,-0.24846934,0.6864118,DOG2
DOG2::136_0105_tumor,0.4199584,-3.1785235,0.2909578,-0.6688409,-0.49972746,1.5896975,-0.9731821,-0.3396075,DOG2
DOG2::137_0106_tumor,2.9861865,-0.8495234,-0.16131464,2.8585458,-0.13878506,0.5420684,-0.4428998,-1.0354465,DOG2
DOG2::138_0314_tumor,-1.8343959,2.9335694,-0.026242431,3.43256,-0.18438858,0.41148007,-2.3633988,-0.19609,DOG2
DOG2::139_0733_tumor,-1.4417925,0.21890314,-3.0814352,3.756047,0.4046522,-0.69812423,-0.16536298,1.7668482,DOG2
DOG2::13_0613__Tumor,-5.021429,-1.816964,0.17390679,-1.1134584,-0.70873123,0.3527667,0.06557511,2.770787,DOG2
DOG2::140_0905_tumor,1.7109652,4.539115,-1.6842457,2.0841794,-0.8469892,-1.2012169,1.1028453,0.35662672,DOG2
DOG2::141_1707_tumor,1.8895257,-1.468247,1.2477319,2.599154,2.177095,-1.3121759,-0.2842688,-1.5768355,DOG2
DOG2::142_1710_tumor,0.2618406,1.7495704,0.62486875,-0.5582301,0.1535316,0.9224301,-0.9080182,0.49682882,DOG2
DOG2::143_1916_tumor,2.1981735,3.0427172,-0.6616816,0.8795382,0.14833848,-1.4577355,0.6206384,2.9274256,DOG2
DOG2::14_0614__Tumor,5.60566,-2.140656,-1.7774855,-1.0429136,-2.0188475,0.3264724,0.32138497,0.97515124,DOG2
DOG2::15_0615__Tumor,2.140581,-0.22923526,0.6360998,-0.9133658,-0.2869916,1.12774,0.6830961,-1.0232911,DOG2
DOG2::16_0211_tumor,-1.3208345,2.104749,-0.75689936,2.8639681,1.2336937,-0.92245096,2.5811758,0.41283578,DOG2
DOG2::16_0616__Tumor,0.195016,2.5835001,-0.52307695,-0.32110122,0.78595483,-0.97237504,-0.79946876,0.56357366,DOG2
DOG2::17_0226_tumor,0.3835992,-2.776492,0.6500933,-1.9856033,0.32783467,0.75946134,-1.4995592,-0.62143916,DOG2
DOG2::17_0620__Tumor,0.7333442,-1.3748622,0.4759373,-0.18558554,0.9500979,-0.8845056,-0.5859956,0.79269284,DOG2
