,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,group
DOG2::100_0514_tumor,-0.9654072,0.48084912,0.19168065,2.0816097,1.3274596,-2.16442,-0.02922341,0.4900147,0.06966284,DOG2
DOG2::101_0518_tumor,2.2620318,0.97086257,-1.200557,0.7506362,1.2068605,-2.390225,-0.08469136,-1.4696738,-0.38440308,DOG2
DOG2::102_0619_tumor,3.585754,-0.12578659,-0.44931003,-0.99156487,-0.5050243,-2.4799497,-0.9101575,-1.2894647,-0.011939004,DOG2
DOG2::103_0639_tumor,0.89052063,-0.1032292,1.5702116,0.45421594,-1.312474,1.340545,-1.6421086,-1.1025276,0.13583131,DOG2
DOG2::104_0702_tumor,-0.14370447,1.6598735,-0.5751935,2.2423246,1.2621784,0.60380244,0.08272233,0.78420013,-0.47994557,DOG2
DOG2::105_0710_tumor,0.24093446,-0.020535257,-0.030820355,0.3204886,-1.041481,-0.36632603,-0.97740346,1.3409637,2.1012073,DOG2
DOG2::106_0716_tumor,-2.85039,1.6029516,0.38546008,-1.1320375,-0.5213227,-0.4212132,-1.8039502,0.4790202,-1.055948,DOG2
DOG2::107_0719_tumor,-4.0215855,-0.8276603,0.47064033,1.1694938,0.46901372,-0.4542914,0.8643276,-0.89534265,1.6529118,DOG2
DOG2::108_0720_tumor,-1.5414445,-1.7618444,-1.0984819,1.5693997,0.19787644,1.4864918,0.9226247,-1.5160166,1.1926986,DOG2
DOG2::109_0721_tumor,1.3103957,0.27939516,-0.050851807,1.712095,0.6737434,2.6566477,-0.17804576,0.31407955,1.206035,DOG2
DOG2::10_0512__Tumor,-0.9248654,1.5026425,-0.4584862,1.0589242,1.0745271,0.28793207,3.4491696,0.9640784,2.9703102,DOG2
DOG2::110_0522_tumor,2.487201,-1.4277587,0.20400257,1.1162759,1.802403,-1.8013493,-1.3867651,0.009100772,0.7125511,DOG2
DOG2::111_1708_tumor,-1.3090723,0.8396618,-0.047969874,-3.141683,0.13899435,-1.574937,-0.86004615,0.3362719,-0.20410323,DOG2
DOG2::112_0502_tumor,0.71108997,-0.406544,0.9160464,1.7090105,-2.7231653,-0.5651594,-0.5435948,0.8507611,2.0442276,DOG2
DOG2::113_1010_tumor,0.09948326,-1.5657024,-2.8538725,-0.14415763,0.72776276,1.8976281,-2.211771,-3.2031906,0.31915852,DOG2
DOG2::114_1704_tumor,1.7076125,1.8538449,0.1702946,-2.0754457,-0.6039073,-2.157756,0.46024695,-1.1174089,-0.97579473,DOG2
DOG2::115_2318_tumor,-0.5735242,-0.62453514,-0.50274813,0.85078233,0.42616642,3.3747554,1.5628387,0.41112757,-0.20016126,DOG2
DOG2::116_0506_tumor,-0.12619713,1.5709734,-0.99444175,-0.15493354,-0.7499522,-0.48989224,-0.37952474,-0.70695263,0.5848577,DOG2
DOG2::117_1011_tumor,-4.7913184,-2.4789863,0.06804602,1.3457791,2.371579,-1.5409119,2.0454516,2.399135,0.22721133,DOG2
DOG2::118_2304_tumor,-2.023077,0.42154035,0.9062117,0.90703064,-2.3715296,-1.7385024,-0.88624805,1.650261,1.5977095,DOG2
DOG2::119_0516_tumor,-2.5513115,-0.58041805,1.2496705,-1.2460928,-0.5214671,-0.9436017,0.61990076,1.6512573,0.87189615,DOG2
DOG2::11_0602__Tumor,-1.5259514,-0.7763064,0.36097062,-0.6475279,0.234006,-0.10743196,-2.013693,-0.96481735,2.0775638,DOG2
DOG2::120_2306_tumor,0.9721433,-0.7588258,0.03488105,-1.1152027,-0.3906772,-1.4946542,-2.045366,-0.60554343,1.7663102,DOG2
DOG2::121_2322_tumor,-1.6270807,-0.5590003,1.6245418,0.6876828,-1.1059577,2.389587,0.6103432,0.31870043,0.36816284,DOG2
DOG2::122_0504_tumor,-3.0047812,-0.63065404,0.021924349,2.3859305,1.0395913,-1.712041,-0.7884056,-1.4284831,2.0911825,DOG2
DOG2::123_2316_tumor,2.471163,-1.0710975,0.28130054,0.50745225,2.638248,0.61628234,-0.613971,-0.63639206,0.811038,DOG2
DOG2::125_2004_tumor,0.11924984,0.13614286,0.7683519,-2.228632,-0.115809165,-0.33658123,2.3238578,0.7685675,1.9368241,DOG2
DOG2::126_0228_tumor,-3.2068589,1.0848151,-1.6197555,-1.6959717,0.30888796,-0.4780174,-1.6024468,-0.27685857,-3.167188,DOG2
DOG2::127_2010_tumor,-1.8214912,-1.6627803,-0.5752323,-1.5476692,-0.008904287,0.99612445,-0.042439606,-0.22784817,1.3516587,DOG2
DOG2::128_1023_tumor,3.332428,-0.5419059,-3.1880171,-1.0418254,-0.8859557,-2.934615,0.6791198,-2.5833504,-0.34195033,DOG2
DOG2::129_1414_tumor,0.38345957,-0.06671402,0.5944242,0.95350343,1.331938,0.59223676,0.6195817,-0.31153437,1.2442595,DOG2
DOG2::12_0608__Tumor,-4.4527216,0.17281929,0.008208255,0.6080476,2.505657,-1.166941,0.28879818,0.8686312,0.35159102,DOG2
DOG2::131_2012_tumor,-0.57490927,-0.19667524,0.41618282,0.11424888,-3.4899528,1.5048258,-0.97812986,2.8377075,-2.4177012,DOG2
DOG2::132_1025_tumor,-5.8929453,1.6101308,-1.1830078,-2.456545,-0.27173945,-1.6578051,0.49584857,-0.6940704,-0.52170223,DOG2
DOG2::133_0907_tumor,2.076151,0.59243864,-0.21119057,-2.5559576,-1.6411268,-0.9704241,3.1047952,0.7524924,-0.7491133,DOG2
DOG2::134_2208_tumor,-0.08703715,-1.2937576,0.2867556,-0.5616855,-0.14287128,-0.68529534,-0.61933523,-0.70684713,2.7733037,DOG2
DOG2::135_0102_tumor,-2.7520983,-0.8940226,1.0455573,3.4136386,0.23588315,0.8660638,-0.3882337,-0.22929786,1.5461679,DOG2
DOG2::136_0105_tumor,0.42914763,-1.7448827,0.5856641,1.1176327,0.6217012,2.0441782,-1.3913581,0.4518272,0.4256659,DOG2
DOG2::137_0106_tumor,3.0643313,-0.50661576,-0.03179169,0.53497237,-3.3226993,0.5628348,-0.30808327,0.3611929,-0.9012775,DOG2
DOG2::138_0314_tumor,-2.0465875,1.889484,-0.89668244,-1.3826528,-4.1552734,0.04662071,-1.6688281,-0.57499987,-0.8084031,DOG2
DOG2::139_0733_tumor,-1.4747404,-1.0141917,-2.7559147,0.32591927,-3.8193188,-1.216554,0.19898878,-2.0330415,0.8888167,DOG2
DOG2::13_0613__Tumor,-4.858039,-1.7028613,0.6884708,-0.13844922,1.7542332,0.3833175,-0.12631087,-2.5531762,0.34472442,DOG2
DOG2::140_0905_tumor,1.9599613,1.7885119,-2.136948,-2.5440443,-2.2659032,-1.9178115,1.4528006,-0.7669925,-0.253093,DOG2
DOG2::141_1707_tumor,1.5275806,0.07332115,1.4175572,2.5165734,-3.0189588,-1.1516416,0.054375425,1.2954297,-1.2031018,DOG2
DOG2::142_1710_tumor,0.036746148,1.6851094,-0.085852526,-0.6026166,0.5214021,0.7186516,-0.8294999,-0.5393521,0.04420854,DOG2
DOG2::143_1916_tumor,2.1051111,1.5309104,-1.1682482,-1.0526619,-0.28010416,-2.22645,0.5104823,-2.8163445,0.8254802,DOG2
DOG2::14_0614__Tumor,5.9110575,-2.4024236,-1.1578851,-0.13096675,1.6561763,0.42406884,-0.27091643,-1.0145812,-0.09845362,DOG2
DOG2::15_0615__Tumor,2.3010519,0.21890855,0.6008628,-0.06736972,0.87002444,1.2376044,0.61657524,0.8804285,-0.46718192,DOG2
DOG2::16_0211_tumor,-1.035479,0.99064046,-0.6641754,-0.21731973,-3.0391483,-1.505712,2.8709364,-0.60953933,1.0683057,DOG2
DOG2::16_0616__Tumor,-0.21280429,1.7541012,-1.1101042,-0.41418767,0.43692106,-1.3489468,-0.16232006,-0.615314,-0.9756688,DOG2
DOG2::17_0226_tumor,0.054378353,-1.0939003,0.78989375,1.6221855,2.063581,1.271618,-1.5919122,0.9196409,-0.52254814,DOG2
DOG2::17_0620__Tumor,0.41453287,-0.43648762,0.5370198,1.4528811,0.469997,-0.7713426,-0.8417946,-0.4685904,0.36538804,DOG2
DOG2::18_0301_tumor,-1.5372573,-0.7448166,-4.6370587,0.68078387,0.1729926,0.38999218,0.9998504,-2.7055068,-2.8983684,DOG2
DOG2::19_0303_tumor,-1.8347888,-0.8834038,-0.8079421,-1.8488158,3.504471,-1.5906607,-0.41934177,-1.4516453,0.19474776,DOG2
DOG2::19_0621__Tumor,-1.8872563,-1.3770698,1.2572068,-0.112468675,1.346086,-1.4627541,-0.41198677,2.3211086,-0.31346008,DOG2
DOG2::1_0201_tumor,-0.49338266,0.061037548,1.354172,-3.4080367,1.8691379,-0.28161412,1.1229548,1.627208,0.15904327,DOG2
DOG2::1_0202_tumor,-0.38360748,0.31004015,2.421406,-0.11030702,-2.7306218,-1.398208,0.614792,1.2089378,0.6431137,DOG2
DOG2::20_0307_tumor,2.123828,2.596897,-1.3186809,-3.2542286,-2.0966935,-1.2433207,3.314035,-0.7234014,-1.362516,DOG2
DOG2::21_0311_tumor,6.1878,-0.46931884,-2.430836,-1.6369013,-0.7090431,-1.3060849,-0.15991247,0.31587332,-0.95014256,DOG2
DOG2::21_0631__Tumor,-0.8663745,0.32440436,0.7117966,0.92949206,0.81964684,1.2916611,1.7134457,-0.44849506,1.6479352,DOG2
DOG2::22_0317_tumor,4.244067,-0.06535183,0.09027081,-1.6202849,0.5321274,-1.1695693,-0.9156778,-0.51648355,-0.0051446785,DOG2
DOG2::22_0640__Tumor,-1.2499608,-0.9418762,1.8996512,1.0845587,1.6516255,-1.0766354,-1.1467682,1.5748818,-0.3891032,DOG2
DOG2::23_0329_tumor,1.1271185,0.34201425,-1.4782364,3.4119,1.1616321,-0.945691,0.8591086,-0.4070193,1.3204007,DOG2
DOG2::23_0642__Tumor,2.430004,-0.9934395,1.4769868,-0.9103232,2.107045,0.59868866,0.10351989,1.0694803,-0.058889627,DOG2
DOG2::24_0405_tumor,-0.46703824,2.1999564,-1.845771,-0.56389415,0.7076706,-2.3218164,-0.5980022,-1.8484303,-0.65158224,DOG2
