factor,view,group,r2
Factor1,RNA,DOG2,13.816601037979126
Factor2,RNA,DOG2,6.265503168106079
Factor3,RNA,DOG2,5.108267068862915
Factor4,RNA,DOG2,6.6970109939575195
Factor5,RNA,DOG2,5.00948429107666
Factor6,RNA,DOG2,8.004635572433472
Factor7,RNA,DOG2,2.9807448387145996
Factor8,RNA,DOG2,3.1377077102661133
Factor9,RNA,DOG2,1.8638074398040771
Factor1,RNA,GSE21257,10.241568088531494
Factor2,RNA,GSE21257,7.8509509563446045
Factor3,RNA,GSE21257,5.186223983764648
Factor4,RNA,GSE21257,4.4625163078308105
Factor5,RNA,GSE21257,1.6475856304168701
Factor6,RNA,GSE21257,0.6541788578033447
Factor7,RNA,GSE21257,1.8128573894500732
Factor8,RNA,GSE21257,1.8331289291381836
Factor9,RNA,GSE21257,1.8558979034423828
Factor1,RNA,GSE39055,2.074974775314331
Factor2,RNA,GSE39055,4.671370983123779
Factor3,RNA,GSE39055,5.496460199356079
Factor4,RNA,GSE39055,1.6942203044891357
Factor5,RNA,GSE39055,1.3285458087921143
Factor6,RNA,GSE39055,0.04363656044006348
Factor7,RNA,GSE39055,0.5984961986541748
Factor8,RNA,GSE39055,0.6139397621154785
Factor9,RNA,GSE39055,0.3734469413757324
Factor1,RNA,TARGET_OS,8.951061964035034
Factor2,RNA,TARGET_OS,10.06549596786499
Factor3,RNA,TARGET_OS,6.22628927230835
Factor4,RNA,TARGET_OS,3.6428987979888916
Factor5,RNA,TARGET_OS,3.539109230041504
Factor6,RNA,TARGET_OS,0.6304383277893066
Factor7,RNA,TARGET_OS,2.108776569366455
Factor8,RNA,TARGET_OS,1.7512023448944092
Factor9,RNA,TARGET_OS,2.1469414234161377
