,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
ABCC3,0.2905962,0.054688513,0.0036492161,0.0040059634,0.018017305,0.055178568,-0.14656062,0.08543173,-0.082367755
ADAMTS1,-0.0044002915,0.2506132,0.002326524,-0.19761872,0.18907696,-0.10921095,0.19155236,-0.050556526,0.114621
ADAMTS4,0.048958316,0.2769263,0.002525506,-0.05402393,0.140696,-0.17548193,0.099250115,-0.22417171,0.22755715
ANGPT2,0.014515127,-0.04472504,0.097140566,-0.095774144,0.010674274,-0.016676875,0.2778351,-0.11690564,0.104966074
ARHGAP30,0.36615205,-0.032533314,-0.0010969242,-0.062037706,0.053728234,-0.038399104,-0.13215864,-0.0030444202,-0.062616475
ARHGDIB,0.31984156,-0.020886322,-1.8265328e-05,0.050822176,-0.11352104,0.015559786,0.026439132,0.027071794,0.116760366
B2M,0.28795755,-0.07419236,0.0010961841,-0.04162181,-0.0037912275,0.12239081,-0.024692295,-0.14497595,-0.03398668
C1S,0.16936296,0.2991373,-0.0067974073,-0.15523224,-0.10789253,0.13401498,-0.0005950724,0.048833914,-0.0017565795
CARD9,0.29414493,0.0043190517,0.0048723295,0.1196938,-0.0011035072,-0.0005763034,-0.15321977,0.11950107,0.019110741
CCNA2,-0.085384436,-0.07086287,-0.0015212437,-0.0034466027,0.4501367,-0.09825864,0.0034865,-0.13925391,0.024564076
CD74,0.35004437,-0.06340377,0.0123652425,-0.21030828,-0.0013493318,0.024832996,-0.15667722,-0.0015630693,0.0049682725
CD86,0.32983428,-0.0035742272,-0.001338898,-0.16978587,0.0608811,0.0074173,-0.18652669,-0.11101441,-0.08085102
CDC20,-0.10545003,-0.078643754,-0.00027027348,0.0057476014,0.38606033,-0.062059015,-0.14121673,-0.12119853,0.14127272
CSF1R,0.28026223,0.051286645,0.09713319,0.32288572,0.003125149,-0.0013951093,-0.09380611,0.04529666,0.0005807881
CTSH,0.23328076,-0.0018562832,-0.002088622,-0.09900115,0.0030522717,0.22646807,-0.20152465,-0.014335165,0.0062050084
