,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,group
DOG2::100_0514_tumor,-1.1348284,0.2803001,0.026168387,1.3095484,2.7547524,-1.6709938,DOG2
DOG2::101_0518_tumor,2.1628566,2.0300686,-1.254275,1.7531791,1.9449967,-1.2333859,DOG2
DOG2::102_0619_tumor,3.8088357,1.6836152,-0.7823853,0.38440752,-0.47276577,-2.1456041,DOG2
DOG2::103_0639_tumor,1.1477247,-1.7228557,1.3187658,-1.0859482,-0.24313071,0.38068765,DOG2
DOG2::104_0702_tumor,-0.33889782,0.1490336,0.15111803,0.87669164,2.9320138,1.1774013,DOG2
DOG2::105_0710_tumor,0.4083549,-0.18872057,0.0042742705,-0.89326525,0.28275958,-0.7411199,DOG2
DOG2::106_0716_tumor,-2.4115195,2.019293,1.1800742,-0.58608866,-0.47551763,-0.5447028,DOG2
DOG2::107_0719_tumor,-4.2970138,-1.1232327,-0.6315428,0.052267015,0.95165503,-0.41388184,DOG2
DOG2::108_0720_tumor,-1.6877321,-2.5285542,-2.1624858,-0.10759514,0.4969651,1.3309716,DOG2
DOG2::109_0721_tumor,1.0367764,-2.1279714,0.24897161,0.50157076,1.2334849,2.3317585,DOG2
DOG2::10_0512__Tumor,-1.6939723,0.9294034,-0.008746932,0.43357086,2.223021,1.7177812,DOG2
DOG2::110_0522_tumor,2.2752485,-1.2434535,-0.40800282,2.4193895,0.67515486,-2.0398085,DOG2
DOG2::111_1708_tumor,-1.1331408,3.2198098,0.56093055,0.30859664,-2.287297,-1.3403612,DOG2
DOG2::112_0502_tumor,1.0513338,-1.5420719,0.4192162,-2.5309782,1.3656399,-1.3264049,DOG2
DOG2::113_1010_tumor,0.4962599,-1.2051727,-3.4562035,1.1456902,-1.3728619,1.5689808,DOG2
DOG2::114_1704_tumor,1.8109106,3.8225052,0.7049343,-0.14519623,-0.46042284,-1.1898011,DOG2
DOG2::115_2318_tumor,-0.8837963,-2.3212862,-0.4403349,-0.21319692,-0.06891426,3.1188688,DOG2
DOG2::116_0506_tumor,0.16767076,2.088793,-0.39501068,-0.61270154,0.7838256,0.17260483,DOG2
DOG2::117_1011_tumor,-5.3596287,-1.8667055,-0.8422835,1.8092115,0.63201725,-1.508431,DOG2
DOG2::118_2304_tumor,-1.5885844,0.2551251,0.8804795,-2.3340063,1.2415117,-2.1908243,DOG2
DOG2::119_0516_tumor,-2.6201854,0.19223836,1.1472048,-0.70199966,-1.3115004,-1.3042352,DOG2
DOG2::11_0602__Tumor,-1.4433277,-0.55174655,-0.19775762,0.48131627,-1.173472,-0.69466496,DOG2
DOG2::120_2306_tumor,1.1971481,0.49217078,-0.3530553,0.35069558,-1.2559649,-1.8814137,DOG2
DOG2::121_2322_tumor,-1.716931,-2.5850708,1.3246993,-1.6188252,-0.22974566,1.4652905,DOG2
DOG2::122_0504_tumor,-3.1559353,-0.92800546,-1.0742083,1.1513277,2.4034336,-1.6062858,DOG2
DOG2::123_2316_tumor,1.9469957,-1.752655,-0.10652206,2.8078227,-0.159534,0.53809065,DOG2
DOG2::125_2004_tumor,-0.35662213,1.2879915,0.8654566,-0.348587,-1.7333691,0.1646342,DOG2
DOG2::126_0228_tumor,-2.6547678,2.8182662,-0.9050827,0.32074037,-1.1301028,-0.2500379,DOG2
DOG2::127_2010_tumor,-1.8045785,-0.8361165,-1.146478,-0.15115272,-2.4960687,0.49975058,DOG2
DOG2::128_1023_tumor,3.6990902,2.8455107,-3.8370602,0.040030304,-0.26755822,-1.6169183,DOG2
DOG2::129_1414_tumor,-0.09285961,-1.0804073,0.37710074,1.1602877,0.9040887,0.7419526,DOG2
DOG2::12_0608__Tumor,-4.8841753,0.5368503,-0.085351445,2.1630986,1.0540183,-0.7353685,DOG2
DOG2::131_2012_tumor,0.32401744,-1.2497205,1.0012913,-3.9456933,-0.77385503,0.11661555,DOG2
DOG2::132_1025_tumor,-5.625812,4.3230176,-0.80385596,-0.5983269,-0.9779839,-0.66047436,DOG2
