,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
ABCC3,0.2898881,-0.014123573,0.09294706,0.07329547,0.0018554634,0.026148224
ADAMTS1,-0.030400977,0.2717723,0.09349041,0.16465577,-0.0043489262,0.07124899
ADAMTS4,0.031161254,0.24293555,0.028103707,0.13036607,0.12737484,0.016437462
ANGPT2,-0.0002140965,0.0048359437,0.042305123,0.009222092,-0.049363878,0.017429367
ARHGAP30,0.36345968,-0.003003455,0.02399799,0.13089101,-0.0617165,-0.050429337
ARHGDIB,0.3238107,-0.048637394,0.011570362,-0.053107735,0.017328518,0.015078808
B2M,0.2899935,-0.06629956,-0.015117618,0.018253125,-0.08342976,0.098723836
C1S,0.17746231,0.20269099,0.15066004,-0.10687488,-0.009933572,0.22343825
CARD9,0.28857115,-0.08219256,0.06799079,0.055249088,0.08206755,-0.04615319
CCNA2,-0.12693137,-0.0006683326,-0.06492512,0.44593146,-8.341439e-05,-0.015366814
CD74,0.34739462,0.009855702,0.060889088,0.07247989,-0.20324768,-0.013414604
CD86,0.32761788,0.042339202,0.018239489,0.12467555,-0.1459296,0.0022983942
CDC20,-0.14383806,-0.03861397,-0.06308751,0.39229888,-0.0004915133,-0.041715328
CSF1R,0.27274483,-0.14110422,0.09826825,0.057441775,0.2599666,-0.011431139
CTSH,0.23299311,-0.05040835,0.051247876,0.033382807,-0.12179592,0.16790959
CXCL14,0.124564536,0.226786,0.2008852,-0.13680466,0.0005628844,0.091377676
CYP4V2,0.27820826,-0.01275134,0.04777661,-0.008457909,-0.0056506298,0.17492901
DAPP1,0.33584678,-0.00683301,0.0013310392,0.06735553,-0.08757879,0.020030513
DENND1C,0.35828522,-0.07463899,0.043923315,0.0827259,-0.00025427903,-0.075817734
DTX3L,0.15279934,-0.07052772,0.0816968,0.07323224,-0.10961805,0.32569432
ECT2,-0.13809638,0.008908707,-0.05252622,0.43656266,0.007889691,0.06237905
EGR1,0.07110808,0.006054675,0.13229015,0.0072928118,0.008995352,0.16278656
ELOVL4,-0.16994841,-0.034899212,0.13735366,0.17394124,0.0047687395,-0.109030515
ENPP5,0.19780526,-0.1195295,0.0343896,-0.03154321,0.057425424,0.23248857
EPAS1,0.17141457,0.010135729,0.21700315,-0.1053451,-0.0047642533,0.3298503
EPHA2,-0.11836045,-0.12892702,0.13040978,0.1662008,0.008201524,-0.01756454
EVI2A,0.25647816,0.12203515,-0.04226033,-0.0004344724,0.09124662,-0.10308235
FANCA,-0.1661667,-0.08860467,-0.05957404,0.30989248,-0.0011430249,-0.056011464
FANCD2,-0.14574513,0.0044787372,-0.009464011,0.43618536,0.0085532,-0.01778195
FCER1G,0.3414279,-0.036005832,-0.023147294,0.0846611,-0.0011219062,-0.100471325
FGR,0.32948625,0.0010208166,0.050425176,0.066837765,-0.13701814,-0.019255742
FN1,0.08755437,0.15213323,0.18301216,-0.03535641,0.13035777,0.25122577
GAB2,0.22383155,-0.030919245,0.103122376,-0.048532482,0.04266803,0.2201387
GBP1,0.26931533,-0.015834277,-0.022562427,0.07221719,-0.13724928,0.18472435
GLUL,0.20009524,-0.0436171,0.015570524,-0.004826383,0.01348092,0.1867027
GMFG,0.29445443,-0.09735082,-0.0028335676,-0.07309676,-0.009682313,-0.09227804
GPRC5C,-0.124721915,-0.104952164,0.31941864,-0.0065296814,-0.0046596588,-0.21129987
HCLS1,0.34975174,-0.024337726,0.009411505,0.06631717,-0.0010735028,0.012242402
HELLS,-0.14651188,-0.048137166,-0.018284436,0.39320832,0.013616733,0.0023871907
HNMT,0.22772408,-0.00020328775,0.043169353,-0.002337426,0.008016477,0.14215894
HSP90AA1,-0.11776166,4.5310255e-05,-0.0012618382,0.33066538,-0.0076897247,0.041838985
HSPH1,-0.07601409,-0.020135868,-0.013671199,0.27822363,0.06769446,0.05180815
IFI35,0.21041858,-0.09514485,0.03940956,0.004269558,-0.09221433,0.2292894
IGFBP3,-0.031076526,0.18520944,0.056987382,0.061258256,0.0008772188,0.122016914
IL18,0.32750475,-0.04896822,0.038340542,0.09235179,-0.09876494,-0.04918084
IRF5,0.32368255,-0.10312344,0.017176224,0.07126627,-0.026480027,0.03751889
ITGBL1,0.12115627,0.20503198,0.16572109,-0.14244722,0.0036665038,0.10880709
KCNQ1,0.30626872,-0.025209952,0.13557765,0.09405909,-0.09586132,0.002042637
KIF15,-0.15741028,0.022497255,-0.0034265653,0.45947444,-0.0006742217,0.0016724973
KIF22,-0.1378292,-0.049066518,-0.028157514,0.42869014,-0.014025328,-0.0020660495
KIF23,-0.14909896,-0.0038902373,-0.073756695,0.43750834,0.0008569016,0.015317999
LY96,0.2978879,0.061757915,0.010654261,-0.0013788409,0.05375092,0.01976155
MCAM,0.004893801,-0.007485701,0.18425837,0.08370209,-0.04465056,-0.11946752
MCM5,-0.13646454,-0.08501214,-0.04609271,0.3749012,-0.0030846593,0.049856003
MXRA5,0.073807515,0.27671087,0.15458092,0.002747305,0.045623004,0.19016327
NDUFB9,-0.0920587,-0.15915722,-0.061720382,0.12549375,-0.007966092,-0.069880076
