,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
ABCC3,0.08692080920704318,-0.03252267392118435,0.016463047602207584,0.03356205985752625,0.0007642945678346114,0.021347970512177517,-0.06510793833445094,-0.018566146401728295,-0.041386821788905744,0.02135676566158814,-0.0019471041636352632,-0.01425745382698361,-0.031966118615881195,0.036421153153012836,0.030880063066236068,0.028379939668866566
ADAMTS1,0.01065279770835137,0.08374224327415855,0.03633433200344176,0.06524347597639316,0.0008243009719788585,0.025806121075996932,0.07796293492309403,0.027940481394503076,0.061309009626060784,-0.013253115435546983,0.005105322377020863,-0.10685420136129786,0.010877154758340831,0.03199528569157109,-0.021717361865982644,-0.03835816081704391
ADAMTS4,0.03208956678639452,0.06370785619006297,0.016419120651590374,0.05087853784370622,0.06607724173233492,-0.017154979657528435,0.06027094395339366,0.00484167974014095,0.0973645995545757,-0.0664569326497912,0.038435318091604186,-0.11572897716767022,-0.027662262388339236,0.024835326548053413,0.001969589967669813,-0.04355221062338924
ANGPT2,0.001280320802566015,0.0031477293006531015,0.011939232731509652,0.02144278592893767,-0.046674189840952875,-0.011597293941707554,0.09067906331072742,0.06694868269366674,0.09470576086157449,-0.004770754454167105,-0.006775837714051491,0.037380081635378565,0.009950449594262722,0.04703386574217776,0.1390299500320327,-0.05414184563013655
ARHGAP30,0.10688338757957602,-0.028873684895019514,-0.011920504661023151,0.06706718341799522,-0.026685175664161523,0.014989015890735383,-0.0790190648428025,0.016694738004611992,0.0007064169436727524,0.004597350178446837,0.018407838555741497,-0.011743929827551292,-0.016304781513487132,0.018100107144955843,0.029001679513084747,-0.002228251796439984
ARHGDIB,0.10385531672941223,-0.04502145417733705,-0.0007902538176628449,0.004174382255589609,-0.02702430091236452,-0.015698893699633176,-0.020718447477404422,-0.02124151841500585,0.043489820588343886,0.03506742937749564,-0.026318273901778672,0.037488094617749324,0.006403869774613977,-0.04092487832732274,0.01617865200733283,-0.0002742134597698287
B2M,0.08379219145554236,-0.04467024334610723,-0.01721599674627161,0.015563764539343827,-0.016634081444999095,0.028048211902165443,-0.020785964050922298,0.07555973006240341,-0.016743986106199562,-0.040651844384611176,-0.05303148149977579,-0.01056159842426381,-0.011818878868874588,-0.10323073680193892,-0.08259858582324005,0.018888678544858192
C1S,0.08080758410297045,0.04300093845113546,0.045628043100211735,-0.04796603831939639,-0.015454320483216377,0.053236255283633294,-0.007028955029871435,-0.011547228569044693,-0.003986013177086002,0.006023588897307849,0.08226763258979071,0.023339155548235846,-0.0373240820420056,-0.03063180924438952,-0.09067184341430315,0.013923810792606295
CARD9,0.07944538590916571,-0.04458437042486967,0.016304178679211464,0.03977744986605536,-0.012155627854157136,0.005719229885140578,-0.0722003396984185,-0.028431536106406696,-0.007231442795491483,0.10608289729252972,-0.03236779973923345,-0.04000645428203826,0.050727040753958716,0.006155244866490293,0.011121491420097822,0.005420970286458077
CCNA2,-0.053407997686466396,0.0031090380877674987,-0.012998868275593982,0.14273181073519667,0.04681951915420257,0.03678387844402081,0.0019463159727968124,0.0500841738623225,0.021710931351267046,-0.02481521694206229,0.03846678424945825,0.026157305735893477,0.024341026309735364,-0.062158435447735944,-0.049006233760045814,-0.03171905631310379
