,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,group
DOG2::100_0514_tumor,-1.1559167,0.42448762,1.6347415,0.18703416,2.3640485,-0.17841144,-1.3787793,0.35196057,-0.21882552,DOG2
DOG2::101_0518_tumor,2.1904597,1.9609307,0.71380025,-1.4311749,1.4650106,0.5120298,-1.6881716,-1.5885636,1.1833551,DOG2
DOG2::102_0619_tumor,3.9155273,1.4705138,-1.505803,-0.82768595,-0.5707442,0.788174,-2.3945904,-1.5010278,0.81095916,DOG2
DOG2::103_0639_tumor,1.628451,-0.5646839,-1.3854604,1.8686525,0.32868078,-1.2040143,1.2510087,-0.91926944,-0.6349112,DOG2
DOG2::104_0702_tumor,-0.13224894,0.5071698,0.8015191,-0.48011962,2.7230165,-0.14770779,0.6946515,0.4899264,0.14355265,DOG2
DOG2::105_0710_tumor,0.5071027,0.18789184,-0.95116496,0.16472498,0.35493365,-0.63094103,-0.8248758,0.9480387,-2.1702495,DOG2
DOG2::106_0716_tumor,-2.296003,2.4234645,0.019526301,2.0594087,-0.5223808,-2.3418977,0.06562655,1.2626227,0.5972253,DOG2
DOG2::107_0719_tumor,-4.5070133,-1.5827724,1.7895577,0.7523385,0.577896,0.18512176,-1.0324079,-0.5873308,-0.98041826,DOG2
DOG2::108_0720_tumor,-1.9500653,-2.75812,0.33405912,-1.1999278,0.59372437,-0.3636402,0.8150568,-0.77691716,-0.5515901,DOG2
DOG2::109_0721_tumor,1.4611526,-1.4702699,0.22904511,-0.800686,1.765344,0.11337428,2.630424,0.06362392,-0.9531051,DOG2
DOG2::10_0512__Tumor,-2.6063025,0.86008424,1.3916595,-1.9140258,1.8052906,2.493157,0.91274077,0.81378603,-1.7562432,DOG2
DOG2::110_0522_tumor,3.1477644,-0.7954584,1.4400864,-0.42829412,0.9686848,-0.6237244,-1.9297273,-0.03600951,-0.63911015,DOG2
DOG2::111_1708_tumor,-0.8948166,2.8094885,0.5836794,1.1977944,-2.5637572,-0.6515412,-1.2092967,0.8420339,0.15777549,DOG2
DOG2::112_0502_tumor,0.46204904,-1.3940715,-2.6384716,0.36661592,1.9532026,-0.16210987,-1.1534884,-0.12730096,-2.1187134,DOG2
DOG2::113_1010_tumor,1.0637133,-0.9960205,0.7468222,-1.93593,-1.5687511,-3.2232766,0.9076429,-3.0130498,0.07199434,DOG2
