,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
ABCC3,0.2846158,0.043081027,-0.00038250088,0.030267674,0.031810828,-0.018284658,0.06513915,0.06372463,0.037081454
ADAMTS1,-0.045959108,0.2512767,0.1665987,-0.00954621,-0.028529814,0.28425032,-0.01719513,-0.02934492,0.014985683
ADAMTS4,-0.00023689,0.2546556,0.13161099,-0.0003947161,0.04981608,0.27339482,-0.078852326,-0.2806743,-0.09204552
ADCY7,0.18887903,0.23618127,-0.00093072635,-0.027709931,0.0011165462,0.00882848,0.023849493,0.043721333,0.27845383
ALOX5,0.23258106,0.010904673,-0.12937135,-0.010114791,-0.040427327,-0.0069364198,0.041626364,0.076718085,-0.040841136
ANGPT2,-0.02768621,-0.03127518,0.007736241,-0.030624663,-0.060240097,0.28116912,-0.03668062,-0.06641764,0.017846081
ANKRD22,0.2929636,-0.06298497,-3.706866e-07,-0.046253305,0.007661012,-0.10872124,0.06670855,0.019023368,-0.057785228
ANXA3,0.08281211,-0.01998829,-0.06494052,-0.11336094,0.0013692759,0.005269307,0.16971868,0.17082314,0.25184107
ARHGAP30,0.34607074,0.03172959,0.0030699228,-0.002370336,-0.030258005,0.0013346152,-0.048711646,-0.0074216994,0.048095386
ARHGDIB,0.21271019,-0.024830984,-0.12854278,-0.1128949,0.058919158,0.1528192,0.01791504,0.008338569,-0.15737948
ARL4D,-0.0017177234,-0.13816021,0.18378402,0.23413059,-0.0013621579,-0.03147187,-0.14671633,-0.0766236,-0.10628963
ARRB1,0.13995896,-0.07323612,-0.019305345,-0.004123928,0.22880428,0.28591052,-0.0058930176,0.0066624978,0.012256933
ATAD2,-0.001637243,-0.07936279,0.39567396,0.01668714,-0.008385832,0.055341624,0.11125916,-0.09665561,0.17179409
ATF7IP2,0.093139105,-0.13467453,-0.0023071873,-0.0060429457,0.0025332642,0.22037506,0.08293228,0.12404742,0.057870116
ATP8A1,0.19933365,-0.12544891,-0.009575426,-0.0032599194,0.0008666821,0.08432867,0.108104475,0.19632114,0.32225913
B2M,0.26313794,-0.025672454,-0.018961335,-0.00396296,-0.06397412,0.009403598,0.14790207,-0.14309582,0.024579357
BARX1,-0.032049887,0.07175461,0.10603759,0.109263666,-0.07449861,-0.100466035,-0.092222236,0.16393343,-0.046267513
BATF2,0.22187783,-0.073803484,-0.008451004,0.00069641694,-0.08446431,0.11330792,0.10884488,0.043317296,0.035081442
BLNK,0.32670078,0.009141503,-0.00065049384,0.07181354,-0.008225375,-0.0131776845,-0.007141022,0.06288237,0.10027345
BTK,0.27465418,-0.013690135,0.0007465348,-0.05035286,0.21370934,-0.003983857,-0.0794056,-0.08197941,0.1212318
BUB1,0.00029841013,-0.086915776,0.44773975,0.00040399437,0.0026756478,-0.00063465605,-0.021071218,-0.15006849,0.15329434
C1S,0.093944,0.23831125,-0.1160547,0.02619216,-0.0046082223,0.10548197,0.22880445,0.014758603,-0.07258718
C3AR1,0.35439673,0.07340771,0.00011633772,0.08709518,-0.12715732,-0.015352416,0.0023692374,-0.057238404,0.087752976
CAPG,0.12053688,0.046460774,0.0036809454,-0.07250117,0.27550507,-0.13842647,0.14319132,-0.19613901,-0.058222085
CARD9,0.28410658,-0.008120629,-0.013268759,-0.001405071,0.122196995,-0.03367379,-0.016772546,0.09526542,-0.107453175
CASP8,0.13511336,0.015835602,0.016512042,0.0075778677,-0.004100033,0.07310486,0.16211446,-0.113498785,0.35324213
CBX7,0.12859808,0.030984612,-0.110518664,-0.10661693,-0.021600561,0.03247791,0.26851597,0.21476151,0.1379681
CCNA2,0.0003917215,-0.0012681646,0.45233184,-0.020341989,-0.0016776551,0.010453457,-0.059291486,-0.14646079,0.11205583
CCNB3,-0.0011385024,-0.07457545,0.38284987,-0.037061095,-0.009356579,0.0217702,0.013292787,-0.06014482,-0.011936526
CCR2,0.28123754,0.03173276,-0.002406244,0.0062326505,-0.12359535,0.137049,0.013217193,0.060747445,0.090552434
CD244,0.26831752,-0.06326499,-0.012429984,-0.019975794,-0.08841823,0.0016242956,-0.0036477996,0.09230659,0.14959249
CD74,0.3464964,0.035782978,-0.03622353,0.055237897,-0.17947894,0.011827481,-0.00014226348,-0.006759683,-0.04424826
CD80,0.28847653,0.035419274,-0.0077687106,-0.0049349903,-0.09818776,-0.0042018183,0.0350265,0.00806275,0.093128875
CD86,0.32972738,0.07164516,0.001417576,0.041161284,-0.13338001,-0.023916926,0.001495328,-0.0997318,0.090886824
CDC20,8.372155e-05,-0.0077335755,0.41036382,0.0005728783,-0.0013877436,-0.07293095,-0.049117252,-0.1603344,-0.0829831
CDC6,0.0017222472,-0.055598207,0.43564445,-0.0482252,-0.0009202871,-0.006231478,0.007860787,-0.14595507,0.03576833
CDCA2,-0.0008886873,0.0058741355,0.43233475,0.012138232,0.0025972088,0.0004800734,-0.067150794,-0.11822293,0.1290264
CDCA8,0.001035865,-0.0030190109,0.47141293,0.0027634401,-0.0025867335,-0.00414472,-0.008103716,-0.13405724,-0.071015656
CEP72,-3.0230274e-05,-0.031111283,0.33269075,0.013786926,-0.005081199,-0.013513558,-0.020380713,0.051893182,-0.047508564
CHST2,0.001845986,-0.04030718,0.1681024,-0.13170585,0.01720611,0.35878268,-0.14348768,0.12487005,-0.086861864
CLEC12A,0.32397437,0.051521912,-0.027230252,0.04223448,-0.12542473,-0.0012446891,0.011528772,0.041880514,-0.023736302
CLSPN,0.000646616,-0.024763165,0.4533022,0.0071173673,-0.0011577617,0.01840663,0.015871985,-0.1271495,0.10119517
CLTCL1,0.0037616668,0.08897799,0.25133073,-0.004425323,-0.00091868604,-0.016880335,-0.11886567,0.27739036,-0.05533414
CSF1R,0.24108236,-0.05444515,-0.0014119484,0.017239332,0.31172884,0.00065116066,0.0013924652,-0.008284833,-0.031848002
CSF2RB,0.2495299,0.028963007,-0.023959335,-0.0030955907,0.14263842,0.17154638,-0.066760965,-0.08596926,0.11974175
CTSH,0.24943422,0.0046665496,-0.006448051,0.014973332,-0.091002814,-0.10412643,0.19865835,-0.0016242227,-0.07019077
CXCL14,0.024663823,0.2298922,-0.17135283,0.09134357,-0.00040665522,0.14770249,0.07327755,-0.017040152,0.00798444
CYP4V2,0.22995439,0.0059635187,-0.08885724,-3.9314244e-05,0.0019428664,-0.004867023,0.17366846,-0.014504619,0.13592343
CYSLTR2,0.20547587,-0.008102869,-0.025553547,0.0031913777,-0.08389542,0.12235332,-0.008096828,-0.009170926,0.16547586
DAPP1,0.29534727,0.0014528723,-0.007025749,-0.052541405,-0.06324915,0.006037075,0.028139815,0.03900843,0.15887278
DENND1C,0.34517443,-0.01013282,-0.007813094,-0.00014581956,0.037599068,0.0024808173,-0.04600633,0.025309563,-0.04875143
DEPDC1,-0.045385465,-0.00717868,0.43901378,0.0032217614,-0.00092780095,-0.010522125,-0.004342043,-0.11254039,0.18558548
DNAJB1,-0.010922321,0.05849855,0.18566091,-0.008234972,-0.0011256742,-0.025519837,0.1967484,0.036473677,-0.19217978
DNASE1L3,0.12688863,-0.03299565,-0.07092978,0.031543765,-0.0065050162,0.28911892,0.097264834,0.044498928,-0.13365407
DOCK2,0.35245413,0.0054861754,0.031378753,0.0053666243,-0.06197756,0.0071971435,0.02692035,-0.0003020444,0.09443947
DOK2,0.30347845,-0.007861528,-0.003681744,-0.025445905,-0.06877277,0.0014575854,-0.12931257,-0.012101301,0.005858648
DRD1,-0.033051502,0.024699474,0.0476132,-0.006779693,-0.042673144,0.24634863,0.0064100404,0.027169405,-0.009221434
DTX3L,0.19392416,0.0016953559,0.070310876,0.091650106,-0.09639759,-0.0013944537,0.40434492,-0.11543506,-0.010572608
E2F1,-0.04021454,-0.06933047,0.35209963,-0.015221842,-0.00775626,-0.015326824,-0.09682082,-0.12506297,-0.089534275
E2F7,-0.00058633793,0.11820939,0.43527693,0.0071165073,0.0035665305,0.0016899129,-0.050030377,-0.037729405,0.12340507
E2F8,0.00047898444,-0.047248296,0.43271738,0.047911726,-0.0044382703,0.07754132,-0.00021615712,-0.14601426,0.056126293
ECT2,-0.0012979028,0.008112169,0.4500451,-0.0021055138,0.0022502972,0.00020049135,0.007982837,-0.19834664,0.17497328
