,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,group
DOG2::100_0514_tumor,-1.1181113,0.8239891,1.3791826,-1.0935801,-2.600284,0.43651986,-0.88571244,-0.48742685,0.40218386,0.18831272,DOG2
DOG2::101_0518_tumor,2.2312694,2.0189428,-0.60500985,-2.7978837,-1.5598481,0.047727887,0.38698193,1.2168808,-1.0725092,-0.7949486,DOG2
DOG2::102_0619_tumor,3.7399478,1.5765793,-2.5212638,-1.9935588,0.59112966,0.89255726,0.11199794,1.5146074,-0.3397966,-2.2573147,DOG2
DOG2::103_0639_tumor,1.633152,-1.1456686,-0.87873435,1.2576132,0.032408908,1.6334813,1.3027693,-1.152352,-0.025119614,1.1327721,DOG2
DOG2::104_0702_tumor,-0.042921916,0.33396363,1.0539442,0.57747626,-2.613435,-1.185162,0.6070543,-0.07475995,-0.4111763,-1.5866432,DOG2
DOG2::105_0710_tumor,0.4157265,0.4118673,-0.57491064,0.5689943,-0.33851555,0.28170612,-0.19868949,-1.2938069,2.4717674,-0.09830145,DOG2
DOG2::106_0716_tumor,-2.348763,2.4426167,0.4461539,1.366418,0.5849266,0.9837263,-0.25810853,-2.6634288,-1.0773506,-0.35408837,DOG2
DOG2::107_0719_tumor,-4.5952225,-1.5678941,1.855177,-1.0099705,-0.8582837,0.8620285,0.31648335,0.30842277,0.9842619,-0.9289341,DOG2
DOG2::108_0720_tumor,-2.0069907,-3.2881196,0.14299178,-0.40924463,-0.6052002,-1.0404567,1.3197689,0.18419653,0.33818135,-0.9549807,DOG2
DOG2::109_0721_tumor,1.5512854,-2.0604227,0.87098145,1.442493,-1.4615612,-1.7506148,1.4917603,0.15517533,0.4461002,0.10277525,DOG2
DOG2::10_0512__Tumor,-2.3969834,1.178691,1.7277613,0.14988661,-2.122631,-2.3329923,0.013139159,1.8778507,2.169554,1.5987289,DOG2
DOG2::110_0522_tumor,3.0130904,-0.3919732,0.7250092,-2.0328152,-1.1196443,0.48898834,-1.0996861,-0.78791046,0.96252954,-0.0711905,DOG2
DOG2::111_1708_tumor,-0.96818864,3.3741014,0.4986343,-0.32667562,2.3532941,1.1252942,-1.2263942,-1.2015327,-0.037264176,1.3159417,DOG2
DOG2::112_0502_tumor,0.39081845,-1.4149264,-2.2914815,0.59339005,-1.8424054,1.246044,0.3249126,-0.31712547,2.5751593,-0.67097354,DOG2
DOG2::113_1010_tumor,0.85051185,-2.2219794,-0.90130424,-2.9699564,1.6773199,-0.7929361,3.0074499,-1.7605636,-1.0837814,0.13482326,DOG2
DOG2::114_1704_tumor,1.2530737,3.611292,-1.3523251,-0.88579625,0.7959599,1.0095129,-0.11888204,1.9879901,-1.4726971,-1.3786579,DOG2
DOG2::115_2318_tumor,-0.86305463,-2.8668723,1.0563678,1.6554828,-0.07703969,-2.4119256,1.0458076,1.0449704,-0.7445406,1.4628792,DOG2
DOG2::116_0506_tumor,-0.3385329,2.1897955,-0.87351733,-0.21266054,-0.386557,-0.3274848,1.0206481,-1.4881266,0.48558018,0.49965778,DOG2
DOG2::117_1011_tumor,-5.4052567,-2.2280111,3.5866392,-1.5527583,-1.2550863,-1.0221926,-3.1000214,-1.2304707,1.3667371,0.04301961,DOG2
DOG2::118_2304_tumor,-2.1551178,0.6791571,-0.92122024,1.4908439,-1.639142,1.5431538,-1.404022,-1.7144239,2.7650855,-0.9351548,DOG2
DOG2::119_0516_tumor,-3.0181093,0.5494508,1.0325582,0.8891377,0.93484443,1.167818,-2.3077755,-0.47446442,1.3200716,2.0954301,DOG2
DOG2::11_0602__Tumor,-1.1781998,-1.0441586,0.8764532,-1.628906,1.384841,1.5161431,1.8466707,-0.82399166,1.2273977,-0.27285102,DOG2
DOG2::120_2306_tumor,1.7480881,0.89409584,-0.44111347,-1.453342,1.2349328,2.0735714,0.5753845,-1.1821889,1.94024,0.38803118,DOG2
DOG2::121_2322_tumor,-1.7210084,-2.739073,0.64470357,2.6289876,-0.09363427,0.32422325,0.8442013,0.91809577,0.103469886,0.4314532,DOG2
DOG2::122_0504_tumor,-3.3157496,-1.18744,1.4846473,-2.7567053,-2.2236376,1.3994439,0.9784279,-0.84684885,1.094978,-0.6311449,DOG2
DOG2::123_2316_tumor,3.3184087,-1.2161269,1.5270071,-1.2513957,0.1744238,0.012707662,0.628221,0.16645171,0.012869441,1.48357,DOG2
DOG2::125_2004_tumor,-0.41494545,1.2915752,0.959058,0.7348536,1.7082585,-0.21054015,-1.1563381,1.7106664,1.233053,1.3973649,DOG2
DOG2::126_0228_tumor,-2.5414054,2.4653242,0.056322128,-0.30247185,1.7531524,-0.019564833,0.6677064,-2.2575524,-2.2462437,-0.84082246,DOG2
DOG2::127_2010_tumor,-2.139631,-1.1556742,0.7976585,-0.86210567,2.5305119,-0.2109684,0.35411772,0.014984663,1.1241628,1.016902,DOG2
DOG2::128_1023_tumor,2.9144888,1.7276155,-4.2213225,-4.462521,0.70081306,-0.8475344,0.08137218,1.9039572,-1.2340027,-1.3461789,DOG2
DOG2::129_1414_tumor,0.38886058,-0.8704286,1.5342659,-0.7450543,-0.7718981,0.0068321656,0.5271354,0.677186,0.36471045,1.8090628,DOG2
DOG2::12_0608__Tumor,-4.6983843,0.3051057,3.3868995,-1.064314,-0.80769587,0.30352688,-0.16104162,-0.46380475,0.12139399,-0.62808806,DOG2
DOG2::131_2012_tumor,-0.074954204,-0.8225782,-2.8059726,4.026528,0.48791525,0.07595978,-1.0400751,-2.0138679,-0.6642663,-1.2453995,DOG2
DOG2::132_1025_tumor,-6.5426707,3.3041906,0.4151622,-0.90003437,1.6933874,0.3702434,-0.5055218,-1.0036758,-0.88930696,-1.3010527,DOG2
