,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
ABCC3,0.28386915,0.02094908,0.0057044397,0.08139401,-0.0034715172,-0.0061918944,0.0330299,-0.032419253,-0.05751343,-0.09845213
ADAMTS1,-0.04414617,0.25495398,0.15197177,-0.05449001,0.020941835,-0.016981954,0.023539053,0.2715709,0.006276452,0.00082337623
ADAMTS4,0.00023897151,0.24080716,0.09669793,-0.1592036,-0.053747628,0.08612947,0.19377816,0.3069243,0.07584348,0.003850379
ADCY7,0.18498133,0.22744603,-0.030321537,0.005178511,-0.00046273114,-0.080726884,-0.0395016,0.01290919,-0.24123889,0.000498207
ALOX5,0.21070392,-0.0034231558,-0.085892044,0.13635641,0.089018546,-0.050845563,0.052665405,0.00039210546,0.027435042,-0.17827259
ANGPT2,-0.037585642,-0.013715832,0.007713202,-0.037274823,0.044404753,-0.006596346,-0.023928478,0.31143755,0.0388395,-0.0034290578
ANKRD22,0.30001816,-0.06962184,-0.0049134386,-0.008874478,-0.005710226,-0.07236478,-0.0040032584,-0.14082563,0.03759646,0.0861021
ANXA3,0.08959683,-0.02324997,-0.07938042,0.11826799,-0.0019871434,-0.19686048,-0.14500186,0.0020432088,-0.19666772,0.109805025
ARHGAP30,0.3436615,0.034217548,-0.00088024675,-0.055664003,0.044068385,0.00043740653,-0.01809137,0.0015895255,-0.017285872,-0.04374709
ARHGDIB,0.22392865,-0.02479877,-0.11199918,0.05185408,-0.058349192,-0.09109762,-0.0019536715,0.12722951,0.18963133,0.0049736425
ARL4D,-0.0039418545,-0.111816876,0.20628451,-0.09422352,0.0019337424,0.27255735,-0.010863737,-0.058940977,0.07658199,-0.010188356
ARRB1,0.15132892,-0.058986172,-0.00038247617,0.07880335,-0.22500052,-0.001988079,-0.054255392,0.2767734,0.047673423,-0.03049908
ATAD2,-0.0009471345,-0.08305419,0.34000814,-0.14571303,0.008524232,-0.011021173,0.008711,0.08040651,-0.21079913,0.07432313
ATF7IP2,0.091978915,-0.11871613,0.015381133,0.12515558,-0.0021877515,-0.06906508,-0.13647038,0.1918589,-0.007035073,0.003684448
ATP8A1,0.19255227,-0.11115966,-0.0017701556,0.14122425,0.00045218252,-0.11607555,-0.21752544,0.07719213,-0.24256518,-0.007884502
B2M,0.27953023,-0.045334022,-0.05376734,-0.008493451,0.06788254,0.015316261,0.0015210025,0.0011960049,-0.027843311,0.36459184
BARX1,-0.054195516,0.09798114,0.11175256,-0.003621153,0.051165506,0.061616987,-0.12228219,-0.17233463,0.045755696,0.009266053
BATF2,0.24137169,-0.051433142,-0.007303511,0.05503501,0.07596125,-0.006112696,-0.14730011,0.020543082,0.0025373376,0.30792958
BLNK,0.31740168,0.007412206,0.0013634025,0.036682583,0.0389904,0.027860982,-0.04514716,-0.029897789,-0.08065207,-0.082128264
BTK,0.28360602,-0.024928568,-0.040941294,-0.09652415,-0.206689,0.0022751098,0.0021506697,0.0026154541,-0.10108611,-0.08535072
BUB1,0.00045203458,-0.086078495,0.35075745,-0.28229743,-0.004256801,0.0028360593,-0.006098537,0.0051696617,-0.1840757,0.013632024
C1S,0.11549841,0.21902813,-0.06418087,0.20630212,0.005023631,-0.023119934,0.117871456,0.025690945,0.02275184,0.20831454
C3AR1,0.34070647,0.05575747,0.0010926952,-0.0010467458,0.15694208,0.06859614,0.07664086,-0.00061922264,-0.106797196,-0.12506753
CAPG,0.14376311,-0.002431945,-0.006459263,-0.036005694,-0.26004207,-0.061041426,0.28939024,-0.08819561,-0.035371203,0.0042995093
CARD9,0.290777,-0.008961118,-0.004956693,0.039590508,-0.10826042,-0.008804137,-0.00443002,-0.08973806,0.115216464,-0.09339687
CASP8,0.14377734,0.0034982534,0.0036128631,0.010245405,0.0072464114,-0.0072479025,0.01493278,0.13358259,-0.34617218,0.098201014
CBX7,0.13376887,0.010189663,-0.078752995,0.23144822,0.033990543,-0.25749177,-0.053635783,0.008932112,-0.12164689,0.059197266
CCNA2,0.0003285809,-0.00072318094,0.34587207,-0.31180543,0.00013264541,-0.0056196703,-0.0026000252,0.025260232,-0.13201946,0.009662537
CCNB3,-0.0013959795,-0.07304364,0.32153314,-0.19895385,0.007111198,-0.080520816,0.012982768,0.019479856,-0.011461227,0.0065112603
CCR2,0.277222,0.042417396,0.0009762617,0.046287805,0.1364212,-0.005092722,-0.08798057,0.11557058,-0.042125873,-0.0028082696
CD244,0.25558752,-0.054809514,-0.040069323,6.9316004e-05,0.08923716,-0.04801418,-0.16968533,-0.000906683,-0.085778296,0.0022099805
CD74,0.3386591,0.035784975,-0.008077796,0.0067043784,0.19420035,0.048525617,0.0019882447,0.0036358235,0.052006416,-0.002526454
CD80,0.2807697,0.024391534,-0.030736035,-0.0025105283,0.10904214,-0.01914806,-0.022903444,-0.0064758295,-0.07843538,0.00965685
CD86,0.32499042,0.059969548,-0.0009987126,-0.05018491,0.15818512,0.044942666,0.08218357,-0.0010907744,-0.102421835,-0.060926665
CDC20,9.043522e-06,-0.014831745,0.32704207,-0.28360912,0.0006937576,0.014140153,0.08843933,-0.07736114,0.010683628,0.0057740225
CDC6,0.0023526002,-0.065540984,0.34240022,-0.27135998,0.0010390398,-0.058069628,0.06851196,-0.0012087022,-0.0971043,0.0007380996
CDCA2,-0.0011142998,0.009443391,0.34722486,-0.26664576,-0.003374558,0.02018794,0.0005510605,0.0035165723,-0.16023473,-0.0011877294
CDCA8,0.0014718876,-0.008721986,0.39525783,-0.26236844,0.0027650017,0.0018585862,0.08860885,-0.010906749,-0.006173948,0.0020099173
CEP72,0.0007386924,-0.013677507,0.29509068,-0.12883888,0.0033836996,-0.0016330563,-0.05316683,-0.08344981,0.018065399,0.015275733
CHST2,0.005993169,0.003031655,0.15004869,-0.09382631,-0.039269574,-0.09540066,-0.21795195,0.29845294,0.19388385,-0.0004452101
CLEC12A,0.3171216,0.052431475,-0.0056707715,0.036522523,0.13919583,0.012221905,-0.018676763,-0.02369114,0.024365384,0.0059335437
CLSPN,0.0008529278,-0.031737465,0.38271564,-0.2279859,0.0024523095,-0.0032790322,0.04572703,0.04825851,-0.15278669,0.0006288227
CLTCL1,0.0042140344,0.12150504,0.23863077,-0.049783133,0.0007269702,-0.06335022,-0.15852204,-0.13161705,0.07771937,-0.09899958
CSF1R,0.24842983,-0.068499364,0.0012627683,0.044313617,-0.29723385,0.026794108,0.069184996,0.0016606665,0.010027181,-0.10340911
CSF2RB,0.25367314,0.035222046,-0.049948465,-0.032113273,-0.1413669,0.03373223,-0.041463856,0.18576509,-0.059386265,-0.0007305278
CTSH,0.2469808,-0.02386905,0.0029692969,0.10227375,0.12159563,-0.038111184,0.1697998,-0.104505,-0.0037485017,-0.0038872594
CXCL14,0.028118856,0.21632017,-0.1112568,0.17713563,0.0023433531,0.056500174,0.08276968,0.13869376,-0.014477929,0.006253954
CYP4V2,0.23341107,-0.007427813,-0.07380666,0.111424975,0.0010552272,-0.06060525,0.08353326,0.00072779413,-0.15734859,0.003197804
CYSLTR2,0.2005381,-0.0029642447,-0.037879314,0.0017662826,0.089539275,0.014189712,-0.09632565,0.13447262,-0.10526371,0.0027686795
DAPP1,0.29008082,0.00018667187,-0.046585836,-0.005966778,0.06840188,-0.07017032,-0.10495421,0.0034685642,-0.11055354,0.033880703
DENND1C,0.34388623,-0.00484154,-0.006880007,-0.006846082,-0.017922048,0.0058301627,-0.046637636,-0.0034977125,0.07804229,-0.004835007
DEPDC1,-0.045349583,-0.0110573415,0.34997144,-0.24589157,0.0008118814,-0.002732065,0.010321507,-0.00086858444,-0.22698912,-0.0037222458
DNAJB1,-0.0054115136,0.03143448,0.18852879,0.028690249,0.0002894225,-0.12929836,0.12440512,-0.104376286,0.09512861,0.1210823
DNASE1L3,0.14401552,-0.011328103,-0.0004743464,0.1623827,0.004895923,0.010787767,-0.059935614,0.22069836,0.15865953,0.16099422
DOCK2,0.3498707,0.0013034244,0.029159833,-0.0019184113,0.08800666,-0.0037680217,-7.63709e-05,0.014424584,-0.08457862,-0.06589079
DOK2,0.29099995,-0.0010763631,-0.045451585,-0.111162044,0.07141839,0.008267149,-0.08821401,0.00093203207,0.04919305,-0.019987999
DRD1,-0.024546888,0.045406774,0.085272186,0.022950117,0.033768382,-0.027879119,-0.03669733,0.23158737,0.047909338,-0.0010642486
DTX3L,0.21466224,-0.028325474,0.10464523,0.13661468,0.108249374,-0.0033600193,0.19552468,-0.016237715,-0.11995342,0.42146772
E2F1,-0.047706235,-0.0656614,0.26967075,-0.27722847,0.0022520982,0.0036133819,0.009323836,-0.01989188,0.053600356,0.005256363
E2F7,-0.00087021186,0.11999848,0.35986042,-0.22772272,-0.003308496,-0.0009003867,0.0071885413,0.00092833274,-0.15278313,-0.007065371
