,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,group
DOG2::100_0514_tumor,-0.956971,0.3453065,1.2890787,-0.8973187,2.4540317,-1.421943,DOG2
DOG2::101_0518_tumor,2.4913251,2.0309143,-0.008781615,-2.3472314,1.4244155,-0.6359852,DOG2
DOG2::102_0619_tumor,4.20267,1.305279,-2.0762477,-1.4413613,-0.9260355,-1.4500657,DOG2
DOG2::103_0639_tumor,1.304698,-1.3926506,-0.5929609,1.359602,0.015654663,0.76844263,DOG2
DOG2::104_0702_tumor,-0.045705363,0.53322387,0.74818945,-0.16261974,2.7933865,0.57508546,DOG2
DOG2::105_0710_tumor,0.3205435,-0.5450985,-1.4957894,-0.06717683,0.30214557,-1.1647074,DOG2
DOG2::106_0716_tumor,-2.5134807,1.8039153,0.47107288,1.0135468,-0.5127676,-0.9265791,DOG2
DOG2::107_0719_tumor,-4.532591,-1.499565,1.4227148,-0.80990905,1.0015053,-0.93595845,DOG2
DOG2::108_0720_tumor,-2.16787,-2.5282328,-0.15035972,-1.0133312,0.8318019,1.4642984,DOG2
DOG2::109_0721_tumor,1.2602522,-1.5051352,0.4884438,0.47850052,1.7495866,2.4992208,DOG2
DOG2::10_0512__Tumor,-2.231221,1.6566403,0.85792804,-0.20695399,2.5446365,0.90183586,DOG2
DOG2::110_0522_tumor,3.0806682,-1.2263937,0.78405416,-1.7084966,0.56139314,-1.602959,DOG2
DOG2::111_1708_tumor,-0.9360331,2.5722978,0.64467555,0.17838822,-2.5090256,-1.749315,DOG2
DOG2::112_0502_tumor,0.4834604,-2.130208,-3.00709,0.33480227,1.804542,-1.1901436,DOG2
DOG2::113_1010_tumor,0.2674887,-1.6242754,-0.282425,-3.5600097,-1.5599191,2.4569695,DOG2
DOG2::114_1704_tumor,1.7952248,3.751078,-0.5538285,0.13757111,-0.8311172,-1.1375297,DOG2
DOG2::115_2318_tumor,-1.279099,-1.526641,0.95040315,0.95477694,0.54526997,3.5350022,DOG2
DOG2::116_0506_tumor,-0.44280326,2.0173252,-0.8590137,-0.61121625,0.6154902,0.38738093,DOG2
DOG2::117_1011_tumor,-5.281935,-2.5418148,2.9298904,-1.6992985,0.8790731,-1.9769822,DOG2
DOG2::118_2304_tumor,-1.9614011,-0.6548873,-1.8927064,1.2664605,1.5333089,-2.88026,DOG2
DOG2::119_0516_tumor,-2.9020207,-0.1525722,0.7498251,1.538389,-1.1019442,-1.8597324,DOG2
DOG2::11_0602__Tumor,-1.4225633,-1.2789575,0.83229584,-1.4310602,-1.2492406,-0.43288988,DOG2
DOG2::120_2306_tumor,1.6307827,-0.11263571,-0.43392092,-1.0370951,-1.3800439,-1.7417345,DOG2
DOG2::121_2322_tumor,-1.8864051,-2.137725,0.41668174,2.5596056,0.46776715,1.4235914,DOG2
DOG2::122_0504_tumor,-3.3282692,-1.4270502,1.5067128,-2.4841394,2.227066,-1.2740878,DOG2
DOG2::123_2316_tumor,3.0426362,-1.254846,1.7382748,-1.0352395,-0.3517512,0.72265744,DOG2
DOG2::125_2004_tumor,-0.22931021,1.311941,0.5869248,1.2900898,-1.6245939,-0.5113484,DOG2
DOG2::126_0228_tumor,-2.7749257,2.4858499,0.5538849,-0.78090024,-1.5530138,0.15628578,DOG2
DOG2::127_2010_tumor,-2.2628329,-0.89573246,0.5411882,-0.7560917,-2.4130845,0.30594006,DOG2
DOG2::128_1023_tumor,3.364434,2.108094,-3.5274014,-4.1144767,-1.026134,-0.38455123,DOG2
DOG2::129_1414_tumor,0.22646984,-0.68940026,1.6285058,-0.40162405,0.86593956,0.6989664,DOG2
DOG2::12_0608__Tumor,-4.66542,0.30174035,3.3091362,-0.9479563,0.9338336,-1.118821,DOG2
DOG2::131_2012_tumor,-0.2433188,-1.2341119,-3.408371,3.0154624,-0.4757544,-0.055897146,DOG2
DOG2::132_1025_tumor,-6.3980217,3.218517,0.34354243,-0.8650357,-1.4557524,-1.5068741,DOG2
DOG2::133_0907_tumor,1.4062876,2.693001,-1.9548099,1.6727792,-1.6786898,-0.5833573,DOG2
DOG2::134_2208_tumor,-0.37088618,-1.3794554,-0.13071673,-0.8597204,-1.0312606,-1.2357037,DOG2
DOG2::135_0102_tumor,-3.1119668,-3.4407423,1.2651205,-0.6312454,2.9225118,0.32016048,DOG2
DOG2::136_0105_tumor,0.8191299,-3.1690419,0.6964858,0.33807364,-0.06859106,1.0879488,DOG2
DOG2::137_0106_tumor,3.2404313,-1.0679265,-4.0156937,1.3239963,0.18294628,0.15166427,DOG2
DOG2::138_0314_tumor,-2.1671786,1.928183,-3.6567934,0.8871199,-1.1238092,0.12332523,DOG2
DOG2::139_0733_tumor,-2.177113,-0.41453558,-5.024503,-2.7752032,-0.30823848,-0.17500164,DOG2
DOG2::13_0613__Tumor,-5.0810914,-2.1904607,3.0179794,-1.7610245,-0.97863644,0.11087406,DOG2
DOG2::140_0905_tumor,1.3678435,4.3910017,-3.6139772,-0.65781796,-1.5883824,-0.4886497,DOG2
DOG2::141_1707_tumor,1.8960071,-1.5402803,-3.4012024,1.8634588,2.3209808,-1.5565099,DOG2
DOG2::142_1710_tumor,-0.030761788,1.8171144,1.0880517,0.11608341,-0.015715564,0.85589933,DOG2
DOG2::143_1916_tumor,1.8496314,3.3240318,-1.0735719,-1.7651238,-0.26657674,0.33111206,DOG2
DOG2::14_0614__Tumor,6.6325684,-1.7119166,-1.0384471,-2.2686012,-1.4774549,0.8271337,DOG2
DOG2::15_0615__Tumor,2.6011176,-0.10938451,0.6117819,1.2526546,-0.08924994,0.9122186,DOG2
DOG2::16_0211_tumor,-2.1170523,1.9675106,-2.8974338,0.4738212,0.7202685,-0.44066477,DOG2
DOG2::16_0616__Tumor,-0.10315514,2.8269866,-0.06332671,-0.8547188,0.21172705,-0.30352908,DOG2
DOG2::17_0226_tumor,0.74366117,-2.4632275,2.2859166,-0.45184293,0.5646957,0.63067806,DOG2
DOG2::17_0620__Tumor,0.6269989,-0.9910051,0.13457423,-0.9019473,1.2141962,-0.6497626,DOG2
DOG2::18_0301_tumor,-2.291997,0.60225415,-1.8059059,-3.937687,0.23736207,2.8483026,DOG2
DOG2::19_0303_tumor,-1.6401486,1.2083329,3.2594106,-2.7319844,-2.3593373,-0.7290507,DOG2
DOG2::19_0621__Tumor,-1.1458144,-1.0629529,2.0247805,0.5446952,-0.58870804,-2.6076376,DOG2
DOG2::1_0201_tumor,-0.45834246,1.6626519,2.7754946,1.5433811,-2.9856095,-1.0552632,DOG2
DOG2::1_0202_tumor,-0.60631925,-0.3653581,-1.7562926,2.272499,0.62562305,-2.2255445,DOG2
DOG2::20_0307_tumor,1.2529254,5.303431,-3.3791838,0.9615915,-1.5472517,-0.0953088,DOG2
DOG2::21_0311_tumor,6.6600943,1.8277211,-3.100031,-1.8131247,-1.5571573,0.18992645,DOG2
