factor,view,group,r2
Factor1,RNA,DOG2,15.470075607299805
Factor2,RNA,DOG2,8.529138565063477
Factor3,RNA,DOG2,6.992059946060181
Factor4,RNA,DOG2,5.988621711730957
Factor5,RNA,DOG2,4.240620136260986
Factor6,RNA,DOG2,6.325674057006836
Factor1,RNA,GSE21257,11.760526895523071
Factor2,RNA,GSE21257,8.989310264587402
Factor3,RNA,GSE21257,3.347235918045044
Factor4,RNA,GSE21257,3.195291757583618
Factor5,RNA,GSE21257,2.6009678840637207
Factor6,RNA,GSE21257,1.4821767807006836
Factor1,RNA,TARGET_OS,11.606848239898682
Factor2,RNA,TARGET_OS,9.78853702545166
Factor3,RNA,TARGET_OS,4.605984687805176
Factor4,RNA,TARGET_OS,2.852964401245117
Factor5,RNA,TARGET_OS,3.01859974861145
Factor6,RNA,TARGET_OS,1.163029670715332
