,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
ABCC3,0.2714066,0.0067423866,0.0030271471,0.04576764,0.009962399,0.027983855
ADAMTS1,-0.0010614375,0.27905384,0.14635609,-0.0007463424,-0.008509402,-0.028305506
ADAMTS4,0.04296628,0.25793138,0.101568244,-0.08225136,0.10174945,-0.027846906
ADCY7,0.19975293,0.24921434,-0.0008161556,-0.00014973016,-0.0029979001,0.038814355
ALOX5,0.22469842,0.0108109405,-0.11894762,0.045971137,-0.06305687,0.04545482
ANGPT2,0.00032676564,0.002266934,0.005422851,0.017450258,-0.036490172,-0.0037701228
ANKRD22,0.26941612,-0.08616832,-0.0031406851,-0.061623845,0.0017638601,0.105322555
ANXA3,0.10689244,0.0053478023,-0.04344225,0.0740641,-0.00889272,0.17808297
ARHGAP30,0.3384944,0.016138814,0.0012362039,-0.053703144,-0.051595423,-0.0009475945
ARHGDIB,0.24658647,-0.02003914,-0.12862828,0.021875514,0.05720808,0.06630432
ARL4D,-0.047058932,-0.164888,0.18383066,-0.012351607,0.0009709734,-0.19588153
ARRB1,0.20380765,-0.056937493,-0.00042821714,0.108901665,0.2113652,-0.0033810611
ATAD2,-0.0030155953,-0.054346025,0.37676042,-0.104395725,-0.013999287,0.11006258
ATF7IP2,0.11697889,-0.10532269,0.005987032,0.14238591,0.0017315303,0.041645877
ATP8A1,0.22321413,-0.0737125,0.0032881123,0.13259636,-0.013509468,0.09622487
B2M,0.24908301,-0.031173328,-0.003736006,0.001340672,-0.07494664,0.20140341
BARX1,-0.0849213,0.050996024,0.08239166,0.0047919885,-0.066542976,-0.16798782
BATF2,0.2213528,-0.06157841,0.0029823326,0.09970442,-0.10240922,0.108120225
BLNK,0.30525377,-0.007023503,0.002488202,0.028180504,-0.04767884,-0.0076077175
BTK,0.29809844,-0.04419241,-0.0010529293,-0.10462418,0.18715714,-0.004147035
BUB1,0.0009401229,-0.06245003,0.38260812,-0.24499145,0.0015256434,0.0031394286
C1S,0.10878011,0.23473723,-0.05423884,0.20125258,-0.0003258309,0.1714201
C3AR1,0.32257465,0.051111855,0.004917777,-0.00027358005,-0.13977729,0.009071385
CAPG,0.12194213,0.0016133268,-0.0018322164,-0.119193725,0.27501804,0.19956604
CARD9,0.2734968,-0.065144554,-0.016686171,0.0012147833,0.1044586,-0.024581162
CASP8,0.15950064,0.051920068,0.07978583,0.046904445,-0.0130050685,0.19485976
CBX7,0.14637904,0.05954894,-0.056792244,0.16613747,-0.05697317,0.2503399
CCNA2,0.0010200457,0.0117713045,0.37699988,-0.27093935,-0.0030061377,-0.006955178
CCNB3,-0.003452351,-0.05552948,0.3268058,-0.18916269,-0.0064191264,0.0287967
CCR2,0.28866303,0.05007367,0.0037402846,0.07414606,-0.14180341,0.008406697
CD244,0.26437047,-0.05148311,-0.008217006,0.0048162485,-0.116525136,0.014591892
CD74,0.31947422,0.01903719,-0.0040289634,0.024268186,-0.18697262,0.0058696214
CD80,0.27213022,0.030713592,-0.0071217986,-0.005558511,-0.11670316,0.071313165
CD86,0.30123788,0.05699428,0.0011859271,-0.049534027,-0.14774628,0.047256276
CDC20,-0.011510764,-0.025818763,0.3408054,-0.26913074,-5.0966803e-05,-0.017728982
CDC6,0.002071226,-0.04211813,0.3635412,-0.2665509,-0.0017773273,0.055078648
CDCA2,-0.002177345,0.023408404,0.37380114,-0.2203811,0.002514666,-0.041636337
CDCA8,-0.0004861807,-0.010493419,0.40935594,-0.24288082,-0.0015581921,-0.004035376
CEP72,-0.0045013283,-0.039368257,0.28586486,-0.12484413,-0.010424775,-0.059513647
CHST2,0.085367456,0.0021601361,0.1270729,-0.024031363,0.012931016,-0.1421787
CLEC12A,0.29799864,0.023317454,-0.0050933557,0.037633285,-0.13894275,0.005463997
CLSPN,0.0022131235,-0.005232652,0.40253115,-0.19434486,-0.0027070683,0.020942554
CLTCL1,0.004734855,0.08701572,0.20045544,-0.07655525,-0.004724746,-0.19025524
CSF1R,0.25867823,-0.09414416,0.0006218369,0.008266095,0.2942155,-0.0015710733
CSF2RB,0.29595593,0.028630089,-0.0033292233,0.009825849,0.12715815,-0.011135982
CTSH,0.20488337,-0.018953826,0.0010128841,0.03737039,-0.09479293,0.1929662
CXCL14,0.05879701,0.2245469,-0.09838703,0.20415045,0.0022122024,0.009139516
CYP4V2,0.225965,0.01102668,-0.048823815,0.0744825,-0.0012528922,0.19832553
CYSLTR2,0.2300206,0.011372966,-0.0069917063,0.04381327,-0.10736783,0.005720304
DAPP1,0.3017584,0.014968327,-0.006640788,-0.005810525,-0.087508954,0.07703743
DENND1C,0.33831525,-0.0516483,-0.0063476283,-0.008433819,0.0049774414,-0.026325684
DEPDC1,-0.048514593,0.0049366634,0.37381506,-0.22131267,-0.0022702063,0.0026602116
DNAJB1,-0.057336424,0.045142658,0.15257604,-0.016853036,0.007048948,0.16062643
DNASE1L3,0.16533929,-0.014762772,-0.005575727,0.2094181,-0.0108914,0.033853494
DOCK2,0.3442138,0.0020843365,0.046577115,-0.0044197855,-0.084619224,0.05644532
DOK2,0.2948092,-0.02034371,-0.025484545,-0.091615885,-0.08680038,-0.06660305
DRD1,-0.0025727553,0.06720905,0.06024432,0.06226736,-0.02344061,-0.0052877218
DTX3L,0.15586245,-0.004263491,0.13523342,0.12249724,-0.08659246,0.38032717
E2F1,-0.056185566,-0.07010597,0.27170223,-0.2542521,-0.0042879228,-0.05146552
E2F7,-0.0015966193,0.124586575,0.37280777,-0.19793157,0.004790706,-0.05978135
E2F8,0.0020003407,-0.027433211,0.3973723,-0.15881564,-0.004612267,0.0022917944
ECT2,-0.0022023157,0.039535604,0.38212642,-0.2528305,0.0034180905,0.061250564
EGR1,0.04999731,0.022593113,0.009230798,0.08392447,0.029090384,0.13023372
EHD3,0.07651601,-0.07426487,0.0037325795,0.20349112,0.10343646,0.24335541
ELOVL4,-0.086291976,-0.053965986,0.19249383,-0.0034795483,0.018211791,-0.14362897
ENPP5,0.15687321,-0.07742067,-0.030113468,0.10186784,0.08155196,0.23057353
EPAS1,0.12522817,0.06598363,-0.0035906953,0.32034358,0.007964832,0.27647448
EPHA2,-0.025464864,-0.11702365,0.20381948,0.012820837,0.03795952,-0.02900735
EPHB3,-0.04326376,0.27927053,0.1274471,0.014205545,0.0037312708,-0.118759505
ESPL1,-0.008943857,-0.05383542,0.3904957,-0.18159758,0.041149635,0.114144705
EVI2A,0.1949949,0.1343323,-0.12110557,-0.11326642,0.05216877,-0.017256757
