,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
ABCC3,0.06575269368512189,-0.009373650101705452,0.0007489776659473223,0.026896346373771255,0.008926351946584884,0.00916839350167242,-0.03938285575684088,0.019586378380619517,-0.021164609059647295,0.0024635618725313557,0.007557829877199161,-0.015700734773902016
ADAMTS1,-0.005936683714562028,0.0674385538997722,-0.0006707285764516588,0.05851037251517906,0.00962377336981316,0.005571137023423328,0.06433961096877357,-0.022185367769553987,0.047343512453072674,0.01275311850194688,0.048448490389355635,0.04516602055935078
ADAMTS4,0.011751952922578834,0.05632345829622489,-0.010710375717050833,0.04769607111645493,0.059156930549458246,-0.020253764742991082,0.050549315486925234,0.003960457912482163,0.09560121914070964,-0.006694187956955732,0.03445965292424614,0.037709956059755544
ADCY7,0.05407464283375758,0.05575927598320752,-0.004651710357090503,0.02934921054190013,0.003210364647674869,0.01681936421004497,0.008334372016779959,0.03126807997461184,-0.05414801895800746,0.009216768629672077,-0.011014717894455087,0.05474082139087273
ALOX5,0.055682591022944976,0.0006604956328089247,0.01203817292976409,-0.0106348870403285,-0.03680533371276203,0.021865504400222353,-0.029718700367566277,-0.007753843777431177,-0.004364204786710683,-0.0142141325801447,-0.006240972518451366,-0.07505789969273209
ANGPT2,2.6016735099391165e-05,0.0030070152912705893,-0.001278372019984287,0.011474803534625034,-0.025053532756339147,-0.020831583803262502,0.08478286005419879,-0.031634233164094396,0.0546645893993799,-0.0014287509931491735,0.07528987561333453,-0.02733508715885244
ANKRD22,0.06610050969813835,-0.033375421354015604,-0.03133923177253687,0.010441410509833429,0.00037631430193150713,0.019775607411861636,-0.04906311945563268,-0.002361998142193546,-0.023323648842695565,0.017975865458527203,0.015522291607207809,0.014412209411054637
ANXA3,0.034629029328812684,-0.008373074919079088,0.014550533491203707,-0.0006886644375571887,-0.021385260256453032,0.020174894799277893,0.03965623452392583,-0.012497711509428912,-0.10481327767480095,-0.007254793154894388,0.015848448269987582,0.05589196203315733
ARHGAP30,0.08023873046296198,-0.002980001436706934,-0.0356629684143625,0.03523445545168742,-0.019878307607656465,0.002598770924360602,-0.02716422255288843,0.02283247177555867,0.005784002363770881,0.01531187928848763,-0.010548611393615903,-0.015536435509955551
ARHGDIB,0.07580538738478035,-0.014721724516387782,0.0032462337961844463,-0.008411393473069259,-0.002877210561829967,-0.01903900074022764,-0.017676184490805314,-0.03373087463830556,0.027048950372432178,0.014973041740576096,0.008490813763301104,-0.003668203130115652
ARL4D,-0.041773290220767006,-0.040910365957848076,-0.014477639530741888,0.04339535255380533,-0.010752338689564817,-0.018401308086798577,-0.02342043675126594,0.04442075008837697,0.047460957670650165,0.010407865345412586,-0.003313232402252667,-0.010223184501561837
ARRB1,0.055731740457049886,-0.03418973497430512,0.033268084161731146,0.024394687479729192,0.019235167782574867,-0.04887674797900138,0.01748306131490394,-0.035661946415605855,0.03427863235069068,0.006226254963129863,-0.03199980524086936,0.049346314890484765
ATAD2,-0.03354488751657125,-0.03344991060623902,-0.03862287032931232,0.07334434417292901,0.014021318395286168,0.04897414759494091,0.07497169536832646,0.02228663466051829,0.0015711685384888164,0.024133395313592945,-0.005197586335444669,0.006506899476638833
ATF7IP2,0.028129713841044977,-0.036617745648100844,0.0246745503841233,0.01692728021239741,-0.033461770495105486,-0.00483358083245448,0.02976492675038223,-0.03770284782739229,-0.005321010515104834,0.011147139775542844,0.01945588538282345,0.03679830163822759
ATP8A1,0.04121813526281118,-0.03875957401576761,0.00899481275999556,0.01709608227238445,-0.055171116608290924,-0.0009504709275553126,0.048657688621103784,-0.004095207502470165,-0.08392986555110417,0.0038490385080791937,-0.06442188010855926,0.059955034152550234
B2M,0.06462195429225955,-0.023306956165318495,-0.01696806642161754,0.002757370232311511,-0.015781782078561096,0.03212732358716061,0.02969746126143494,0.04349427959959328,-0.009368196811969542,-0.02915516683717978,0.02879802563213571,0.023916872090795366
BARX1,-0.03706843629425101,0.02388045096355889,-0.00590347436886005,0.033832550189725745,-0.022103654290043212,0.0019589649192572724,-0.04203992099653149,0.002364978014898064,-0.02608994394928839,0.020735670235869596,0.11191238437244105,0.017807226970729916
BATF2,0.05693571942566017,-0.02403201659735846,-0.0028792437989213224,0.01853459301199656,-0.05633810887372361,0.023796996053732544,0.01119061476516252,-0.001391490192049481,-0.0028308683722502934,0.027103508314593266,0.003579081804391696,0.017967309546732986
BLNK,0.06964891747373636,-0.007512427171817635,-0.014620654432795286,0.03565882193860487,-0.03210457200345182,0.008255627088298571,-0.03266889036272465,0.032269541599691295,-0.02989298377145151,-0.04883524316439301,-0.020230940627872566,0.013397249082699673
BTK,0.07503728741915705,-0.027606342002003757,-0.02245837434427264,0.024740745458581025,0.04558773395563208,-0.04423416505004257,-0.013998851615327153,0.030224242011775506,-0.02191423357534511,-0.007889300196855823,0.007315316634159394,0.0016781979969840793
BUB1,-0.037277738810377985,-0.036288663151546115,-0.06932120718352984,0.0788126342821771,0.026695158537601082,0.018738157321962857,0.061446667985100276,0.03366423332657823,-0.006104625524769369,-0.01210314065705239,-0.00021246133563216328,0.015131023132459143
C1S,0.04746713448241179,0.05114525638217962,0.05366620133515982,0.0036869355038541126,0.003272573743161763,0.051208099394865335,-0.006187962397531593,-0.0005697026211435566,0.024817252614741186,0.04823553286980896,-0.02110514868005731,-0.02739245047566225
C3AR1,0.07598107784551016,0.0069916129199730035,-0.031095601690946807,0.0313086655794618,-0.034941685852443505,0.028059754612464405,-0.028572709521701305,0.05075234785023112,0.005903674823500073,-0.051520362147217176,-0.005753797451714352,-0.022387916318294496
CAPG,0.04444591915201739,-0.022154525972218876,0.00011185871754866832,-0.0023614362863188685,0.10518887019402451,0.010037210168079949,-0.015140982095544635,0.02549770631878266,-0.026329395482747896,0.012035348496175192,0.05957359964572631,-0.008648879874067213
CARD9,0.06286316431181674,-0.0207319233777802,-0.0034558803833200915,0.02121674435007407,-0.0029144468994631457,-0.01668000723986081,-0.06743550853924107,-0.004465590019923341,-0.009899178635849345,0.03518212021953303,0.016257294180090635,0.06208270309190112
CASP8,0.04150188549278274,-0.006388508856205998,0.0002899128669109413,0.02596078301262198,-0.0022718187332569934,0.03263095135262668,0.07677190015575716,0.06016081720850915,-0.043070584859544,-0.004386021325092852,0.04278438968922402,0.03289275916675661
CBX7,0.05479425914799375,0.003526697246339759,0.03349362043683725,-0.003940274757184341,-0.03009077729757788,0.05604199992403542,0.023754959413695667,-0.0313690478582573,-0.05106224842914404,0.014898055274693973,-0.03881262198360883,-0.024452999465126815
CCNA2,-0.03656651071074741,-0.011236936897243272,-0.07706670133607384,0.08011557130133709,0.027721676745851753,0.021494925312563265,0.05093072553228906,0.0271360240628847,0.010625071633691485,0.03207501347451436,-0.04072766717124719,0.024812191181387687
CCNB3,-0.025118546846755598,-0.025955455931850686,-0.054690648978258476,0.05798307222660549,0.00802983417166998,0.02824258278100679,0.025970923598376734,-0.03921246194067285,0.019666978191381888,0.010832293420619504,-0.022006786468540505,-0.037509824921668794
CCR2,0.0681802640291543,0.007259268205217656,-0.011980720269658289,0.03474665495485924,-0.05428919471573965,0.015989386705338386,0.0012459602447907857,0.01267416590320513,0.0011267272346828939,-0.035337168583144174,-0.02293225510610053,0.02833473266728409
CD244,0.05964914553376395,-0.021415373653625586,-0.024922180949469363,0.015259725951492996,-0.04935253044163377,-0.003322203929093161,0.003224320978464974,0.01255866433018157,-0.03479309921609204,0.012045655128910523,0.007889568900529605,-0.033726600824744685
CD74,0.0757174960195858,0.003752269571824019,-0.028034509228592647,0.02181826411490031,-0.058176484917995826,0.02334793345158197,-0.0329269354469489,0.028609473515620508,0.024973153711718217,-0.01613188065133242,0.014270264021714914,-0.025474048189512943
CD80,0.0677025013271403,0.0011195732901636453,-0.02915396925266982,0.016489314698015616,-0.032355031548943425,0.02081124794204838,1.3991099263754858e-05,0.020208879078738466,-0.03317605370435447,0.004162508385935548,0.06420361064443958,-0.03133226479569363
CD86,0.06829124952662532,0.00960086842769057,-0.040045722825369515,0.021689413900780632,-0.028344545320467457,0.032476717902190776,-0.03170559084683548,0.05794003688252709,0.0056304365049540984,0.009102112923420166,0.008851012655254242,0.0014417276927628543
CDC20,-0.04113425882611644,-0.01797238237449362,-0.074262635818918,0.06147677470098949,0.03615654453226326,0.027883640027001652,0.0011185895010916089,0.02302062193915365,0.03380180382734368,0.05259515630289547,-0.03541437427169169,0.01518301815359401
CDC6,-0.030985123380634978,-0.027631512314733202,-0.07688091790496417,0.07085459467069519,0.029772402157887227,0.04506391199637613,0.028403652370291237,0.02027423423543411,0.01850114179669831,0.0443108527493778,-0.05146690694991678,-0.015402215069931651
CDCA2,-0.04025722366011544,-0.008141999048691641,-0.060732421125393274,0.08134447316144322,0.033173273099838925,0.021069230264538906,0.03582490480277261,0.033196702334013686,0.02079986259365845,0.04395095937457603,-0.05880873571083719,0.012935815748781634
