,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
ABCC3,0.06575269368512189,-0.009373650101705452,0.0007489776659473223,0.026896346373771255,0.008926351946584884,0.00916839350167242,-0.03938285575684088,0.019586378380619517,-0.021164609059647295,0.0024635618725313557,0.007557829877199161,-0.015700734773902016,-0.003220385356216629,-0.02797886630508434,-0.05053635491412031,-0.04802020520359241
ADAMTS1,-0.005936683714562028,0.0674385538997722,-0.0006707285764516588,0.05851037251517906,0.00962377336981316,0.005571137023423328,0.06433961096877357,-0.022185367769553987,0.047343512453072674,0.01275311850194688,0.048448490389355635,0.04516602055935078,-0.030685949924419777,-0.045665986551597794,0.00852141445118652,0.03294926733733829
ADAMTS4,0.011751952922578834,0.05632345829622489,-0.010710375717050833,0.04769607111645493,0.059156930549458246,-0.020253764742991082,0.050549315486925234,0.003960457912482163,0.09560121914070964,-0.006694187956955732,0.03445965292424614,0.037709956059755544,-0.0062712686260790445,-0.02136570190824005,0.0011913447331830546,0.06177947932087105
ADCY7,0.05407464283375758,0.05575927598320752,-0.004651710357090503,0.02934921054190013,0.003210364647674869,0.01681936421004497,0.008334372016779959,0.03126807997461184,-0.05414801895800746,0.009216768629672077,-0.011014717894455087,0.05474082139087273,0.012383361594175177,-0.013315645592898172,-0.030462171298545858,-0.015442965869037385
ALOX5,0.055682591022944976,0.0006604956328089247,0.01203817292976409,-0.0106348870403285,-0.03680533371276203,0.021865504400222353,-0.029718700367566277,-0.007753843777431177,-0.004364204786710683,-0.0142141325801447,-0.006240972518451366,-0.07505789969273209,-0.02445733506712081,-0.07220771844602733,0.0007649803799451554,-0.03973756246458058
ANGPT2,2.6016735099391165e-05,0.0030070152912705893,-0.001278372019984287,0.011474803534625034,-0.025053532756339147,-0.020831583803262502,0.08478286005419879,-0.031634233164094396,0.0546645893993799,-0.0014287509931491735,0.07528987561333453,-0.02733508715885244,-0.037520465334823346,-0.017822704696646003,0.07629607046682789,-0.04983176342547281
ANKRD22,0.06610050969813835,-0.033375421354015604,-0.03133923177253687,0.010441410509833429,0.00037631430193150713,0.019775607411861636,-0.04906311945563268,-0.002361998142193546,-0.023323648842695565,0.017975865458527203,0.015522291607207809,0.014412209411054637,0.030579764549162572,0.007043618236254226,0.0025644720492532394,0.023354400245354373
ANXA3,0.034629029328812684,-0.008373074919079088,0.014550533491203707,-0.0006886644375571887,-0.021385260256453032,0.020174894799277893,0.03965623452392583,-0.012497711509428912,-0.10481327767480095,-0.007254793154894388,0.015848448269987582,0.05589196203315733,-0.025102818745398436,0.01635083247912975,0.025032507817829366,0.025723270940256726
ARHGAP30,0.08023873046296198,-0.002980001436706934,-0.0356629684143625,0.03523445545168742,-0.019878307607656465,0.002598770924360602,-0.02716422255288843,0.02283247177555867,0.005784002363770881,0.01531187928848763,-0.010548611393615903,-0.015536435509955551,-0.0012082035790058378,-0.01946012057630831,-0.018407323459782157,-0.015105725381915262
ARHGDIB,0.07580538738478035,-0.014721724516387782,0.0032462337961844463,-0.008411393473069259,-0.002877210561829967,-0.01903900074022764,-0.017676184490805314,-0.03373087463830556,0.027048950372432178,0.014973041740576096,0.008490813763301104,-0.003668203130115652,0.014929875879127382,0.023627134516745835,0.017306714583676015,-0.0329206550233609
