,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
ABCC3,0.06575269368512189,-0.009373650101705452,0.0007489776659473223,0.026896346373771255,0.008926351946584884,0.00916839350167242,-0.03938285575684088,0.019586378380619517
ADAMTS1,-0.005936683714562028,0.0674385538997722,-0.0006707285764516588,0.05851037251517906,0.00962377336981316,0.005571137023423328,0.06433961096877357,-0.022185367769553987
ADAMTS4,0.011751952922578834,0.05632345829622489,-0.010710375717050833,0.04769607111645493,0.059156930549458246,-0.020253764742991082,0.050549315486925234,0.003960457912482163
ADCY7,0.05407464283375758,0.05575927598320752,-0.004651710357090503,0.02934921054190013,0.003210364647674869,0.01681936421004497,0.008334372016779959,0.03126807997461184
ALOX5,0.055682591022944976,0.0006604956328089247,0.01203817292976409,-0.0106348870403285,-0.03680533371276203,0.021865504400222353,-0.029718700367566277,-0.007753843777431177
ANGPT2,2.6016735099391165e-05,0.0030070152912705893,-0.001278372019984287,0.011474803534625034,-0.025053532756339147,-0.020831583803262502,0.08478286005419879,-0.031634233164094396
ANKRD22,0.06610050969813835,-0.033375421354015604,-0.03133923177253687,0.010441410509833429,0.00037631430193150713,0.019775607411861636,-0.04906311945563268,-0.002361998142193546
ANXA3,0.034629029328812684,-0.008373074919079088,0.014550533491203707,-0.0006886644375571887,-0.021385260256453032,0.020174894799277893,0.03965623452392583,-0.012497711509428912
ARHGAP30,0.08023873046296198,-0.002980001436706934,-0.0356629684143625,0.03523445545168742,-0.019878307607656465,0.002598770924360602,-0.02716422255288843,0.02283247177555867
ARHGDIB,0.07580538738478035,-0.014721724516387782,0.0032462337961844463,-0.008411393473069259,-0.002877210561829967,-0.01903900074022764,-0.017676184490805314,-0.03373087463830556
ARL4D,-0.041773290220767006,-0.040910365957848076,-0.014477639530741888,0.04339535255380533,-0.010752338689564817,-0.018401308086798577,-0.02342043675126594,0.04442075008837697
ARRB1,0.055731740457049886,-0.03418973497430512,0.033268084161731146,0.024394687479729192,0.019235167782574867,-0.04887674797900138,0.01748306131490394,-0.035661946415605855
ATAD2,-0.03354488751657125,-0.03344991060623902,-0.03862287032931232,0.07334434417292901,0.014021318395286168,0.04897414759494091,0.07497169536832646,0.02228663466051829
ATF7IP2,0.028129713841044977,-0.036617745648100844,0.0246745503841233,0.01692728021239741,-0.033461770495105486,-0.00483358083245448,0.02976492675038223,-0.03770284782739229
ATP8A1,0.04121813526281118,-0.03875957401576761,0.00899481275999556,0.01709608227238445,-0.055171116608290924,-0.0009504709275553126,0.048657688621103784,-0.004095207502470165
B2M,0.06462195429225955,-0.023306956165318495,-0.01696806642161754,0.002757370232311511,-0.015781782078561096,0.03212732358716061,0.02969746126143494,0.04349427959959328
BARX1,-0.03706843629425101,0.02388045096355889,-0.00590347436886005,0.033832550189725745,-0.022103654290043212,0.0019589649192572724,-0.04203992099653149,0.002364978014898064
BATF2,0.05693571942566017,-0.02403201659735846,-0.0028792437989213224,0.01853459301199656,-0.05633810887372361,0.023796996053732544,0.01119061476516252,-0.001391490192049481
BLNK,0.06964891747373636,-0.007512427171817635,-0.014620654432795286,0.03565882193860487,-0.03210457200345182,0.008255627088298571,-0.03266889036272465,0.032269541599691295
BTK,0.07503728741915705,-0.027606342002003757,-0.02245837434427264,0.024740745458581025,0.04558773395563208,-0.04423416505004257,-0.013998851615327153,0.030224242011775506
BUB1,-0.037277738810377985,-0.036288663151546115,-0.06932120718352984,0.0788126342821771,0.026695158537601082,0.018738157321962857,0.061446667985100276,0.03366423332657823
C1S,0.04746713448241179,0.05114525638217962,0.05366620133515982,0.0036869355038541126,0.003272573743161763,0.051208099394865335,-0.006187962397531593,-0.0005697026211435566
C3AR1,0.07598107784551016,0.0069916129199730035,-0.031095601690946807,0.0313086655794618,-0.034941685852443505,0.028059754612464405,-0.028572709521701305,0.05075234785023112
CAPG,0.04444591915201739,-0.022154525972218876,0.00011185871754866832,-0.0023614362863188685,0.10518887019402451,0.010037210168079949,-0.015140982095544635,0.02549770631878266
CARD9,0.06286316431181674,-0.0207319233777802,-0.0034558803833200915,0.02121674435007407,-0.0029144468994631457,-0.01668000723986081,-0.06743550853924107,-0.004465590019923341
CASP8,0.04150188549278274,-0.006388508856205998,0.0002899128669109413,0.02596078301262198,-0.0022718187332569934,0.03263095135262668,0.07677190015575716,0.06016081720850915
CBX7,0.05479425914799375,0.003526697246339759,0.03349362043683725,-0.003940274757184341,-0.03009077729757788,0.05604199992403542,0.023754959413695667,-0.0313690478582573
CCNA2,-0.03656651071074741,-0.011236936897243272,-0.07706670133607384,0.08011557130133709,0.027721676745851753,0.021494925312563265,0.05093072553228906,0.0271360240628847
CCNB3,-0.025118546846755598,-0.025955455931850686,-0.054690648978258476,0.05798307222660549,0.00802983417166998,0.02824258278100679,0.025970923598376734,-0.03921246194067285
CCR2,0.0681802640291543,0.007259268205217656,-0.011980720269658289,0.03474665495485924,-0.05428919471573965,0.015989386705338386,0.0012459602447907857,0.01267416590320513
CD244,0.05964914553376395,-0.021415373653625586,-0.024922180949469363,0.015259725951492996,-0.04935253044163377,-0.003322203929093161,0.003224320978464974,0.01255866433018157
CD74,0.0757174960195858,0.003752269571824019,-0.028034509228592647,0.02181826411490031,-0.058176484917995826,0.02334793345158197,-0.0329269354469489,0.028609473515620508
CD80,0.0677025013271403,0.0011195732901636453,-0.02915396925266982,0.016489314698015616,-0.032355031548943425,0.02081124794204838,1.3991099263754858e-05,0.020208879078738466
CD86,0.06829124952662532,0.00960086842769057,-0.040045722825369515,0.021689413900780632,-0.028344545320467457,0.032476717902190776,-0.03170559084683548,0.05794003688252709
CDC20,-0.04113425882611644,-0.01797238237449362,-0.074262635818918,0.06147677470098949,0.03615654453226326,0.027883640027001652,0.0011185895010916089,0.02302062193915365
CDC6,-0.030985123380634978,-0.027631512314733202,-0.07688091790496417,0.07085459467069519,0.029772402157887227,0.04506391199637613,0.028403652370291237,0.02027423423543411
CDCA2,-0.04025722366011544,-0.008141999048691641,-0.060732421125393274,0.08134447316144322,0.033173273099838925,0.021069230264538906,0.03582490480277261,0.033196702334013686
CDCA8,-0.041168105180675076,-0.019352853174366122,-0.0739057551530273,0.08141730677548276,0.03133545468734589,0.04279972875045153,0.01140230580020409,0.02080067143734033
CEP72,-0.03430390072642643,-0.01852822871157511,-0.043981616088794584,0.06992794084202218,0.004808297706134871,0.02147758364021691,-0.007024519395053807,-0.006964597381238818
CHST2,0.005716193056603617,-0.004347085513222324,-0.020230891117733935,0.06366972217046307,-0.011789865844735663,-0.06037776500748226,0.053835874558761425,-0.09407038072988835
CLEC12A,0.06871655294898342,0.004954791753433069,-0.020553703779805158,0.021557888384545698,-0.050967392792983256,0.024707673571983158,-0.03145731411981622,0.017802791227530798
CLSPN,-0.03479866009131658,-0.01925800762037339,-0.05450722764763375,0.08416534253371923,0.023829759405766697,0.04043788884549592,0.05201467673693775,0.02104794051831556
CLTCL1,-0.020539666232925892,0.024041403354225797,-0.029835600831948812,0.07620301504647993,0.0013343689839758993,0.002126817163612068,-0.04994564425494599,-0.035198871886897
CSF1R,0.06729521427032491,-0.04639939442957043,0.016388850412125178,0.02933667875939761,0.06004542136613004,-0.0410496297116114,-0.03770653706732737,0.008496538723820665
CSF2RB,0.0705622063091167,-0.006481935894122405,0.0018941060229194211,0.023594399558594267,0.01376185146390483,-0.04223377780391817,0.021920942819307378,0.015518297998148273
CTSH,0.05406016259432699,-0.01151961837610467,-0.0031416939414695175,0.007432954257559567,-0.011588516107862754,0.07533309776500155,-0.04743497916839573,0.018723600485072364
CXCL14,0.03124436966230294,0.05544169499281786,0.0580535248537084,-0.00307672772293529,-0.00966937819450032,0.009137310937966284,-0.002783357719324222,0.036157584658127975
CYP4V2,0.06209810377744423,-0.009616865715837074,0.016454675186634373,0.004312547564405448,0.001599557502347095,0.04943581124548165,0.010134923953120531,0.030356771339947006
CYSLTR2,0.05022120677105689,-0.006625395859793675,-0.008836896797652939,0.016643367867233395,-0.044881950841614934,-0.010068456791532645,0.04299333391265802,0.033934554861876125
DAPP1,0.06704158605959251,-0.006391467271773086,-0.03055086387354249,0.024267752143644298,-0.03446915818343857,0.006171316625019229,0.02308023934051414,0.01475112812679872
DENND1C,0.0742361018005474,-0.01992234046916744,-0.018041603425675817,0.020810644539585255,-0.014563854143747605,-0.023156220357347157,-0.03569822986001979,-0.009096258851429334
DEPDC1,-0.04758095693312971,-0.01251607044638114,-0.06188312733238602,0.07604789470327472,0.031525200291552646,0.03228804687282312,0.05568825080643926,0.031035051888395872
