analysis_set,initial_factors,module_label,n_module_genes,factor,signed_cosine,absolute_cosine,squared_cosine,active_group_count,active_groups,activity_class
four_cohort_core_plus_frozen,8,M34,130,Factor1,-0.7601282315260889,0.7601282315260889,0.5777949283629794,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M34,130,Factor2,0.037364994533581726,0.037364994533581726,0.0013961428164945922,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M34,130,Factor3,0.03433492338148119,0.03433492338148119,0.0011788869636121838,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M34,130,Factor4,-0.08220689864222809,0.08220689864222809,0.006757974184373562,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M34,130,Factor5,0.248018437592566,0.248018437592566,0.06151314538585756,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M34,130,Factor6,-0.05039879430897717,0.05039879430897717,0.0025400384677985895,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M11,7,Factor1,0.004944603171072538,0.004944603171072538,2.4449100519380596e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M11,7,Factor2,0.09193874488786449,0.09193874488786449,0.008452732811555829,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M11,7,Factor3,0.05417650563139414,0.05417650563139414,0.0029350937624284808,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M11,7,Factor4,0.013791184862831833,0.013791184862831833,0.0001901967799208019,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M11,7,Factor5,0.013970322019237355,0.013970322019237355,0.00019516989732118808,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M11,7,Factor6,-0.003718848356476806,0.003718848356476806,1.382983309847024e-05,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M24,7,Factor1,-0.005857117619406401,0.005857117619406401,3.430582680756091e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M24,7,Factor2,0.04616291342501693,0.04616291342501693,0.0021310145758856084,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M24,7,Factor3,0.07268863019608192,0.07268863019608192,0.005283636959782752,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M24,7,Factor4,0.02970205349845024,0.02970205349845024,0.0008822119820248001,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M24,7,Factor5,0.15573608222598698,0.15573608222598698,0.024253727307099376,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M24,7,Factor6,0.020241790123942085,0.020241790123942085,0.0004097300674217193,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M40,78,Factor1,-0.052047326578673225,0.052047326578673225,0.0027089242039870644,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M40,78,Factor2,-0.09888992624479298,0.09888992624479298,0.009779217512700595,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M40,78,Factor3,0.7775182441400608,0.7775182441400608,0.6045346199706432,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M40,78,Factor4,-0.07162157471007485,0.07162157471007485,0.005129649963950834,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,8,M40,78,Factor5,0.12430686315836309,0.12430686315836309,0.015452196228272007,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,8,M40,78,Factor6,0.015750732582253287,0.015750732582253287,0.0002480855768776553,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M34,130,Factor1,-0.771627620946074,0.771627620946074,0.595409185406898,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M34,130,Factor2,0.04600127930756378,0.04600127930756378,0.0021161176979324955,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M34,130,Factor3,0.026306582494178745,0.026306582494178745,0.0006920362825230316,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M34,130,Factor4,-0.020531454838792332,0.020531454838792332,0.00042154063779736904,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M34,130,Factor5,0.0015161802599335144,0.0015161802599335144,2.298802580612059e-06,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M34,130,Factor6,0.19200131572223839,0.19200131572223839,0.036864505239070665,2,DOG2;TARGET_OS,partially_shared
four_cohort_core_plus_frozen,12,M34,130,Factor7,-0.03514098630485839,0.03514098630485839,0.0012348889184782448,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M34,130,Factor8,-0.19893898309897354,0.19893898309897354,0.03957671899645368,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M11,7,Factor1,-0.006104730949246424,0.006104730949246424,3.726773996268714e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M11,7,Factor2,0.07723000447403112,0.07723000447403112,0.005964473591058867,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M11,7,Factor3,0.0774293442785858,0.0774293442785858,0.005995303355411768,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M11,7,Factor4,0.021552672505430675,0.021552672505430675,0.00046451769212634735,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M11,7,Factor5,-0.0025928182130006533,0.0025928182130006533,6.722706285667901e-06,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M11,7,Factor6,-0.14827478984932885,0.14827478984932885,0.021985413304862634,2,DOG2;TARGET_OS,partially_shared
four_cohort_core_plus_frozen,12,M11,7,Factor7,-0.024193104136421593,0.024193104136421593,0.0005853062877557395,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M11,7,Factor8,-0.07236390283528156,0.07236390283528156,0.00523653443355407,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M24,7,Factor1,-0.014148923105777773,0.014148923105777773,0.00020019202505321213,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M24,7,Factor2,0.03702201067620148,0.03702201067620148,0.0013706292745087761,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M24,7,Factor3,0.09228976206370333,0.09228976206370333,0.008517400181774975,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M24,7,Factor4,0.09424165360382955,0.09424165360382955,0.0088814892739842,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M24,7,Factor5,-0.013683053556813552,0.013683053556813552,0.000187225954638628,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M24,7,Factor6,-0.026318903672861747,0.026318903672861747,0.0006926846905413755,2,DOG2;TARGET_OS,partially_shared
four_cohort_core_plus_frozen,12,M24,7,Factor7,-0.09539115497034821,0.09539115497034821,0.009099472446576988,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M24,7,Factor8,-0.16770205671380964,0.16770205671380964,0.028123979826041826,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M40,78,Factor1,-0.03386563735619892,0.03386563735619892,0.0011468813935415758,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M40,78,Factor2,-0.0947161369236302,0.0947161369236302,0.008971146593735865,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M40,78,Factor3,0.7744744371716858,0.7744744371716858,0.5998106538323996,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M40,78,Factor4,0.0029086430675200744,0.0029086430675200744,8.460204494232588e-06,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M40,78,Factor5,-0.012001155112785636,0.012001155112785636,0.0001440277240411408,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,12,M40,78,Factor6,0.17612473295985712,0.17612473295985712,0.03101992156018098,2,DOG2;TARGET_OS,partially_shared
four_cohort_core_plus_frozen,12,M40,78,Factor7,0.026407715479798286,0.026407715479798286,0.0006973674368619781,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,12,M40,78,Factor8,-0.08885244129441729,0.08885244129441729,0.00789475632397787,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M34,130,Factor1,-0.7757452438982784,0.7757452438982784,0.6017806834307994,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,16,M34,130,Factor2,0.03474624090564779,0.03474624090564779,0.0012073012570733119,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,16,M34,130,Factor3,0.04580700559849837,0.04580700559849837,0.0020982817619008606,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M34,130,Factor4,-0.0019295985576916206,0.0019295985576916206,3.7233505938455824e-06,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
