analysis_set,initial_factors,module_label,n_module_genes,module_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean,random_q95,observed_percentile,empirical_p_greater_equal,empirical_q_within_model_subspace,empirical_q_global
four_cohort_core_plus_frozen,8,M34,130,0.8024691358024691,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.6124609383399372,2000,0.24219707860869855,0.2763778865788961,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,8,M34,130,0.8024691358024691,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.6124609383399372,2000,0.24219707860869855,0.2763778865788961,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,8,M34,130,0.8024691358024691,ubiquitous_all_groups,3,Factor1;Factor2;Factor4,0.5853106749392992,2000,0.041322772987376445,0.05387987839034304,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,8,M34,130,0.8024691358024691,partially_shared,3,Factor3;Factor5;Factor6,0.06503375371755862,2000,0.20159237604291858,0.24186222266283972,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,8,M34,130,0.8024691358024691,shared_non_ffpe_only,3,Factor3;Factor5;Factor6,0.06503375371755862,2000,0.20159237604291858,0.24186222266283972,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,8,M34,130,0.8024691358024691,gse39055_shared,3,Factor1;Factor2;Factor4,0.5853106749392992,2000,0.041322772987376445,0.05387987839034304,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,8,M11,7,1.0,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.01238087030784814,2000,0.01509440857632371,0.02486430172019699,0.322,0.6781609195402298,0.6781609195402298,0.8014629049111808
four_cohort_core_plus_frozen,8,M11,7,1.0,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.01238087030784814,2000,0.01509440857632371,0.02486430172019699,0.322,0.6781609195402298,0.6781609195402298,0.8014629049111808
four_cohort_core_plus_frozen,8,M11,7,1.0,ubiquitous_all_groups,3,Factor1;Factor2;Factor4,0.008806447301855062,2000,0.00919600731340609,0.017652007326230672,0.5125,0.4877561219390305,0.975512243878061,0.5957826455899567
four_cohort_core_plus_frozen,8,M11,7,1.0,partially_shared,3,Factor3;Factor5;Factor6,0.0030102579364024496,2000,0.006140710044900177,0.01599711139325913,0.312,0.6881559220389805,0.9175412293853072,0.8028485757121439
four_cohort_core_plus_frozen,8,M11,7,1.0,shared_non_ffpe_only,3,Factor3;Factor5;Factor6,0.0030102579364024496,2000,0.006140710044900177,0.01599711139325913,0.312,0.6881559220389805,0.9175412293853072,0.8028485757121439
four_cohort_core_plus_frozen,8,M11,7,1.0,gse39055_shared,3,Factor1;Factor2;Factor4,0.008806447301855062,2000,0.00919600731340609,0.017652007326230672,0.5125,0.4877561219390305,0.975512243878061,0.5957826455899567
four_cohort_core_plus_frozen,8,M24,7,1.0,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.032146413735404555,2000,0.021464100875526432,0.03647499973565301,0.9115,0.08895552223888056,0.11860736298517409,0.12550313990291675
four_cohort_core_plus_frozen,8,M24,7,1.0,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.032146413735404555,2000,0.021464100875526432,0.03647499973565301,0.9115,0.08895552223888056,0.11860736298517409,0.12550313990291675
four_cohort_core_plus_frozen,8,M24,7,1.0,ubiquitous_all_groups,3,Factor1;Factor2;Factor4,0.003204944873528217,2000,0.009617846110826157,0.020748975129564876,0.1205,0.879560219890055,1.0,0.9723865340057244
four_cohort_core_plus_frozen,8,M24,7,1.0,partially_shared,3,Factor3;Factor5;Factor6,0.027644746007404387,2000,0.012187761166593102,0.030552571186343733,0.9255,0.07496251874062969,0.14992503748125938,0.10914542728635682
